geo,females_aged_15plus_employment_rate_percent,time
aut,43.4,1993
aut,46.1,1994
aut,46.2,1995
aut,45.7,1996
aut,45.8,1997
aut,45.9,1998
aut,46.4,1999
aut,46.5,2000
aut,47.0,2001
aut,48.0,2002
aut,48.4,2003
aut,47.7,2004
aut,48.5,2005
aut,49.4,2006
aut,49.7,2007
aze,51.1,1991
aze,51.2,1992
aze,51.1,1993
aze,50.5,1994
aze,50.1,1995
aze,50.6,1996
aze,51.5,1997
aze,51.8,1998
aze,52.1,1999
aze,52.6,2000
aze,52.8,2001
aze,52.9,2002
aze,53.3,2003
aze,54.7,2004
aze,54.4,2005
aze,54.8,2006
aze,56.2,2007
bhs,56.5,1991
bhs,53.8,1992
bhs,55.6,1993
bhs,54.8,1994
bhs,56.5,1995
bhs,55.4,1996
bhs,57.8,1997
bhs,59.2,1998
bhs,59.5,1999
bhs,60.8,2000
bhs,61.0,2001
bhs,59.6,2002
bhs,58.4,2003
bhs,59.0,2004
bhs,59.2,2005
bhs,61.2,2006
bhs,60.7,2007
bhr,25.8,1991
bhr,26.3,1992
bhr,26.8,1993
bhr,27.3,1994
bhr,27.8,1995
bhr,28.3,1996
bhr,28.8,1997
bhr,29.3,1998
bhr,29.9,1999
bhr,30.4,2000
bhr,30.9,2001
bhr,30.7,2002
bhr,30.5,2003
bhr,30.3,2004
bhr,30.2,2005
bhr,29.8,2006
bhr,30.2,2007
bgd,60.9,1991
bgd,58.6,1992
bgd,58.2,1993
bgd,56.7,1994
bgd,54.6,1995
bgd,54.0,1996
bgd,53.6,1997
bgd,53.7,1998
bgd,53.2,1999
bgd,53.0,2000
bgd,53.3,2001
bgd,53.6,2002
bgd,53.5,2003
bgd,53.0,2004
bgd,53.1,2005
bgd,53.3,2006
bgd,53.6,2007
brb,48.8,1991
brb,46.4,1992
brb,45.0,1993
brb,46.3,1994
brb,50.5,1995
brb,54.6,1996
brb,53.8,1997
brb,55.1,1998
brb,56.9,1999
brb,58.2,2000
brb,58.2,2001
brb,57.9,2002
brb,57.7,2003
brb,58.7,2004
brb,59.5,2005
brb,60.1,2006
brb,60.3,2007
blr,53.3,1991
blr,52.5,1992
blr,51.6,1993
blr,50.8,1994
blr,50.0,1995
blr,49.6,1996
blr,49.6,1997
blr,48.8,1998
blr,47.8,1999
blr,48.1,2000
blr,48.1,2001
blr,48.2,2002
blr,48.4,2003
blr,48.8,2004
blr,48.9,2005
blr,49.0,2006
blr,48.6,2007
bel,33.8,1991
bel,35.0,1992
bel,35.1,1993
bel,34.9,1994
bel,35.4,1995
bel,35.4,1996
bel,36.1,1997
bel,36.5,1998
bel,38.6,1999
bel,39.9,2000
bel,38.8,2001
bel,39.1,2002
bel,39.4,2003
bel,40.4,2004
bel,41.5,2005
bel,41.2,2006
bel,41.7,2007
blz,20.2,1991
blz,22.9,1992
blz,26.2,1993
blz,29.3,1994
blz,28.9,1995
blz,28.9,1996
blz,28.9,1997
blz,29.4,1998
blz,30.7,1999
blz,32.9,2000
blz,35.0,2001
blz,35.4,2002
blz,36.1,2003
blz,36.9,2004
blz,37.1,2005
blz,39.3,2006
blz,38.8,2007
ben,54.3,1991
ben,57.4,1992
ben,57.3,1993
ben,57.4,1994
ben,57.4,1995
ben,57.6,1996
ben,57.7,1997
ben,57.6,1998
ben,57.7,1999
ben,57.8,2000
ben,57.9,2001
ben,57.9,2002
ben,57.9,2003
ben,57.9,2004
ben,57.8,2005
ben,57.8,2006
ben,58.2,2007
btn,23.6,1991
btn,22.1,1992
btn,21.0,1993
btn,19.8,1994
btn,19.1,1995
btn,19.1,1996
btn,19.4,1997
btn,20.1,1998
btn,21.1,1999
btn,22.8,2000
btn,25.0,2001
btn,27.1,2002
btn,30.5,2003
btn,33.3,2004
btn,36.2,2005
btn,38.1,2006
btn,39.9,2007
bol,44.1,1991
bol,45.1,1992
bol,46.5,1993
bol,47.9,1994
bol,49.3,1995
bol,52.3,1996
bol,56.4,1997
bol,56.6,1998
bol,56.7,1999
bol,56.3,2000
bol,56.8,2001
bol,57.5,2002
bol,58.4,2003
bol,59.6,2004
bol,60.8,2005
bol,62.2,2006
bol,61.6,2007
bih,44.8,1991
bih,43.4,1992
bih,41.5,1993
bih,41.0,1994
bih,41.0,1995
bih,41.0,1996
bih,40.3,1997
bih,39.5,1998
bih,38.7,1999
bih,38.0,2000
bih,38.6,2001
bih,37.8,2002
bih,38.3,2003
bih,36.8,2004
bih,37.9,2005
bih,34.9,2006
bih,34.9,2007
bwa,34.3,1991
bwa,35.0,1992
bwa,35.6,1993
bwa,35.7,1994
bwa,35.8,1995
bwa,36.0,1996
bwa,36.7,1997
bwa,37.6,1998
bwa,39.1,1999
bwa,40.8,2000
bwa,36.4,2001
bwa,36.4,2002
bwa,34.8,2003
bwa,33.1,2004
bwa,31.3,2005
bwa,38.7,2006
bwa,38.7,2007
bra,35.1,1991
bra,39.5,1992
bra,40.7,1993
bra,42.0,1994
bra,43.4,1995
bra,43.5,1996
bra,44.5,1997
bra,45.1,1998
bra,46.3,1999
bra,47.4,2000
bra,48.2,2001
bra,49.7,2002
bra,49.6,2003
bra,50.9,2004
bra,51.2,2005
bra,52.1,2006
bra,53.3,2007
brn,44.2,1991
brn,45.1,1992
brn,46.0,1993
brn,46.9,1994
brn,47.8,1995
brn,48.7,1996
brn,49.6,1997
brn,50.6,1998
brn,51.5,1999
brn,52.4,2000
brn,53.3,2001
brn,53.6,2002
brn,53.8,2003
brn,54.1,2004
brn,54.4,2005
brn,54.9,2006
brn,55.5,2007
bgr,44.0,1991
bgr,46.1,1992
bgr,41.7,1993
bgr,41.4,1994
bgr,42.5,1995
bgr,42.4,1996
bgr,41.0,1997
bgr,40.4,1998
bgr,38.2,1999
bgr,35.5,2000
bgr,37.9,2001
bgr,38.3,2002
bgr,38.7,2003
bgr,39.9,2004
bgr,40.5,2005
bgr,42.8,2006
bgr,42.1,2007
bfa,74.7,1991
bfa,74.7,1992
bfa,74.8,1993
bfa,74.8,1994
bfa,74.9,1995
bfa,75.0,1996
bfa,75.1,1997
bfa,75.1,1998
bfa,75.2,1999
bfa,75.2,2000
bfa,75.3,2001
bfa,75.3,2002
bfa,75.5,2003
bfa,75.5,2004
bfa,75.6,2005
bfa,75.7,2006
bfa,75.8,2007
bdi,84.9,1991
bdi,85.0,1992
bdi,85.1,1993
bdi,85.1,1994
bdi,85.1,1995
bdi,85.0,1996
bdi,84.9,1997
bdi,84.9,1998
bdi,84.8,1999
bdi,84.6,2000
bdi,84.4,2001
bdi,84.2,2002
bdi,83.9,2003
bdi,83.7,2004
bdi,83.5,2005
bdi,83.4,2006
bdi,83.3,2007
khm,74.6,1991
khm,74.4,1992
khm,74.6,1993
khm,74.8,1994
khm,74.0,1995
khm,73.0,1996
khm,72.8,1997
khm,73.5,1998
khm,73.4,1999
khm,73.3,2000
khm,76.4,2001
khm,75.5,2002
khm,74.7,2003
khm,73.9,2004
khm,73.7,2005
khm,73.4,2006
khm,73.4,2007
cmr,48.2,1991
cmr,47.8,1992
cmr,47.5,1993
cmr,47.3,1994
cmr,47.3,1995
cmr,48.1,1996
cmr,48.4,1997
cmr,48.6,1998
cmr,48.9,1999
cmr,49.1,2000
cmr,49.4,2001
cmr,49.4,2002
cmr,49.3,2003
cmr,49.3,2004
cmr,49.3,2005
cmr,49.4,2006
cmr,49.0,2007
can,52.2,1991
can,51.4,1992
can,50.9,1993
can,51.3,1994
can,51.6,1995
can,51.5,1996
can,52.0,1997
can,53.1,1998
can,53.9,1999
can,54.7,2000
can,54.9,2001
can,55.8,2002
can,56.7,2003
can,57.0,2004
can,57.0,2005
can,57.5,2006
can,58.9,2007
cpv,38.9,1991
cpv,38.9,1992
cpv,39.3,1993
cpv,39.5,1994
cpv,39.7,1995
cpv,39.8,1996
cpv,39.9,1997
cpv,40.0,1998
cpv,40.3,1999
cpv,40.6,2000
cpv,40.6,2001
cpv,40.8,2002
cpv,41.0,2003
cpv,41.1,2004
cpv,42.0,2005
cpv,42.4,2006
cpv,43.6,2007
caf,64.7,1991
caf,64.2,1992
caf,64.0,1993
caf,64.0,1994
caf,64.2,1995
caf,63.9,1996
caf,63.9,1997
caf,64.0,1998
caf,64.0,1999
caf,64.0,2000
caf,64.0,2001
caf,63.8,2002
caf,63.3,2003
caf,63.2,2004
caf,63.1,2005
caf,63.1,2006
caf,62.9,2007
tcd,55.5,1991
tcd,58.0,1992
tcd,60.5,1993
tcd,61.2,1994
tcd,60.9,1995
tcd,60.8,1996
tcd,61.1,1997
tcd,61.3,1998
tcd,60.9,1999
tcd,60.7,2000
tcd,61.3,2001
tcd,61.9,2002
tcd,64.3,2003
tcd,66.2,2004
tcd,66.8,2005
tcd,66.6,2006
tcd,66.3,2007
chl,30.2,1991
chl,32.2,1992
chl,33.9,1993
chl,33.3,1994
chl,32.9,1995
chl,32.7,1996
chl,33.5,1997
chl,33.8,1998
chl,32.9,1999
chl,32.5,2000
chl,32.5,2001
chl,32.5,2002
chl,33.6,2003
chl,35.2,2004
chl,35.1,2005
chl,37.2,2006
chl,35.5,2007
chn,71.0,1991
chn,71.6,1992
chn,71.7,1993
chn,71.7,1994
chn,71.6,1995
chn,71.5,1996
chn,71.4,1997
chn,71.2,1998
chn,71.0,1999
chn,70.8,2000
chn,70.5,2001
chn,70.2,2002
chn,69.9,2003
chn,69.5,2004
chn,69.2,2005
chn,69.1,2006
chn,68.9,2007
col,37.7,1991
col,39.5,1992
col,41.0,1993
col,40.1,1994
col,40.5,1995
col,40.1,1996
col,41.4,1997
col,42.6,1998
col,45.6,1999
col,46.3,2000
col,47.7,2001
col,47.7,2002
col,49.5,2003
col,50.6,2004
col,52.8,2005
col,52.8,2006
col,54.9,2007
com,59.5,1991
com,59.6,1992
com,59.6,1993
com,59.2,1994
com,59.1,1995
com,58.8,1996
com,58.7,1997
com,58.5,1998
com,58.4,1999
com,58.3,2000
com,58.3,2001
com,58.4,2002
com,58.5,2003
com,58.7,2004
com,58.8,2005
com,58.8,2006
com,59.3,2007
cog,52.8,1991
cog,52.5,1992
cog,52.3,1993
cog,51.7,1994
cog,53.9,1995
cog,54.0,1996
cog,52.5,1997
cog,52.2,1998
cog,52.3,1999
cog,52.5,2000
cog,52.6,2001
cog,52.4,2002
cog,52.2,2003
cog,52.2,2004
cog,52.4,2005
cog,52.6,2006
cog,52.3,2007
cod,55.1,1991
cod,53.8,1992
cod,53.1,1993
cod,53.0,1994
cod,52.9,1995
cod,52.3,1996
cod,51.8,1997
cod,51.5,1998
cod,51.3,1999
cod,50.8,2000
cod,50.5,2001
cod,50.3,2002
cod,50.3,2003
cod,50.6,2004
cod,50.9,2005
cod,51.0,2006
cod,50.4,2007
cri,32.9,1991
cri,34.5,1992
cri,35.9,1993
cri,36.2,1994
cri,36.9,1995
cri,34.7,1996
cri,36.2,1997
cri,37.8,1998
cri,39.6,1999
cri,38.7,2000
cri,38.9,2001
cri,38.5,2002
cri,38.2,2003
cri,36.8,2004
cri,37.9,2005
cri,39.5,2006
cri,40.1,2007
civ,40.1,1991
civ,39.7,1992
civ,39.7,1993
civ,39.4,1994
civ,39.9,1995
civ,40.0,1996
civ,39.9,1997
civ,39.9,1998
civ,39.7,1999
civ,39.3,2000
civ,39.0,2001
civ,38.7,2002
civ,38.4,2003
civ,38.4,2004
civ,38.3,2005
civ,38.2,2006
civ,38.1,2007
hrv,37.0,1991
hrv,36.7,1992
hrv,36.4,1993
hrv,40.7,1994
hrv,40.5,1995
hrv,40.5,1996
hrv,40.4,1997
hrv,40.1,1998
hrv,38.9,1999
hrv,37.6,2000
hrv,35.3,2001
hrv,37.0,2002
hrv,37.7,2003
hrv,37.7,2004
hrv,38.3,2005
hrv,38.6,2006
hrv,39.4,2007
cub,35.2,1991
cub,35.6,1992
cub,36.8,1993
cub,37.5,1994
cub,36.1,1995
cub,37.2,1996
cub,38.3,1997
cub,39.5,1998
cub,40.0,1999
cub,40.8,2000
cub,41.7,2001
cub,42.1,2002
cub,42.8,2003
cub,42.8,2004
cub,43.1,2005
cub,43.8,2006
cub,43.7,2007
cyp,45.2,1991
cyp,44.4,1992
cyp,44.7,1993
cyp,45.0,1994
cyp,45.1,1995
cyp,45.3,1996
cyp,45.9,1997
cyp,44.7,1998
cyp,45.1,1999
cyp,45.3,2000
cyp,48.2,2001
cyp,49.8,2002
cyp,50.7,2003
cyp,49.8,2004
cyp,49.1,2005
cyp,49.9,2006
cyp,51.3,2007
cze,48.4,1991
cze,48.5,1992
cze,49.6,1993
cze,49.9,1994
cze,49.8,1995
cze,49.4,1996
cze,48.7,1997
cze,47.6,1998
cze,46.6,1999
cze,46.2,2000
cze,46.2,2001
cze,46.4,2002
cze,45.9,2003
cze,45.6,2004
cze,45.7,2005
cze,46.1,2006
cze,47.6,2007
dnk,55.7,1991
dnk,56.0,1992
dnk,54.8,1993
dnk,52.7,1994
dnk,52.9,1995
dnk,53.3,1996
dnk,54.9,1997
dnk,55.7,1998
dnk,56.5,1999
dnk,57.1,2000
dnk,57.0,2001
dnk,57.8,2002
dnk,56.3,2003
dnk,57.1,2004
dnk,56.4,2005
dnk,58.2,2006
dnk,58.1,2007
dom,16.1,1991
dom,14.8,1992
dom,15.1,1993
dom,19.3,1994
dom,21.5,1995
dom,23.3,1996
dom,26.3,1997
dom,29.7,1998
dom,32.8,1999
dom,35.3,2000
dom,38.8,2001
dom,44.7,2002
dom,39.1,2003
dom,37.4,2004
dom,38.2,2005
dom,40.3,2006
dom,40.5,2007
tls,49.2,1991
tls,49.1,1992
tls,49.2,1993
tls,49.4,1994
tls,49.7,1995
tls,50.1,1996
tls,50.6,1997
tls,51.1,1998
tls,51.7,1999
tls,52.2,2000
tls,52.5,2001
tls,52.8,2002
tls,53.0,2003
tls,53.1,2004
tls,53.2,2005
tls,53.3,2006
tls,54.7,2007
ecu,29.7,1991
ecu,31.3,1992
ecu,32.4,1993
ecu,33.5,1994
ecu,34.7,1995
ecu,35.9,1996
ecu,36.9,1997
ecu,38.0,1998
ecu,39.1,1999
ecu,40.0,2000
ecu,40.4,2001
ecu,41.3,2002
ecu,42.3,2003
ecu,43.6,2004
ecu,44.6,2005
ecu,45.6,2006
ecu,45.5,2007
egy,16.6,1991
egy,16.2,1992
egy,15.6,1993
egy,16.0,1994
egy,15.5,1995
egy,16.3,1996
egy,16.4,1997
egy,16.2,1998
egy,17.1,1999
egy,16.6,2000
egy,16.6,2001
egy,17.2,2002
egy,17.3,2003
egy,17.4,2004
egy,17.2,2005
egy,17.9,2006
egy,18.2,2007
slv,47.3,1991
slv,38.8,1992
slv,39.3,1993
slv,41.3,1994
slv,40.0,1995
slv,38.6,1996
slv,39.3,1997
slv,42.3,1998
slv,43.3,1999
slv,43.2,2000
slv,43.3,2001
slv,43.6,2002
slv,44.9,2003
slv,43.3,2004
slv,43.7,2005
slv,44.3,2006
slv,44.8,2007
gnq,39.3,1991
gnq,39.2,1992
gnq,39.2,1993
gnq,39.3,1994
gnq,39.3,1995
gnq,39.6,1996
gnq,39.8,1997
gnq,40.2,1998
gnq,41.0,1999
gnq,41.4,2000
gnq,41.5,2001
gnq,41.6,2002
gnq,41.7,2003
gnq,41.7,2004
gnq,41.8,2005
gnq,41.7,2006
gnq,39.6,2007
eri,51.1,1991
eri,50.9,1992
eri,51.6,1993
eri,52.6,1994
eri,52.7,1995
eri,53.1,1996
eri,53.4,1997
eri,53.2,1998
eri,53.1,1999
eri,52.1,2000
eri,52.3,2001
eri,52.2,2002
eri,52.2,2003
eri,52.1,2004
eri,52.1,2005
eri,52.1,2006
eri,51.7,2007
est,57.6,1991
est,55.9,1992
est,53.5,1993
est,52.0,1994
est,50.0,1995
est,49.3,1996
est,48.9,1997
est,48.8,1998
est,47.1,1999
est,46.7,2000
est,46.7,2001
est,47.7,2002
est,48.1,2003
est,47.8,2004
est,50.5,2005
est,51.1,2006
est,52.1,2007
eth,58.4,1991
eth,59.2,1992
eth,60.6,1993
eth,64.2,1994
eth,59.9,1995
eth,64.2,1996
eth,67.4,1997
eth,66.2,1998
eth,62.4,1999
eth,63.9,2000
eth,65.6,2001
eth,67.0,2002
eth,68.4,2003
eth,69.7,2004
eth,72.1,2005
eth,72.3,2006
eth,73.0,2007
fji,28.1,1991
fji,29.9,1992
fji,31.2,1993
fji,32.9,1994
fji,34.7,1995
fji,36.2,1996
fji,36.2,1997
fji,36.5,1998
fji,36.4,1999
fji,36.1,2000
fji,36.2,2001
fji,36.0,2002
fji,36.7,2003
fji,36.9,2004
fji,36.9,2005
fji,37.0,2006
fji,36.8,2007
fin,54.9,1991
fin,50.8,1992
fin,47.4,1993
fin,46.6,1994
fin,46.7,1995
fin,46.9,1996
fin,47.7,1997
fin,48.3,1998
fin,50.1,1999
fin,50.6,2000
fin,51.4,2001
fin,52.1,2002
fin,51.5,2003
fin,51.3,2004
fin,52.1,2005
fin,53.0,2006
fin,53.4,2007
fra,40.3,1991
fra,40.1,1992
fra,40.2,1993
fra,39.8,1994
fra,40.3,1995
fra,40.4,1996
fra,40.2,1997
fra,40.7,1998
fra,41.1,1999
fra,42.1,2000
fra,42.8,2001
fra,43.3,2002
fra,44.5,2003
fra,44.6,2004
fra,44.7,2005
fra,44.8,2006
fra,45.6,2007
gab,51.3,1991
gab,51.2,1992
gab,52.5,1993
gab,52.5,1994
gab,52.8,1995
gab,52.9,1996
gab,53.0,1997
gab,52.9,1998
gab,52.3,1999
gab,52.6,2000
gab,52.7,2001
gab,52.8,2002
gab,52.8,2003
gab,52.8,2004
gab,52.7,2005
gab,52.7,2006
gab,52.6,2007
gmb,65.5,1991
gmb,65.3,1992
gmb,65.2,1993
gmb,65.1,1994
gmb,64.9,1995
gmb,64.8,1996
gmb,64.9,1997
gmb,65.0,1998
gmb,65.1,1999
gmb,65.2,2000
gmb,65.3,2001
gmb,65.0,2002
gmb,65.1,2003
gmb,65.2,2004
gmb,65.1,2005
gmb,65.3,2006
gmb,65.7,2007
geo,51.3,1991
geo,50.6,1992
geo,49.5,1993
geo,49.1,1994
geo,49.5,1995
geo,50.9,1996
geo,51.0,1997
geo,49.8,1998
geo,50.8,1999
geo,49.0,2000
geo,51.6,2001
geo,49.3,2002
geo,50.3,2003
geo,49.3,2004
geo,48.4,2005
geo,48.5,2006
geo,48.5,2007
deu,44.5,1991
deu,43.7,1992
deu,43.0,1993
deu,42.7,1994
deu,43.1,1995
deu,43.3,1996
deu,43.3,1997
deu,44.1,1998
deu,44.8,1999
deu,45.2,2000
deu,45.5,2001
deu,45.4,2002
deu,45.1,2003
deu,45.1,2004
deu,44.9,2005
deu,46.1,2006
deu,46.8,2007
gha,67.1,1991
gha,68.5,1992
gha,66.7,1993
gha,66.2,1994
gha,65.6,1995
gha,66.2,1996
gha,65.8,1997
gha,66.8,1998
gha,65.7,1999
gha,64.6,2000
gha,64.5,2001
gha,64.5,2002
gha,64.4,2003
gha,64.4,2004
gha,64.4,2005
gha,64.5,2006
gha,64.1,2007
grc,29.6,1991
grc,30.7,1992
grc,30.5,1993
grc,31.1,1994
grc,31.7,1995
grc,32.2,1996
grc,32.5,1997
grc,33.1,1998
grc,33.1,1999
grc,33.5,2000
grc,33.2,2001
grc,34.0,2002
grc,34.9,2003
grc,35.6,2004
grc,36.0,2005
grc,37.0,2006
grc,37.8,2007
glp,36.6,1991
glp,38.3,1992
glp,37.6,1993
glp,38.5,1994
glp,38.2,1995
glp,36.4,1996
glp,36.5,1997
glp,35.9,1998
glp,36.6,1999
glp,39.5,2000
glp,38.3,2001
glp,39.6,2002
glp,39.0,2003
glp,40.3,2004
glp,39.5,2005
glp,39.0,2006
glp,38.3,2007
gtm,25.9,1991
gtm,25.6,1992
gtm,25.0,1993
gtm,24.5,1994
gtm,23.9,1995
gtm,23.6,1996
gtm,22.8,1997
gtm,22.5,1998
gtm,22.4,1999
gtm,25.7,2000
gtm,29.2,2001
gtm,32.3,2002
gtm,36.6,2003
gtm,40.9,2004
gtm,41.5,2005
gtm,42.5,2006
gtm,44.0,2007
gin,78.0,1991
gin,78.0,1992
gin,77.9,1993
gin,77.9,1994
gin,78.0,1995
gin,78.0,1996
gin,78.1,1997
gin,78.1,1998
gin,78.1,1999
gin,78.0,2000
gin,78.0,2001
gin,77.9,2002
gin,77.8,2003
gin,77.8,2004
gin,77.7,2005
gin,77.7,2006
gin,77.6,2007
gnb,52.3,1991
gnb,52.2,1992
gnb,52.2,1993
gnb,52.2,1994
gnb,52.4,1995
gnb,52.9,1996
gnb,53.0,1997
gnb,51.1,1998
gnb,51.3,1999
gnb,51.5,2000
gnb,51.6,2001
gnb,50.7,2002
gnb,50.6,2003
gnb,50.5,2004
gnb,50.6,2005
gnb,50.6,2006
gnb,49.9,2007
guy,30.9,1991
guy,31.3,1992
guy,32.2,1993
guy,33.2,1994
guy,34.0,1995
guy,35.4,1996
guy,37.5,1997
guy,37.4,1998
guy,37.6,1999
guy,37.9,2000
guy,39.3,2001
guy,39.4,2002
guy,39.5,2003
guy,40.0,2004
guy,40.2,2005
guy,42.5,2006
guy,41.8,2007
hti,39.5,1991
hti,34.6,1992
hti,33.0,1993
hti,29.1,1994
hti,31.5,1995
hti,31.1,1996
hti,35.2,1997
hti,35.4,1998
hti,36.6,1999
hti,36.1,2000
hti,35.3,2001
hti,35.2,2002
hti,34.9,2003
hti,33.5,2004
hti,34.6,2005
hti,34.9,2006
hti,35.4,2007
hnd,35.7,1991
hnd,37.9,1992
hnd,38.6,1993
hnd,39.2,1994
hnd,39.8,1995
hnd,40.9,1996
hnd,42.3,1997
hnd,42.8,1998
hnd,44.3,1999
hnd,42.5,2000
hnd,40.6,2001
hnd,39.0,2002
hnd,36.9,2003
hnd,34.8,2004
hnd,33.9,2005
hnd,35.0,2006
hnd,34.2,2007
hkg,47.3,1991
hkg,45.9,1992
hkg,45.3,1993
hkg,45.8,1994
hkg,46.0,1995
hkg,46.5,1996
hkg,46.9,1997
hkg,46.5,1998
hkg,46.4,1999
hkg,47.5,2000
hkg,48.4,2001
hkg,48.7,2002
hkg,48.3,2003
hkg,48.9,2004
hkg,49.6,2005
hkg,50.2,2006
hkg,51.6,2007
hun,42.8,1991
hun,43.1,1992
hun,40.3,1993
hun,39.0,1994
hun,37.1,1995
hun,36.6,1996
hun,36.3,1997
hun,37.5,1998
hun,38.7,1999
hun,39.5,2000
hun,39.5,2001
hun,39.5,2002
hun,40.4,2003
hun,40.2,2004
hun,40.2,2005
hun,40.2,2006
hun,40.3,2007
isl,65.6,1991
isl,65.3,1992
isl,65.1,1993
isl,65.5,1994
isl,67.0,1995
isl,66.6,1996
isl,65.6,1997
isl,67.8,1998
isl,69.2,1999
isl,69.5,2000
isl,69.6,2001
isl,68.7,2002
isl,69.8,2003
isl,68.0,2004
isl,69.5,2005
isl,69.7,2006
isl,69.6,2007
ind,34.1,1991
ind,34.4,1992
ind,34.3,1993
ind,34.2,1994
ind,34.6,1995
ind,34.4,1996
ind,34.0,1997
ind,33.4,1998
ind,33.1,1999
ind,32.9,2000
ind,33.1,2001
ind,33.3,2002
ind,32.7,2003
ind,32.1,2004
ind,32.4,2005
ind,32.7,2006
ind,32.3,2007
idn,47.5,1991
idn,47.1,1992
idn,47.2,1993
idn,46.9,1994
idn,45.8,1995
idn,46.9,1996
idn,46.4,1997
idn,46.1,1998
idn,46.7,1999
idn,47.0,2000
idn,45.2,2001
idn,43.6,2002
idn,43.2,2003
idn,43.4,2004
idn,43.1,2005
idn,42.1,2006
idn,44.1,2007
irn,18.1,1991
irn,18.7,1992
irn,19.5,1993
irn,20.3,1994
irn,21.1,1995
irn,21.9,1996
irn,22.3,1997
irn,22.6,1998
irn,23.0,1999
irn,23.4,2000
irn,23.3,2001
irn,23.8,2002
irn,24.7,2003
irn,25.6,2004
irn,25.5,2005
irn,26.2,2006
irn,26.9,2007
irq,9.0,1991
irq,9.1,1992
irq,9.2,1993
irq,9.3,1994
irq,9.4,1995
irq,9.6,1996
irq,9.7,1997
irq,9.9,1998
irq,10.1,1999
irq,10.2,2000
irq,10.4,2001
irq,10.5,2002
irq,9.0,2003
irq,11.9,2004
irq,12.1,2005
irq,12.3,2006
irq,12.4,2007
irl,30.3,1991
irl,31.1,1992
irl,31.8,1993
irl,32.5,1994
irl,34.9,1995
irl,36.5,1996
irl,37.8,1997
irl,40.9,1998
irl,43.5,1999
irl,45.2,2000
irl,45.8,2001
irl,46.9,2002
irl,47.1,2003
irl,47.5,2004
irl,49.4,2005
irl,50.2,2006
irl,51.0,2007
isr,36.2,1991
isr,36.8,1992
isr,38.4,1993
isr,40.5,1994
isr,41.5,1995
isr,42.2,1996
isr,42.0,1997
isr,42.3,1998
isr,43.1,1999
isr,43.9,2000
isr,43.7,2001
isr,43.3,2002
isr,43.6,2003
isr,44.0,2004
isr,45.3,2005
isr,45.9,2006
isr,46.4,2007
ita,29.6,1991
ita,29.7,1992
ita,28.6,1993
ita,28.1,1994
ita,28.0,1995
ita,28.4,1996
ita,28.5,1997
ita,29.0,1998
ita,29.6,1999
ita,30.4,2000
ita,31.4,2001
ita,32.0,2002
ita,32.4,2003
ita,34.0,2004
ita,33.8,2005
ita,34.4,2006
ita,35.8,2007
jam,51.4,1991
jam,51.3,1992
jam,51.9,1993
jam,52.6,1994
jam,51.5,1995
jam,50.4,1996
jam,49.1,1997
jam,49.3,1998
