geo,female_service_workers_percent_of_female_labour_force,time
dza,59.0,2001
dza,63.7,2003
dza,49.4,2004
asm,25.0,1990
aia,83.7,1999
aia,93.9,2001
atg,86.2,2001
arg,81.6,1990
arg,80.2,1991
arg,80.7,1992
arg,82.9,1993
arg,85.1,1994
arg,84.3,1995
arg,87.2,1996
arg,88.0,1997
arg,89.0,1998
arg,88.8,1999
arg,89.2,2000
arg,88.9,2001
arg,89.7,2002
arg,87.1,2003
arg,87.2,2004
arg,88.0,2005
arg,88.5,2006
arm,85.0,2001
arm,46.1,2002
arm,46.6,2003
arm,45.0,2004
arm,43.8,2005
arm,44.5,2006
abw,95.0,1994
abw,95.1,1997
aus,79.4,1980
aus,78.6,1981
aus,79.9,1982
aus,80.4,1983
aus,80.9,1984
aus,81.0,1985
aus,81.4,1986
aus,82.7,1987
aus,82.4,1988
aus,82.7,1989
aus,83.7,1990
aus,84.4,1991
aus,84.6,1992
aus,84.4,1993
aus,84.6,1994
aus,84.9,1995
aus,85.3,1996
aus,85.4,1997
aus,86.0,1998
aus,86.3,1999
aus,86.0,2000
aus,86.6,2001
aus,87.1,2002
aus,87.5,2003
aus,87.6,2004
aus,87.9,2005
aus,88.2,2006
aus,88.5,2007
aut,65.6,1983
aut,66.8,1984
aut,67.5,1985
aut,68.2,1986
aut,68.4,1987
aut,69.3,1988
aut,70.1,1989
aut,70.2,1990
aut,70.4,1991
aut,71.6,1992
aut,73.0,1993
aut,74.7,1994
aut,74.8,1995
aut,76.3,1996
aut,77.9,1997
aut,78.3,1998
aut,78.8,1999
aut,79.6,2000
aut,79.9,2001
aut,80.7,2002
aut,81.1,2003
aut,81.3,2004
aut,81.3,2005
aut,80.9,2006
aut,81.0,2007
aze,44.6,1999
aze,46.4,2000
aze,50.0,2001
aze,53.1,2002
aze,52.6,2003
aze,53.7,2004
aze,54.0,2005
aze,54.3,2006
aze,54.2,2007
bhs,91.3,1986
bhs,90.3,1989
bhs,93.1,1991
bhs,93.0,1992
bhs,93.3,1993
bhs,92.5,1994
bhs,93.3,1995
bhs,92.7,1996
bhs,92.4,1997
bhs,93.2,1998
bhs,93.3,1999
bhs,92.2,2001
bhs,93.4,2002
bhs,93.7,2003
bhs,94.4,2004
bhs,94.3,2005
bhs,94.2,2006
bhs,94.2,2007
bhr,93.2,1981
