geo,health_aid_given_percent_of_aid,time
aus,0.9452,1971
aus,1.203,1972
aus,5.417,1973
aus,4.934,1974
aus,10.93,1975
aus,9.389,1976
aus,0.826,1977
aus,3.508,1978
aus,5.343,1979
aus,2.829,1980
aus,1.004,1981
aus,2.15,1982
aus,5.975,1983
aus,2.356,1984
aus,1.682,1985
aus,2.399,1986
aus,1.538,1987
aus,4.017,1988
aus,1.088,1989
aus,1.67,1990
aus,0.9248,1991
aus,5.314,1992
aus,7.106,1993
aus,7.958,1994
aus,7.1,1995
aus,6.373,1996
aus,6.858,1997
aus,6.32,1998
aus,9.778,1999
aus,10.98,2000
aus,12.35,2001
aus,12.29,2002
aus,10.88,2003
aus,10.01,2004
aus,8.715,2005
aus,11.09,2006
aus,8.547,2007
aut,1.648,1973
aut,0.1359,1974
aut,9.676,1975
aut,0.6327,1976
aut,0.03834,1977
aut,0.03838,1978
aut,0.1181,1979
aut,0.0855,1980
aut,0.04778,1981
aut,0.4481,1982
aut,0.2063,1983
aut,0.1607,1984
aut,2.653,1985
aut,0.9872,1986
aut,3.932,1987
aut,2.537,1988
aut,0.7603,1989
aut,11.85,1990
aut,0.7776,1991
aut,1.547,1992
aut,6.218,1993
aut,5.651,1994
aut,4.104,1995
aut,4.056,1996
aut,22.6,1997
aut,4.218,1998
aut,24.57,1999
aut,14.78,2000
aut,2.562,2001
aut,4.299,2002
aut,6.59,2003
aut,11.12,2004
aut,11.44,2005
aut,6.736,2006
aut,7.694,2007
bel,2.932,1971
bel,2.889,1972
bel,13.43,1973
bel,19.89,1974
bel,15.84,1975
bel,11.25,1976
bel,15.95,1977
bel,17.08,1978
bel,16.3,1979
bel,14.74,1980
bel,3.927,1981
bel,3.434,1982
bel,14.12,1983
bel,13.69,1984
bel,11.16,1985
bel,10.65,1986
bel,11.18,1987
bel,9.979,1988
bel,11.99,1989
bel,10.66,1990
bel,8.422,1991
bel,8.575,1992
bel,10.37,1993
bel,10.65,1994
bel,13.14,1995
bel,15.41,1996
bel,19.0,1997
bel,20.72,1998
bel,20.65,1999
bel,18.3,2000
bel,16.07,2001
bel,12.75,2002
bel,14.15,2003
bel,11.53,2004
bel,13.2,2005
bel,12.57,2006
bel,13.9,2007
can,0.8384,1971
can,1.159,1972
can,2.153,1973
can,2.531,1974
can,3.142,1975
can,1.969,1976
can,1.991,1977
can,2.575,1978
can,0.8314,1979
can,3.183,1980
can,0.08221,1981
can,2.726,1982
can,2.554,1983
can,1.942,1984
can,5.64,1985
can,1.844,1986
can,2.673,1987
can,3.317,1988
can,4.929,1989
can,4.962,1990
can,3.438,1991
can,2.117,1992
can,3.915,1993
can,9.749,1994
can,7.485,1995
can,2.99,1996
can,2.566,1997
