geo,present_value_of_debt_percent_of_gni,time
afg,5.338,2009
alb,30.83,2009
dza,3.194,2009
ago,23.69,2009
arg,40.99,2009
arm,35.61,2009
aze,10.17,2009
bgd,16.99,2009
blr,29.84,2009
blz,69.68,2009
ben,11.82,2009
btn,50.24,2009
bol,16.15,2009
bih,45.39,2009
bwa,8.285,2009
bra,17.37,2009
bgr,85.12,2009
bfa,16.81,2009
bdi,13.45,2009
khm,38.16,2009
cmr,3.593,2009
cpv,26.66,2009
caf,11.79,2009
tcd,21.84,2009
chl,43.21,2009
chn,9.3,2009
col,20.35,2009
com,39.79,2009
cod,23.8,2009
cog,20.26,2009
cri,27.32,2009
civ,46.06,2009
dji,49.04,2009
dma,61.01,2009
dom,21.73,2009
ecu,23.26,2009
egy,16.49,2009
slv,49.06,2009
eri,34.24,2009
eth,11.94,2009
fji,11.85,2009
gab,18.68,2009
gmb,29.53,2009
geo,27.51,2009
gha,27.31,2009
grd,97.82,2009
gtm,33.45,2009
gin,44.22,2009
gnb,202.6,2009
guy,59.06,2009
hti,14.94,2009
hnd,13.35,2009
ind,17.02,2009
idn,29.54,2009
irn,3.695,2009
jam,82.34,2009
jor,26.52,2009
kaz,96.19,2009
ken,19.41,2009
kos,4.073,2009
kgz,35.81,2009
lao,78.07,2009
lbn,79.77,2009
lso,18.6,2009
lbr,316.0,2009
ltu,72.18,2009
mkd,59.39,2009
mdg,17.42,2009
mwi,16.23,2009
mys,31.41,2009
mdv,53.7,2009
mli,14.48,2009
mrt,83.34,2009
mus,6.774,2009
mex,18.03,2009
mda,54.85,2009
mng,34.74,2009
mne,49.33,2009
mar,23.36,2009
moz,18.06,2009
npl,22.77,2009
nic,35.85,2009
ner,12.78,2009
nga,3.53,2009
pak,23.9,2009
pan,53.95,2009
png,17.53,2009
pry,25.73,2009
per,23.32,2009
phl,34.9,2009
rou,53.28,2009
rus,25.68,2009
rwa,8.272,2009
wsm,26.88,2009
stp,10.55,2009
sen,20.04,2009
srb,71.44,2009
syc,209.8,2009
sle,20.27,2009
slb,20.93,2009
zaf,15.31,2009
lka,35.12,2009
kna,37.64,2009
lca,38.54,2009
vct,30.12,2009
sdn,73.08,2009
swz,13.33,2009
syr,9.186,2009
tjk,39.47,2009
tza,13.48,2009
tha,21.77,2009
tgo,49.64,2009
ton,20.09,2009
tun,53.87,2009
tur,35.21,2009
tkm,3.347,2009
uga,8.235,2009
ukr,62.09,2009
ury,36.58,2009
uzb,12.0,2009
vut,16.33,2009
ven,18.96,2009
vnm,26.56,2009
yem,17.37,2009
zmb,10.14,2009
