geo,total_gdp_us_inflation_adjusted,time
abw,1025000000,1989
abw,1148000000,1990
abw,1194000000,1991
abw,1241000000,1992
abw,1291000000,1993
abw,1368000000,1994
abw,1522000000,1995
abw,1541000000,1996
abw,1661000000,1997
abw,1772000000,1998
abw,1793000000,1999
abw,1859000000,2000
abw,1846000000,2001
abw,1798000000,2002
abw,1826000000,2003
aus,96680000000,1960
aus,98950000000,1961
aus,100300000000,1962
aus,106600000000,1963
aus,114000000000,1964
aus,120900000000,1965
aus,123700000000,1966
aus,131500000000,1967
aus,138200000000,1968
aus,148000000000,1969
aus,158600000000,1970
aus,165000000000,1971
aus,171400000000,1972
aus,175900000000,1973
aus,183100000000,1974
aus,185400000000,1975
aus,190300000000,1976
aus,196900000000,1977
aus,198700000000,1978
aus,206800000000,1979
aus,213100000000,1980
aus,220400000000,1981
aus,227500000000,1982
aus,222200000000,1983
aus,232500000000,1984
aus,244400000000,1985
aus,255500000000,1986
aus,262000000000,1987
aus,277400000000,1988
aus,288300000000,1989
aus,298700000000,1990
aus,297900000000,1991
aus,299300000000,1992
aus,311500000000,1993
aus,323900000000,1994
aus,336600000000,1995
aus,350700000000,1996
aus,364600000000,1997
aus,381400000000,1998
aus,401000000000,1999
aus,416900000000,2000
aus,425500000000,2001
aus,442100000000,2002
aus,456600000000,2003
aus,475600000000,2004
aus,489700000000,2005
aus,504700000000,2006
aus,522700000000,2007
aus,542800000000,2008
aus,550600000000,2009
aus,563000000000,2010
aus,573500000000,2011
aut,52390000000,1960
aut,55290000000,1961
aut,56760000000,1962
aut,59110000000,1963
aut,62730000000,1964
aut,64910000000,1965
aut,68570000000,1966
aut,70640000000,1967
aut,73800000000,1968
aut,78430000000,1969
aut,82880000000,1970
aut,87110000000,1971
aut,92520000000,1972
aut,97050000000,1973
aut,100900000000,1974
aut,100500000000,1975
aut,105100000000,1976
aut,110400000000,1977
aut,110200000000,1978
aut,116200000000,1979
aut,118300000000,1980
aut,118100000000,1981
aut,120400000000,1982
aut,124000000000,1983
aut,124100000000,1984
aut,127100000000,1985
aut,130000000000,1986
aut,131800000000,1987
aut,135900000000,1988
aut,141200000000,1989
aut,147400000000,1990
aut,152400000000,1991
aut,155600000000,1992
aut,156400000000,1993
aut,160200000000,1994
aut,164500000000,1995
aut,168500000000,1996
aut,172400000000,1997
aut,178900000000,1998
aut,185300000000,1999
aut,192100000000,2000
aut,193700000000,2001
aut,197000000000,2002
aut,198700000000,2003
aut,203900000000,2004
aut,208700000000,2005
aut,216400000000,2006
aut,224400000000,2007
aut,227600000000,2008
aut,218900000000,2009
aut,224000000000,2010
aut,230900000000,2011
aze,8954000000,1990
aze,8891000000,1991
aze,6882000000,1992
aze,5292000000,1993
aze,4250000000,1994
aze,3748000000,1995
aze,3797000000,1996
aze,4017000000,1997
aze,4419000000,1998
aze,4746000000,1999
aze,5273000000,2000
aze,5795000000,2001
aze,6409000000,2002
aze,7127000000,2003
aze,7854000000,2004
aze,9927000000,2005
aze,13350000000,2006
aze,16700000000,2007
aze,18500000000,2008
aze,20220000000,2009
aze,21230000000,2010
aze,21440000000,2011
bhs,1306000000,1960
bhs,1446000000,1961
bhs,1597000000,1962
bhs,1765000000,1963
bhs,1950000000,1964
bhs,2153000000,1965
bhs,2349000000,1966
bhs,2574000000,1967
bhs,2791000000,1968
bhs,3042000000,1969
bhs,2870000000,1970
bhs,2916000000,1971
bhs,2814000000,1972
bhs,3027000000,1973
bhs,2520000000,1974
bhs,2147000000,1975
bhs,2258000000,1976
bhs,2465000000,1977
bhs,2815000000,1978
bhs,3551000000,1979
bhs,3781000000,1980
bhs,3432000000,1981
bhs,3662000000,1982
bhs,3794000000,1983
bhs,4332000000,1984
bhs,4541000000,1985
bhs,4622000000,1986
bhs,4760000000,1987
bhs,4870000000,1988
bhs,5198000000,1989
bhs,5115000000,1990
bhs,4901000000,1991
bhs,4714000000,1992
bhs,4728000000,1993
bhs,4877000000,1994
bhs,5091000000,1995
bhs,5306000000,1996
bhs,5415000000,1997
bhs,5670000000,1998
bhs,6075000000,1999
bhs,6328000000,2000
bhs,6494000000,2001
bhs,6669000000,2002
bhs,6585000000,2003
bhs,6643000000,2004
bhs,6869000000,2005
bhs,7042000000,2006
bhs,7143000000,2007
bhs,6977000000,2008
bhs,6638000000,2009
bhs,6650000000,2010
bhs,6758000000,2011
bhr,3983000000,1980
bhr,3772000000,1981
bhr,3487000000,1982
bhr,3709000000,1983
bhr,3894000000,1984
bhr,3709000000,1985
bhr,3753000000,1986
bhr,4143000000,1987
bhr,4433000000,1988
bhr,4449000000,1989
bhr,4647000000,1990
bhr,5169000000,1991
bhr,5515000000,1992
bhr,6224000000,1993
bhr,6209000000,1994
bhr,6453000000,1995
bhr,6718000000,1996
bhr,6926000000,1997
bhr,7257000000,1998
bhr,7570000000,1999
bhr,7971000000,2000
bhr,8337000000,2001
bhr,8776000000,2002
bhr,9408000000,2003
bhr,9935000000,2004
bhr,10710000000,2005
bhr,11430000000,2006
bhr,12380000000,2007
bhr,13160000000,2008
bhr,13570000000,2009
bhr,14180000000,2010
bgd,12770000000,1960
bgd,13540000000,1961
bgd,14280000000,1962
bgd,14210000000,1963
bgd,15770000000,1964
bgd,16020000000,1965
bgd,16440000000,1966
bgd,16130000000,1967
bgd,17660000000,1968
bgd,17870000000,1969
bgd,18880000000,1970
bgd,17840000000,1971
bgd,15350000000,1972
bgd,15860000000,1973
bgd,17380000000,1974
bgd,16670000000,1975
bgd,17610000000,1976
bgd,18090000000,1977
bgd,19360000000,1978
bgd,20290000000,1979
bgd,20460000000,1980
bgd,21240000000,1981
bgd,21740000000,1982
bgd,22620000000,1983
bgd,23790000000,1984
bgd,24560000000,1985
bgd,25600000000,1986
bgd,26550000000,1987
bgd,27130000000,1988
bgd,27840000000,1989
bgd,29490000000,1990
bgd,30470000000,1991
bgd,32010000000,1992
bgd,33470000000,1993
bgd,34840000000,1994
bgd,36560000000,1995
bgd,38250000000,1996
bgd,40310000000,1997
bgd,42420000000,1998
bgd,44480000000,1999
bgd,47120000000,2000
bgd,49610000000,2001
bgd,51800000000,2002
bgd,54520000000,2003
bgd,57940000000,2004
bgd,61390000000,2005
bgd,65460000000,2006
bgd,69670000000,2007
bgd,73980000000,2008
bgd,78230000000,2009
bgd,82980000000,2010
bgd,88510000000,2011
brb,784100000,1960
brb,844500000,1961
brb,921000000,1962
brb,874200000,1963
brb,918000000,1964
brb,1023000000,1965
brb,1064000000,1966
brb,1177000000,1967
brb,1259000000,1968
brb,1353000000,1969
brb,1482000000,1970
brb,1540000000,1971
brb,1559000000,1972
brb,1580000000,1973
brb,1507000000,1974
brb,1567000000,1975
brb,1566000000,1976
brb,1634000000,1977
brb,1735000000,1978
brb,1868000000,1979
brb,1956000000,1980
brb,1893000000,1981
brb,1798000000,1982
brb,1802000000,1983
brb,1862000000,1984
brb,1872000000,1985
brb,2048000000,1986
brb,2069000000,1987
brb,2198000000,1988
brb,2309000000,1989
brb,2198000000,1990
brb,2134000000,1991
brb,2028000000,1992
brb,2048000000,1993
brb,2129000000,1994
brb,2161000000,1995
brb,2201000000,1996
brb,2342000000,1997
brb,2438000000,1998
brb,2501000000,1999
brb,2559000000,2000
brb,2430000000,2001
brb,2343000000,2002
brb,2390000000,2003
brb,2479000000,2004
brb,2557000000,2005
brb,2645000000,2006
brb,2658000000,2007
brb,2662000000,2008
brb,2521000000,2009
blr,14360000000,1990
blr,14190000000,1991
blr,12830000000,1992
blr,11850000000,1993
blr,10470000000,1994
blr,9379000000,1995
blr,9641000000,1996
blr,10740000000,1997
blr,11640000000,1998
blr,12040000000,1999
blr,12740000000,2000
blr,13340000000,2001
blr,14010000000,2002
blr,15000000000,2003
blr,16720000000,2004
blr,18290000000,2005
blr,20120000000,2006
blr,21860000000,2007
blr,24100000000,2008
blr,24140000000,2009
blr,26000000000,2010
blr,27380000000,2011
bel,68240000000,1960
bel,71630000000,1961
bel,75370000000,1962
bel,78650000000,1963
bel,84120000000,1964
bel,87110000000,1965
bel,89860000000,1966
bel,93340000000,1967
bel,97260000000,1968
bel,103700000000,1969
bel,109700000000,1970
bel,114100000000,1971
bel,120100000000,1972
bel,127800000000,1973
bel,133600000000,1974
bel,131000000000,1975
bel,138400000000,1976
bel,139200000000,1977
bel,143200000000,1978
bel,146600000000,1979
bel,153100000000,1980
bel,152600000000,1981
bel,153500000000,1982
bel,154000000000,1983
bel,157800000000,1984
bel,160400000000,1985
bel,163400000000,1986
bel,167100000000,1987
bel,175000000000,1988
bel,181100000000,1989
bel,186800000000,1990
bel,190200000000,1991
bel,193100000000,1992
bel,191200000000,1993
bel,197400000000,1994
bel,202100000000,1995
bel,205000000000,1996
bel,212700000000,1997
bel,216800000000,1998
bel,224400000000,1999
bel,232700000000,2000
bel,234600000000,2001
bel,237700000000,2002
bel,239700000000,2003
bel,247500000000,2004
bel,251800000000,2005
bel,258700000000,2006
bel,266200000000,2007
bel,268800000000,2008
bel,261300000000,2009
bel,267100000000,2010
bel,272300000000,2011
blz,86530000,1960
blz,90770000,1961
blz,95210000,1962
blz,99930000,1963
blz,104900000,1964
blz,110100000,1965
blz,115300000,1966
blz,121000000,1967
blz,129900000,1968
blz,136600000,1969
blz,143100000,1970
blz,148800000,1971
blz,164000000,1972
blz,172800000,1973
blz,196200000,1974
blz,203300000,1975
blz,203200000,1976
blz,216400000,1977
blz,233500000,1978
blz,251100000,1979
blz,289200000,1980
blz,292900000,1981
blz,292100000,1982
blz,285900000,1983
blz,291500000,1984
blz,294600000,1985
blz,308100000,1986
blz,342700000,1987
blz,374300000,1988
blz,423300000,1989
blz,468300000,1990
blz,517500000,1991
blz,579700000,1992
blz,616100000,1993
blz,617100000,1994
blz,621100000,1995
blz,629900000,1996
blz,652300000,1997
blz,676700000,1998
blz,736100000,1999
blz,832100000,2000
blz,873300000,2001
blz,917800000,2002
blz,1003000000,2003
blz,1050000000,2004
blz,1082000000,2005
blz,1132000000,2006
blz,1147000000,2007
blz,1187000000,2008
blz,1187000000,2009
blz,1222000000,2010
blz,1246000000,2011
ben,621800000,1960
ben,641300000,1961
ben,619400000,1962
ben,648700000,1963
ben,691800000,1964
ben,728400000,1965
ben,754500000,1966
ben,762600000,1967
ben,791900000,1968
ben,814700000,1969
ben,831800000,1970
ben,819300000,1971
ben,872000000,1972
ben,904300000,1973
ben,934500000,1974
