geo,population_aged_40_59_years_both_sexes_percent,time
afg,14.33,1950
afg,14.0,1955
afg,13.71,1960
afg,13.48,1965
afg,13.28,1970
afg,13.12,1975
afg,12.97,1980
afg,12.79,1985
afg,12.71,1990
afg,12.28,1995
afg,11.94,2000
afg,11.76,2005
afg,11.76,2010
afg,11.98,2015
afg,12.28,2020
afg,12.74,2025
afg,13.41,2030
afg,14.33,2035
afg,15.47,2040
afg,16.66,2045
afg,17.78,2050
alb,14.33,1950
alb,14.86,1955
alb,14.34,1960
alb,13.7,1965
alb,14.13,1970
alb,14.49,1975
alb,15.68,1980
alb,16.36,1985
alb,16.38,1990
alb,18.26,1995
alb,20.53,2000
alb,22.74,2005
alb,24.08,2010
alb,23.96,2015
alb,22.85,2020
alb,23.34,2025
alb,25.26,2030
alb,27.76,2035
alb,29.45,2040
alb,27.88,2045
alb,25.52,2050
dza,15.19,1950
dza,14.47,1955
dza,13.64,1960
dza,12.6,1965
dza,11.95,1970
dza,12.32,1975
dza,12.7,1980
dza,11.92,1985
dza,11.79,1990
dza,12.63,1995
dza,14.14,2000
dza,16.68,2005
dza,19.19,2010
dza,21.26,2015
dza,23.68,2020
dza,26.18,2025
dza,28.0,2030
dza,28.8,2035
dza,27.57,2040
dza,25.85,2045
dza,24.87,2050
ago,14.91,1950
ago,14.68,1955
ago,14.35,1960
ago,13.97,1965
ago,13.55,1970
ago,13.09,1975
ago,12.57,1980
ago,12.02,1985
ago,11.46,1990
ago,11.32,1995
ago,11.47,2000
ago,11.71,2005
ago,12.11,2010
ago,12.35,2015
ago,12.78,2020
ago,13.45,2025
ago,14.46,2030
ago,15.76,2035
ago,16.97,2040
ago,18.36,2045
ago,19.47,2050
arg,20.58,1950
arg,21.21,1955
arg,21.54,1960
arg,21.9,1965
arg,22.15,1970
arg,21.79,1975
arg,20.92,1980
arg,20.24,1985
arg,19.96,1990
arg,20.14,1995
arg,20.63,2000
arg,21.11,2005
arg,21.3,2010
arg,21.8,2015
arg,23.23,2020
arg,24.27,2025
arg,25.34,2030
arg,26.09,2035
arg,25.87,2040
arg,25.69,2045
arg,25.56,2050
arm,16.64,1950
arm,16.57,1955
arm,14.13,1960
arm,12.93,1965
arm,15.33,1970
arm,17.19,1975
arm,20.63,1980
arm,19.38,1985
arm,17.97,1990
arm,19.27,1995
arm,21.03,2000
arm,25.45,2005
arm,26.17,2010
arm,24.59,2015
arm,22.86,2020
arm,23.31,2025
arm,26.88,2030
arm,29.22,2035
arm,28.28,2040
arm,26.24,2045
arm,24.03,2050
abw,13.51,1950
abw,13.95,1955
abw,14.0,1960
abw,15.38,1965
abw,15.52,1970
abw,16.95,1975
abw,18.33,1980
abw,18.46,1985
abw,23.81,1990
abw,25.0,1995
abw,28.09,2000
abw,31.31,2005
abw,33.33,2010
abw,33.64,2015
abw,30.36,2020
abw,26.55,2025
abw,23.89,2030
abw,24.11,2035
abw,24.55,2040
abw,25.45,2045
abw,25.47,2050
aus,23.03,1950
aus,22.88,1955
aus,22.64,1960
aus,22.8,1965
aus,22.39,1970
aus,21.26,1975
aus,20.85,1980
aus,20.8,1985
aus,22.17,1990
aus,24.09,1995
aus,26.16,2000
aus,27.41,2005
aus,27.24,2010
aus,27.11,2015
aus,26.14,2020
aus,25.37,2025
aus,25.03,2030
aus,24.7,2035
aus,24.66,2040
aus,24.31,2045
aus,24.07,2050
aut,28.39,1950
aut,28.65,1955
aut,25.55,1960
aut,24.16,1965
aut,22.83,1970
aut,21.8,1975
aut,23.43,1980
aut,23.8,1985
aut,24.06,1990
aut,24.69,1995
aut,26.27,2000
aut,27.98,2005
aut,29.88,2010
aut,30.51,2015
aut,29.43,2020
