energy_use_per_person,geo,time
0.7849,alb,1971
0.8662,alb,1972
0.7633,alb,1973
0.7777,alb,1974
0.8282,alb,1975
0.8925,alb,1976
0.9257,alb,1977
1.012,alb,1978
0.8646,alb,1979
1.15,alb,1980
0.9896,alb,1981
0.969,alb,1982
1.004,alb,1983
1.023,alb,1984
0.9188,alb,1985
0.9604,alb,1986
0.9122,alb,1987
0.9125,alb,1988
0.8887,alb,1989
0.8125,alb,1990
0.5683,alb,1991
0.4157,alb,1992
0.4127,alb,1993
0.4458,alb,1994
0.4238,alb,1995
0.4564,alb,1996
0.3923,alb,1997
0.4252,alb,1998
0.5735,alb,1999
0.5795,alb,2000
0.5852,alb,2001
0.6492,alb,2002
0.6454,alb,2003
0.7052,alb,2004
0.7022,alb,2005
0.6627,alb,2006
0.6468,alb,2007
0.6557,alb,2008
0.6532,alb,2009
0.6483,alb,2010
0.2447,dza,1971
0.2756,dza,1972
0.3206,dza,1973
0.3343,dza,1974
0.3448,dza,1975
0.3813,dza,1976
0.4134,dza,1977
0.4929,dza,1978
0.6044,dza,1979
0.5958,dza,1980
0.6268,dza,1981
0.7898,dza,1982
0.8261,dza,1983
0.7932,dza,1984
0.8031,dza,1985
0.8811,dza,1986
0.8461,dza,1987
0.8695,dza,1988
0.8401,dza,1989
0.8772,dza,1990
0.9054,dza,1991
0.9085,dza,1992
0.888,dza,1993
0.838,dza,1994
0.852,dza,1995
0.8161,dza,1996
0.823,dza,1997
0.8395,dza,1998
0.8837,dza,1999
0.8849,dza,2000
0.8745,dza,2001
0.9161,dza,2002
0.9627,dza,2003
0.9569,dza,2004
0.9841,dza,2005
1.039,dza,2006
1.086,dza,2007
1.088,dza,2008
1.166,dza,2009
1.138,dza,2010
0.6367,ago,1971
0.6708,ago,1972
0.6534,ago,1973
0.6517,ago,1974
0.6209,ago,1975
0.5981,ago,1976
0.5744,ago,1977
0.6147,ago,1978
0.6051,ago,1979
0.5974,ago,1980
0.5812,ago,1981
0.5531,ago,1982
0.5484,ago,1983
0.5354,ago,1984
0.5505,ago,1985
0.5414,ago,1986
0.5406,ago,1987
0.5489,ago,1988
0.5471,ago,1989
0.5692,ago,1990
0.5655,ago,1991
0.5505,ago,1992
0.5517,ago,1993
0.5416,ago,1994
0.5286,ago,1995
0.5324,ago,1996
0.5332,ago,1997
0.5218,ago,1998
0.5364,ago,1999
0.5385,ago,2000
0.5479,ago,2001
0.5577,ago,2002
0.5838,ago,2003
0.612,ago,2004
0.5686,ago,2005
0.5994,ago,2006
0.6258,ago,2007
0.6576,ago,2008
0.6791,ago,2009
0.7165,ago,2010
1.589,atg,1990
1.63,atg,2004
1.633,atg,2005
1.683,atg,2006
1.699,atg,2007
1.381,arg,1971
1.379,arg,1972
1.412,arg,1973
1.415,arg,1974
1.378,arg,1975
1.404,arg,1976
1.42,arg,1977
1.425,arg,1978
1.484,arg,1979
1.487,arg,1980
1.43,arg,1981
1.416,arg,1982
1.419,arg,1983
1.449,arg,1984
1.362,arg,1985
1.424,arg,1986
1.48,arg,1987
1.508,arg,1988
1.445,arg,1989
1.411,arg,1990
1.435,arg,1991
1.489,arg,1992
1.469,arg,1993
1.552,arg,1994
1.55,arg,1995
1.576,arg,1996
1.639,arg,1997
1.663,arg,1998
1.653,arg,1999
1.65,arg,2000
1.55,arg,2001
1.471,arg,2002
1.554,arg,2003
1.755,arg,2004
1.731,arg,2005
1.874,arg,2006
1.871,arg,2007
1.93,arg,2008
1.86,arg,2009
1.847,arg,2010
2.171,arm,1990
2.31,arm,1991
1.193,arm,1992
0.6466,arm,1993
0.415,arm,1994
0.5063,arm,1995
0.5575,arm,1996
0.59,arm,1997
0.606,arm,1998
0.5893,arm,1999
0.6513,arm,2000
0.6516,arm,2001
0.6101,arm,2002
0.6438,arm,2003
0.6802,arm,2004
0.8171,arm,2005
0.8294,arm,2006
0.9256,arm,2007
0.9732,arm,2008
0.8432,arm,2009
0.7908,arm,2010
3.064,aus,1960
3.116,aus,1961
3.173,aus,1962
3.284,aus,1963
3.349,aus,1964
3.463,aus,1965
3.547,aus,1966
3.693,aus,1967
3.764,aus,1968
3.793,aus,1969
4.063,aus,1970
3.99,aus,1971
4.035,aus,1972
4.264,aus,1973
4.294,aus,1974
4.346,aus,1975
4.406,aus,1976
4.671,aus,1977
4.63,aus,1978
4.684,aus,1979
4.737,aus,1980
4.695,aus,1981
4.817,aus,1982
4.561,aus,1983
4.652,aus,1984
4.621,aus,1985
4.62,aus,1986
4.765,aus,1987
4.771,aus,1988
4.998,aus,1989
5.053,aus,1990
4.927,aus,1991
4.958,aus,1992
5.161,aus,1993
5.111,aus,1994
5.122,aus,1995
5.404,aus,1996
5.47,aus,1997
5.555,aus,1998
5.611,aus,1999
5.645,aus,2000
5.447,aus,2001
5.57,aus,2002
5.574,aus,2003
5.515,aus,2004
5.6,aus,2005
5.605,aus,2006
5.683,aus,2007
5.779,aus,2008
5.739,aus,2009
5.593,aus,2010
5.296,aus,2011
1.546,aut,1960
1.554,aut,1961
1.676,aut,1962
1.824,aut,1963
1.855,aut,1964
1.852,aut,1965
1.903,aut,1966
1.92,aut,1967
2.046,aut,1968
2.182,aut,1969
2.418,aut,1970
2.509,aut,1971
2.627,aut,1972
2.831,aut,1973
2.73,aut,1974
2.655,aut,1975
2.867,aut,1976
2.797,aut,1977
2.893,aut,1978
3.139,aut,1979
3.067,aut,1980
2.897,aut,1981
2.83,aut,1982
2.843,aut,1983
2.954,aut,1984
3.052,aut,1985
3.062,aut,1986
3.175,aut,1987
3.205,aut,1988
3.139,aut,1989
3.236,aut,1990
3.41,aut,1991
3.24,aut,1992
3.25,aut,1993
3.23,aut,1994
3.368,aut,1995
3.574,aut,1996
3.544,aut,1997
3.601,aut,1998
3.585,aut,1999
3.565,aut,2000
3.752,aut,2001
3.767,aut,2002
3.967,aut,2003
4.001,aut,2004
4.103,aut,2005
4.086,aut,2006
4.022,aut,2007
4.024,aut,2008
3.797,aut,2009
4.034,aut,2010
3.875,aut,2011
3.653,aze,1990
3.348,aze,1991
2.801,aze,1992
2.329,aze,1993
2.096,aze,1994
1.66,aze,1995
1.517,aze,1996
1.436,aze,1997
1.511,aze,1998
1.377,aze,1999
1.42,aze,2000
1.401,aze,2001
1.397,aze,2002
1.455,aze,2003
1.532,aze,2004
1.65,aze,2005
1.588,aze,2006
1.412,aze,2007
1.515,aze,2008
1.305,aze,2009
1.307,aze,2010
2.52,bhs,1990
2.11,bhs,2004
2.179,bhs,2005
2.179,bhs,2006
2.156,bhs,2007
6.417,bhr,1971
5.995,bhr,1972
8.533,bhr,1973
9.053,bhr,1974
8.042,bhr,1975
9.635,bhr,1976
8.233,bhr,1977
7.886,bhr,1978
8.861,bhr,1979
7.837,bhr,1980
8.341,bhr,1981
9.122,bhr,1982
8.552,bhr,1983
8.881,bhr,1984
9.976,bhr,1985
8.249,bhr,1986
7.881,bhr,1987
8.822,bhr,1988
8.715,bhr,1989
8.826,bhr,1990
7.976,bhr,1991
8.32,bhr,1992
8.746,bhr,1993
9.074,bhr,1994
8.818,bhr,1995
8.636,bhr,1996
9.131,bhr,1997
9.513,bhr,1998
9.021,bhr,1999
9.19,bhr,2000
9.445,bhr,2001
10.02,bhr,2002
10.43,bhr,2003
10.38,bhr,2004
10.35,bhr,2005
10.19,bhr,2006
9.457,bhr,2007
8.785,bhr,2008
8.096,bhr,2009
7.754,bhr,2010
0.0838,bgd,1971
0.08578,bgd,1972
0.09216,bgd,1973
0.09432,bgd,1974
0.09531,bgd,1975
0.0993,bgd,1976
0.0991,bgd,1977
0.0996,bgd,1978
0.1005,bgd,1979
0.1042,bgd,1980
0.1034,bgd,1981
0.1064,bgd,1982
0.106,bgd,1983
0.1047,bgd,1984
0.1078,bgd,1985
0.1123,bgd,1986
0.1076,bgd,1987
0.1152,bgd,1988
0.1178,bgd,1989
0.121,bgd,1990
0.1165,bgd,1991
0.1202,bgd,1992
0.1242,bgd,1993
0.127,bgd,1994
0.1353,bgd,1995
0.1333,bgd,1996
0.1365,bgd,1997
0.1395,bgd,1998
0.1387,bgd,1999
0.1436,bgd,2000
0.1533,bgd,2001
0.1547,bgd,2002
0.159,bgd,2003
0.1626,bgd,2004
0.1695,bgd,2005
0.1777,bgd,2006
0.1832,bgd,2007
0.1911,bgd,2008
0.2001,bgd,2009
0.2088,bgd,2010
1.241,brb,1990
1.389,brb,2004
1.442,brb,2005
1.468,brb,2006
1.476,brb,2007
4.47,blr,1990
4.348,blr,1991
3.621,blr,1992
3.077,blr,1993
2.616,blr,1994
2.428,blr,1995
2.501,blr,1996
2.506,blr,1997
2.465,blr,1998
2.409,blr,1999
2.467,blr,2000
2.485,blr,2001
2.544,blr,2002
2.633,blr,2003
2.736,blr,2004
2.749,blr,2005
2.942,blr,2006
