energy_use_per_person,geo,time
2.892,blr,2007
2.931,blr,2008
2.815,blr,2009
2.922,blr,2010
2.519,bel,1960
2.571,bel,1961
2.81,bel,1962
3.043,bel,1963
3.022,bel,1964
3.116,bel,1965
3.051,bel,1966
3.183,bel,1967
3.59,bel,1968
3.877,bel,1969
4.135,bel,1970
4.1,bel,1971
4.474,bel,1972
4.721,bel,1973
4.617,bel,1974
4.318,bel,1975
4.622,bel,1976
4.59,bel,1977
4.827,bel,1978
4.977,bel,1979
4.744,bel,1980
4.415,bel,1981
4.208,bel,1982
4.156,bel,1983
4.336,bel,1984
4.473,bel,1985
4.634,bel,1986
4.729,bel,1987
4.771,bel,1988
4.799,bel,1989
4.844,bel,1990
5.056,bel,1991
5.093,bel,1992
4.954,bel,1993
5.225,bel,1994
5.304,bel,1995
5.587,bel,1996
5.58,bel,1997
5.66,bel,1998
5.689,bel,1999
5.707,bel,2000
5.674,bel,2001
5.455,bel,2002
5.709,bel,2003
5.651,bel,2004
5.6,bel,2005
5.509,bel,2006
5.367,bel,2007
5.47,bel,2008
5.289,bel,2009
5.586,bel,2010
5.082,bel,2011
0.562,blz,1990
0.5485,blz,2004
0.5517,blz,2005
0.5707,blz,2006
0.5714,blz,2007
0.3799,ben,1971
0.3895,ben,1972
0.3892,ben,1973
0.3887,ben,1974
0.3908,ben,1975
0.3699,ben,1976
0.3736,ben,1977
0.3786,ben,1978
0.3752,ben,1979
0.3746,ben,1980
0.3641,ben,1981
0.3665,ben,1982
0.3665,ben,1983
0.3653,ben,1984
0.3726,ben,1985
0.366,ben,1986
0.3612,ben,1987
0.3604,ben,1988
0.3521,ben,1989
0.3481,ben,1990
0.3418,ben,1991
0.3383,ben,1992
0.3344,ben,1993
0.3302,ben,1994
0.3268,ben,1995
0.3694,ben,1996
0.3727,ben,1997
0.3576,ben,1998
0.3628,ben,1999
0.3042,ben,2000
0.3137,ben,2001
0.3275,ben,2002
0.3347,ben,2003
0.3368,ben,2004
0.3275,ben,2005
0.3748,ben,2006
0.3953,ben,2007
0.3925,ben,2008
0.3999,ben,2009
0.4128,ben,2010
0.1002,btn,1990
0.2802,btn,2004
0.3094,btn,2005
0.3127,btn,2006
0.3544,btn,2007
0.2363,bol,1971
0.2549,bol,1972
0.2631,bol,1973
0.275,bol,1974
0.311,bol,1975
0.3325,bol,1976
0.3472,bol,1977
0.3676,bol,1978
0.3956,bol,1979
0.4567,bol,1980
0.469,bol,1981
0.4827,bol,1982
0.4483,bol,1983
0.4377,bol,1984
0.423,bol,1985
0.3913,bol,1986
0.3546,bol,1987
0.3624,bol,1988
0.3775,bol,1989
0.3921,bol,1990
0.395,bol,1991
0.4087,bol,1992
0.4201,bol,1993
0.4528,bol,1994
0.4977,bol,1995
0.54,bol,1996
0.5793,bol,1997
0.5915,bol,1998
0.5501,bol,1999
0.4499,bol,2000
0.3424,bol,2001
0.4079,bol,2002
0.4183,bol,2003
0.4032,bol,2004
0.5657,bol,2005
0.689,bol,2006
0.5675,bol,2007
0.6179,bol,2008
0.6348,bol,2009
0.7374,bol,2010
1.629,bih,1990
1.519,bih,1991
1.132,bih,1992
1.008,bih,1993
0.4145,bih,1994
0.4484,bih,1995
0.528,bih,1996
0.8006,bih,1997
0.9622,bih,1998
0.9201,bih,1999
1.177,bih,2000
1.121,bih,2001
1.167,bih,2002
1.163,bih,2003
1.272,bih,2004
1.334,bih,2005
1.402,bih,2006
1.404,bih,2007
1.578,bih,2008
1.602,bih,2009
1.703,bih,2010
0.7512,bwa,1981
0.7609,bwa,1982
0.7426,bwa,1983
0.7314,bwa,1984
0.7485,bwa,1985
0.7941,bwa,1986
0.7656,bwa,1987
0.8735,bwa,1988
0.9055,bwa,1989
0.9123,bwa,1990
0.9012,bwa,1991
1.009,bwa,1992
0.9844,bwa,1993
0.9449,bwa,1994
0.943,bwa,1995
0.8942,bwa,1996
0.9175,bwa,1997
1.018,bwa,1998
1.031,bwa,1999
1.045,bwa,2000
1.047,bwa,2001
1.06,bwa,2002
1.042,bwa,2003
1.003,bwa,2004
1.028,bwa,2005
1.029,bwa,2006
1.055,bwa,2007
1.101,bwa,2008
1.02,bwa,2009
1.128,bwa,2010
0.7087,bra,1971
0.742,bra,1972
0.794,bra,1973
0.8254,bra,1974
0.842,bra,1975
0.8626,bra,1976
0.8714,bra,1977
0.9053,bra,1978
0.9403,bra,1979
0.9354,bra,1980
0.8767,bra,1981
0.8709,bra,1982
0.8724,bra,1983
0.9082,bra,1984
0.9494,bra,1985
0.9738,bra,1986
0.992,bra,1987
0.9868,bra,1988
0.9888,bra,1989
0.9371,bra,1990
0.9392,bra,1991
0.934,bra,1992
0.9427,bra,1993
0.9773,bra,1994
0.9955,bra,1995
1.032,bra,1996
1.069,bra,1997
1.078,bra,1998
1.086,bra,1999
1.074,bra,2000
1.078,bra,2001
1.092,bra,2002
1.095,bra,2003
1.142,bra,2004
1.157,bra,2005
1.185,bra,2006
1.24,bra,2007
1.297,bra,2008
1.243,bra,2009
1.363,bra,2010
1.353,brn,1971
1.286,brn,1972
2.4,brn,1973
3.958,brn,1974
4.728,brn,1975
5.981,brn,1976
6.213,brn,1977
5.589,brn,1978
5.613,brn,1979
7.135,brn,1980
6.651,brn,1981
6.945,brn,1982
7.129,brn,1983
7.983,brn,1984
8.136,brn,1985
7.238,brn,1986
7.221,brn,1987
5.731,brn,1988
6.453,brn,1989
6.99,brn,1990
7.707,brn,1991
8.05,brn,1992
7.552,brn,1993
6.885,brn,1994
7.984,brn,1995
7.805,brn,1996
7.855,brn,1997
7.635,brn,1998
7.6,brn,1999
7.503,brn,2000
6.819,brn,2001
6.513,brn,2002
7.394,brn,2003
6.69,brn,2004
6.338,brn,2005
8.785,brn,2006
8.795,brn,2007
9.434,brn,2008
7.971,brn,2009
8.308,brn,2010
2.229,bgr,1971
2.263,bgr,1972
2.378,bgr,1973
2.463,bgr,1974
2.665,bgr,1975
2.78,bgr,1976
2.954,bgr,1977
3.084,bgr,1978
3.2,bgr,1979
3.204,bgr,1980
3.186,bgr,1981
3.309,bgr,1982
3.37,bgr,1983
3.387,bgr,1984
3.42,bgr,1985
3.451,bgr,1986
3.411,bgr,1987
3.488,bgr,1988
3.427,bgr,1989
3.276,bgr,1990
2.559,bgr,1991
2.41,bgr,1992
2.601,bgr,1993
2.522,bgr,1994
2.753,bgr,1995
2.749,bgr,1996
2.506,bgr,1997
2.427,bgr,1998
2.227,bgr,1999
2.286,bgr,2000
2.43,bgr,2001
2.415,bgr,2002
2.492,bgr,2003
2.425,bgr,2004
2.577,bgr,2005
2.664,bgr,2006
2.626,bgr,2007
2.596,bgr,2008
2.306,bgr,2009
2.37,bgr,2010
0.254,khm,1995
0.2589,khm,1996
0.257,khm,1997
0.2863,khm,1998
0.2811,khm,1999
0.2742,khm,2000
0.2711,khm,2001
0.311,khm,2002
0.3159,khm,2003
0.2569,khm,2004
0.2572,khm,2005
0.2537,khm,2006
0.2547,khm,2007
0.2542,khm,2008
0.3511,khm,2009
0.3554,khm,2010
0.3838,cmr,1971
0.3821,cmr,1972
0.3801,cmr,1973
0.3798,cmr,1974
0.3873,cmr,1975
0.3816,cmr,1976
0.3962,cmr,1977
0.397,cmr,1978
0.3996,cmr,1979
0.4013,cmr,1980
0.4091,cmr,1981
0.4159,cmr,1982
0.4185,cmr,1983
0.42,cmr,1984
0.4238,cmr,1985
0.4176,cmr,1986
0.413,cmr,1987
0.4137,cmr,1988
0.4166,cmr,1989
0.4089,cmr,1990
0.4014,cmr,1991
0.3946,cmr,1992
0.3974,cmr,1993
0.3975,cmr,1994
0.3943,cmr,1995
0.3943,cmr,1996
0.3988,cmr,1997
0.4009,cmr,1998
0.3948,cmr,1999
0.4024,cmr,2000
0.398,cmr,2001
0.3973,cmr,2002
0.4031,cmr,2003
0.4054,cmr,2004
0.3977,cmr,2005
0.3746,cmr,2006
0.3455,cmr,2007
0.3409,cmr,2008
0.3606,cmr,2009
0.3627,cmr,2010
4.251,can,1960
4.308,can,1961
4.452,can,1962
4.694,can,1963
4.904,can,1964
5.154,can,1965
5.273,can,1966
5.557,can,1967
5.872,can,1968
6.091,can,1969
6.476,can,1970
6.53,can,1971
6.934,can,1972
7.123,can,1973
7.101,can,1974
7.15,can,1975
7.273,can,1976
7.41,can,1977
7.539,can,1978
7.838,can,1979
7.832,can,1980
7.542,can,1981
7.161,can,1982
7.053,can,1983
7.342,can,1984
7.44,can,1985
7.493,can,1986
7.642,can,1987
7.856,can,1988
7.934,can,1989
7.504,can,1990
7.389,can,1991
7.48,can,1992
7.642,can,1993
7.834,can,1994
7.862,can,1995
7.957,can,1996
7.966,can,1997
7.838,can,1998
8.011,can,1999
8.172,can,2000
7.975,can,2001
7.914,can,2002
8.272,can,2003
8.364,can,2004
8.424,can,2005
8.237,can,2006
8.252,can,2007
7.946,can,2008
7.434,can,2009
7.38,can,2010
7.426,can,2011
0.08343,cpv,1990
0.1907,cpv,2004
0.2094,cpv,2005
0.2133,cpv,2006
0.2132,cpv,2007
0.8924,chl,1971
0.8904,chl,1972
0.842,chl,1973
0.8225,chl,1974
0.7325,chl,1975
0.7645,chl,1976
0.7813,chl,1977
0.7982,chl,1978
0.8325,chl,1979
0.8479,chl,1980
0.8485,chl,1981
0.766,chl,1982
0.7793,chl,1983
0.8066,chl,1984
0.7915,chl,1985
0.8133,chl,1986
0.8255,chl,1987
0.9187,chl,1988
1.012,chl,1989
1.062,chl,1990
1.067,chl,1991
1.133,chl,1992
1.14,chl,1993
1.204,chl,1994
1.273,chl,1995
1.389,chl,1996
1.533,chl,1997
1.566,chl,1998
1.643,chl,1999
1.633,chl,2000
1.583,chl,2001
1.62,chl,2002
1.619,chl,2003
1.706,chl,2004
1.739,chl,2005
1.792,chl,2006
1.838,chl,2007
1.805,chl,2008
1.739,chl,2009
1.807,chl,2010
1.877,chl,2011
0.4642,chn,1971
0.4761,chn,1972
0.4825,chn,1973
0.4848,chn,1974
0.5256,chn,1975
0.535,chn,1976
0.5745,chn,1977
0.6175,chn,1978
0.6195,chn,1979
0.6098,chn,1980
0.5975,chn,1981
0.6071,chn,1982
0.6223,chn,1983
0.6514,chn,1984
0.6588,chn,1985
0.6716,chn,1986
0.6948,chn,1987
0.7211,chn,1988
0.7248,chn,1989
0.7683,chn,1990
0.7441,chn,1991
0.7597,chn,1992
0.7945,chn,1993
0.8214,chn,1994
0.8683,chn,1995
0.89,chn,1996
0.9109,chn,1997
0.9193,chn,1998
0.904,chn,1999
0.9367,chn,2000
0.9452,chn,2001
0.9888,chn,2002
1.118,chn,2003
1.252,chn,2004
1.342,chn,2005
1.458,chn,2006
1.529,chn,2007
1.575,chn,2008
1.689,chn,2009
1.807,chn,2010
0.6336,col,1971
0.6194,col,1972
0.609,col,1973
0.6306,col,1974
0.6442,col,1975
0.6546,col,1976
0.6588,col,1977
0.6411,col,1978
0.6119,col,1979
0.6589,col,1980
0.6526,col,1981
0.6563,col,1982
0.6631,col,1983
0.6706,col,1984
0.6665,col,1985
0.7105,col,1986
0.7195,col,1987
0.7263,col,1988
0.7177,col,1989
0.7295,col,1990
0.7234,col,1991
0.726,col,1992
0.7454,col,1993
0.7577,col,1994
0.7571,col,1995
0.7618,col,1996
0.7262,col,1997
0.7473,col,1998
0.657,col,1999
0.6492,col,2000
0.636,col,2001
0.6136,col,2002
0.6167,col,2003
0.6134,col,2004
0.6293,col,2005
0.6538,col,2006
0.6295,col,2007
0.649,col,2008
0.675,col,2009
0.6963,col,2010
0.04076,com,1990
0.05432,com,2004
0.05755,com,2005
0.06358,com,2006
0.06042,com,2007
0.3204,cod,1971
0.3197,cod,1972
0.3218,cod,1973
0.3215,cod,1974
0.3204,cod,1975
0.316,cod,1976
0.3163,cod,1977
0.3155,cod,1978
0.3197,cod,1979
0.3133,cod,1980
0.3197,cod,1981
0.3115,cod,1982
0.3228,cod,1983
0.33,cod,1984
0.3206,cod,1985
0.3176,cod,1986
0.3208,cod,1987
0.3225,cod,1988
0.3199,cod,1989
0.3241,cod,1990
0.3181,cod,1991
0.3108,cod,1992
0.3037,cod,1993
0.2937,cod,1994
0.2968,cod,1995
0.2978,cod,1996
0.296,cod,1997
0.2967,cod,1998
0.2957,cod,1999
0.3361,cod,2000
0.3382,cod,2001
0.3399,cod,2002
0.342,cod,2003
0.3449,cod,2004
0.3478,cod,2005
0.3505,cod,2006
0.353,cod,2007
0.356,cod,2008
0.357,cod,2009
0.3602,cod,2010
0.3696,cog,1971
0.3712,cog,1972
0.364,cog,1973
0.36,cog,1974
0.3557,cog,1975
0.3783,cog,1976
0.3496,cog,1977
0.3528,cog,1978
0.3425,cog,1979
0.3446,cog,1980
0.345,cog,1981
0.3557,cog,1982
0.3842,cog,1983
0.3621,cog,1984
0.3668,cog,1985
0.3509,cog,1986
0.3473,cog,1987
0.3256,cog,1988
0.3309,cog,1989
0.3247,cog,1990
0.3247,cog,1991
0.3168,cog,1992
0.312,cog,1993
0.274,cog,1994
0.2836,cog,1995
0.2698,cog,1996
0.2506,cog,1997
0.2446,cog,1998
0.2294,cog,1999
0.2596,cog,2000
0.275,cog,2001
0.264,cog,2002
0.2969,cog,2003
0.2961,cog,2004
0.3065,cog,2005
0.318,cog,2006
0.3242,cog,2007
0.3284,cog,2008
0.3593,cog,2009
0.3635,cog,2010
0.6081,cri,1971
0.6209,cri,1972
0.6439,cri,1973
0.618,cri,1974
0.6383,cri,1975
0.6257,cri,1976
0.6729,cri,1977
0.6972,cri,1978
0.6949,cri,1979
0.6516,cri,1980
0.6002,cri,1981
0.5703,cri,1982
0.5452,cri,1983
0.608,cri,1984
0.6198,cri,1985
0.6149,cri,1986
0.633,cri,1987
0.622,cri,1988
0.6503,cri,1989
0.6603,cri,1990
0.6719,cri,1991
0.817,cri,1992
0.7099,cri,1993
0.6808,cri,1994
0.6769,cri,1995
0.6632,cri,1996
0.6534,cri,1997
0.6374,cri,1998
0.6861,cri,1999
0.7548,cri,2000
0.7445,cri,2001
0.7757,cri,2002
0.8164,cri,2003
0.916,cri,2004
0.8972,cri,2005
0.9547,cri,2006
1.013,cri,2007
1.014,cri,2008
0.9938,cri,2009
0.9978,cri,2010
0.4341,civ,1971
0.8705,civ,1972
0.8367,civ,1973
0.8086,civ,1974
0.7856,civ,1975
0.7735,civ,1976
0.7378,civ,1977
0.7245,civ,1978
0.6881,civ,1979
0.6552,civ,1980
0.6162,civ,1981
0.5792,civ,1982
0.5373,civ,1983
0.5132,civ,1984
0.5015,civ,1985
0.5102,civ,1986
0.491,civ,1987
0.4705,civ,1988
0.4579,civ,1989
0.429,civ,1990
0.416,civ,1991
0.4207,civ,1992
0.4114,civ,1993
0.4005,civ,1994
0.382,civ,1995
0.4061,civ,1996
0.3986,civ,1997
0.3834,civ,1998
0.4372,civ,1999
0.4061,civ,2000
0.3838,civ,2001
0.4043,civ,2002
0.3768,civ,2003
0.5246,civ,2004
0.5346,civ,2005
0.5204,civ,2006
0.5488,civ,2007
0.5413,civ,2008
0.4884,civ,2009
0.4849,civ,2010
1.882,hrv,1990
1.616,hrv,1991
1.501,hrv,1992
1.489,hrv,1993
1.475,hrv,1994
1.506,hrv,1995
1.607,hrv,1996
1.702,hrv,1997
1.786,hrv,1998
1.746,hrv,1999
1.756,hrv,2000
1.786,hrv,2001
1.856,hrv,2002
1.98,hrv,2003
1.986,hrv,2004
2.001,hrv,2005
2.012,hrv,2006
2.098,hrv,2007
2.043,hrv,2008
1.962,hrv,2009
1.932,hrv,2010
1.213,cub,1971
1.151,cub,1972
1.208,cub,1973
1.261,cub,1974
1.276,cub,1975
1.324,cub,1976
1.423,cub,1977
1.494,cub,1978
1.525,cub,1979
1.527,cub,1980
1.525,cub,1981
1.54,cub,1982
1.614,cub,1983
1.573,cub,1984
1.551,cub,1985
1.534,cub,1986
1.58,cub,1987
1.641,cub,1988
1.777,cub,1989
1.673,cub,1990
1.383,cub,1991
1.211,cub,1992
1.007,cub,1993
1.026,cub,1994
1.014,cub,1995
1.096,cub,1996
1.12,cub,1997
1.047,cub,1998
1.085,cub,1999
1.158,cub,2000
1.13,cub,2001
1.05,cub,2002
1.041,cub,2003
1.007,cub,2004
0.9559,cub,2005
0.9628,cub,2006
0.8996,cub,2007
0.9329,cub,2008
1.038,cub,2009
0.9753,cub,2010
0.9456,cyp,1971
1.188,cyp,1972
1.231,cyp,1973
0.9245,cyp,1974
0.869,cyp,1975
0.9982,cyp,1976
1.074,cyp,1977
1.123,cyp,1978
1.208,cyp,1979
1.261,cyp,1980
1.232,cyp,1981
1.248,cyp,1982
1.29,cyp,1983
1.327,cyp,1984
1.307,cyp,1985
1.46,cyp,1986
1.635,cyp,1987
1.642,cyp,1988
1.676,cyp,1989
1.775,cyp,1990
1.773,cyp,1991
1.957,cyp,1992
2.055,cyp,1993
2.353,cyp,1994
2.041,cyp,1995
2.218,cyp,1996
2.131,cyp,1997
2.176,cyp,1998
2.146,cyp,1999
2.265,cyp,2000
2.199,cyp,2001
2.187,cyp,2002
2.336,cyp,2003
2.149,cyp,2004
2.15,cyp,2005
2.203,cyp,2006
2.293,cyp,2007
2.401,cyp,2008
2.327,cyp,2009
2.215,cyp,2010
4.618,cze,1971
4.614,cze,1972
4.551,cze,1973
4.193,cze,1974
4.342,cze,1975
4.438,cze,1976
4.713,cze,1977
4.426,cze,1978
4.703,cze,1979
4.556,cze,1980
4.568,cze,1981
4.633,cze,1982
4.646,cze,1983
4.74,cze,1984
4.763,cze,1985
4.839,cze,1986
4.977,cze,1987
4.875,cze,1988
4.737,cze,1989
4.797,cze,1990
4.347,cze,1991
4.221,cze,1992
4.089,cze,1993
3.961,cze,1994
4.018,cze,1995
4.15,cze,1996
4.181,cze,1997
4.051,cze,1998
3.796,cze,1999
3.991,cze,2000
4.111,cze,2001
4.168,cze,2002
4.351,cze,2003
4.455,cze,2004
4.391,cze,2005
4.47,cze,2006
4.436,cze,2007
4.304,cze,2008
4.012,cze,2009
4.193,cze,2010
4.068,cze,2011
1.923,dnk,1960
2.023,dnk,1961
2.296,dnk,1962
2.503,dnk,1963
2.6,dnk,1964
2.823,dnk,1965
3.067,dnk,1966
3.061,dnk,1967
3.204,dnk,1968
3.7,dnk,1969
3.971,dnk,1970
3.729,dnk,1971
3.859,dnk,1972
3.782,dnk,1973
3.49,dnk,1974
3.453,dnk,1975
3.746,dnk,1976
3.83,dnk,1977
3.895,dnk,1978
4.02,dnk,1979
3.735,dnk,1980
3.381,dnk,1981
3.422,dnk,1982
3.233,dnk,1983
3.353,dnk,1984
3.774,dnk,1985
3.823,dnk,1986
3.82,dnk,1987
3.642,dnk,1988
3.414,dnk,1989
3.377,dnk,1990
3.735,dnk,1991
3.562,dnk,1992
3.646,dnk,1993
3.76,dnk,1994
3.705,dnk,1995
4.17,dnk,1996
3.848,dnk,1997
3.772,dnk,1998
3.603,dnk,1999
3.49,dnk,2000
3.583,dnk,2001
3.535,dnk,2002
3.726,dnk,2003
