geo,industry_workers_percent_of_labour_force,time
dza,24.3,2001
dza,24.0,2003
dza,26.0,2004
asm,44.4,1990
ago,20.6,1992
aia,20.5,1999
aia,18.9,2001
atg,14.6,2001
arg,29.3,1982
arg,29.2,1983
arg,30.9,1984
arg,31.6,1990
arg,32.7,1991
arg,32.1,1992
arg,29.5,1993
arg,28.5,1994
arg,27.0,1995
arg,24.9,1996
arg,25.4,1997
arg,24.8,1998
arg,23.6,1999
arg,22.7,2000
arg,21.9,2001
arg,20.2,2002
arg,21.7,2003
arg,23.0,2004
arg,23.5,2005
arg,23.7,2006
arm,23.1,2001
arm,17.0,2002
arm,16.5,2003
arm,16.0,2004
arm,15.9,2005
arm,15.6,2006
abw,18.6,1994
abw,16.3,1997
aus,31.0,1980
aus,30.5,1981
aus,29.7,1982
aus,28.4,1983
aus,28.0,1984
aus,27.1,1985
aus,26.6,1986
aus,26.0,1987
aus,26.1,1988
aus,26.3,1989
aus,25.0,1990
aus,23.4,1991
aus,23.5,1992
aus,23.6,1993
aus,23.6,1994
aus,22.9,1995
aus,22.4,1996
aus,22.1,1997
aus,21.8,1998
aus,21.3,1999
aus,21.8,2000
aus,20.9,2001
aus,21.0,2002
aus,21.0,2003
aus,21.2,2004
aus,21.1,2005
aus,21.2,2006
aus,21.2,2007
aut,38.8,1983
aut,38.1,1984
aut,38.1,1985
aut,37.8,1986
aut,37.7,1987
aut,37.3,1988
aut,37.0,1989
aut,36.8,1990
aut,36.9,1991
aut,35.6,1992
aut,35.1,1993
aut,32.5,1994
aut,32.0,1995
aut,31.0,1996
aut,30.1,1997
aut,30.4,1998
aut,30.6,1999
aut,30.6,2000
aut,29.9,2001
aut,29.6,2002
aut,29.6,2003
aut,27.8,2004
aut,27.6,2005
aut,28.2,2006
aut,27.3,2007
aze,29.1,1983
aze,29.1,1984
aze,29.3,1985
aze,29.3,1986
aze,29.1,1987
aze,29.3,1988
aze,29.0,1989
aze,22.9,1990
aze,22.3,1991
aze,20.3,1992
aze,19.2,1993
aze,18.8,1994
aze,17.8,1995
aze,15.1,1996
aze,14.0,1997
aze,11.1,1998
aze,11.2,1999
aze,10.9,2000
aze,10.8,2001
aze,11.5,2002
aze,12.9,2003
aze,11.9,2004
aze,12.1,2005
aze,12.4,2006
aze,12.6,2007
bhs,15.3,1986
bhs,14.2,1989
bhs,15.2,1991
bhs,15.3,1992
bhs,12.1,1993
bhs,12.9,1994
bhs,14.2,1995
bhs,14.7,1996
bhs,14.6,1997
bhs,15.2,1998
bhs,16.6,1999
bhs,17.0,2001
bhs,16.6,2002
bhs,15.8,2003
bhs,16.1,2004
bhs,17.8,2005
bhs,18.4,2006
bhs,17.9,2007
bhr,34.7,1981
bhr,34.2,1982
bhr,28.5,1991
bhr,28.0,2001
bgd,11.0,1984
bgd,11.5,1985
bgd,12.5,1986
bgd,15.4,1989
bgd,13.0,1991
bgd,9.6,1996
bgd,10.3,2000
bgd,13.7,2003
bgd,14.5,2005
brb,21.6,1981
brb,23.6,1982
brb,23.4,1983
brb,22.8,1984
brb,23.2,1985
brb,22.2,1986
brb,22.4,1987
brb,22.7,1988
brb,23.2,1989
brb,21.9,1990
brb,20.1,1991
brb,19.7,1992
brb,19.1,1993
brb,18.9,1994
brb,19.6,1995
brb,18.6,1996
brb,19.2,1997
brb,20.9,1998
brb,21.4,1999
brb,20.4,2000
brb,19.6,2001
brb,18.7,2002
brb,17.6,2003
brb,17.3,2004
bel,34.3,1980
bel,32.8,1981
bel,31.8,1982
bel,31.0,1983
bel,30.4,1984
bel,29.8,1985
bel,29.2,1986
bel,28.5,1987
bel,27.3,1993
bel,26.9,1994
bel,26.4,1995
bel,25.9,1996
bel,25.3,1997
bel,25.1,1998
bel,26.7,1999
bel,26.3,2000
bel,26.0,2001
bel,25.4,2002
bel,24.8,2003
bel,24.9,2004
bel,24.7,2005
bel,24.7,2006
blz,20.2,1993
blz,19.3,1994
blz,17.8,1995
blz,17.0,1996
blz,18.2,1997
blz,18.0,1998
blz,17.0,1999
blz,17.9,2005
bmu,14.8,2000
btn,17.2,2005
bol,20.6,1980
bol,19.7,1981
bol,17.3,1982
bol,17.4,1983
bol,16.8,1984
bol,16.0,1985
bol,12.7,1986
bol,12.8,1987
bol,12.8,1988
bol,24.7,1989
bol,25.1,1990
bol,29.4,1991
bol,31.4,1992
bol,28.2,1993
bol,29.6,1994
bol,28.7,1995
bol,28.3,1996
bol,29.7,1997
bol,28.2,1999
bol,28.2,2000
bol,16.6,2001
bol,18.8,2002
bwa,10.6,1985
bwa,25.6,1996
bwa,21.9,1998
bwa,20.9,2000
bwa,25.5,2001
bwa,22.6,2003
bwa,15.2,2005
bra,24.7,1981
bra,23.4,1982
bra,25.4,1983
bra,21.8,1984
bra,22.1,1985
bra,24.2,1986
bra,23.8,1987
bra,23.3,1988
bra,23.7,1989
bra,21.2,2000
bra,21.4,2002
bra,20.9,2003
bra,21.0,2004
bra,21.4,2005
bra,21.4,2006
vgb,21.3,1991
brn,21.4,2001
bgr,39.6,1980
bgr,40.1,1981
bgr,40.6,1982
bgr,41.2,1983
bgr,41.6,1984
bgr,41.9,1985
bgr,42.1,1986
bgr,42.5,1987
bgr,42.3,1988
bgr,41.9,1989
bgr,40.5,1990
bgr,37.2,1991
bgr,38.5,1992
bgr,36.6,1993
bgr,34.8,1994
bgr,33.5,1995
bgr,32.6,1996
bgr,32.0,1997
bgr,30.6,1998
bgr,28.9,1999
bgr,28.3,2000
bgr,27.8,2002
bgr,32.8,2003
bgr,33.1,2004
bgr,34.2,2005
bgr,34.5,2006
bgr,35.5,2007
bfa,3.3,1994
khm,4.2,1998
khm,8.4,2000
khm,10.5,2001
khm,3.5,2004
cmr,6.8,1986
cmr,9.1,2001
can,28.5,1980
can,28.3,1981
can,26.5,1982
can,25.5,1983
can,25.8,1984
can,25.4,1985
can,25.2,1986
can,24.8,1987
can,25.0,1988
can,25.1,1989
can,24.4,1990
can,23.0,1991
can,22.3,1992
can,21.6,1993
can,21.7,1994
can,22.0,1995
can,21.9,1996
can,22.1,1997
can,22.2,1998
can,22.4,1999
can,22.5,2000
can,22.4,2001
can,22.5,2002
can,22.2,2003
can,22.3,2004
can,22.0,2005
can,22.0,2006
can,21.6,2007
cym,18.8,1991
cym,22.2,2005
cym,21.3,2006
cym,19.5,2007
tcd,2.1,1993
chl,23.7,1980
chl,23.7,1981
chl,18.2,1982
chl,18.1,1983
chl,20.2,1984
chl,20.2,1985
chl,21.2,1986
chl,23.0,1987
chl,24.9,1988
chl,26.5,1989
chl,26.3,1991
chl,27.2,1993
chl,26.1,1995
chl,27.3,1997
chl,23.4,1999
chl,23.9,2001
chl,22.1,2002
chl,23.4,2003
chl,23.6,2004
chl,23.0,2005
chl,23.3,2006
chl,23.4,2007
chn,22.2,1987
chn,22.4,1988
chn,21.3,1989
chn,19.0,1990
chn,19.2,1991
chn,19.6,1992
chn,20.2,1993
chn,20.7,1994
chn,21.0,1995
chn,20.8,1996
chn,20.4,1997
chn,17.9,1998
chn,17.5,1999
chn,17.3,2000
chn,17.3,2001
chn,17.7,2002
col,34.0,1980
col,29.3,1985
col,29.0,1986
col,30.0,1987
col,30.0,1988
col,29.9,1989
col,30.9,1990
col,30.6,1991
col,30.9,1992
col,31.4,1994
col,31.5,1995
col,29.8,1996
col,27.6,1997
col,26.5,1998
col,24.1,1999
col,25.5,2000
col,18.4,2001
col,20.0,2002
col,18.6,2003
col,19.7,2004
col,18.8,2005
col,19.3,2006
col,19.6,2007
cri,24.0,1980
cri,22.1,1981
cri,20.9,1982
cri,21.7,1983
cri,20.1,1984
cri,20.9,1985
cri,22.9,1986
cri,24.7,1987
cri,24.0,1988
cri,26.2,1989
cri,25.9,1990
cri,26.3,1991
cri,26.2,1992
cri,25.7,1993
cri,26.1,1994
cri,24.1,1995
cri,23.3,1996
cri,23.6,1997
cri,23.0,1998
cri,23.2,1999
cri,22.3,2000
cri,23.3,2001
cri,22.5,2002
cri,22.2,2003
cri,22.0,2004
cri,21.5,2005
cri,21.7,2006
cri,22.2,2007
hrv,29.1,1996
hrv,29.5,1997
hrv,29.8,1998
hrv,30.6,1999
hrv,28.8,2000
hrv,30.0,2001
hrv,29.7,2002
hrv,29.7,2003
hrv,29.8,2004
hrv,28.6,2005
hrv,29.3,2006
hrv,30.6,2007
cub,29.3,1991
cub,28.9,1992
cub,27.5,1993
cub,25.6,1994
cub,22.9,1995
cub,22.9,1996
cub,22.9,1997
cub,21.3,1998
cub,19.1,1999
cub,19.1,2000
cub,20.2,2001
cub,20.2,2002
cub,20.2,2003
cub,19.4,2004
cub,19.1,2005
cub,18.1,2006
cub,18.0,2007
cyp,33.8,1980
cyp,33.1,1981
cyp,32.5,1982
cyp,31.8,1983
cyp,31.6,1984
cyp,31.0,1985
cyp,30.3,1986
cyp,29.8,1987
cyp,29.6,1988
cyp,29.0,1989
cyp,28.7,1990
cyp,28.9,1991
cyp,28.1,1992
cyp,26.8,1993
cyp,25.8,1994
cyp,25.3,1995
cyp,23.7,1999
cyp,23.3,2000
cyp,23.7,2001
cyp,23.2,2002
cyp,22.9,2003
cyp,24.0,2004
cyp,24.1,2005
cyp,22.6,2006
cyp,22.5,2007
cze,43.5,1993
cze,42.6,1994
cze,42.2,1995
cze,42.0,1996
cze,41.6,1997
cze,41.3,1998
cze,40.6,1999
cze,39.9,2000
cze,40.4,2001
cze,39.9,2002
cze,39.7,2003
cze,39.4,2004
cze,39.6,2005
cze,40.1,2006
cze,40.2,2007
dnk,29.4,1981
dnk,28.3,1983
dnk,26.5,1984
dnk,27.8,1985
dnk,27.8,1986
dnk,27.9,1987
dnk,26.8,1988
dnk,27.0,1989
dnk,27.2,1990
dnk,27.3,1991
dnk,27.0,1992
dnk,25.9,1993
dnk,26.3,1994
dnk,27.4,1995
dnk,27.0,1996
dnk,26.8,1997
dnk,27.0,1998
dnk,26.7,1999
dnk,26.4,2000
dnk,25.4,2001
dnk,24.5,2002
dnk,24.1,2003
dnk,23.7,2004
dnk,24.1,2005
dnk,23.6,2006
dnk,23.3,2007
dma,32.6,1989
dma,21.6,1991
dma,18.2,1997
dma,17.6,1999
dma,19.8,2001
dom,26.1,1996
dom,25.8,1997
dom,23.8,2000
dom,22.9,2003
dom,23.0,2004
dom,22.3,2005
ecu,25.0,1988
ecu,24.2,1989
ecu,24.3,1992
ecu,24.9,1993
ecu,21.6,1996
ecu,22.3,1997
ecu,23.4,1999
ecu,23.9,2000
ecu,24.3,2001
ecu,22.5,2002
ecu,21.7,2003
ecu,21.4,2004
ecu,21.2,2005
ecu,21.8,2006
egy,20.1,1980
egy,21.9,1981
egy,21.9,1982
egy,21.2,1983
egy,20.1,1984
egy,20.7,1989
egy,20.7,1990
egy,24.8,1991
egy,21.5,1992
egy,21.7,1993
egy,21.5,1994
egy,21.9,1995
egy,23.4,1996
egy,22.2,1997
egy,22.3,1998
egy,22.6,1999
egy,21.3,2000
egy,21.3,2001
egy,20.6,2002
egy,19.8,2003
egy,20.0,2004
egy,21.5,2005
egy,22.0,2006
slv,21.0,1980
slv,21.4,1985
slv,31.1,1986
slv,28.6,1988
slv,27.0,1989
slv,28.7,1991
slv,22.7,1992
slv,25.9,1994
slv,26.7,1995
slv,24.9,1996
slv,23.9,1997
slv,24.6,1998
slv,25.0,1999
slv,24.2,2000
slv,23.6,2001
slv,24.2,2002
slv,24.6,2003
slv,23.7,2004
slv,22.2,2005
slv,23.0,2006
gnq,4.8,1983
est,37.1,1989
est,36.8,1990
est,37.0,1991
est,36.0,1992
est,33.3,1993
est,32.5,1994
est,34.2,1995
est,33.7,1996
est,33.2,1997
est,33.1,1998
est,32.1,1999
est,33.3,2000
est,33.0,2001
est,31.3,2002
est,32.5,2003
est,34.9,2004
est,34.0,2005
est,33.5,2006
est,35.2,2007
eth,2.3,1994
eth,22.5,2004
eth,6.6,2005
eth,22.1,2006
fro,22.2,2005
fin,34.0,1980
