geo,urban_population_percent_of_total,time
afg,8.0,1960
afg,8.265,1961
afg,8.537,1962
afg,8.809,1963
afg,9.081,1964
afg,9.353,1965
afg,9.689,1966
afg,10.02,1967
afg,10.36,1968
afg,10.7,1969
afg,11.03,1970
afg,11.48,1971
afg,11.93,1972
afg,12.38,1973
afg,12.83,1974
afg,13.28,1975
afg,13.76,1976
afg,14.24,1977
afg,14.72,1978
afg,15.2,1979
afg,15.68,1980
afg,15.92,1981
afg,16.17,1982
afg,16.42,1983
afg,16.67,1984
afg,16.92,1985
afg,17.16,1986
afg,17.41,1987
afg,17.66,1988
afg,17.91,1989
afg,18.16,1990
afg,18.39,1991
afg,18.63,1992
afg,18.87,1993
afg,19.1,1994
afg,19.34,1995
afg,19.59,1996
afg,19.84,1997
afg,20.09,1998
afg,20.33,1999
afg,20.58,2000
afg,20.84,2001
afg,21.1,2002
afg,21.36,2003
afg,21.62,2004
afg,21.88,2005
afg,22.15,2006
afg,22.42,2007
afg,22.7,2008
afg,22.97,2009
afg,23.24,2010
afg,23.55,2011
alb,30.7,1960
alb,30.81,1961
alb,30.91,1962
alb,31.02,1963
alb,31.12,1964
alb,31.23,1965
alb,31.33,1966
alb,31.43,1967
alb,31.54,1968
alb,31.64,1969
alb,31.74,1970
alb,31.93,1971
alb,32.13,1972
alb,32.32,1973
alb,32.52,1974
alb,32.71,1975
alb,32.92,1976
alb,33.13,1977
alb,33.34,1978
alb,33.55,1979
alb,33.76,1980
alb,34.03,1981
alb,34.29,1982
alb,34.55,1983
alb,34.82,1984
alb,35.08,1985
alb,35.35,1986
alb,35.62,1987
alb,35.89,1988
alb,36.16,1989
alb,36.43,1990
alb,36.92,1991
alb,37.42,1992
alb,37.92,1993
alb,38.41,1994
alb,38.91,1995
alb,39.48,1996
alb,40.04,1997
alb,40.61,1998
alb,41.17,1999
alb,41.74,2000
alb,42.75,2001
alb,43.77,2002
alb,44.78,2003
alb,45.79,2004
alb,46.8,2005
alb,47.91,2006
alb,49.01,2007
alb,50.11,2008
alb,51.22,2009
alb,52.32,2010
alb,53.38,2011
dza,30.5,1960
dza,31.94,1961
dza,33.36,1962
dza,34.79,1963
dza,36.22,1964
dza,37.64,1965
dza,38.01,1966
dza,38.39,1967
dza,38.76,1968
dza,39.13,1969
dza,39.5,1970
dza,39.67,1971
dza,39.83,1972
dza,40.0,1973
dza,40.16,1974
dza,40.33,1975
dza,40.97,1976
dza,41.61,1977
dza,42.26,1978
dza,42.9,1979
dza,43.54,1980
dza,44.43,1981
dza,45.31,1982
dza,46.2,1983
dza,47.08,1984
dza,47.97,1985
dza,48.79,1986
dza,49.61,1987
dza,50.44,1988
dza,51.26,1989
dza,52.09,1990
dza,52.87,1991
dza,53.65,1992
dza,54.43,1993
dza,55.21,1994
dza,56.0,1995
dza,56.95,1996
dza,57.91,1997
dza,58.87,1998
dza,59.83,1999
dza,60.79,2000
dza,61.97,2001
dza,63.15,2002
dza,64.33,2003
dza,65.51,2004
dza,66.69,2005
dza,67.76,2006
dza,68.82,2007
dza,69.89,2008
dza,70.96,2009
dza,72.02,2010
dza,72.86,2011
asm,66.2,1960
asm,66.64,1961
asm,67.06,1962
asm,67.48,1963
asm,67.91,1964
asm,68.33,1965
asm,68.74,1966
asm,69.15,1967
asm,69.56,1968
asm,69.97,1969
asm,70.38,1970
asm,70.78,1971
asm,71.17,1972
asm,71.57,1973
asm,71.96,1974
asm,72.35,1975
asm,72.75,1976
asm,73.14,1977
asm,73.54,1978
asm,73.93,1979
asm,74.33,1980
asm,75.02,1981
asm,75.7,1982
asm,76.39,1983
asm,77.08,1984
asm,77.76,1985
asm,78.4,1986
asm,79.04,1987
asm,79.67,1988
asm,80.31,1989
asm,80.95,1990
asm,81.81,1991
asm,82.68,1992
asm,83.55,1993
asm,84.41,1994
asm,85.28,1995
asm,85.98,1996
asm,86.67,1997
asm,87.37,1998
asm,88.07,1999
asm,88.77,2000
asm,89.27,2001
asm,89.77,2002
asm,90.28,2003
asm,90.78,2004
asm,91.28,2005
asm,91.62,2006
asm,91.96,2007
asm,92.3,2008
asm,92.64,2009
asm,92.98,2010
asm,93.2,2011
and,58.5,1960
and,60.85,1961
and,63.25,1962
and,65.65,1963
and,68.05,1964
and,70.44,1965
and,72.39,1966
and,74.33,1967
and,76.27,1968
and,78.21,1969
and,80.16,1970
and,81.57,1971
and,82.99,1972
and,84.41,1973
and,85.83,1974
and,87.25,1975
and,88.21,1976
and,89.18,1977
and,90.14,1978
and,91.1,1979
and,92.06,1980
and,92.68,1981
and,93.3,1982
and,93.92,1983
and,94.54,1984
and,95.16,1985
and,95.07,1986
and,94.98,1987
and,94.89,1988
and,94.8,1989
and,94.71,1990
and,94.5,1991
and,94.29,1992
and,94.08,1993
and,93.87,1994
and,93.66,1995
and,93.41,1996
and,93.15,1997
and,92.9,1998
and,92.65,1999
and,92.39,2000
and,91.97,2001
and,91.56,2002
and,91.14,2003
and,90.72,2004
and,90.3,2005
and,89.8,2006
and,89.3,2007
and,88.81,2008
and,88.31,2009
and,87.82,2010
and,87.28,2011
ago,10.4,1960
ago,10.85,1961
ago,11.26,1962
ago,11.68,1963
ago,12.09,1964
ago,12.5,1965
ago,12.99,1966
ago,13.49,1967
ago,13.98,1968
ago,14.47,1969
ago,14.96,1970
ago,15.79,1971
ago,16.63,1972
ago,17.46,1973
ago,18.29,1974
ago,19.13,1975
ago,20.16,1976
ago,21.2,1977
ago,22.23,1978
ago,23.26,1979
ago,24.3,1980
ago,25.51,1981
ago,26.71,1982
ago,27.92,1983
ago,29.13,1984
ago,30.34,1985
ago,31.7,1986
ago,33.06,1987
ago,34.42,1988
ago,35.78,1989
ago,37.14,1990
ago,38.51,1991
ago,39.88,1992
ago,41.25,1993
ago,42.62,1994
ago,43.99,1995
ago,44.99,1996
ago,45.99,1997
ago,46.99,1998
ago,47.99,1999
ago,48.99,2000
ago,49.98,2001
ago,50.97,2002
ago,51.96,2003
ago,52.95,2004
ago,53.94,2005
ago,54.83,2006
ago,55.72,2007
ago,56.6,2008
ago,57.49,2009
ago,58.38,2010
ago,59.14,2011
atg,39.7,1960
atg,39.05,1961
atg,38.44,1962
atg,37.83,1963
atg,37.22,1964
atg,36.61,1965
atg,36.05,1966
atg,35.49,1967
atg,34.94,1968
atg,34.38,1969
atg,33.82,1970
atg,33.9,1971
atg,33.98,1972
atg,34.06,1973
atg,34.14,1974
atg,34.22,1975
atg,34.3,1976
atg,34.38,1977
atg,34.46,1978
atg,34.54,1979
atg,34.62,1980
atg,34.7,1981
atg,34.78,1982
atg,34.86,1983
atg,34.94,1984
atg,35.02,1985
atg,35.1,1986
atg,35.18,1987
atg,35.26,1988
atg,35.34,1989
atg,35.43,1990
atg,35.13,1991
atg,34.84,1992
atg,34.55,1993
atg,34.25,1994
atg,33.96,1995
atg,33.59,1996
atg,33.23,1997
atg,32.86,1998
atg,32.49,1999
atg,32.13,2000
atg,31.83,2001
atg,31.53,2002
atg,31.23,2003
atg,30.93,2004
atg,30.63,2005
atg,30.48,2006
atg,30.33,2007
atg,30.18,2008
atg,30.03,2009
atg,29.88,2010
atg,29.87,2011
arg,73.6,1960
arg,74.16,1961
arg,74.71,1962
arg,75.27,1963
arg,75.82,1964
arg,76.37,1965
arg,76.87,1966
arg,77.37,1967
arg,77.88,1968
