geo,urban_population_percent_of_total,time
arg,78.38,1969
arg,78.88,1970
arg,79.3,1971
arg,79.72,1972
arg,80.13,1973
arg,80.55,1974
arg,80.97,1975
arg,81.35,1976
arg,81.74,1977
arg,82.12,1978
arg,82.5,1979
arg,82.89,1980
arg,83.32,1981
arg,83.75,1982
arg,84.18,1983
arg,84.61,1984
arg,85.04,1985
arg,85.43,1986
arg,85.82,1987
arg,86.21,1988
arg,86.59,1989
arg,86.98,1990
arg,87.32,1991
arg,87.65,1992
arg,87.99,1993
arg,88.32,1994
arg,88.65,1995
arg,88.95,1996
arg,89.24,1997
arg,89.54,1998
arg,89.83,1999
arg,90.12,2000
arg,90.38,2001
arg,90.63,2002
arg,90.88,2003
arg,91.13,2004
arg,91.38,2005
arg,91.58,2006
arg,91.77,2007
arg,91.96,2008
arg,92.16,2009
arg,92.35,2010
arg,92.49,2011
arm,51.3,1960
arm,52.14,1961
arm,53.01,1962
arm,53.88,1963
arm,54.75,1964
arm,55.62,1965
arm,56.47,1966
arm,57.32,1967
arm,58.17,1968
arm,59.02,1969
arm,59.86,1970
arm,60.61,1971
arm,61.36,1972
arm,62.11,1973
arm,62.86,1974
arm,63.61,1975
arm,64.1,1976
arm,64.59,1977
arm,65.07,1978
arm,65.56,1979
arm,66.05,1980
arm,66.26,1981
arm,66.47,1982
arm,66.67,1983
arm,66.88,1984
arm,67.09,1985
arm,67.16,1986
arm,67.22,1987
arm,67.29,1988
arm,67.35,1989
arm,67.42,1990
arm,67.15,1991
arm,66.88,1992
arm,66.6,1993
arm,66.33,1994
arm,66.06,1995
arm,65.78,1996
arm,65.5,1997
arm,65.22,1998
arm,64.94,1999
arm,64.67,2000
arm,64.57,2001
arm,64.47,2002
arm,64.38,2003
arm,64.28,2004
arm,64.18,2005
arm,64.16,2006
arm,64.14,2007
arm,64.11,2008
arm,64.09,2009
arm,64.07,2010
arm,64.11,2011
abw,50.8,1960
abw,50.76,1961
abw,50.75,1962
abw,50.73,1963
abw,50.72,1964
abw,50.7,1965
abw,50.68,1966
abw,50.67,1967
abw,50.65,1968
abw,50.64,1969
abw,50.62,1970
abw,50.61,1971
abw,50.59,1972
abw,50.58,1973
abw,50.56,1974
abw,50.55,1975
abw,50.53,1976
abw,50.52,1977
abw,50.5,1978
abw,50.49,1979
abw,50.47,1980
abw,50.46,1981
abw,50.44,1982
abw,50.43,1983
abw,50.41,1984
abw,50.4,1985
abw,50.38,1986
abw,50.36,1987
abw,50.35,1988
abw,50.33,1989
abw,50.32,1990
abw,50.01,1991
abw,49.7,1992
abw,49.38,1993
abw,49.07,1994
abw,48.76,1995
abw,48.35,1996
abw,47.94,1997
abw,47.53,1998
abw,47.11,1999
abw,46.7,2000
abw,46.68,2001
abw,46.66,2002
abw,46.64,2003
abw,46.62,2004
abw,46.6,2005
abw,46.64,2006
abw,46.67,2007
abw,46.71,2008
abw,46.74,2009
abw,46.78,2010
abw,46.87,2011
aus,81.5,1960
aus,81.92,1961
aus,82.31,1962
aus,82.7,1963
aus,83.09,1964
aus,83.48,1965
aus,83.84,1966
aus,84.2,1967
aus,84.55,1968
aus,84.91,1969
aus,85.27,1970
aus,85.4,1971
aus,85.53,1972
aus,85.66,1973
aus,85.79,1974
aus,85.92,1975
aus,85.89,1976
aus,85.86,1977
aus,85.82,1978
aus,85.79,1979
aus,85.76,1980
aus,85.7,1981
aus,85.64,1982
aus,85.58,1983
aus,85.52,1984
aus,85.46,1985
aus,85.45,1986
aus,85.44,1987
aus,85.42,1988
aus,85.41,1989
aus,85.4,1990
aus,85.54,1991
aus,85.68,1992
aus,85.82,1993
aus,85.96,1994
aus,86.11,1995
aus,86.32,1996
aus,86.53,1997
aus,86.74,1998
aus,86.95,1999
aus,87.17,2000
aus,87.37,2001
aus,87.57,2002
aus,87.78,2003
aus,87.98,2004
aus,88.18,2005
aus,88.35,2006
aus,88.53,2007
aus,88.7,2008
aus,88.87,2009
aus,89.05,2010
aus,89.19,2011
aut,64.7,1960
aut,64.78,1961
aut,64.84,1962
aut,64.89,1963
aut,64.95,1964
aut,65.01,1965
aut,65.06,1966
aut,65.11,1967
aut,65.16,1968
aut,65.21,1969
aut,65.26,1970
aut,65.27,1971
aut,65.29,1972
aut,65.31,1973
aut,65.32,1974
aut,65.34,1975
aut,65.35,1976
aut,65.36,1977
aut,65.37,1978
aut,65.38,1979
aut,65.39,1980
aut,65.43,1981
aut,65.46,1982
aut,65.5,1983
aut,65.53,1984
aut,65.57,1985
aut,65.61,1986
aut,65.65,1987
aut,65.69,1988
aut,65.73,1989
aut,65.77,1990
aut,65.77,1991
aut,65.78,1992
aut,65.79,1993
aut,65.79,1994
aut,65.8,1995
aut,65.8,1996
aut,65.8,1997
aut,65.8,1998
aut,65.8,1999
aut,65.8,2000
aut,65.95,2001
aut,66.09,2002
aut,66.24,2003
aut,66.39,2004
aut,66.53,2005
aut,66.72,2006
aut,66.9,2007
aut,67.09,2008
aut,67.27,2009
aut,67.45,2010
aut,67.67,2011
aze,47.7,1960
aze,52.36,1961
aze,52.06,1962
aze,51.76,1963
aze,51.46,1964
aze,51.16,1965
aze,50.93,1966
aze,50.7,1967
aze,50.47,1968
aze,50.24,1969
aze,50.01,1970
aze,50.39,1971
aze,50.76,1972
aze,51.14,1973
aze,51.52,1974
aze,51.9,1975
aze,52.07,1976
aze,52.25,1977
aze,52.42,1978
aze,52.6,1979
aze,52.78,1980
aze,52.92,1981
aze,53.07,1982
aze,53.21,1983
aze,53.35,1984
aze,53.5,1985
aze,53.55,1986
aze,53.6,1987
aze,53.65,1988
aze,53.7,1989
aze,53.75,1990
aze,53.44,1991
aze,53.13,1992
aze,52.82,1993
aze,52.51,1994
aze,52.21,1995
aze,52.04,1996
aze,51.88,1997
aze,51.71,1998
aze,51.55,1999
aze,51.39,2000
aze,51.59,2001
aze,51.79,2002
aze,51.99,2003
aze,52.19,2004
aze,52.39,2005
aze,52.59,2006
aze,52.79,2007
aze,53.0,2008
aze,53.2,2009
aze,53.4,2010
aze,53.64,2011
bhs,59.7,1960
bhs,60.38,1961
bhs,61.1,1962
bhs,61.83,1963
bhs,62.56,1964
bhs,63.28,1965
bhs,63.97,1966
bhs,64.66,1967
bhs,65.35,1968
bhs,66.04,1969
bhs,66.72,1970
bhs,67.38,1971
bhs,68.03,1972
bhs,68.69,1973
bhs,69.34,1974
bhs,70.0,1975
bhs,70.62,1976
bhs,71.24,1977
bhs,71.86,1978
bhs,72.48,1979
bhs,73.1,1980
bhs,73.82,1981
bhs,74.53,1982
bhs,75.25,1983
bhs,75.96,1984
bhs,76.67,1985
bhs,77.31,1986
bhs,77.94,1987
bhs,78.57,1988
bhs,79.21,1989
bhs,79.84,1990
bhs,80.06,1991
bhs,80.29,1992
bhs,80.51,1993
bhs,80.74,1994
bhs,80.96,1995
bhs,81.18,1996
bhs,81.39,1997
bhs,81.61,1998
bhs,81.82,1999
bhs,82.03,2000
bhs,82.24,2001
bhs,82.45,2002
bhs,82.65,2003
bhs,82.86,2004
bhs,83.07,2005
bhs,83.27,2006
bhs,83.47,2007
bhs,83.67,2008
bhs,83.86,2009
bhs,84.06,2010
bhs,84.26,2011
bhr,82.3,1960
bhr,82.36,1961
bhr,82.39,1962
bhr,82.43,1963
bhr,82.46,1964
bhr,82.5,1965
bhr,82.75,1966
bhr,83.01,1967
bhr,83.27,1968
bhr,83.52,1969
bhr,83.78,1970
bhr,84.02,1971
bhr,84.25,1972
bhr,84.5,1973
bhr,84.73,1974
bhr,84.97,1975
bhr,85.2,1976
bhr,85.43,1977
bhr,85.65,1978
bhr,85.88,1979
bhr,86.1,1980
bhr,86.31,1981
bhr,86.52,1982
bhr,86.73,1983
bhr,86.94,1984
bhr,87.16,1985
bhr,87.35,1986
bhr,87.55,1987
bhr,87.75,1988
bhr,87.94,1989
bhr,88.14,1990
bhr,88.19,1991
bhr,88.24,1992
bhr,88.29,1993
bhr,88.34,1994
bhr,88.39,1995
bhr,88.38,1996
bhr,88.38,1997
bhr,88.38,1998
bhr,88.38,1999
bhr,88.37,2000
bhr,88.38,2001
bhr,88.39,2002
bhr,88.4,2003
bhr,88.41,2004
bhr,88.42,2005
bhr,88.46,2006
bhr,88.5,2007
bhr,88.54,2008
bhr,88.58,2009
bhr,88.62,2010
bhr,88.69,2011
bgd,5.1,1960
bgd,5.35,1961
bgd,5.565,1962
bgd,5.781,1963
bgd,5.996,1964
bgd,6.211,1965
bgd,6.487,1966
bgd,6.764,1967
bgd,7.04,1968
bgd,7.317,1969
bgd,7.593,1970
bgd,8.042,1971
bgd,8.49,1972
bgd,8.939,1973
bgd,9.387,1974
bgd,9.836,1975
bgd,10.84,1976
bgd,11.84,1977
bgd,12.85,1978
bgd,13.85,1979
bgd,14.85,1980
bgd,15.38,1981
bgd,15.91,1982
bgd,16.44,1983
bgd,16.97,1984
bgd,17.5,1985
bgd,17.96,1986
bgd,18.42,1987
bgd,18.89,1988
bgd,19.35,1989
bgd,19.81,1990
bgd,20.19,1991
bgd,20.56,1992
bgd,20.94,1993
bgd,21.32,1994
bgd,21.69,1995
bgd,22.07,1996
bgd,22.45,1997
bgd,22.83,1998
bgd,23.21,1999
bgd,23.59,2000
bgd,24.0,2001
bgd,24.41,2002
bgd,24.82,2003
bgd,25.23,2004
bgd,25.64,2005
bgd,26.09,2006
bgd,26.54,2007
bgd,26.99,2008
bgd,27.44,2009
bgd,27.89,2010
bgd,28.39,2011
brb,36.8,1960
brb,36.85,1961
brb,36.92,1962
brb,37.0,1963
brb,37.07,1964
brb,37.14,1965
brb,37.22,1966
brb,37.3,1967
brb,37.38,1968
brb,37.46,1969
brb,37.54,1970
brb,37.76,1971
brb,37.97,1972
brb,38.19,1973
brb,38.4,1974
brb,38.62,1975
brb,38.81,1976
brb,39.0,1977
brb,39.2,1978
brb,39.39,1979
brb,39.58,1980
brb,38.86,1981
brb,38.14,1982
brb,37.42,1983
brb,36.7,1984
brb,35.98,1985
brb,35.32,1986
brb,34.67,1987
brb,34.02,1988
brb,33.37,1989
brb,32.72,1990
brb,33.27,1991
brb,33.82,1992
brb,34.38,1993
brb,34.93,1994
brb,35.48,1995
brb,36.05,1996
brb,36.63,1997
brb,37.2,1998
brb,37.77,1999
brb,38.35,2000
brb,38.91,2001
brb,39.48,2002
brb,40.05,2003
brb,40.62,2004
brb,41.18,2005
brb,41.72,2006
brb,42.26,2007
brb,42.81,2008
brb,43.35,2009
brb,43.89,2010
brb,44.4,2011
blr,32.4,1960
blr,33.55,1961
blr,34.69,1962
blr,35.84,1963
blr,36.98,1964
blr,38.13,1965
blr,39.3,1966
blr,40.48,1967
blr,41.66,1968
blr,42.83,1969
blr,44.01,1970
blr,45.33,1971
blr,46.65,1972
blr,47.97,1973
blr,49.29,1974
blr,50.61,1975
blr,51.79,1976
blr,52.97,1977
blr,54.14,1978
blr,55.32,1979
blr,56.5,1980
blr,57.56,1981
blr,58.63,1982
blr,59.7,1983
blr,60.77,1984
blr,61.83,1985
blr,62.66,1986
blr,63.49,1987
blr,64.32,1988
blr,65.15,1989
blr,65.98,1990
blr,66.37,1991
blr,66.76,1992
blr,67.15,1993
blr,67.54,1994
blr,67.93,1995
blr,68.34,1996
blr,68.74,1997
blr,69.15,1998
blr,69.56,1999
blr,69.97,2000
blr,70.45,2001
blr,70.93,2002
blr,71.4,2003
blr,71.88,2004
blr,72.35,2005
blr,72.81,2006
blr,73.26,2007
blr,73.71,2008
blr,74.16,2009
blr,74.61,2010
blr,75.02,2011
bel,92.5,1960
bel,92.6,1961
bel,92.73,1962
bel,92.87,1963
bel,93.0,1964
bel,93.14,1965
bel,93.28,1966
bel,93.42,1967
bel,93.56,1968
bel,93.7,1969
bel,93.84,1970
bel,93.97,1971
bel,94.1,1972
bel,94.23,1973
bel,94.35,1974
bel,94.48,1975
bel,94.66,1976
bel,94.84,1977
bel,95.02,1978
bel,95.2,1979
bel,95.38,1980
bel,95.49,1981
bel,95.6,1982
bel,95.71,1983
bel,95.82,1984
bel,95.93,1985
bel,96.02,1986
bel,96.11,1987
bel,96.2,1988
bel,96.29,1989
bel,96.38,1990
bel,96.46,1991
bel,96.54,1992
bel,96.62,1993
bel,96.7,1994
bel,96.78,1995
bel,96.85,1996
bel,96.91,1997
bel,96.98,1998
bel,97.05,1999
bel,97.12,2000
bel,97.15,2001
bel,97.19,2002
bel,97.22,2003
bel,97.26,2004
bel,97.29,2005
bel,97.32,2006
bel,97.36,2007
bel,97.39,2008
bel,97.42,2009
bel,97.46,2010
bel,97.49,2011
blz,54.0,1960
blz,53.72,1961
blz,53.41,1962
blz,53.1,1963
blz,52.79,1964
blz,52.48,1965
blz,52.18,1966
blz,51.87,1967
blz,51.57,1968
blz,51.27,1969
blz,50.96,1970
blz,50.8,1971
blz,50.65,1972
blz,50.49,1973
blz,50.33,1974
blz,50.17,1975
blz,50.01,1976
blz,49.85,1977
blz,49.69,1978
blz,49.53,1979
blz,49.37,1980
blz,49.18,1981
blz,48.99,1982
blz,48.8,1983
blz,48.61,1984
blz,48.42,1985
blz,48.23,1986
blz,48.04,1987
blz,47.85,1988
blz,47.66,1989
blz,47.47,1990
blz,47.47,1991
blz,47.47,1992
blz,47.48,1993
blz,47.48,1994
blz,47.48,1995
blz,47.52,1996
blz,47.56,1997
blz,47.59,1998
blz,47.63,1999
blz,47.66,2000
blz,47.39,2001
blz,47.12,2002
blz,46.85,2003
blz,46.58,2004
blz,46.31,2005
blz,46.04,2006
blz,45.77,2007
blz,45.5,2008
blz,45.23,2009
blz,44.96,2010
blz,44.78,2011
ben,9.3,1960
ben,9.924,1961
ben,10.57,1962
ben,11.22,1963
ben,11.87,1964
ben,12.52,1965
ben,13.35,1966
ben,14.19,1967
ben,15.02,1968
ben,15.86,1969
ben,16.69,1970
ben,17.73,1971
ben,18.78,1972
ben,19.82,1973
ben,20.86,1974
ben,21.9,1975
ben,22.99,1976
ben,24.08,1977
ben,25.16,1978
ben,26.25,1979
ben,27.34,1980
ben,28.03,1981
ben,28.72,1982
ben,29.41,1983
ben,30.1,1984
ben,30.8,1985
ben,31.53,1986
ben,32.27,1987
ben,33.01,1988
ben,33.75,1989
ben,34.48,1990
ben,34.94,1991
ben,35.39,1992
ben,35.85,1993
ben,36.3,1994
ben,36.76,1995
ben,37.07,1996
ben,37.39,1997
ben,37.7,1998
ben,38.02,1999
ben,38.33,2000
ben,38.87,2001
ben,39.4,2002
ben,39.94,2003
ben,40.47,2004
ben,41.0,2005
ben,41.65,2006
ben,42.3,2007
ben,42.96,2008
ben,43.61,2009
ben,44.26,2010
ben,44.91,2011
bmu,100.0,1960
bmu,100.0,1961
bmu,100.0,1962
bmu,100.0,1963
bmu,100.0,1964
bmu,100.0,1965
bmu,100.0,1966
bmu,100.0,1967
bmu,100.0,1968
bmu,100.0,1969
bmu,100.0,1970
bmu,100.0,1971
bmu,100.0,1972
bmu,100.0,1973
bmu,100.0,1974
bmu,100.0,1975
bmu,100.0,1976
bmu,100.0,1977
bmu,100.0,1978
bmu,100.0,1979
bmu,100.0,1980
bmu,100.0,1981
bmu,100.0,1982
bmu,100.0,1983
bmu,100.0,1984
bmu,100.0,1985
bmu,100.0,1986
bmu,100.0,1987
bmu,100.0,1988
bmu,100.0,1989
bmu,100.0,1990
bmu,100.0,1991
bmu,100.0,1992
bmu,100.0,1993
bmu,100.0,1994
bmu,100.0,1995
bmu,100.0,1996
bmu,100.0,1997
bmu,100.0,1998
bmu,100.0,1999
bmu,100.0,2000
bmu,100.0,2001
bmu,100.0,2002
bmu,100.0,2003
bmu,100.0,2004
bmu,100.0,2005
bmu,100.0,2006
bmu,100.0,2007
bmu,100.0,2008
bmu,100.0,2009
bmu,100.0,2010
bmu,100.0,2011
btn,3.6,1960
btn,3.814,1961
btn,4.032,1962
btn,4.251,1963
btn,4.469,1964
btn,4.687,1965
btn,4.967,1966
btn,5.248,1967
btn,5.528,1968
btn,5.809,1969
btn,6.089,1970
btn,6.446,1971
btn,6.804,1972
btn,7.161,1973
btn,7.519,1974
btn,7.876,1975
btn,8.327,1976
btn,8.778,1977
btn,9.23,1978
btn,9.681,1979
btn,10.13,1980
btn,10.69,1981
btn,11.26,1982
btn,11.82,1983
btn,12.38,1984
btn,12.94,1985
btn,13.63,1986
btn,14.32,1987
btn,15.01,1988
btn,15.7,1989
btn,16.39,1990
btn,17.22,1991
btn,18.05,1992
btn,18.88,1993
btn,19.71,1994
btn,20.54,1995
btn,21.51,1996
btn,22.49,1997
btn,23.47,1998
btn,24.44,1999
btn,25.42,2000
btn,26.53,2001
btn,27.64,2002
btn,28.75,2003
btn,29.86,2004
btn,30.96,2005
btn,31.73,2006
btn,32.5,2007
btn,33.26,2008
btn,34.03,2009
btn,34.79,2010
btn,35.57,2011
bol,36.8,1960
bol,37.06,1961
bol,37.36,1962
bol,37.66,1963
bol,37.96,1964
bol,38.26,1965
bol,38.56,1966
bol,38.86,1967
bol,39.17,1968
bol,39.47,1969
bol,39.78,1970
bol,40.08,1971
bol,40.39,1972
bol,40.7,1973
bol,41.01,1974
bol,41.31,1975
bol,42.14,1976
bol,42.97,1977
bol,43.8,1978
bol,44.62,1979
bol,45.45,1980
bol,46.46,1981
bol,47.48,1982
bol,48.49,1983
bol,49.51,1984
bol,50.52,1985
bol,51.53,1986
bol,52.54,1987
bol,53.55,1988
bol,54.57,1989
bol,55.58,1990
bol,56.34,1991
bol,57.11,1992
bol,57.87,1993
bol,58.64,1994
bol,59.4,1995
bol,59.89,1996
bol,60.37,1997
bol,60.86,1998
bol,61.35,1999
bol,61.83,2000
bol,62.3,2001
bol,62.78,2002
bol,63.25,2003
bol,63.72,2004
bol,64.19,2005
bol,64.63,2006
bol,65.07,2007
bol,65.52,2008
bol,65.96,2009
bol,66.4,2010
bol,66.81,2011
bih,19.0,1960
bih,19.8,1961
bih,20.55,1962
bih,21.31,1963
bih,22.06,1964
bih,22.82,1965
bih,23.69,1966
bih,24.57,1967
bih,25.45,1968
bih,26.32,1969
bih,27.2,1970
bih,28.02,1971
bih,28.84,1972
bih,29.65,1973
bih,30.47,1974
bih,31.29,1975
bih,32.14,1976
bih,32.99,1977
bih,33.84,1978
bih,34.69,1979
bih,35.54,1980
bih,35.95,1981
bih,36.36,1982
bih,36.77,1983
bih,37.18,1984
bih,37.59,1985
bih,37.92,1986
bih,38.25,1987
bih,38.59,1988
bih,38.92,1989
bih,39.25,1990
bih,39.6,1991
bih,39.96,1992
bih,40.31,1993
bih,40.66,1994
bih,41.02,1995
bih,41.42,1996
bih,41.82,1997
bih,42.22,1998
bih,42.62,1999
bih,43.02,2000
bih,43.47,2001
bih,43.92,2002
bih,44.36,2003
bih,44.81,2004
bih,45.26,2005
bih,45.75,2006
bih,46.25,2007
bih,46.74,2008
bih,47.24,2009
bih,47.73,2010
bih,48.27,2011
bwa,3.1,1960
bwa,3.216,1961
bwa,3.372,1962
bwa,3.527,1963
bwa,3.683,1964
bwa,3.839,1965
bwa,4.638,1966
bwa,5.437,1967
bwa,6.236,1968
bwa,7.035,1969
bwa,7.834,1970
bwa,8.644,1971
bwa,9.454,1972
bwa,10.26,1973
bwa,11.07,1974
bwa,11.88,1975
bwa,12.8,1976
bwa,13.72,1977
bwa,14.64,1978
bwa,15.56,1979
bwa,16.48,1980
bwa,18.53,1981
bwa,20.58,1982
bwa,22.63,1983
bwa,24.68,1984
bwa,26.72,1985
bwa,29.77,1986
bwa,32.81,1987
bwa,35.85,1988
bwa,38.89,1989
bwa,41.93,1990
bwa,43.34,1991
bwa,44.75,1992
bwa,46.16,1993
bwa,47.57,1994
bwa,48.98,1995
bwa,49.83,1996
bwa,50.68,1997
bwa,51.52,1998
bwa,52.37,1999
bwa,53.22,2000
bwa,54.04,2001
bwa,54.86,2002
bwa,55.68,2003
bwa,56.5,2004
bwa,57.32,2005
bwa,58.05,2006
bwa,58.78,2007
bwa,59.51,2008
bwa,60.25,2009
bwa,60.98,2010
bwa,61.61,2011
bra,44.9,1960
bra,47.12,1961
bra,48.1,1962
bra,49.08,1963
bra,50.06,1964
bra,51.04,1965
bra,52.01,1966
bra,52.99,1967
bra,53.96,1968
bra,54.93,1969
bra,55.91,1970
bra,56.88,1971
bra,57.86,1972
bra,58.84,1973
bra,59.81,1974
bra,60.79,1975
bra,61.72,1976
bra,62.66,1977
bra,63.6,1978
bra,64.53,1979
bra,65.47,1980
bra,66.35,1981
bra,67.23,1982
