geo,prostate_cancer_deaths_per_100000_men,time
afg,2.8,2002
alb,7.01,1987
alb,8.19,1988
alb,9.66,1989
alb,6.89,1992
alb,6.86,1993
alb,7.12,1994
alb,5.81,1995
alb,8.21,1996
alb,6.73,1997
alb,7.91,1998
alb,10.07,1999
alb,10.17,2000
alb,7.18,2001
alb,8.39,2002
dza,4.8,2002
ago,11.1,2002
arg,11.21,1966
arg,14.09,1967
arg,15.87,1968
arg,15.41,1969
arg,13.85,1970
arg,12.22,1977
arg,13.11,1978
arg,13.06,1979
arg,11.56,1980
arg,11.9,1981
arg,11.41,1982
arg,11.91,1983
arg,12.27,1984
arg,11.88,1985
arg,12.64,1986
arg,13.64,1987
arg,13.37,1988
arg,13.41,1989
arg,13.65,1990
arg,13.77,1991
arg,13.73,1992
arg,14.23,1993
arg,14.47,1994
arg,15.49,1995
arg,16.33,1996
arg,16.28,1997
arg,17.33,1998
arg,16.49,1999
arg,16.23,2000
arg,15.91,2001
arg,15.61,2002
arm,2.91,1981
arm,3.42,1982
arm,2.87,1985
arm,2.46,1986
arm,3.37,1987
arm,2.24,1988
arm,2.47,1989
arm,2.64,1990
arm,2.03,1991
arm,3.64,1992
arm,3.7,1993
arm,5.06,1994
arm,3.97,1995
arm,4.5,1996
arm,4.91,1997
arm,5.42,1998
arm,5.13,1999
arm,5.77,2000
arm,5.26,2001
arm,6.26,2002
aus,13.52,1950
aus,14.45,1951
aus,13.36,1952
aus,14.64,1953
aus,14.95,1954
aus,15.35,1955
aus,15.15,1956
aus,15.41,1957
aus,15.21,1958
aus,15.14,1959
aus,15.49,1960
aus,14.8,1961
aus,13.7,1962
aus,13.91,1963
aus,15.13,1964
aus,14.78,1965
aus,13.86,1966
aus,13.9,1967
aus,15.28,1968
aus,15.16,1969
aus,15.92,1970
aus,14.98,1971
aus,14.84,1972
aus,16.13,1973
aus,15.54,1974
aus,15.65,1975
aus,15.52,1976
aus,15.44,1977
aus,14.9,1978
aus,14.83,1979
aus,15.29,1980
aus,15.21,1981
aus,15.93,1982
aus,16.0,1983
aus,16.15,1984
aus,16.82,1985
aus,17.11,1986
aus,17.63,1987
aus,17.7,1988
aus,18.28,1989
aus,18.06,1990
aus,17.87,1991
aus,18.91,1992
aus,19.67,1993
aus,19.56,1994
aus,18.49,1995
aus,18.46,1996
aus,16.53,1997
aus,16.64,1998
aus,15.59,1999
aus,16.04,2000
aus,15.7,2001
aus,15.85,2002
aut,11.99,1955
aut,12.31,1956
aut,14.09,1957
aut,12.41,1958
aut,13.36,1959
aut,13.67,1960
aut,13.45,1961
aut,13.25,1962
aut,13.63,1963
aut,13.39,1964
aut,14.23,1965
aut,13.42,1966
aut,13.39,1967
aut,15.35,1968
aut,13.53,1969
