geo,prostate_cancer_deaths_per_100000_men,time
aut,13.71,1970
aut,13.47,1971
aut,13.63,1972
aut,14.94,1973
aut,15.07,1974
aut,14.58,1975
aut,15.22,1976
aut,14.06,1977
aut,15.94,1978
aut,14.39,1979
aut,15.53,1980
aut,15.04,1981
aut,16.02,1982
aut,15.04,1983
aut,15.02,1984
aut,15.66,1985
aut,15.86,1986
aut,17.18,1987
aut,16.16,1988
aut,16.76,1989
aut,17.03,1990
aut,18.58,1991
aut,17.22,1992
aut,17.81,1993
aut,16.4,1994
aut,17.52,1995
aut,17.0,1996
aut,16.76,1997
aut,15.75,1998
aut,16.63,1999
aut,16.32,2000
aut,15.53,2001
aut,14.63,2002
aze,4.1,1981
aze,4.1,1982
aze,4.69,1985
aze,4.36,1986
aze,4.79,1987
aze,5.28,1988
aze,5.24,1989
aze,7.52,1990
aze,6.36,1991
aze,3.99,1992
aze,3.86,1993
aze,6.77,1994
aze,6.38,1995
aze,4.07,1996
aze,4.53,1997
aze,3.57,1998
aze,3.75,1999
aze,3.27,2000
aze,6.84,2001
aze,7.27,2002
bhs,35.6,2002
bhr,9.9,2002
bgd,0.2,2002
brb,11.33,1960
brb,6.61,1961
brb,18.02,1962
brb,6.79,1963
brb,12.42,1964
brb,16.69,1966
brb,18.01,1967
brb,16.46,1968
brb,13.5,1969
brb,10.49,1970
brb,21.36,1971
brb,17.23,1972
brb,14.01,1973
brb,22.18,1974
brb,10.42,1975
brb,20.72,1976
brb,15.91,1977
brb,19.68,1978
brb,22.3,1979
brb,17.55,1980
brb,23.76,1981
brb,16.86,1982
brb,24.53,1983
brb,21.55,1984
brb,41.1,1985
brb,39.71,1986
brb,40.37,1987
brb,39.24,1988
brb,48.54,1989
brb,40.02,1990
brb,39.67,1991
brb,53.15,1992
brb,51.97,1993
brb,55.89,1994
brb,61.78,1995
brb,58.09,2000
brb,54.14,2001
brb,55.3,2002
blr,5.04,1981
blr,4.95,1982
blr,5.94,1985
blr,5.74,1986
blr,5.76,1987
blr,7.27,1988
blr,7.38,1989
blr,7.0,1990
blr,6.81,1991
blr,7.9,1992
blr,8.06,1993
blr,8.12,1994
blr,9.18,1995
blr,8.98,1997
blr,9.25,1998
blr,10.08,1999
blr,9.36,2000
blr,10.36,2001
blr,11.42,2002
bel,20.3,2002
blz,6.74,1964
blz,5.82,1968
blz,2.61,1969
blz,10.35,1970
blz,5.41,1971
blz,5.71,1972
blz,5.6,1973
blz,7.7,1975
blz,7.14,1977
blz,4.51,1980
blz,5.21,1982
blz,19.15,1983
blz,9.94,1984
blz,2.42,1986
blz,8.14,1987
blz,8.54,1989
blz,2.45,1990
blz,8.94,1991
blz,5.48,1993
blz,14.49,1994
blz,7.34,1995
blz,6.13,1996
blz,29.15,1997
blz,34.64,1998
blz,22.11,1999
blz,20.51,2000
blz,28.87,2001
blz,35.2,2002
ben,16.0,2002
btn,2.7,2002
bol,19.1,2002
bih,10.8,2002
bwa,25.8,2002
bra,6.79,1979
bra,6.81,1980
bra,7.29,1981
bra,7.22,1982
bra,7.6,1983
bra,7.81,1984
bra,7.9,1985
bra,7.96,1986
bra,7.99,1987
bra,8.35,1988
bra,8.58,1989
bra,8.85,1990
bra,8.95,1991
bra,9.2,1992
bra,9.39,1993
bra,10.26,1994
bra,10.73,1995
bra,11.24,1996
bra,11.88,1997
bra,12.2,1998
bra,11.8,1999
bra,11.78,2000
bra,12.09,2001
bra,12.12,2002
brn,4.1,2002
bgr,6.46,1964
bgr,5.95,1965
bgr,6.17,1966
bgr,6.44,1967
bgr,6.4,1968
bgr,6.74,1969
bgr,6.73,1970
bgr,6.36,1971
bgr,6.47,1972
bgr,5.96,1973
bgr,5.91,1974
bgr,6.45,1975
bgr,5.73,1976
bgr,6.03,1977
bgr,6.24,1978
bgr,6.1,1979
bgr,6.43,1980
bgr,6.44,1981
bgr,6.19,1982
bgr,7.6,1983
bgr,7.33,1984
bgr,7.07,1985
bgr,7.37,1986
bgr,8.05,1987
bgr,7.81,1988
bgr,7.34,1989
bgr,8.48,1990
bgr,7.71,1991
bgr,8.86,1992
bgr,8.55,1993
bgr,8.49,1994
bgr,8.29,1995
bgr,8.9,1996
bgr,9.72,1997
bgr,8.94,1998
bgr,8.87,1999
bgr,8.61,2000
bgr,9.54,2001
bgr,9.67,2002
bfa,11.8,2002
bdi,11.8,2002
khm,4.6,2002
cmr,21.3,2002
can,11.7,1950
can,10.99,1951
can,11.91,1952
can,12.33,1953
can,12.73,1954
can,12.75,1955
can,13.42,1956
can,12.67,1957
can,12.83,1958
can,13.31,1959
can,12.83,1960
can,14.74,1961
can,13.6,1962
can,12.69,1963
can,12.98,1964
can,13.3,1965
can,12.92,1966
can,12.87,1967
can,13.07,1968
can,13.29,1969
can,13.6,1970
can,14.28,1971
can,13.89,1972
can,13.61,1973
can,14.22,1974
can,14.6,1975
can,13.57,1976
can,13.57,1977
can,14.09,1978
can,14.52,1979
can,13.94,1980
can,14.71,1981
can,14.19,1982
can,14.75,1983
can,14.75,1984
can,15.92,1985
can,16.17,1986
can,16.12,1987
can,16.79,1988
can,16.23,1989
can,16.5,1990
can,17.13,1991
can,16.93,1992
can,16.91,1993
can,16.68,1994
can,16.77,1995
can,15.59,1996
can,15.17,1997
can,14.88,1998
can,14.21,1999
can,14.25,2000
can,14.07,2001
can,13.34,2002
cpv,16.0,2002
caf,21.1,2002
tcd,21.1,2002
chl,6.27,1955
chl,6.29,1956
chl,7.32,1957
chl,7.97,1958
chl,8.64,1959
chl,8.84,1960
chl,9.13,1961
chl,7.5,1962
chl,7.31,1963
chl,7.1,1964
chl,8.3,1965
chl,9.62,1966
chl,9.31,1967
chl,10.31,1968
chl,9.1,1969
chl,8.78,1970
chl,10.21,1971
chl,10.1,1972
chl,10.95,1973
chl,11.19,1974
chl,10.43,1975
chl,10.92,1976
chl,10.71,1977
chl,10.05,1978
chl,10.42,1979
chl,10.22,1980
chl,10.62,1981
chl,10.89,1982
chl,11.47,1983
chl,12.2,1984
chl,12.34,1985
chl,11.53,1986
chl,13.09,1987
chl,12.83,1988
chl,13.49,1989
chl,14.09,1990
chl,14.27,1991
chl,14.8,1992
chl,14.6,1993
chl,16.04,1994
chl,18.27,1995
chl,19.66,1996
chl,18.78,1997
chl,19.4,1998
chl,18.46,1999
chl,18.43,2000
chl,17.84,2001
chl,17.9,2002
chn,1.0,2002
col,4.42,1953
col,4.61,1954
col,5.16,1955
col,4.38,1956
col,5.52,1957
col,7.34,1958
col,7.4,1959
col,5.24,1960
col,4.57,1961
col,5.21,1962
col,5.61,1963
col,5.61,1964
col,5.12,1965
col,5.57,1966
col,6.2,1967
col,5.89,1968
col,5.79,1969
col,5.53,1972
col,6.46,1974
col,7.0,1975
col,5.98,1976
col,6.13,1977
col,8.91,1984
col,9.84,1985
col,9.24,1986
col,9.77,1987
col,9.46,1988
col,9.37,1989
col,9.64,1990
col,10.62,1991
col,10.86,1992
col,12.42,1993
col,12.29,1994
col,13.06,1995
col,14.29,1996
col,13.72,1997
col,14.08,1998
col,14.64,1999
col,15.15,2001
col,14.97,2002
com,11.8,2002
cod,25.2,2002
cog,5.3,2002
cri,5.47,1961
cri,6.87,1962
cri,7.02,1963
cri,4.78,1964
cri,9.17,1965
cri,5.21,1966
cri,7.27,1967
cri,8.18,1968
cri,7.5,1969
cri,6.29,1970
cri,6.13,1971
cri,5.65,1972
cri,6.02,1973
cri,6.74,1974
cri,7.34,1975
cri,7.86,1976
cri,8.42,1977
cri,5.42,1978
cri,7.31,1979
cri,9.5,1980
cri,7.98,1981
cri,8.52,1982
cri,9.7,1983
cri,11.26,1984
cri,10.38,1985
cri,9.99,1986
cri,12.91,1987
cri,11.93,1988
cri,12.71,1989
cri,10.54,1990
cri,12.68,1991
cri,14.0,1992
cri,13.35,1993
cri,13.83,1994
cri,18.18,1995
cri,16.6,1996
cri,14.11,1997
cri,16.41,1998
cri,17.27,1999
cri,17.79,2000
cri,18.35,2001
cri,15.57,2002
civ,16.6,2002
hrv,12.12,1985
hrv,12.73,1986
hrv,13.45,1987
hrv,14.59,1988
hrv,15.12,1989
hrv,14.2,1990
hrv,14.42,1991
hrv,14.2,1992
hrv,13.99,1993
hrv,13.85,1994
hrv,10.68,1995
hrv,12.93,1996
hrv,12.94,1997
hrv,14.05,1998
hrv,13.36,1999
hrv,13.19,2000
hrv,13.62,2001
hrv,12.87,2002
cub,12.81,1964
cub,13.85,1968
cub,13.88,1969
cub,14.95,1970
cub,15.33,1971
cub,16.36,1972
cub,14.87,1973
cub,15.8,1974
cub,15.14,1975
cub,16.77,1976
cub,17.13,1977
cub,14.7,1978
cub,14.59,1979
cub,14.96,1980
cub,14.33,1981
cub,13.93,1982
cub,15.02,1983
cub,15.03,1984
cub,13.72,1985
cub,15.17,1986
cub,15.46,1987
cub,17.02,1988
cub,16.4,1989
cub,18.06,1990
cub,17.48,1991
cub,19.15,1992
cub,19.63,1993
cub,20.21,1994
cub,19.62,1995
cub,19.12,1996
cub,20.28,1997
cub,20.39,1998
cub,20.17,1999
cub,20.24,2000
cub,19.81,2001
cub,20.09,2002
cyp,28.2,2002
cze,14.48,1986
cze,15.46,1987
cze,14.78,1988
cze,15.14,1989
cze,14.87,1990
cze,14.63,1991
cze,15.27,1992
cze,15.96,1993
cze,16.13,1994
cze,16.12,1995
cze,16.49,1996
cze,15.64,1997
cze,17.07,1998
cze,16.95,1999
cze,17.14,2000
cze,16.9,2001
cze,17.54,2002
cheslo,7.2,1953
cheslo,7.53,1954
cheslo,7.46,1955
cheslo,8.22,1956
cheslo,8.09,1957
cheslo,8.36,1958
cheslo,8.38,1959
cheslo,7.46,1960
cheslo,8.19,1961
cheslo,9.21,1962
cheslo,8.72,1963
cheslo,9.18,1964
cheslo,9.08,1965
cheslo,8.89,1966
cheslo,8.7,1967
cheslo,9.75,1968
cheslo,9.5,1969
cheslo,9.67,1970
cheslo,9.92,1971
cheslo,9.56,1972
cheslo,10.51,1973
cheslo,11.14,1974
cheslo,11.72,1975
cheslo,10.34,1976
cheslo,10.98,1977
cheslo,11.82,1978
cheslo,11.69,1979
cheslo,11.49,1980
cheslo,11.75,1981
cheslo,11.3,1982
cheslo,12.53,1983
cheslo,12.86,1984
cheslo,12.25,1985
cheslo,13.17,1986
cheslo,13.14,1987
cheslo,13.29,1988
cheslo,14.11,1989
cheslo,13.48,1990
cheslo,13.81,1991
dnk,9.65,1951
dnk,11.04,1952
dnk,14.18,1953
dnk,11.73,1954
dnk,13.45,1955
dnk,13.64,1956
dnk,13.7,1957
dnk,13.79,1958
dnk,14.56,1959
dnk,13.2,1960
dnk,14.15,1961
dnk,15.26,1962
dnk,14.85,1963
dnk,15.78,1964
dnk,15.8,1965
dnk,12.97,1966
dnk,12.55,1967
dnk,12.39,1968
dnk,12.96,1969
dnk,11.77,1970
dnk,13.67,1971
dnk,13.27,1972
dnk,13.37,1973
dnk,13.48,1974
dnk,12.9,1975
dnk,13.72,1976
dnk,13.93,1977
dnk,14.61,1978
dnk,15.57,1979
dnk,16.81,1980
dnk,16.14,1981
dnk,16.07,1982
dnk,18.28,1983
dnk,18.05,1984
dnk,16.87,1985
dnk,17.66,1986
dnk,17.9,1987
dnk,17.57,1988
dnk,17.64,1989
dnk,18.76,1990
dnk,18.32,1991
dnk,20.49,1992
dnk,20.45,1993
dnk,19.72,1994
dnk,20.12,1995
dnk,19.78,1996
dnk,19.25,1997
dnk,18.84,1998
dnk,19.26,1999
dnk,20.11,2000
dnk,20.7,2001
dnk,21.29,2002
dji,11.8,2002
dom,2.84,1965
dom,3.42,1966
dom,5.19,1967
dom,4.59,1968
dom,3.64,1969
dom,5.97,1970
dom,6.18,1971
dom,6.63,1972
dom,6.88,1973
dom,7.02,1974
dom,6.12,1975
dom,7.15,1976
dom,8.26,1977
dom,6.27,1978
dom,10.56,1979
dom,8.27,1980
dom,9.44,1981
dom,12.28,1982
dom,11.76,1983
dom,12.56,1984
dom,10.9,1985
dom,10.37,1986
dom,11.24,1987
dom,8.47,1988
dom,9.77,1989
dom,9.7,1990
dom,9.91,1991
dom,9.35,1992
dom,10.41,1994
dom,13.22,1995
dom,13.42,1996
dom,15.95,1997
dom,15.6,1998
dom,18.37,1999
dom,14.13,2000
dom,17.71,2001
dom,17.7,2002
ecu,2.66,1961
ecu,2.5,1963
ecu,2.63,1964
ecu,2.75,1968
ecu,4.53,1969
ecu,4.2,1970
ecu,4.23,1971
ecu,4.22,1972
ecu,3.77,1973
ecu,4.57,1974
ecu,4.74,1975
ecu,5.53,1977
ecu,6.18,1978
ecu,7.47,1979
ecu,6.06,1980
ecu,7.13,1981
ecu,9.04,1982
ecu,9.37,1983
ecu,8.75,1984
ecu,8.5,1985
ecu,8.09,1986
ecu,8.3,1987
ecu,9.98,1988
ecu,9.14,1989
ecu,8.63,1990
ecu,11.01,1991
ecu,10.52,1992
ecu,10.43,1993
ecu,9.93,1994
ecu,9.46,1995
ecu,11.85,1996
ecu,11.15,1997
ecu,13.03,1998
ecu,11.76,1999
ecu,13.19,2000
ecu,11.22,2001
ecu,10.31,2002
egy,3.8,2002
slv,0.81,1950
slv,0.16,1951
slv,0.42,1952
slv,1.5,1953
slv,2.17,1954
slv,1.42,1955
slv,1.87,1956
slv,1.72,1957
slv,0.96,1958
slv,1.3,1959
slv,3.01,1960
slv,2.04,1961
slv,3.1,1962
slv,2.45,1963
slv,1.25,1964
slv,0.68,1965
slv,3.38,1966
slv,2.54,1967
slv,1.86,1968
slv,2.31,1969
slv,1.74,1970
slv,1.73,1971
slv,1.07,1972
slv,1.84,1973
slv,1.72,1974
slv,2.57,1981
slv,2.71,1982
slv,2.65,1983
slv,2.44,1984
slv,4.02,1990
slv,4.27,1991
slv,5.28,1992
slv,6.69,1993
slv,4.47,1995
slv,8.4,1996
slv,8.95,1997
slv,13.09,1998
slv,10.03,1999
slv,9.32,2000
slv,8.57,2001
slv,7.63,2002
gnq,21.1,2002
eri,11.8,2002
est,10.52,1981
est,9.81,1982
est,12.47,1985
est,14.02,1986
est,12.04,1987
est,10.68,1988
est,11.43,1989
est,11.74,1990
est,13.43,1991
est,11.99,1992
est,15.55,1993
est,12.78,1994
est,13.25,1995
est,13.17,1996
est,16.23,1997
est,18.98,1998
est,16.53,1999
est,19.64,2000
est,16.13,2001
est,18.05,2002
eth,3.5,2002
fji,7.2,2002
fin,9.13,1952
fin,8.51,1953
fin,10.73,1954
fin,9.9,1955
fin,9.24,1956
fin,10.91,1957
fin,11.06,1958
fin,13.11,1959
fin,12.13,1960
fin,10.39,1961
fin,13.06,1962
fin,11.28,1963
fin,11.4,1964
fin,11.32,1965
fin,11.7,1966
fin,11.52,1967
fin,12.86,1968
fin,12.19,1969
fin,12.89,1970
fin,15.4,1971
fin,14.01,1972
fin,14.93,1973
fin,14.42,1974
fin,15.47,1975
fin,15.13,1976
fin,16.05,1977
fin,16.31,1978
fin,16.59,1979
fin,16.74,1980
fin,14.82,1981
fin,15.68,1982
fin,16.74,1983
fin,17.34,1984
fin,16.6,1985
fin,17.22,1986
fin,16.48,1987
fin,16.98,1988
fin,17.53,1989
fin,18.46,1990
fin,17.06,1991
fin,18.75,1992
fin,19.03,1993
fin,17.16,1994
fin,18.02,1995
fin,19.79,1996
fin,17.72,1997
fin,18.84,1998
fin,18.32,1999
fin,17.32,2000
fin,17.18,2001
fin,17.61,2002
fra,9.14,1950
fra,10.06,1952
fra,10.33,1953
fra,10.87,1954
fra,11.74,1955
fra,12.9,1956
fra,13.3,1957
fra,14.41,1958
fra,13.84,1959
fra,15.16,1960
fra,14.78,1961
fra,15.06,1962
fra,15.84,1963
fra,15.01,1964
fra,15.44,1965
fra,15.81,1966
fra,16.14,1967
fra,16.37,1968
fra,15.7,1969
fra,15.27,1970
fra,15.22,1971
fra,15.42,1972
fra,15.59,1973
fra,16.1,1974
fra,15.75,1975
fra,15.99,1976
fra,15.12,1977
fra,14.99,1978
fra,15.23,1979
fra,15.57,1980
fra,15.95,1981
fra,16.02,1982
fra,16.49,1983
fra,16.28,1984
fra,17.25,1985
fra,17.7,1986
fra,17.68,1987
fra,18.03,1988
fra,18.03,1989
fra,17.92,1990
fra,17.51,1991
fra,16.87,1992
fra,16.49,1993
fra,16.21,1994
fra,15.58,1995
fra,15.57,1996
fra,15.25,1997
fra,15.12,1998
fra,15.16,1999
fra,14.44,2000
fra,14.07,2001
fra,14.28,2002
pyf,10.7,2002
gab,14.7,2002
gmb,4.0,2002
geo,4.8,2002
deu,13.73,1973
deu,13.93,1974
deu,14.7,1975
deu,14.67,1976
deu,14.21,1977
deu,14.34,1978
deu,13.9,1980
deu,14.58,1981
deu,14.51,1982
deu,15.17,1983
deu,14.93,1984
deu,14.91,1985
deu,15.2,1986
deu,15.41,1987
deu,16.06,1988
deu,15.82,1989
deu,15.82,1990
deu,16.42,1991
deu,16.73,1992
deu,16.73,1993
deu,16.99,1994
deu,16.97,1995
deu,16.8,1996
deu,15.92,1997
deu,15.65,1998
deu,14.97,1999
deu,14.73,2000
deu,14.5,2001
deu,14.55,2002
gha,16.0,2002
grc,4.44,1961
grc,5.0,1962
grc,4.67,1963
grc,5.36,1964
grc,4.61,1965
grc,5.88,1966
grc,5.9,1967
grc,5.4,1968
grc,5.57,1969
grc,5.4,1970
grc,5.87,1971
grc,5.99,1972
grc,6.83,1973
grc,6.41,1974
grc,6.89,1975
grc,6.16,1976
grc,6.63,1977
grc,6.82,1978
grc,7.28,1979
grc,7.28,1980
grc,6.81,1981
grc,7.73,1982
grc,8.19,1983
grc,7.56,1984
grc,8.85,1985
grc,8.23,1986
grc,8.48,1987
grc,8.31,1988
grc,7.93,1989
grc,8.25,1990
grc,9.17,1991
grc,8.76,1992
grc,9.28,1993
grc,9.58,1994
grc,9.75,1995
grc,9.91,1996
grc,9.84,1997
grc,10.06,1998
grc,10.01,1999
grc,9.96,2000
grc,10.55,2001
grc,10.15,2002
gum,10.7,2002
gtm,3.18,1963
gtm,1.75,1964
gtm,1.57,1965
gtm,1.62,1966
gtm,1.81,1967
gtm,1.8,1968
gtm,2.29,1969
gtm,1.81,1970
gtm,2.04,1971
gtm,2.08,1974
gtm,2.34,1975
gtm,1.57,1976
gtm,1.63,1977
gtm,2.95,1978
gtm,2.57,1979
gtm,2.95,1980
gtm,3.63,1981
gtm,2.67,1984
gtm,3.21,1986
gtm,4.15,1987
gtm,3.96,1988
gtm,3.78,1989
gtm,3.13,1990
gtm,3.96,1991
gtm,3.73,1992
gtm,4.43,1993
gtm,5.43,1994
gtm,7.49,1995
gtm,5.74,1996
gtm,6.22,1997
gtm,8.17,1998
gtm,8.88,1999
gtm,9.65,2000
gtm,9.33,2001
gtm,9.27,2002
gin,8.0,2002
gnb,16.0,2002
guy,23.3,2002
hti,20.0,2002
hnd,16.1,2002
hkg,0.92,1960
hkg,0.71,1961
hkg,2.63,1962
hkg,1.56,1963
hkg,1.92,1964
hkg,3.25,1965
hkg,2.18,1966
hkg,1.72,1967
hkg,2.8,1968
hkg,3.21,1969
hkg,1.37,1970
hkg,2.36,1971
hkg,2.17,1972
hkg,1.97,1973
hkg,1.16,1974
hkg,2.65,1975
hkg,2.25,1976
hkg,2.31,1977
hkg,2.85,1978
hkg,2.57,1979
hkg,2.08,1980
hkg,2.0,1981
hkg,2.6,1982
hkg,2.97,1983
hkg,2.62,1984
hkg,2.22,1985
hkg,2.7,1986
hkg,3.04,1987
hkg,2.38,1988
hkg,2.82,1989
hkg,2.96,1990
hkg,3.19,1991
hkg,2.69,1992
hkg,3.38,1993
hkg,3.69,1994
hkg,3.54,1995
hkg,3.74,1996
hkg,3.45,1997
hkg,3.18,1998
hkg,5.2,1999
hkg,3.94,2000
hkg,4.39,2001
hkg,3.91,2002
hun,7.61,1955
hun,8.46,1956
hun,8.19,1957
hun,8.94,1958
hun,9.91,1959
hun,10.6,1960
hun,11.42,1961
hun,11.67,1962
hun,10.86,1963
hun,12.09,1964
hun,13.86,1965
hun,12.8,1966
hun,13.65,1967
hun,12.64,1968
hun,15.09,1969
hun,14.6,1970
hun,15.07,1971
hun,14.82,1972
hun,14.86,1973
hun,16.68,1974
hun,15.87,1975
hun,16.06,1976
hun,15.72,1977
hun,16.19,1978
hun,15.42,1979
hun,15.09,1980
hun,14.52,1981
hun,15.88,1982
hun,14.7,1983
hun,15.53,1984
hun,15.7,1985
hun,16.94,1986
hun,15.69,1987
hun,15.61,1988
hun,16.66,1989
hun,15.8,1990
hun,15.44,1991
hun,16.09,1992
hun,15.84,1993
hun,15.79,1994
hun,17.5,1995
hun,18.58,1996
hun,18.29,1997
hun,16.87,1998
hun,17.05,1999
hun,17.29,2000
hun,16.73,2001
hun,15.72,2002
isl,1.48,1951
isl,10.98,1952
isl,4.02,1953
isl,11.08,1954
isl,8.33,1955
isl,5.32,1956
isl,11.11,1957
isl,9.08,1958
isl,6.43,1959
isl,8.08,1960
isl,5.44,1961
isl,5.84,1962
isl,10.2,1963
isl,7.74,1964
isl,4.9,1965
isl,21.16,1966
isl,11.16,1967
isl,13.38,1968
isl,11.09,1969
isl,13.22,1970
isl,16.08,1971
isl,7.28,1972
isl,6.17,1973
isl,16.39,1974
isl,14.71,1975
isl,10.02,1976
isl,15.96,1977
isl,7.79,1978
isl,10.21,1979
isl,7.07,1980
isl,16.72,1981
isl,19.06,1982
isl,16.08,1983
isl,19.09,1984
isl,19.23,1985
isl,20.68,1986
isl,18.47,1987
isl,20.51,1988
isl,15.13,1989
isl,20.99,1990
isl,20.62,1991
isl,25.44,1992
isl,21.49,1993
isl,13.78,1994
isl,15.17,1995
isl,27.92,1996
isl,20.31,1997
isl,21.26,1998
isl,20.26,1999
isl,19.17,2000
isl,17.17,2001
isl,25.48,2002
ind,3.0,2002
idn,4.4,2002
irn,3.3,2002
irq,3.6,2002
irl,7.46,1950
irl,7.8,1951
irl,7.96,1952
irl,7.67,1953
irl,8.09,1954
irl,8.69,1955
irl,7.34,1956
irl,8.08,1957
irl,9.39,1958
irl,9.59,1959
irl,9.48,1960
irl,9.68,1961
irl,10.35,1962
irl,9.94,1963
irl,11.55,1964
irl,10.95,1965
irl,12.45,1966
irl,11.14,1967
irl,11.33,1968
irl,12.27,1969
irl,11.97,1970
irl,13.25,1971
irl,13.75,1972
irl,12.69,1973
irl,13.5,1974
irl,12.49,1975
irl,14.55,1976
irl,14.54,1977
irl,15.51,1978
irl,13.66,1979
irl,14.1,1980
irl,12.31,1981
irl,13.96,1982
irl,16.02,1983
irl,14.31,1984
irl,13.99,1985
irl,15.75,1986
irl,18.22,1987
irl,17.17,1988
irl,16.87,1989
irl,18.51,1990
irl,17.8,1991
irl,19.0,1992
irl,18.52,1993
irl,17.93,1994
irl,19.25,1995
irl,19.15,1996
irl,19.08,1997
irl,18.32,1998
irl,17.65,1999
irl,18.77,2000
irl,18.63,2001
irl,18.04,2002
isr,6.4,1975
isr,7.86,1976
isr,7.35,1977
isr,8.49,1978
isr,9.45,1979
isr,7.15,1980
isr,8.8,1981
isr,9.22,1982
isr,8.98,1983
isr,7.94,1984
isr,7.55,1985
isr,9.11,1986
isr,9.83,1987
isr,9.13,1988
isr,8.62,1989
isr,9.1,1990
isr,9.25,1991
isr,10.56,1992
isr,11.31,1993
isr,12.41,1994
isr,11.88,1995
isr,12.0,1996
isr,11.27,1997
isr,11.97,1998
isr,10.37,1999
isr,9.25,2000
isr,10.45,2001
isr,9.01,2002
ita,5.02,1951
ita,5.53,1952
ita,5.67,1953
ita,6.21,1954
ita,6.81,1955
ita,7.4,1956
ita,7.59,1957
ita,7.72,1958
ita,7.91,1959
ita,8.07,1960
ita,8.35,1961
ita,9.02,1962
ita,9.08,1963
ita,9.36,1964
ita,9.43,1965
ita,9.22,1966
ita,9.11,1967
ita,9.67,1968
ita,9.89,1969
ita,9.93,1970
ita,10.01,1971
ita,10.2,1972
ita,10.35,1973
ita,10.64,1974
ita,10.47,1975
ita,10.9,1976
ita,10.53,1977
ita,10.91,1978
ita,11.06,1979
ita,10.93,1980
ita,11.21,1981
ita,11.2,1982
ita,11.46,1983
ita,11.51,1984
ita,11.72,1985
ita,11.92,1986
ita,11.97,1987
ita,11.42,1988
ita,10.81,1989
ita,11.29,1990
ita,10.98,1991
ita,11.0,1992
ita,11.31,1993
ita,11.62,1994
ita,10.86,1995
ita,11.03,1996
ita,11.03,1997
ita,10.92,1998
ita,10.68,1999
ita,10.2,2000
ita,10.23,2001
ita,9.99,2002
jam,22.4,2002
jpn,0.31,1950
jpn,0.43,1951
jpn,0.52,1952
jpn,0.71,1953
jpn,0.77,1954
jpn,0.87,1955
jpn,0.99,1956
jpn,1.16,1957
jpn,1.35,1958
jpn,1.41,1959
jpn,1.4,1960
jpn,1.46,1961
jpn,1.63,1962
jpn,1.66,1963
jpn,1.91,1964
jpn,1.75,1965
jpn,1.88,1966
jpn,1.79,1967
jpn,2.0,1968
jpn,2.14,1969
jpn,2.05,1970
jpn,1.91,1971
jpn,2.07,1972
jpn,2.29,1973
jpn,2.34,1974
