geo,population_aged_15_19_years_both_sexes_percent,time
afg,10.22,1950
afg,10.35,1955
afg,10.46,1960
afg,10.75,1965
afg,10.19,1970
afg,10.24,1975
afg,10.32,1980
afg,10.42,1985
afg,10.45,1990
afg,10.44,1995
afg,10.55,2000
afg,10.73,2005
afg,11.02,2010
afg,11.18,2015
afg,11.05,2020
afg,10.74,2025
afg,10.82,2030
afg,10.93,2035
afg,10.89,2040
afg,10.64,2045
afg,10.22,2050
alb,9.967,1950
alb,10.51,1955
alb,9.497,1960
alb,8.935,1965
alb,9.916,1970
alb,11.25,1975
alb,11.45,1980
alb,10.41,1985
alb,9.909,1990
alb,8.714,1995
alb,9.485,2000
alb,10.07,2005
alb,9.656,2010
alb,8.561,2015
alb,6.349,2020
alb,6.3,2025
alb,6.702,2030
alb,6.866,2035
alb,6.505,2040
alb,5.791,2045
alb,5.328,2050
dza,10.01,1950
dza,10.07,1955
dza,9.844,1960
dza,9.93,1965
dza,10.15,1970
dza,10.25,1975
dza,10.9,1980
dza,10.98,1985
dza,10.95,1990
dza,11.43,1995
dza,12.2,2000
dza,11.38,2005
dza,10.03,2010
dza,7.761,2015
dza,7.63,2020
dza,7.908,2025
dza,7.977,2030
dza,7.651,2035
dza,6.964,2040
dza,6.271,2045
dza,5.896,2050
ago,10.01,1950
ago,9.821,1955
ago,9.643,1960
ago,9.353,1965
ago,10.06,1970
ago,10.31,1975
ago,10.45,1980
ago,10.38,1985
ago,10.23,1990
ago,10.47,1995
ago,10.7,2000
ago,10.95,2005
ago,11.19,2010
ago,10.87,2015
ago,11.14,2020
ago,10.66,2025
ago,10.79,2030
ago,10.69,2035
ago,10.4,2040
ago,9.956,2045
ago,9.511,2050
arg,9.142,1950
arg,8.463,1955
arg,8.369,1960
arg,8.69,1965
arg,8.84,1970
arg,8.684,1975
arg,8.279,1980
arg,8.072,1985
arg,8.469,1990
arg,9.47,1995
arg,8.728,2000
arg,8.569,2005
arg,8.417,2010
arg,7.996,2015
arg,7.478,2020
arg,7.397,2025
arg,7.214,2030
arg,6.934,2035
arg,6.599,2040
arg,6.272,2045
arg,5.977,2050
arm,11.09,1950
arm,12.54,1955
arm,6.263,1960
arm,7.438,1965
arm,10.29,1970
arm,12.1,1975
arm,11.68,1980
arm,9.017,1985
arm,7.844,1990
arm,8.101,1995
arm,9.685,2000
arm,10.42,2005
arm,8.573,2010
arm,5.987,2015
arm,6.36,2020
arm,6.943,2025
arm,7.161,2030
arm,6.669,2035
arm,5.931,2040
arm,5.554,2045
arm,5.568,2050
abw,10.81,1950
abw,9.302,1955
abw,10.0,1960
abw,9.615,1965
abw,12.07,1970
abw,11.86,1975
abw,11.67,1980
abw,9.231,1985
abw,6.349,1990
abw,6.25,1995
abw,6.742,2000
abw,7.071,2005
abw,7.407,2010
abw,7.273,2015
abw,6.25,2020
abw,5.31,2025
abw,5.31,2030
abw,5.357,2035
abw,6.364,2040
abw,5.455,2045
abw,5.66,2050
aus,6.789,1950
aus,6.663,1955
aus,7.502,1960
aus,8.947,1965
aus,8.855,1970
aus,8.991,1975
aus,8.9,1980
aus,8.291,1985
aus,8.191,1990
aus,7.016,1995
aus,6.922,2000
aus,6.86,2005
aus,6.736,2010
aus,6.29,2015
aus,5.989,2020
aus,6.024,2025
aus,5.956,2030
aus,5.891,2035
aus,5.834,2040
aus,5.732,2045
aus,5.639,2050
aut,6.589,1950
aut,7.073,1955
aut,7.811,1960
aut,6.918,1965
aut,6.642,1970
aut,7.733,1975
aut,8.667,1980
aut,8.241,1985
aut,6.699,1990
aut,5.822,1995
aut,6.095,2000
aut,6.001,2005
aut,6.01,2010
aut,5.28,2015
aut,5.001,2020
aut,4.767,2025
aut,4.713,2030
aut,4.815,2035
aut,4.876,2040
aut,4.865,2045
aut,4.792,2050
aze,11.78,1950
aze,12.51,1955
aze,6.109,1960
aze,6.493,1965
aze,9.087,1970
aze,12.06,1975
aze,13.03,1980
aze,10.84,1985
aze,9.735,1990
aze,8.865,1995
aze,9.927,2000
aze,11.0,2005
aze,9.863,2010
aze,7.257,2015
aze,6.68,2020
aze,7.641,2025
aze,7.855,2030
aze,7.28,2035
aze,6.357,2040
aze,5.785,2045
aze,5.748,2050
bhs,10.13,1950
bhs,9.091,1955
bhs,8.333,1960
bhs,8.451,1965
bhs,8.772,1970
bhs,10.05,1975
bhs,12.38,1980
bhs,11.59,1985
bhs,11.07,1990
bhs,9.253,1995
bhs,9.539,2000
bhs,8.642,2005
bhs,8.986,2010
bhs,8.447,2015
bhs,7.292,2020
bhs,6.965,2025
bhs,6.731,2030
bhs,6.497,2035
bhs,6.364,2040
bhs,6.013,2045
bhs,5.921,2050
bhr,9.565,1950
bhr,9.63,1955
bhr,9.554,1960
bhr,8.901,1965
bhr,10.6,1970
bhr,12.73,1975
bhr,9.798,1980
bhr,7.264,1985
bhr,7.114,1990
bhr,7.958,1995
bhr,8.129,2000
bhr,8.242,2005
bhr,8.9,2010
bhr,7.832,2015
bhr,7.466,2020
bhr,6.758,2025
bhr,6.359,2030
bhr,5.944,2035
bhr,5.676,2040
bhr,5.641,2045
bhr,5.486,2050
bgd,9.893,1950
bgd,9.768,1955
bgd,9.52,1960
bgd,9.432,1965
bgd,10.42,1970
bgd,10.41,1975
bgd,10.47,1980
bgd,10.62,1985
bgd,11.06,1990
bgd,11.58,1995
bgd,11.59,2000
bgd,10.87,2005
bgd,10.18,2010
bgd,9.681,2015
bgd,9.05,2020
bgd,8.048,2025
bgd,7.698,2030
bgd,7.427,2035
bgd,7.074,2040
bgd,6.644,2045
bgd,6.226,2050
brb,9.479,1950
brb,8.85,1955
brb,8.621,1960
brb,10.17,1965
brb,10.92,1970
brb,11.38,1975
brb,11.29,1980
brb,10.2,1985
brb,9.653,1990
brb,7.722,1995
brb,7.905,2000
brb,7.54,2005
brb,6.641,2010
brb,5.814,2015
brb,5.364,2020
brb,5.344,2025
brb,5.385,2030
brb,5.118,2035
brb,5.159,2040
brb,4.898,2045
brb,5.042,2050
blr,10.15,1950
blr,9.971,1955
blr,6.364,1960
blr,6.913,1965
blr,8.605,1970
blr,9.684,1975
blr,8.831,1980
blr,7.31,1985
blr,7.105,1990
blr,7.237,1995
blr,8.076,2000
blr,8.178,2005
blr,6.339,2010
blr,5.024,2015
blr,4.982,2020
blr,5.367,2025
blr,5.36,2030
blr,5.122,2035
blr,4.798,2040
blr,4.519,2045
blr,4.508,2050
bel,7.221,1950
bel,6.453,1955
bel,5.943,1960
bel,7.512,1965
bel,7.487,1970
bel,8.058,1975
bel,8.12,1980
bel,7.448,1985
bel,6.665,1990
bel,6.098,1995
bel,5.984,2000
bel,5.991,2005
bel,5.981,2010
bel,5.608,2015
bel,5.431,2020
bel,5.63,2025
bel,5.565,2030
bel,5.597,2035
bel,5.534,2040
bel,5.456,2045
bel,5.404,2050
blz,10.14,1950
blz,8.974,1955
blz,8.511,1960
blz,9.524,1965
blz,10.66,1970
blz,12.69,1975
blz,11.81,1980
blz,11.66,1985
blz,10.99,1990
blz,10.05,1995
blz,11.11,2000
blz,10.99,2005
blz,10.83,2010
blz,10.5,2015
blz,9.626,2020
blz,8.933,2025
blz,8.605,2030
blz,8.168,2035
blz,7.627,2040
blz,6.925,2045
blz,6.522,2050
ben,8.541,1950
ben,9.134,1955
ben,9.916,1960
ben,9.33,1965
ben,9.318,1970
ben,9.653,1975
ben,10.08,1980
ben,10.34,1985
ben,10.34,1990
ben,10.45,1995
ben,10.48,2000
ben,10.52,2005
ben,10.57,2010
ben,10.52,2015
ben,10.54,2020
ben,10.77,2025
ben,10.71,2030
ben,10.34,2035
ben,9.894,2040
ben,9.458,2045
ben,9.089,2050
btn,10.12,1950
btn,10.2,1955
btn,9.778,1960
btn,9.766,1965
btn,9.122,1970
btn,9.471,1975
btn,9.22,1980
btn,9.356,1985
btn,9.872,1990
btn,10.26,1995
btn,11.41,2000
btn,11.71,2005
btn,11.02,2010
btn,9.091,2015
btn,8.648,2020
btn,7.861,2025
btn,7.991,2030
btn,7.816,2035
btn,7.15,2040
btn,6.445,2045
btn,6.12,2050
bol,10.21,1950
bol,10.08,1955
bol,9.791,1960
bol,10.24,1965
bol,10.31,1970
bol,10.4,1975
bol,10.38,1980
bol,10.49,1985
bol,10.79,1990
bol,10.29,1995
bol,10.25,2000
bol,10.42,2005
bol,10.74,2010
bol,10.26,2015
bol,10.01,2020
bol,9.491,2025
bol,8.982,2030
bol,8.477,2035
bol,7.98,2040
bol,7.505,2045
bol,7.043,2050
bih,12.09,1950
bih,11.41,1955
bih,8.082,1960
bih,9.832,1965
bih,11.03,1970
bih,11.0,1975
bih,10.61,1980
bih,9.214,1985
bih,8.523,1990
bih,7.951,1995
bih,7.848,2000
bih,7.778,2005
bih,6.012,2010
bih,5.876,2015
bih,4.897,2020
bih,4.685,2025
bih,4.689,2030
bih,4.633,2035
bih,4.472,2040
bih,4.316,2045
bih,4.187,2050
bwa,10.92,1950
bwa,10.66,1955
bwa,9.77,1960
bwa,9.228,1965
bwa,11.42,1970
bwa,11.26,1975
bwa,10.78,1980
bwa,10.6,1985
bwa,10.95,1990
bwa,11.62,1995
bwa,12.08,2000
bwa,11.85,2005
bwa,10.97,2010
bwa,10.07,2015
bwa,9.34,2020
bwa,9.624,2025
bwa,9.573,2030
bwa,9.293,2035
bwa,8.808,2040
bwa,8.315,2045
bwa,7.977,2050
bra,10.01,1950
bra,10.18,1955
bra,9.472,1960
bra,9.998,1965
bra,10.65,1970
bra,10.99,1975
bra,11.32,1980
bra,10.38,1985
bra,9.976,1990
bra,10.31,1995
bra,10.42,2000
bra,9.346,2005
bra,8.448,2010
bra,8.494,2015
bra,8.191,2020
bra,7.05,2025
bra,6.3,2030
bra,5.908,2035
bra,5.54,2040
bra,5.257,2045
bra,5.132,2050
brn,10.2,1950
brn,7.812,1955
brn,7.317,1960
brn,6.796,1965
brn,10.0,1970
brn,10.56,1975
brn,10.31,1980
brn,9.778,1985
brn,8.56,1990
brn,9.153,1995
brn,8.683,2000
brn,8.672,2005
brn,8.824,2010
brn,8.163,2015
brn,7.292,2020
brn,7.045,2025
brn,6.606,2030
brn,6.228,2035
brn,6.281,2040
brn,6.161,2045
brn,5.945,2050
bgr,9.406,1950
bgr,7.748,1955
bgr,7.513,1960
bgr,8.535,1965
bgr,8.023,1970
bgr,7.454,1975
bgr,7.019,1980
bgr,6.785,1985
bgr,7.268,1990
bgr,7.348,1995
bgr,6.78,2000
bgr,6.615,2005
bgr,5.321,2010
bgr,4.406,2015
bgr,4.632,2020
bgr,5.184,2025
bgr,5.288,2030
bgr,5.061,2035
bgr,4.751,2040
bgr,4.526,2045
bgr,4.655,2050
bfa,10.27,1950
bfa,10.36,1955
bfa,10.59,1960
bfa,10.04,1965
bfa,9.898,1970
bfa,10.46,1975
bfa,10.76,1980
bfa,10.96,1985
bfa,11.01,1990
bfa,11.09,1995
bfa,11.15,2000
bfa,10.95,2005
bfa,10.6,2010
bfa,10.42,2015
bfa,10.58,2020
bfa,11.93,2025
bfa,11.51,2030
bfa,10.93,2035
bfa,10.4,2040
bfa,10.05,2045
bfa,9.776,2050
bdi,10.14,1950
bdi,9.948,1955
bdi,9.932,1960
bdi,9.994,1965
bdi,11.32,1970
bdi,11.39,1975
bdi,11.31,1980
bdi,10.67,1985
bdi,9.91,1990
bdi,10.17,1995
bdi,11.82,2000
bdi,12.66,2005
bdi,11.44,2010
bdi,10.23,2015
bdi,9.654,2020
bdi,9.918,2025
bdi,10.21,2030
bdi,9.913,2035
bdi,9.16,2040
bdi,8.429,2045
bdi,8.022,2050
khm,10.4,1950
khm,10.39,1955
khm,10.32,1960
khm,10.24,1965
khm,10.17,1970
khm,10.58,1975
khm,11.65,1980
khm,10.77,1985
khm,9.391,1990
khm,8.119,1995
khm,12.45,2000
khm,12.32,2005
khm,12.26,2010
khm,10.25,2015
khm,8.602,2020
khm,8.581,2025
khm,8.825,2030
khm,8.792,2035
khm,8.222,2040
khm,7.489,2045
khm,7.022,2050
cmr,9.897,1950
cmr,9.796,1955
cmr,9.728,1960
cmr,9.626,1965
cmr,9.769,1970
cmr,9.649,1975
cmr,9.869,1980
cmr,10.03,1985
cmr,10.32,1990
cmr,10.67,1995
cmr,11.21,2000
cmr,11.22,2005
cmr,10.96,2010
cmr,10.33,2015
cmr,10.66,2020
cmr,10.93,2025
cmr,10.6,2030
cmr,9.986,2035
cmr,9.437,2040
cmr,9.074,2045
cmr,8.815,2050
can,7.847,1950
can,7.245,1955
can,7.723,1960
can,8.989,1965
can,9.772,1970
can,10.15,1975
can,9.863,1980
can,7.809,1985
can,6.996,1990
can,6.757,1995
can,6.736,2000
can,6.683,2005
can,6.604,2010
can,5.728,2015
can,5.27,2020
can,5.21,2025
can,5.288,2030
can,5.431,2035
can,5.481,2040
can,5.4,2045
can,5.296,2050
cpv,13.01,1950
cpv,10.06,1955
cpv,7.107,1960
cpv,9.17,1965
cpv,11.24,1970
cpv,12.23,1975
cpv,13.45,1980
cpv,12.54,1985
cpv,10.14,1990
cpv,11.28,1995
cpv,12.1,2000
cpv,12.5,2005
cpv,11.89,2010
cpv,10.95,2015
cpv,9.966,2020
cpv,8.958,2025
cpv,8.669,2030
cpv,8.421,2035
cpv,8.017,2040
cpv,7.45,2045
cpv,6.838,2050
caf,9.448,1950
caf,9.449,1955
caf,9.321,1960
caf,9.041,1965
caf,9.295,1970
caf,9.668,1975
caf,9.921,1980
caf,10.01,1985
caf,10.06,1990
caf,10.29,1995
caf,10.6,2000
caf,10.82,2005
caf,10.72,2010
caf,10.96,2015
caf,10.86,2020
caf,10.47,2025
caf,10.23,2030
caf,9.914,2035
caf,9.553,2040
caf,9.247,2045
caf,8.851,2050
tcd,9.543,1950
tcd,9.447,1955
tcd,9.4,1960
tcd,9.217,1965
tcd,10.08,1970
tcd,9.99,1975
tcd,9.85,1980
tcd,9.824,1985
tcd,10.09,1990
tcd,10.46,1995
tcd,10.63,2000
tcd,10.68,2005
tcd,10.74,2010
tcd,10.88,2015
tcd,11.06,2020
tcd,10.98,2025
tcd,10.95,2030
tcd,10.87,2035
tcd,10.69,2040
tcd,10.35,2045
tcd,9.897,2050
chanisl,6.863,1950
chanisl,6.542,1955
chanisl,5.455,1960
chanisl,6.087,1965
chanisl,5.833,1970
chanisl,7.143,1975
chanisl,7.874,1980
chanisl,7.463,1985
chanisl,6.429,1990
chanisl,5.556,1995
chanisl,5.442,2000
chanisl,6.04,2005
chanisl,6.0,2010
chanisl,5.263,2015
chanisl,5.195,2020
chanisl,4.605,2025
chanisl,4.636,2030
chanisl,4.636,2035
chanisl,4.636,2040
chanisl,4.762,2045
chanisl,4.93,2050
chl,9.467,1950
chl,8.99,1955
chl,9.521,1960
chl,9.492,1965
chl,9.975,1970
chl,11.17,1975
chl,11.66,1980
chl,10.33,1985
chl,9.371,1990
chl,8.12,1995
chl,8.58,2000
chl,8.977,2005
chl,8.684,2010
chl,7.413,2015
chl,6.647,2020
chl,6.488,2025
chl,6.385,2030
chl,6.203,2035
chl,6.058,2040
chl,5.85,2045
chl,5.673,2050
chn,9.797,1950
chn,8.604,1955
chn,8.279,1960
chn,9.287,1965
chn,10.98,1970
chn,9.408,1975
chn,10.83,1980
chn,12.08,1985
chn,10.6,1990
chn,7.899,1995
chn,8.06,2000
chn,9.392,2005
chn,7.836,2010
chn,6.754,2015
chn,6.047,2020
chn,5.989,2025
chn,6.22,2030
chn,6.09,2035
chn,5.59,2040
chn,5.223,2045
chn,5.154,2050
col,9.885,1950
col,9.539,1955
col,9.602,1960
col,10.53,1965
col,11.24,1970
col,11.54,1975
col,11.93,1980
col,11.71,1985
col,10.39,1990
col,10.37,1995
col,10.04,2000
col,9.701,2005
col,9.421,2010
col,8.846,2015
col,8.373,2020
col,8.083,2025
col,7.664,2030
col,7.332,2035
col,7.014,2040
col,6.71,2045
col,6.424,2050
com,10.32,1950
com,9.605,1955
com,9.375,1960
com,8.491,1965
com,10.17,1970
com,10.78,1975
com,10.67,1980
com,10.42,1985
com,10.78,1990
com,11.59,1995
com,12.7,2000
com,10.71,2005
com,9.827,2010
com,9.661,2015
com,10.0,2020
com,10.49,2025
com,9.959,2030
com,9.1,2035
com,8.446,2040
com,8.17,2045
com,8.15,2050
cod,10.15,1950
cod,10.29,1955
cod,10.38,1960
cod,10.31,1965
cod,10.12,1970
cod,10.11,1975
cod,10.14,1980
cod,10.12,1985
cod,10.11,1990
cod,10.16,1995
cod,10.5,2000
cod,10.83,2005
cod,11.11,2010
cod,11.21,2015
cod,11.35,2020
cod,11.03,2025
cod,10.97,2030
cod,10.84,2035
cod,10.48,2040
cod,9.987,2045
cod,9.476,2050
cog,9.901,1950
cog,9.821,1955
cog,9.693,1960
cog,9.619,1965
cog,9.663,1970
cog,9.865,1975
cog,10.09,1980
cog,10.39,1985
cog,10.71,1990
cog,11.08,1995
cog,11.26,2000
cog,11.16,2005
cog,10.99,2010
cog,10.49,2015
cog,10.58,2020
cog,10.33,2025
cog,9.947,2030
cog,9.636,2035
cog,9.19,2040
cog,8.758,2045
cog,8.409,2050
cri,8.903,1950
cri,8.777,1955
cri,8.621,1960
cri,9.292,1965
cri,10.93,1970
cri,11.74,1975
cri,12.27,1980
cri,10.98,1985
cri,9.221,1990
cri,9.572,1995
cri,10.13,2000
cri,10.3,2005
cri,9.33,2010
cri,8.352,2015
cri,7.694,2020
cri,6.901,2025
cri,6.923,2030
cri,6.552,2035
cri,6.32,2040
cri,6.058,2045
cri,5.869,2050
civ,10.5,1950
civ,10.39,1955
civ,9.872,1960
civ,9.115,1965
civ,9.021,1970
civ,9.092,1975
civ,9.159,1980
civ,9.414,1985
civ,9.975,1990
civ,10.76,1995
civ,10.83,2000
civ,10.64,2005
civ,10.7,2010
civ,10.6,2015
civ,10.69,2020
civ,10.47,2025
civ,10.2,2030
civ,9.774,2035
