merchandise_trade_percent_of_gdp,geo,time
25.48,afg,1960
27.69,afg,1961
31.83,afg,1962
25.96,afg,1963
23.5,afg,1964
19.37,afg,1965
13.93,afg,1966
11.47,afg,1967
13.54,afg,1968
14.76,afg,1969
11.44,afg,1970
13.16,afg,1971
17.92,afg,1972
18.17,afg,1973
21.94,afg,1974
23.96,afg,1975
21.6,afg,1976
21.47,afg,1977
21.7,afg,1978
24.31,afg,1979
41.49,afg,1980
45.42,afg,1981
71.66,afg,2001
58.82,afg,2002
47.1,afg,2003
43.51,afg,2004
41.89,afg,2005
38.72,afg,2006
34.16,afg,2007
29.81,afg,2008
26.31,afg,2009
28.01,afg,2010
29.03,alb,1990
44.77,alb,1991
42.29,alb,1992
56.55,alb,1993
37.76,alb,1994
37.76,alb,1995
38.1,alb,1996
35.75,alb,1997
38.47,alb,1998
43.83,alb,1999
36.56,alb,2000
39.94,alb,2001
41.43,alb,2002
40.9,alb,2003
39.04,alb,2004
39.11,alb,2005
42.22,alb,2006
49.19,alb,2007
50.93,alb,2008
46.83,alb,2009
52.19,alb,2010
60.88,dza,1960
57.14,dza,1961
29.22,dza,1962
53.34,dza,1963
49.17,dza,1964
41.73,dza,1965
41.6,dza,1966
40.42,dza,1967
42.7,dza,1968
45.64,dza,1969
46.58,dza,1970
41.04,dza,1971
41.38,dza,1972
47.31,dza,1973
66.03,dza,1974
65.55,dza,1975
58.33,dza,1976
62.32,dza,1977
56.42,dza,1978
54.01,dza,1979
57.69,dza,1980
57.95,dza,1981
52.92,dza,1982
47.09,dza,1983
42.99,dza,1984
39.15,dza,1985
26.78,dza,1986
22.87,dza,1987
26.23,dza,1988
34.23,dza,1989
36.6,dza,1990
44.49,dza,1991
41.0,dza,1992
38.07,dza,1993
42.9,dza,1994
48.75,dza,1995
47.53,dza,1996
46.87,dza,1997
40.69,dza,1998
44.59,dza,1999
56.95,dza,2000
52.69,dza,2001
53.93,dza,2002
52.26,dza,2003
58.19,dza,2004
64.84,dza,2005
64.92,dza,2006
64.65,dza,2007
69.46,dza,2008
61.17,dza,2009
60.05,dza,2010
53.58,ago,1985
38.04,ago,1986
47.01,ago,1987
48.75,ago,1988
46.89,ago,1989
53.49,ago,1990
39.01,ago,1991
99.37,ago,1992
98.85,ago,1993
110.2,ago,1994
101.4,ago,1995
94.8,ago,1996
99.07,ago,1997
87.23,ago,1998
134.3,ago,1999
120.1,ago,2000
108.7,ago,2001
105.7,ago,2002
107.4,ago,2003
97.63,ago,2004
106.0,ago,2005
89.98,ago,2006
96.04,ago,2007
100.9,ago,2008
84.1,ago,2009
88.3,ago,2010
116.4,atg,1977
92.18,atg,1978
122.5,atg,1979
107.2,atg,1980
121.3,atg,1981
116.0,atg,1982
84.16,atg,1983
86.45,atg,1984
90.66,atg,1985
92.32,atg,1986
92.85,atg,1987
78.83,atg,1988
55.7,atg,1989
70.49,atg,1990
84.07,atg,1991
88.96,atg,1992
84.33,atg,1993
77.19,atg,1994
80.74,atg,1995
74.48,atg,1996
70.36,atg,1997
67.9,atg,1998
69.34,atg,1999
57.19,atg,2000
53.78,atg,2001
53.33,atg,2002
53.94,atg,2003
55.31,atg,2004
57.56,atg,2005
60.05,atg,2006
61.03,atg,2007
59.61,atg,2008
52.73,atg,2009
52.01,atg,2010
10.52,arg,1962
12.84,arg,1963
9.715,arg,1964
9.497,arg,1965
9.492,arg,1966
10.55,arg,1967
9.597,arg,1968
10.2,arg,1969
10.98,arg,1970
10.84,arg,1971
11.07,arg,1972
10.46,arg,1973
10.44,arg,1974
13.17,arg,1975
13.58,arg,1976
17.28,arg,1977
17.62,arg,1978
20.95,arg,1979
24.12,arg,1980
23.61,arg,1981
15.37,arg,1982
11.87,arg,1983
16.05,arg,1984
13.81,arg,1985
10.43,arg,1986
10.96,arg,1987
11.46,arg,1988
17.98,arg,1989
11.62,arg,1990
10.68,arg,1991
11.85,arg,1992
12.63,arg,1993
14.44,arg,1994
15.92,arg,1995
17.48,arg,1996
19.4,arg,1997
19.35,arg,1998
17.23,arg,1999
18.12,arg,2000
17.44,arg,2001
33.95,arg,2002
33.49,arg,2003
37.24,arg,2004
37.69,arg,2005
37.7,arg,2006
38.53,arg,2007
39.01,arg,2008
30.76,arg,2009
33.8,arg,2010
46.38,arm,1994
64.36,arm,1995
71.76,arm,1996
68.62,arm,1997
59.3,arm,1998
55.92,arm,1999
61.52,arm,2000
57.45,arm,2001
62.8,arm,2002
70.01,arm,2003
57.98,arm,2004
56.64,arm,2005
49.76,arm,2006
48.01,arm,2007
47.02,arm,2008
46.62,arm,2009
51.16,arm,2010
58.14,abw,1991
54.56,abw,1992
51.51,abw,1993
45.11,abw,1994
44.07,abw,1995
42.76,abw,1996
41.65,abw,1997
50.68,abw,1998
47.07,abw,1999
54.23,abw,2000
52.14,abw,2001
50.7,abw,2002
25.08,aus,1960
23.81,aus,1961
24.36,aus,1962
25.68,aus,1963
26.54,aus,1964
25.82,aus,1965
24.62,aus,1966
24.11,aus,1967
23.91,aus,1968
23.67,aus,1969
23.56,aus,1970
22.88,aus,1971
21.88,aus,1972
26.32,aus,1973
25.62,aus,1974
23.08,aus,1975
23.99,aus,1976
24.17,aus,1977
25.1,aus,1978
27.1,aus,1979
29.32,aus,1980
26.71,aus,1981
24.54,aus,1982
23.26,aus,1983
25.13,aus,1984
26.63,aus,1985
26.53,aus,1986
29.38,aus,1987
29.07,aus,1988
27.14,aus,1989
26.02,aus,1990
25.35,aus,1991
26.37,aus,1992
28.03,aus,1993
30.98,aus,1994
30.84,aus,1995
31.15,aus,1996
29.43,aus,1997
30.04,aus,1998
32.09,aus,1999
32.48,aus,2000
33.45,aus,2001
34.68,aus,2002
34.04,aus,2003
31.84,aus,2004
33.22,aus,2005
35.03,aus,2006
35.78,aus,2007
36.5,aus,2008
34.6,aus,2009
36.6,aus,2010
38.47,aut,1960
36.75,aut,1961
36.3,aut,1962
35.84,aut,1963
36.09,aut,1964
37.03,aut,1965
36.84,aut,1966
35.57,aut,1967
36.05,aut,1968
38.56,aut,1969
41.97,aut,1970
41.5,aut,1971
41.55,aut,1972
42.33,aut,1973
46.33,aut,1974
42.53,aut,1975
46.96,aut,1976
47.03,aut,1977
45.8,aut,1978
48.68,aut,1979
51.47,aut,1980
52.32,aut,1981
49.72,aut,1982
48.74,aut,1983
52.47,aut,1984
55.57,aut,1985
50.27,aut,1986
48.66,aut,1987
50.89,aut,1988
53.74,aut,1989
54.85,aut,1990
53.39,aut,1991
51.09,aut,1992
47.7,aut,1993
49.82,aut,1994
51.97,aut,1995
54.0,aut,1996
60.4,aut,1997
62.62,aut,1998
64.71,aut,1999
72.94,aut,2000
75.85,aut,2001
75.64,aut,2002
77.45,aut,2003
81.76,aut,2004
82.79,aut,2005
84.31,aut,2006
87.1,aut,2007
88.27,aut,2008
73.36,aut,2009
82.06,aut,2010
43.24,aze,1994
42.69,aze,1995
50.08,aze,1996
39.72,aze,1997
37.81,aze,1998
42.89,aze,1999
55.32,aze,2000
65.61,aze,2001
61.46,aze,2002
71.72,aze,2003
82.15,aze,2004
90.59,aze,2005
87.14,aze,2006
82.65,aze,2007
78.11,aze,2008
62.34,aze,2009
64.17,aze,2010
42.4,bhs,1960
48.92,bhs,1961
36.75,bhs,1962
43.5,bhs,1964
41.11,bhs,1965
47.56,bhs,1966
49.73,bhs,1967
51.1,bhs,1968
66.06,bhs,1969
79.36,bhs,1970
135.7,bhs,1971
140.1,bhs,1972
192.9,bhs,1973
530.0,bhs,1974
873.0,bhs,1975
952.7,bhs,1976
957.8,bhs,1977
745.8,bhs,1978
640.5,bhs,1979
636.7,bhs,1980
353.3,bhs,1981
319.4,bhs,1982
277.1,bhs,1983
186.9,bhs,1984
89.37,bhs,1985
72.72,bhs,1986
65.44,bhs,1987
58.52,bhs,1988
80.4,bhs,1989
88.06,bhs,1990
106.8,bhs,1991
39.56,bhs,1992
36.09,bhs,1993
37.53,bhs,1994
41.38,bhs,1995
42.84,bhs,1996
37.23,bhs,1997
40.59,bhs,1998
36.86,bhs,1999
41.88,bhs,2000
35.83,bhs,2001
31.24,bhs,2002
31.47,bhs,2003
33.58,bhs,2004
37.12,bhs,2005
42.95,bhs,2006
45.18,bhs,2007
50.42,bhs,2008
41.58,bhs,2009
42.77,bhs,2010
230.3,bhr,1980
244.3,bhr,1981
203.1,bhr,1982
175.1,bhr,1983
171.1,bhr,1984
164.4,bhr,1985
150.9,bhr,1986
151.6,bhr,1987
135.2,bhr,1988
154.4,bhr,1989
176.7,bhr,1990
165.2,bhr,1991
162.7,bhr,1992
145.8,bhr,1993
132.2,bhr,1994
133.8,bhr,1995
147.1,bhr,1996
132.5,bhr,1997
110.5,bhr,1998
121.7,bhr,1999
135.8,bhr,2000
124.6,bhr,2001
127.3,bhr,2002
126.1,bhr,2003
133.0,bhr,2004
145.9,bhr,2005
143.3,bhr,2006
136.0,bhr,2007
128.4,bhr,2008
94.07,bhr,2009
15.0,bgd,1972
16.66,bgd,1973
11.45,bgd,1974
8.499,bgd,1975
13.42,bgd,1976
17.01,bgd,1977
15.5,bgd,1978
16.47,bgd,1979
18.54,bgd,1980
17.66,bgd,1981
17.87,bgd,1982
16.84,bgd,1983
19.09,bgd,1984
16.38,bgd,1985
16.19,bgd,1986
15.9,bgd,1987
16.9,bgd,1988
18.47,bgd,1989
17.55,bgd,1990
16.48,bgd,1991
18.39,bgd,1992
19.72,bgd,1993
22.32,bgd,1994
26.87,bgd,1995
27.74,bgd,1996
28.58,bgd,1997
28.61,bgd,1998
30.26,bgd,1999
32.41,bgd,2000
32.13,bgd,2001
30.99,bgd,2002
33.56,bgd,2003
35.96,bgd,2004
38.47,bgd,2005
44.97,bgd,2006
45.38,bgd,2007
49.31,bgd,2008
41.31,bgd,2009
46.84,bgd,2010
82.92,brb,1960
77.29,brb,1961
83.86,brb,1962
90.15,brb,1963
91.05,brb,1964
91.83,brb,1965
94.89,brb,1966
86.55,brb,1967
90.41,brb,1968
87.06,brb,1969
86.54,brb,1970
80.45,brb,1971
79.36,brb,1972
77.66,brb,1973
85.17,brb,1974
80.53,brb,1975
74.17,brb,1976
74.54,brb,1977
80.48,brb,1978
86.13,brb,1979
87.16,brb,1980
80.89,brb,1981
81.66,brb,1982
89.2,brb,1983
91.45,brb,1984
80.04,brb,1985
65.52,brb,1986
46.18,brb,1987
49.0,brb,1988
50.41,brb,1989
53.79,brb,1990
53.7,brb,1991
45.01,brb,1992
46.55,brb,1993
46.15,brb,1994
54.33,brb,1995
56.18,brb,1996
58.34,brb,1997
53.37,brb,1998
55.58,brb,1999
55.81,brb,2000
52.7,brb,2001
51.71,brb,2002
53.61,brb,2003
59.89,brb,2004
65.35,brb,2005
69.17,brb,2006
66.58,brb,2007
65.61,brb,2008
50.84,brb,2009
48.63,brb,2010
37.34,blr,1994
74.2,blr,1995
85.32,blr,1996
113.2,blr,1997
102.6,blr,1998
103.7,blr,1999
125.4,blr,2000
127.4,blr,2001
117.3,blr,2002
120.6,blr,2003
130.8,blr,2004
108.2,blr,2005
113.9,blr,2006
117.0,blr,2007
118.4,blr,2008
101.2,blr,2009
109.8,blr,2010
66.58,bel,1960
65.76,bel,1961
67.1,bel,1962
69.9,bel,1963
72.24,bel,1964
74.24,bel,1965
75.13,bel,1966
71.87,bel,1967
77.51,bel,1968
84.82,bel,1969
87.34,bel,1970
86.99,bel,1971
86.09,bel,1972
94.42,bel,1973
105.2,bel,1974
91.84,bel,1975
97.42,bel,1976
95.25,bel,1977
93.54,bel,1978
102.4,bel,1979
108.9,bel,1980
114.2,bel,1981
121.6,bel,1982
124.5,bel,1983
130.4,bel,1984
129.0,bel,1985
115.9,bel,1986
112.7,bel,1987
115.1,bel,1988
122.4,bel,1989
117.0,bel,1990
114.6,bel,1991
107.0,bel,1992
110.6,bel,1993
115.8,bel,1994
120.6,bel,1995
125.2,bel,1996
134.7,bel,1997
137.3,bel,1998
135.2,bel,1999
157.3,bel,2000
158.7,bel,2001
163.9,bel,2002
157.4,bel,2003
163.8,bel,2004
173.1,bel,2005
179.7,bel,2006
183.4,bel,2007
185.0,bel,2008
152.6,bel,2009
171.0,bel,2010
74.87,blz,1960
82.02,blz,1961
95.76,blz,1962
95.66,blz,1963
97.63,blz,1964
91.63,blz,1965
91.43,blz,1966
83.67,blz,1967
92.71,blz,1968
98.21,blz,1969
98.0,blz,1970
92.77,blz,1971
104.1,blz,1972
97.73,blz,1973
105.4,blz,1974
131.0,blz,1975
118.5,blz,1976
129.3,blz,1977
136.7,blz,1978
144.0,blz,1979
134.0,blz,1980
145.7,blz,1981
122.2,blz,1982
100.5,blz,1983
117.1,blz,1984
116.2,blz,1985
102.3,blz,1986
88.95,blz,1987
94.32,blz,1988
93.9,blz,1989
83.28,blz,1990
85.0,blz,1991
80.09,blz,1992
74.32,blz,1993
70.6,blz,1994
67.58,blz,1995
65.96,blz,1996
70.62,blz,1997
67.79,blz,1998
75.89,blz,1999
89.17,blz,2000
78.68,blz,2001
74.41,blz,2002
76.57,blz,2003
69.36,blz,2004
71.8,blz,2005
77.06,blz,2006
74.49,blz,2007
84.43,blz,2008
69.21,blz,2009
73.81,blz,2010
21.76,ben,1960
16.93,ben,1961
15.99,ben,1962
18.19,ben,1963
16.41,ben,1964
16.69,ben,1965
14.57,ben,1966
20.87,ben,1967
21.96,ben,1968
24.73,ben,1969
28.98,ben,1970
35.65,ben,1971
31.24,ben,1972
30.78,ben,1973
32.66,ben,1974
32.51,ben,1975
34.94,ben,1976
39.83,ben,1977
36.42,ben,1978
30.86,ben,1979
28.04,ben,1980
44.69,ben,1981
38.49,ben,1982
35.15,ben,1983
43.29,ben,1984
50.68,ben,1985
43.03,ben,1986
38.98,ben,1987
49.01,ben,1988
42.54,ben,1989
29.97,ben,1990
30.41,ben,1991
56.22,ben,1992
45.36,ben,1993
55.39,ben,1994
58.02,ben,1995
53.54,ben,1996
51.23,ben,1997
48.96,ben,1998
49.05,ben,1999
44.57,ben,2000
42.04,ben,2001
41.78,ben,2002
40.27,ben,2003
36.13,ben,2004
37.23,ben,2005
41.48,ben,2006
55.6,ben,2007
53.45,ben,2008
49.04,ben,2009
51.26,ben,2010
56.91,bmu,1980
47.63,bmu,1981
46.85,bmu,1982
45.09,bmu,1983
46.16,bmu,1984
40.98,bmu,1985
43.03,bmu,1986
34.63,bmu,1987
36.68,bmu,1988
38.96,bmu,1989
41.13,bmu,1990
34.56,bmu,1991
38.51,bmu,1992
31.26,bmu,1993
31.22,bmu,1994
29.84,bmu,1995
23.63,bmu,1996
23.05,bmu,1997
21.53,bmu,1998
22.95,bmu,1999
22.15,bmu,2000
20.54,bmu,2001
20.4,bmu,2002
21.14,bmu,2003
23.66,bmu,2004
21.24,bmu,2005
20.7,bmu,2006
20.25,bmu,2007
19.38,bmu,2008
18.88,bmu,2009
17.23,bmu,2010
64.12,btn,1981
58.89,btn,1982
56.5,btn,1983
56.42,btn,1984
63.49,btn,1985
67.29,btn,1986
62.12,btn,1987
77.16,btn,1988
61.21,btn,1989
53.68,btn,1990
59.94,btn,1991
80.15,btn,1992
68.2,btn,1993
62.39,btn,1994
75.05,btn,1995
75.76,btn,1996
74.37,btn,1997
68.03,btn,1998
75.12,btn,1999
65.03,btn,2000
65.18,btn,2001
60.96,btn,2002
62.5,btn,2003
86.05,btn,2004
78.71,btn,2005
92.9,btn,2006
100.4,btn,2007
84.67,btn,2008
81.07,btn,2009
86.41,btn,2010
22.11,bol,1960
22.15,bol,1961
23.42,bol,1962
23.61,bol,1963
24.45,bol,1964
26.83,bol,1965
26.74,bol,1966
27.75,bol,1967
33.55,bol,1968
34.97,bol,1969
34.35,bol,1970
32.02,bol,1971
30.74,bol,1972
38.85,bol,1973
45.07,bol,1974
41.67,bol,1975
41.1,bol,1976
38.72,bol,1977
38.23,bol,1978
37.41,bol,1979
35.42,bol,1980
31.04,bol,1981
24.7,bol,1982
24.56,bol,1983
19.68,bol,1984
24.44,bol,1985
33.15,bol,1986
30.9,bol,1987
25.9,bol,1988
30.39,bol,1989
33.14,bol,1990
34.04,bol,1991
31.89,bol,1992
33.72,bol,1993
37.47,bol,1994
37.59,bol,1995
37.47,bol,1996
38.08,bol,1997
36.33,bol,1998
33.87,bol,1999
36.44,bol,2000
36.76,bol,2001
38.82,bol,2002
39.76,bol,2003
45.48,bol,2004
53.75,bol,2005
58.41,bol,2006
60.33,bol,2007
69.61,bol,2008
53.93,bol,2009
59.29,bol,2010
78.44,bih,1994
66.11,bih,1995
79.61,bih,1996
79.2,bih,1997
85.38,bih,1998
86.56,bih,1999
75.84,bih,2000
76.29,bih,2001
73.34,bih,2002
73.37,bih,2003
76.9,bih,2004
87.98,bih,2005
87.05,bih,2006
91.02,bih,2007
92.96,bih,2008
74.65,bih,2009
84.61,bih,2010
55.32,bwa,1960
51.35,bwa,1961
56.75,bwa,1962
59.99,bwa,1963
59.54,bwa,1964
81.8,bwa,1965
80.21,bwa,1966
75.12,bwa,1967
64.68,bwa,1968
