geo,population_aged_60plus_years_total_number,time
glp,145000,2035
glp,144000,2040
glp,153000,2045
glp,158000,2050
gum,0,1950
gum,1000,1955
gum,1000,1960
gum,2000,1965
gum,2000,1970
gum,3000,1975
gum,4000,1980
gum,7000,1985
gum,8000,1990
gum,11000,1995
gum,13000,2000
gum,15000,2005
gum,20000,2010
gum,24000,2015
gum,30000,2020
gum,35000,2025
gum,40000,2030
gum,45000,2035
gum,48000,2040
gum,50000,2045
gum,53000,2050
gtm,134000,1950
gtm,154000,1955
gtm,182000,1960
gtm,214000,1965
gtm,242000,1970
gtm,282000,1975
gtm,326000,1980
gtm,393000,1985
gtm,477000,1990
gtm,568000,1995
gtm,664000,2000
gtm,777000,2005
gtm,927000,2010
gtm,1089000,2015
gtm,1252000,2020
gtm,1451000,2025
gtm,1702000,2030
gtm,2036000,2035
gtm,2476000,2040
gtm,3031000,2045
gtm,3667000,2050
gin,212000,1950
gin,196000,1955
gin,189000,1960
gin,194000,1965
gin,208000,1970
gin,218000,1975
gin,251000,1980
gin,281000,1985
gin,318000,1990
gin,367000,1995
gin,407000,2000
gin,467000,2005
gin,532000,2010
gin,638000,2015
gin,764000,2020
gin,913000,2025
gin,1086000,2030
gin,1298000,2035
gin,1568000,2040
gin,1905000,2045
gin,2324000,2050
gnb,30000,1950
gnb,29000,1955
gnb,30000,1960
gnb,31000,1965
gnb,33000,1970
gnb,40000,1975
gnb,48000,1980
gnb,52000,1985
gnb,58000,1990
gnb,65000,1995
gnb,70000,2000
gnb,80000,2005
gnb,89000,2010
gnb,112000,2015
gnb,123000,2020
gnb,136000,2025
gnb,143000,2030
gnb,181000,2035
gnb,211000,2040
gnb,242000,2045
gnb,279000,2050
guy,28000,1950
guy,28000,1955
guy,28000,1960
guy,34000,1965
guy,37000,1970
guy,40000,1975
guy,44000,1980
guy,46000,1985
guy,49000,1990
guy,51000,1995
guy,53000,2000
guy,62000,2005
guy,71000,2010
guy,85000,2015
guy,103000,2020
guy,121000,2025
guy,137000,2030
guy,148000,2035
guy,148000,2040
guy,150000,2045
guy,141000,2050
hti,180000,1950
hti,184000,1955
hti,209000,1960
hti,245000,1965
hti,285000,1970
hti,322000,1975
hti,358000,1980
hti,387000,1985
hti,420000,1990
hti,467000,1995
hti,533000,2000
hti,601000,2005
hti,656000,2010
hti,748000,2015
hti,852000,2020
hti,985000,2025
hti,1132000,2030
hti,1305000,2035
hti,1569000,2040
hti,1976000,2045
hti,2412000,2050
hnd,92000,1950
hnd,93000,1955
hnd,103000,1960
hnd,113000,1965
hnd,130000,1970
hnd,153000,1975
hnd,173000,1980
hnd,209000,1985
hnd,248000,1990
hnd,295000,1995
hnd,349000,2000
hnd,402000,2005
hnd,473000,2010
hnd,573000,2015
hnd,694000,2020
hnd,842000,2025
hnd,1020000,2030
hnd,1227000,2035
hnd,1496000,2040
hnd,1822000,2045
hnd,2189000,2050
hkg,75000,1950
hkg,104000,1955
hkg,148000,1960
hkg,209000,1965
hkg,254000,1970
hkg,388000,1975
hkg,506000,1980
hkg,615000,1985
hkg,720000,1990
hkg,862000,1995
hkg,987000,2000
hkg,1080000,2005
hkg,1297000,2010
hkg,1607000,2015
hkg,2023000,2020
hkg,2451000,2025
hkg,2747000,2030
hkg,2989000,2035
hkg,3167000,2040
hkg,3313000,2045
hkg,3403000,2050
hun,1057000,1950
hun,1215000,1955
hun,1396000,1960
hun,1586000,1965
hun,1778000,1970
hun,1927000,1975
hun,1838000,1980
hun,1918000,1985
hun,1965000,1990
hun,2029000,1995
hun,2067000,2000
hun,2145000,2005
hun,2237000,2010
hun,2415000,2015
hun,2504000,2020
hun,2489000,2025
hun,2541000,2030
hun,2668000,2035
hun,2855000,2040
hun,2917000,2045
hun,2953000,2050
isl,15000,1950
isl,17000,1955
isl,20000,1960
isl,22000,1965
isl,25000,1970
isl,28000,1975
isl,30000,1980
isl,34000,1985
isl,38000,1990
isl,41000,1995
isl,43000,2000
isl,46000,2005
isl,55000,2010
isl,64000,2015
isl,76000,2020
isl,88000,2025
isl,97000,2030
isl,107000,2035
isl,118000,2040
isl,127000,2045
isl,134000,2050
ind,20050000,1950
ind,20640000,1955
ind,23310000,1960
ind,26100000,1965
ind,30210000,1970
ind,34770000,1975
ind,40340000,1980
ind,46190000,1985
ind,52900000,1990
ind,60600000,1995
ind,69790000,2000
ind,79400000,2005
ind,91650000,2010
ind,112000000,2015
ind,134500000,2020
ind,158800000,2025
ind,184600000,2030
ind,212700000,2035
ind,244800000,2040
ind,279400000,2045
ind,315600000,2050
idn,4804000,1950
idn,4804000,1955
idn,4877000,1960
idn,5288000,1965
idn,6084000,1970
idn,7048000,1975
idn,7983000,1980
idn,9186000,1985
idn,10990000,1990
idn,13190000,1995
idn,15770000,2000
idn,18300000,2005
idn,20780000,2010
idn,24420000,2015
idn,29650000,2020
idn,36020000,2025
idn,43390000,2030
idn,51140000,2035
idn,58740000,2040
idn,65920000,2045
idn,71590000,2050
irn,1396000,1950
irn,1381000,1955
irn,1408000,1960
irn,1513000,1965
irn,1659000,1970
irn,1832000,1975
irn,2127000,1980
irn,2680000,1985
irn,3093000,1990
irn,3917000,1995
irn,4470000,2000
irn,4917000,2005
irn,5352000,2010
irn,6387000,2015
irn,7997000,2020
irn,9985000,2025
irn,12260000,2030
irn,14640000,2035
irn,17920000,2040
irn,22870000,2045
irn,27240000,2050
irq,258000,1950
irq,320000,1955
irq,409000,1960
irq,530000,1965
irq,651000,1970
irq,759000,1975
irq,829000,1980
irq,858000,1985
irq,906000,1990
irq,1037000,1995
irq,1252000,2000
irq,1430000,2005
irq,1490000,2010
irq,1972000,2015
irq,2336000,2020
irq,2837000,2025
irq,3637000,2030
irq,4610000,2035
irq,5738000,2040
irq,6951000,2045
irq,8336000,2050
irl,439000,1950
irl,434000,1955
irl,448000,1960
irl,445000,1965
irl,464000,1970
irl,493000,1975
irl,505000,1980
irl,513000,1985
irl,532000,1990
irl,550000,1995
irl,576000,2000
irl,634000,2005
irl,738000,2010
irl,850000,2015
irl,969000,2020
irl,1106000,2025
irl,1252000,2030
irl,1433000,2035
irl,1632000,2040
irl,1794000,2045
irl,1895000,2050
isr,78000,1950
isr,124000,1955
isr,170000,1960
isr,240000,1965
isr,308000,1970
isr,395000,1975
isr,443000,1980
isr,510000,1985
isr,557000,1990
isr,702000,1995
isr,804000,2000
isr,883000,2005
isr,1061000,2010
isr,1248000,2015
isr,1423000,2020
isr,1587000,2025
isr,1759000,2030
isr,1978000,2035
isr,2194000,2040
isr,2393000,2045
isr,2584000,2050
ita,5577000,1950
ita,6199000,1955
ita,6904000,1960
ita,7716000,1965
ita,8795000,1970
ita,9757000,1975
ita,9777000,1980
ita,10780000,1985
ita,11910000,1990
ita,13010000,1995
ita,13940000,2000
ita,14780000,2005
ita,16020000,2010
ita,16840000,2015
ita,17760000,2020
ita,19150000,2025
ita,20720000,2030
ita,22110000,2035
ita,22790000,2040
ita,22770000,2045
ita,22310000,2050
jam,81000,1950
jam,97000,1955
jam,108000,1960
jam,142000,1965
jam,158000,1970
jam,170000,1975
jam,198000,1980
jam,215000,1985
jam,230000,1990
jam,236000,1995
jam,255000,2000
jam,274000,2005
jam,293000,2010
jam,321000,2015
jam,370000,2020
jam,443000,2025
jam,510000,2030
jam,556000,2035
jam,574000,2040
jam,592000,2045
jam,618000,2050
jpn,6374000,1950
jpn,7197000,1955
jpn,8223000,1960
jpn,9449000,1965
jpn,11050000,1970
jpn,13060000,1975
jpn,15000000,1980
jpn,17710000,1985
jpn,21460000,1990
jpn,25560000,1995
jpn,29540000,2000
jpn,33780000,2005
jpn,38710000,2010
jpn,41560000,2015
jpn,42670000,2020
jpn,43480000,2025
jpn,44500000,2030
jpn,46330000,2035
jpn,46690000,2040
jpn,46190000,2045
jpn,44910000,2050
jor,35000,1950
jor,44000,1955
jor,55000,1960
jor,60000,1965
jor,77000,1970
jor,83000,1975
jor,103000,1980
jor,139000,1985
jor,154000,1990
jor,177000,1995
jor,229000,2000
jor,300000,2005
jor,359000,2010
jor,409000,2015
jor,492000,2020
jor,631000,2025
jor,831000,2030
jor,1083000,2035
jor,1362000,2040
jor,1680000,2045
jor,1954000,2050
kaz,683000,1950
kaz,732000,1955
kaz,825000,1960
kaz,959000,1965
kaz,1075000,1970
kaz,1207000,1975
kaz,1226000,1980
kaz,1311000,1985
kaz,1587000,1990
kaz,1595000,1995
kaz,1669000,2000
kaz,1562000,2005
kaz,1608000,2010
kaz,1846000,2015
kaz,2150000,2020
kaz,2463000,2025
kaz,2675000,2030
kaz,2932000,2035
kaz,3202000,2040
kaz,3541000,2045
kaz,3993000,2050
ken,385000,1950
ken,424000,1955
ken,475000,1960
ken,535000,1965
ken,598000,1970
ken,665000,1975
ken,744000,1980
ken,843000,1985
ken,976000,1990
ken,1149000,1995
ken,1304000,2000
ken,1439000,2005
ken,1692000,2010
ken,2075000,2015
ken,2506000,2020
ken,2962000,2025
ken,3472000,2030
ken,4173000,2035
ken,5174000,2040
ken,6458000,2045
ken,7939000,2050
prk,383000,1950
prk,324000,1955
prk,297000,1960
prk,285000,1965
prk,346000,1970
prk,547000,1975
prk,802000,1980
prk,1166000,1985
prk,1570000,1990
prk,2071000,1995
prk,2662000,2000
prk,3141000,2005
prk,3432000,2010
prk,3320000,2015
prk,3746000,2020
prk,4183000,2025
prk,5036000,2030
prk,5708000,2035
prk,5712000,2040
prk,5928000,2045
prk,6065000,2050
kor,1000000,1950
kor,1198000,1955
kor,1500000,1960
kor,1510000,1965
kor,1703000,1970
kor,1945000,1975
kor,2268000,1980
kor,2756000,1985
kor,3304000,1990
kor,4127000,1995
kor,5222000,2000
kor,6332000,2005
kor,7564000,2010
kor,9068000,2015
kor,11270000,2020
kor,13400000,2025
kor,15300000,2030
kor,16880000,2035
kor,17670000,2040
kor,18220000,2045
kor,17980000,2050
kwt,6000,1950
kwt,8000,1955
kwt,10000,1960
kwt,11000,1965
kwt,19000,1970
kwt,27000,1975
kwt,32000,1980
kwt,35000,1985
kwt,44000,1990
kwt,37000,1995
kwt,59000,2000
kwt,83000,2005
kwt,124000,2010
kwt,183000,2015
kwt,283000,2020
kwt,417000,2025
kwt,603000,2030
kwt,816000,2035
kwt,1031000,2040
kwt,1197000,2045
kwt,1307000,2050
kgz,216000,1950
kgz,215000,1955
kgz,220000,1960
kgz,245000,1965
kgz,266000,1970
kgz,280000,1975
kgz,281000,1980
kgz,309000,1985
kgz,364000,1990
kgz,364000,1995
kgz,406000,2000
kgz,382000,2005
kgz,403000,2010
kgz,480000,2015
kgz,602000,2020
kgz,740000,2025
kgz,849000,2030
kgz,981000,2035
kgz,1109000,2040
kgz,1265000,2045
kgz,1454000,2050
lao,64000,1950
lao,80000,1955
lao,97000,1960
lao,116000,1965
lao,137000,1970
lao,160000,1975
lao,183000,1980
lao,208000,1985
lao,235000,1990
lao,262000,1995
lao,291000,2000
lao,318000,2005
lao,357000,2010
lao,424000,2015
lao,506000,2020
lao,614000,2025
lao,740000,2030
lao,891000,2035
lao,1055000,2040
lao,1264000,2045
lao,1542000,2050
lva,304000,1950
lva,307000,1955
lva,317000,1960
lva,365000,1965
lva,407000,1970
lva,437000,1975
lva,416000,1980
lva,428000,1985
lva,464000,1990
lva,482000,1995
lva,504000,2000
lva,511000,2005
lva,505000,2010
lva,516000,2015
lva,533000,2020
lva,552000,2025
lva,559000,2030
lva,572000,2035
lva,584000,2040
lva,607000,2045
lva,642000,2050
lbn,149000,1950
lbn,153000,1955
lbn,160000,1960
lbn,168000,1965
lbn,180000,1970
lbn,200000,1975
lbn,200000,1980
lbn,213000,1985
lbn,235000,1990
lbn,326000,1995
lbn,379000,2000
lbn,410000,2005
lbn,443000,2010
lbn,504000,2015
lbn,595000,2020
lbn,703000,2025
lbn,821000,2030
lbn,948000,2035
lbn,1072000,2040
lbn,1195000,2045
lbn,1296000,2050
lso,51000,1950
lso,53000,1955
lso,57000,1960
lso,62000,1965
lso,67000,1970
lso,74000,1975
lso,82000,1980
lso,95000,1985
lso,106000,1990
lso,119000,1995
lso,132000,2000
lso,136000,2005
lso,147000,2010
lso,156000,2015
lso,169000,2020
lso,169000,2025
lso,160000,2030
lso,156000,2035
lso,168000,2040
lso,195000,2045
lso,232000,2050
lbr,41000,1950
lbr,45000,1955
lbr,52000,1960
lbr,59000,1965
lbr,69000,1970
lbr,82000,1975
lbr,94000,1980
lbr,109000,1985
lbr,102000,1990
lbr,92000,1995
lbr,132000,2000
lbr,159000,2005
lbr,200000,2010
lbr,234000,2015
lbr,291000,2020
lbr,360000,2025
lbr,434000,2030
lbr,504000,2035
lbr,604000,2040
lbr,728000,2045
lbr,877000,2050
lby,74000,1950
lby,74000,1955
lby,80000,1960
lby,88000,1965
lby,88000,1970
lby,90000,1975
lby,114000,1980
lby,146000,1985
lby,181000,1990
lby,227000,1995
lby,285000,2000
lby,354000,2005
lby,435000,2010
lby,540000,2015
lby,677000,2020
lby,842000,2025
lby,1052000,2030
lby,1337000,2035
lby,1666000,2040
lby,2042000,2045
lby,2273000,2050
ltu,340000,1950
ltu,337000,1955
ltu,329000,1960
ltu,405000,1965
ltu,470000,1970
ltu,498000,1975
ltu,489000,1980
ltu,521000,1985
ltu,597000,1990
ltu,636000,1995
ltu,670000,2000
ltu,693000,2005
ltu,700000,2010
ltu,714000,2015
ltu,757000,2020
ltu,804000,2025
ltu,830000,2030
ltu,842000,2035
ltu,834000,2040
ltu,842000,2045
ltu,871000,2050
lux,42000,1950
lux,46000,1955
lux,50000,1960
lux,59000,1965
lux,62000,1970
lux,67000,1975
lux,65000,1980
lux,66000,1985
lux,72000,1990
lux,78000,1995
lux,82000,2000
lux,86000,2005
lux,94000,2010
lux,102000,2015
lux,115000,2020
lux,134000,2025
lux,150000,2030
lux,164000,2035
lux,175000,2040
lux,185000,2045
lux,197000,2050
mac,9000,1950
mac,11000,1955
mac,15000,1960
mac,15000,1965
mac,18000,1970
mac,21000,1975
mac,28000,1980
mac,29000,1985
mac,35000,1990
mac,39000,1995
mac,43000,2000
mac,48000,2005
mac,65000,2010
mac,91000,2015
mac,127000,2020
mac,162000,2025
mac,194000,2030
mac,221000,2035
mac,237000,2040
mac,245000,2045
mac,259000,2050
mkd,138000,1950
mkd,119000,1955
mkd,109000,1960
mkd,115000,1965
mkd,141000,1970
mkd,155000,1975
mkd,164000,1980
mkd,188000,1985
mkd,219000,1990
mkd,261000,1995
mkd,291000,2000
mkd,316000,2005
mkd,343000,2010
mkd,386000,2015
mkd,430000,2020
mkd,468000,2025
mkd,500000,2030
mkd,528000,2035
mkd,560000,2040
mkd,590000,2045
mkd,612000,2050
mdg,219000,1950
mdg,248000,1955
mdg,281000,1960
mdg,334000,1965
mdg,399000,1970
mdg,432000,1975
mdg,458000,1980
mdg,507000,1985
mdg,564000,1990
mdg,643000,1995
mdg,727000,2000
mdg,815000,2005
mdg,932000,2010
mdg,1144000,2015
mdg,1413000,2020
mdg,1735000,2025
mdg,2123000,2030
mdg,2600000,2035
mdg,3152000,2040
mdg,3675000,2045
mdg,4403000,2050
mwi,142000,1950
mwi,145000,1955
mwi,149000,1960
mwi,159000,1965
mwi,167000,1970
mwi,225000,1975
mwi,279000,1980
mwi,305000,1985
mwi,403000,1990
mwi,489000,1995
mwi,555000,2000
mwi,643000,2005
mwi,761000,2010
mwi,885000,2015
mwi,1029000,2020
mwi,1189000,2025
mwi,1343000,2030
mwi,1503000,2035
mwi,1811000,2040
mwi,2186000,2045
mwi,2652000,2050
mys,448000,1950
mys,415000,1955
mys,431000,1960
mys,474000,1965
mys,602000,1970
mys,685000,1975
mys,787000,1980
mys,882000,1985
mys,1026000,1990
mys,1192000,1995
mys,1433000,2000
mys,1713000,2005
mys,2172000,2010
mys,2799000,2015
mys,3594000,2020
mys,4468000,2025
mys,5283000,2030
mys,6096000,2035
mys,6908000,2040
mys,7873000,2045
mys,8817000,2050
mdv,7000,1950
mdv,7000,1955
mdv,7000,1960
mdv,8000,1965
mdv,8000,1970
mdv,9000,1975
mdv,11000,1980
mdv,10000,1985
mdv,11000,1990
mdv,12000,1995
mdv,15000,2000
mdv,17000,2005
mdv,18000,2010
mdv,21000,2015
mdv,27000,2020
mdv,33000,2025
mdv,44000,2030
mdv,56000,2035
mdv,71000,2040
mdv,91000,2045
mdv,112000,2050
mli,211000,1950
mli,238000,1955
mli,263000,1960
mli,285000,1965
mli,306000,1970
mli,333000,1975
mli,358000,1980
mli,383000,1985
mli,404000,1990
mli,426000,1995
mli,452000,2000
mli,477000,2005
mli,504000,2010
mli,536000,2015
mli,619000,2020
mli,734000,2025
mli,895000,2030
mli,1100000,2035
mli,1340000,2040
mli,1670000,2045
mli,2074000,2050
mlt,28000,1950
mlt,31000,1955
mlt,35000,1960
mlt,35000,1965
mlt,41000,1970
mlt,40000,1975
mlt,43000,1980
mlt,48000,1985
mlt,52000,1990
mlt,60000,1995
mlt,66000,2000
mlt,74000,2005
mlt,89000,2010
mlt,102000,2015
mlt,114000,2020
mlt,121000,2025
mlt,124000,2030
mlt,129000,2035
mlt,139000,2040
mlt,147000,2045
mlt,154000,2050
mtq,16000,1950
mtq,16000,1955
mtq,20000,1960
mtq,21000,1965
mtq,26000,1970
mtq,32000,1975
mtq,37000,1980
mtq,42000,1985
mtq,48000,1990
mtq,54000,1995
mtq,61000,2000
mtq,70000,2005
mtq,78000,2010
mtq,90000,2015
mtq,101000,2020
mtq,116000,2025
mtq,127000,2030
mtq,135000,2035
mtq,135000,2040
mtq,134000,2045
mtq,136000,2050
mrt,18000,1950
mrt,26000,1955
mrt,35000,1960
mrt,41000,1965
mrt,51000,1970
mrt,59000,1975
mrt,69000,1980
mrt,80000,1985
mrt,90000,1990
mrt,102000,1995
mrt,115000,2000
mrt,129000,2005
mrt,148000,2010
mrt,172000,2015
mrt,210000,2020
mrt,259000,2025
mrt,323000,2030
mrt,400000,2035
mrt,493000,2040
mrt,592000,2045
mrt,701000,2050
mus,22000,1950
mus,23000,1955
mus,26000,1960
mus,29000,1965
mus,34000,1970
mus,41000,1975
mus,57000,1980
mus,66000,1985
mus,76000,1990
mus,89000,1995
mus,105000,2000
mus,123000,2005
mus,151000,2010
mus,182000,2015
mus,214000,2020
mus,251000,2025
mus,293000,2030
mus,326000,2035
mus,348000,2040
mus,365000,2045
mus,373000,2050
myt,2000,1950
myt,2000,1955
myt,2000,1960
myt,3000,1965
myt,3000,1970
myt,3000,1975
myt,3000,1980
myt,3000,1985
myt,4000,1990
myt,5000,1995
myt,6000,2000
myt,8000,2005
myt,10000,2010
myt,11000,2015
myt,15000,2020
myt,20000,2025
myt,26000,2030
myt,33000,2035
myt,41000,2040
myt,53000,2045
myt,63000,2050
mex,1487000,1950
mex,1672000,1955
mex,2026000,1960
mex,2466000,1965
mex,2877000,1970
mex,3349000,1975
mex,3805000,1980
mex,4530000,1985
mex,5397000,1990
mex,6378000,1995
mex,7417000,2000
mex,8768000,2005
mex,10360000,2010
mex,12720000,2015
mex,15430000,2020
mex,18540000,2025
mex,22370000,2030
mex,27070000,2035
mex,31060000,2040
mex,34050000,2045
mex,36430000,2050
fsm,2000,1950
fsm,2000,1955
fsm,2000,1960
fsm,3000,1965
fsm,3000,1970
fsm,4000,1975
fsm,3000,1980
fsm,4000,1985
fsm,5000,1990
fsm,5000,1995
fsm,6000,2000
fsm,6000,2005
fsm,6000,2010
fsm,8000,2015
fsm,10000,2020
fsm,11000,2025
fsm,12000,2030
fsm,12000,2035
fsm,14000,2040
fsm,16000,2045
fsm,20000,2050
mda,263000,1950
mda,259000,1955
mda,271000,1960
mda,308000,1965
mda,350000,1970
mda,415000,1975
mda,434000,1980
mda,497000,1985
mda,558000,1990
mda,568000,1995
mda,587000,2000
mda,558000,2005
mda,571000,2010
mda,633000,2015
mda,699000,2020
mda,748000,2025
mda,742000,2030
mda,729000,2035
mda,731000,2040
mda,772000,2045
mda,853000,2050
mng,41000,1950
mng,45000,1955
mng,50000,1960
mng,54000,1965
mng,59000,1970
mng,67000,1975
mng,79000,1980
mng,93000,1985
mng,130000,1990
mng,129000,1995
mng,125000,2000
mng,146000,2005
mng,161000,2010
mng,191000,2015
mng,252000,2020
mng,334000,2025
mng,416000,2030
mng,509000,2035
mng,608000,2040
mng,712000,2045
mng,836000,2050
mne,41000,1950
mne,43000,1955
mne,47000,1960
mne,53000,1965
mne,56000,1970
mne,62000,1975
mne,62000,1980
mne,64000,1985
mne,76000,1990
mne,84000,1995
mne,95000,2000
mne,105000,2005
mne,110000,2010
mne,122000,2015
mne,136000,2020
mne,143000,2025
mne,151000,2030
mne,156000,2035
mne,164000,2040
mne,173000,2045
mne,183000,2050
mar,411000,1950
mar,441000,1955
mar,503000,1960
mar,704000,1965
mar,950000,1970
mar,899000,1975
mar,1235000,1980
mar,1290000,1985
mar,1552000,1990
mar,1772000,1995
mar,2071000,2000
mar,2279000,2005
mar,2611000,2010
mar,3154000,2015
mar,3990000,2020
mar,4789000,2025
mar,5603000,2030
mar,6501000,2035
mar,7449000,2040
mar,8642000,2045
mar,9766000,2050
moz,303000,1950
moz,328000,1955
moz,362000,1960
moz,407000,1965
moz,462000,1970
moz,524000,1975
moz,599000,1980
moz,664000,1985
moz,701000,1990
moz,791000,1995
moz,905000,2000
moz,1036000,2005
moz,1193000,2010
moz,1375000,2015
moz,1584000,2020
moz,1803000,2025
moz,2023000,2030
moz,2265000,2035
moz,2541000,2040
moz,2907000,2045
moz,3409000,2050
mmr,978000,1950
mmr,1116000,1955
mmr,1289000,1960
mmr,1504000,1965
mmr,1738000,1970
mmr,2000000,1975
mmr,2338000,1980
mmr,2683000,1985
mmr,3052000,1990
mmr,3368000,1995
mmr,3581000,2000
mmr,3756000,2005
mmr,4132000,2010
mmr,5102000,2015
mmr,6225000,2020
mmr,7464000,2025
mmr,8864000,2030
mmr,10500000,2035
mmr,12070000,2040
mmr,13680000,2045
mmr,14970000,2050
nam,31000,1950
nam,31000,1955
nam,35000,1960
nam,40000,1965
nam,43000,1970
nam,48000,1975
nam,56000,1980
nam,63000,1985
nam,74000,1990
nam,82000,1995
nam,94000,2000
nam,107000,2005
nam,126000,2010
nam,149000,2015
nam,177000,2020
nam,210000,2025
nam,239000,2030
nam,269000,2035
nam,307000,2040
nam,363000,2045
nam,433000,2050
npl,307000,1950
npl,378000,1955
npl,442000,1960
npl,512000,1965
npl,588000,1970
npl,670000,1975
npl,762000,1980
npl,870000,1985
npl,998000,1990
npl,1155000,1995
npl,1365000,2000
npl,1616000,2005
npl,1846000,2010
npl,2157000,2015
npl,2555000,2020
npl,3055000,2025
npl,3665000,2030
npl,4411000,2035
npl,5336000,2040
npl,6422000,2045
npl,7649000,2050
nld,1159000,1950
nld,1326000,1955
nld,1508000,1960
nld,1704000,1965
nld,1894000,1970
nld,2067000,1975
nld,2221000,1980
nld,2429000,1985
nld,2594000,1990
nld,2740000,1995
nld,2896000,2000
nld,3140000,2005
nld,3650000,2010
nld,4074000,2015
nld,4518000,2020
nld,4992000,2025
nld,5396000,2030
nld,5582000,2035
nld,5559000,2040
nld,5484000,2045
nld,5445000,2050
ant,9000,1950
ant,9000,1955
ant,9000,1960
ant,11000,1965
ant,12000,1970
ant,15000,1975
ant,17000,1980
ant,18000,1985
ant,19000,1990
ant,21000,1995
ant,23000,2000
ant,26000,2005
ant,30000,2010
ant,36000,2015
ant,44000,2020
ant,53000,2025
ant,60000,2030
ant,66000,2035
ant,71000,2040
ant,75000,2045
ant,76000,2050
ncl,3000,1950
ncl,4000,1955
ncl,4000,1960
ncl,5000,1965
ncl,6000,1970
ncl,8000,1975
ncl,8000,1980
ncl,10000,1985
ncl,12000,1990
ncl,14000,1995
ncl,18000,2000
ncl,24000,2005
ncl,29000,2010
ncl,34000,2015
ncl,42000,2020
ncl,51000,2025
ncl,61000,2030
ncl,70000,2035
ncl,79000,2040
ncl,86000,2045
ncl,94000,2050
nzl,250000,1950
nzl,270000,1955
nzl,290000,1960
nzl,311000,1965
nzl,352000,1970
nzl,393000,1975
nzl,431000,1980
nzl,471000,1985
nzl,518000,1990
nzl,569000,1995
nzl,611000,2000
nzl,678000,2005
nzl,783000,2010
nzl,893000,2015
nzl,1029000,2020
nzl,1184000,2025
nzl,1306000,2030
nzl,1386000,2035
nzl,1436000,2040
nzl,1493000,2045
nzl,1562000,2050
nic,60000,1950
nic,65000,1955
nic,72000,1960
nic,82000,1965
nic,98000,1970
nic,117000,1975
nic,141000,1980
nic,170000,1985
nic,201000,1990
nic,236000,1995
nic,275000,2000
nic,325000,2005
nic,363000,2010
nic,457000,2015
nic,572000,2020
nic,698000,2025
nic,834000,2030
nic,997000,2035
nic,1190000,2040
nic,1422000,2045
nic,1645000,2050
ner,40000,1950
ner,57000,1955
ner,81000,1960
ner,107000,1965
ner,134000,1970
ner,164000,1975
ner,194000,1980
ner,231000,1985
ner,277000,1990
ner,325000,1995
ner,383000,2000
ner,463000,2005
ner,554000,2010
ner,647000,2015
ner,800000,2020
ner,1018000,2025
ner,1221000,2030
ner,1485000,2035
ner,1831000,2040
ner,2247000,2045
ner,2785000,2050
nga,1875000,1950
nga,2111000,1955
nga,2362000,1960
nga,2572000,1965
nga,2815000,1970
nga,3121000,1975
nga,3565000,1980
nga,4085000,1985
nga,4637000,1990
nga,5225000,1995
nga,5965000,2000
nga,6864000,2005
nga,7793000,2010
nga,8977000,2015
nga,10320000,2020
nga,11810000,2025
nga,13550000,2030
nga,15890000,2035
nga,19150000,2040
nga,23170000,2045
nga,27720000,2050
nor,453000,1950
nor,504000,1955
nor,580000,1960
nor,637000,1965
nor,703000,1970
nor,765000,1975
nor,828000,1980
nor,882000,1985
nor,888000,1990
nor,872000,1995
nor,859000,2000
nor,909000,2005
nor,1025000,2010
nor,1127000,2015
nor,1240000,2020
nor,1366000,2025
nor,1501000,2030
nor,1610000,2035
nor,1666000,2040
nor,1706000,2045
nor,1762000,2050
omn,22000,1950
omn,23000,1955
omn,27000,1960
omn,30000,1965
omn,33000,1970
omn,39000,1975
omn,43000,1980
omn,49000,1985
omn,56000,1990
omn,68000,1995
omn,84000,2000
omn,110000,2005
omn,140000,2010
omn,189000,2015
omn,253000,2020
omn,342000,2025
omn,442000,2030
omn,538000,2035
omn,674000,2040
omn,847000,2045
omn,1006000,2050
pak,4318000,1950
pak,4324000,1955
pak,4436000,1960
pak,4691000,1965
pak,5020000,1970
pak,5218000,1975
pak,5456000,1980
pak,5936000,1985
pak,6543000,1990
pak,7261000,1995
pak,8378000,2000
pak,9861000,2005
pak,11460000,2010
pak,13470000,2015
pak,16090000,2020
pak,19360000,2025
pak,23340000,2030
pak,28140000,2035
pak,33850000,2040
pak,40920000,2045
pak,49800000,2050
pan,56000,1950
pan,64000,1955
pan,76000,1960
pan,86000,1965
pan,96000,1970
pan,112000,1975
pan,132000,1980
pan,152000,1985
pan,175000,1990
pan,204000,1995
pan,236000,2000
pan,285000,2005
pan,341000,2010
pan,412000,2015
pan,502000,2020
pan,610000,2025
pan,732000,2030
pan,858000,2035
pan,967000,2040
pan,1064000,2045
pan,1163000,2050
png,109000,1950
png,88000,1955
png,86000,1960
png,83000,1965
png,96000,1970
png,106000,1975
png,116000,1980
png,134000,1985
png,152000,1990
png,173000,1995
png,206000,2000
png,240000,2005
png,293000,2010
png,366000,2015
png,462000,2020
png,593000,2025
png,738000,2030
png,902000,2035
png,1051000,2040
png,1221000,2045
png,1417000,2050
pry,67000,1950
pry,80000,1955
pry,96000,1960
pry,114000,1965
pry,135000,1970
pry,158000,1975
pry,187000,1980
pry,221000,1985
pry,261000,1990
pry,295000,1995
pry,348000,2000
pry,412000,2005
pry,495000,2010
pry,606000,2015
pry,732000,2020
pry,863000,2025
pry,1002000,2030
pry,1134000,2035
pry,1310000,2040
