geo,population_aged_60plus_years_total_number,time
brb,68000,2025
brb,77000,2030
brb,82000,2035
brb,85000,2040
brb,85000,2045
brb,85000,2050
blr,973000,1950
blr,952000,1955
blr,961000,1960
blr,1062000,1965
blr,1192000,1970
blr,1332000,1975
blr,1327000,1980
blr,1458000,1985
blr,1695000,1990
blr,1825000,1995
blr,1913000,2000
blr,1777000,2005
blr,1755000,2010
blr,1833000,2015
blr,2009000,2020
blr,2156000,2025
blr,2195000,2030
blr,2262000,2035
blr,2331000,2040
blr,2446000,2045
blr,2549000,2050
bel,1373000,1950
bel,1472000,1955
bel,1614000,1960
bel,1742000,1965
bel,1826000,1970
bel,1876000,1975
bel,1806000,1980
bel,1913000,1985
bel,2042000,1990
bel,2162000,1995
bel,2246000,2000
bel,2294000,2005
bel,2501000,2010
bel,2720000,2015
bel,2982000,2020
bel,3254000,2025
bel,3466000,2030
bel,3601000,2035
bel,3669000,2040
bel,3705000,2045
bel,3717000,2050
blz,4000,1950
blz,4000,1955
blz,6000,1960
blz,6000,1965
blz,7000,1970
blz,9000,1975
blz,9000,1980
blz,9000,1985
blz,12000,1990
blz,12000,1995
blz,15000,2000
blz,15000,2005
blz,19000,2010
blz,21000,2015
blz,29000,2020
blz,38000,2025
blz,48000,2030
blz,60000,2035
blz,71000,2040
blz,84000,2045
blz,99000,2050
ben,227000,1950
ben,204000,1955
ben,200000,1960
ben,205000,1965
ben,213000,1970
ben,222000,1975
ben,233000,1980
ben,244000,1985
ben,260000,1990
ben,288000,1995
ben,329000,2000
ben,394000,2005
ben,462000,2010
ben,544000,2015
ben,652000,2020
ben,797000,2025
ben,979000,2030
ben,1193000,2035
ben,1451000,2040
ben,1756000,2045
ben,2109000,2050
btn,7000,1950
btn,7000,1955
btn,10000,1960
btn,11000,1965
btn,12000,1970
btn,17000,1975
btn,20000,1980
btn,24000,1985
btn,29000,1990
btn,31000,1995
btn,38000,2000
btn,43000,2005
btn,50000,2010
btn,60000,2015
btn,72000,2020
btn,83000,2025
btn,100000,2030
btn,119000,2035
btn,147000,2040
btn,185000,2045
btn,219000,2050
bol,152000,1950
bol,167000,1955
bol,184000,1960
bol,208000,1965
bol,233000,1970
bol,265000,1975
bol,296000,1980
bol,336000,1985
bol,400000,1990
bol,466000,1995
bol,538000,2000
bol,615000,2005
bol,720000,2010
bol,845000,2015
bol,999000,2020
bol,1176000,2025
bol,1387000,2030
bol,1650000,2035
bol,1931000,2040
bol,2244000,2045
bol,2610000,2050
bih,162000,1950
bih,165000,1955
bih,191000,1960
bih,223000,1965
bih,276000,1970
bih,304000,1975
bih,313000,1980
bih,359000,1985
bih,450000,1990
