geo,lung_cancer_deaths_per_100000_men,time
hrv,59.75,1996
hrv,61.66,1997
hrv,62.57,1998
hrv,61.28,1999
hrv,58.44,2000
hrv,61.9,2001
hrv,58.98,2002
cub,34.95,1964
cub,34.62,1968
cub,36.34,1969
cub,38.54,1970
cub,39.17,1971
cub,39.65,1972
cub,40.06,1973
cub,39.06,1974
cub,36.96,1975
cub,39.99,1976
cub,39.53,1977
cub,36.81,1978
cub,38.4,1979
cub,37.08,1980
cub,38.17,1981
cub,37.46,1982
cub,37.11,1983
cub,38.47,1984
cub,37.18,1985
cub,37.67,1986
cub,37.08,1987
cub,38.33,1988
cub,36.39,1989
cub,36.57,1990
cub,36.59,1991
cub,35.98,1992
cub,33.47,1993
cub,34.66,1994
cub,34.71,1995
cub,35.52,1996
cub,34.36,1997
cub,35.08,1998
cub,33.96,1999
cub,33.71,2000
cub,33.43,2001
cub,35.8,2002
cyp,24.8,2002
cze,80.43,1986
cze,77.85,1987
cze,78.65,1988
cze,75.84,1989
cze,77.83,1990
cze,75.43,1991
cze,75.67,1992
cze,73.28,1993
cze,68.41,1994
cze,70.02,1995
cze,66.19,1996
cze,65.6,1997
cze,61.26,1998
cze,61.74,1999
cze,61.98,2000
cze,58.58,2001
cze,57.02,2002
cheslo,28.43,1953
cheslo,31.58,1954
cheslo,34.97,1955
cheslo,36.65,1956
cheslo,38.54,1957
cheslo,41.06,1958
cheslo,44.11,1959
cheslo,47.27,1960
cheslo,50.48,1961
cheslo,52.08,1962
cheslo,55.23,1963
cheslo,56.64,1964
cheslo,57.88,1965
cheslo,60.53,1966
cheslo,62.11,1967
cheslo,59.99,1968
cheslo,61.08,1969
cheslo,61.8,1970
cheslo,63.54,1971
cheslo,62.23,1972
cheslo,63.52,1973
cheslo,65.52,1974
cheslo,66.35,1975
cheslo,65.76,1976
cheslo,67.65,1977
cheslo,68.63,1978
cheslo,67.55,1979
cheslo,70.23,1980
cheslo,69.6,1981
cheslo,69.95,1982
cheslo,71.64,1983
cheslo,72.73,1984
cheslo,72.65,1985
cheslo,74.95,1986
cheslo,73.76,1987
cheslo,74.68,1988
cheslo,73.58,1989
cheslo,74.79,1990
cheslo,72.66,1991
dnk,15.82,1951
dnk,18.34,1952
dnk,18.08,1953
dnk,18.64,1954
dnk,21.56,1955
dnk,23.68,1956
dnk,24.69,1957
dnk,23.84,1958
dnk,28.82,1959
dnk,29.27,1960
dnk,32.26,1961
dnk,31.2,1962
dnk,35.0,1963
dnk,35.72,1964
dnk,38.26,1965
dnk,37.57,1966
dnk,39.6,1967
dnk,40.71,1968
dnk,41.74,1969
dnk,40.76,1970
dnk,44.27,1971
dnk,48.78,1972
dnk,45.12,1973
dnk,47.2,1974
dnk,46.36,1975
dnk,46.9,1976
dnk,48.11,1977
dnk,52.35,1978
dnk,52.93,1979
dnk,52.84,1980
dnk,54.48,1981
dnk,54.51,1982
dnk,54.66,1983
dnk,54.9,1984
dnk,55.83,1985
dnk,54.55,1986
dnk,54.03,1987
dnk,52.91,1988
dnk,53.82,1989
dnk,52.46,1990
dnk,48.33,1991
dnk,49.02,1992
dnk,51.92,1993
dnk,49.18,1994
dnk,49.72,1995
dnk,48.44,1996
dnk,46.44,1997
dnk,43.19,1998
dnk,43.81,1999
dnk,44.2,2000
dnk,42.15,2001
dnk,40.1,2002
dji,3.5,2002
dom,3.51,1965
dom,2.77,1966
dom,3.9,1967
dom,4.46,1968
dom,3.11,1969
dom,3.7,1970
dom,4.13,1971
dom,4.56,1972
dom,3.57,1973
dom,3.65,1974
dom,3.52,1975
dom,3.9,1976
dom,4.2,1977
dom,3.96,1978
dom,3.84,1979
dom,4.8,1980
dom,5.81,1981
dom,6.06,1982
dom,6.69,1983
dom,6.56,1984
dom,6.47,1985
dom,5.67,1986
dom,6.21,1987
dom,6.27,1988
dom,6.17,1989
dom,6.42,1990
dom,5.25,1991
dom,5.68,1992
dom,5.81,1994
dom,5.21,1995
dom,6.65,1996
dom,6.72,1997
dom,7.38,1998
dom,8.29,1999
dom,7.05,2000
dom,7.19,2001
dom,6.985,2002
ecu,2.64,1961
ecu,3.49,1963
ecu,2.83,1964
ecu,2.57,1968
ecu,4.13,1969
ecu,3.55,1970
ecu,3.92,1971
ecu,3.86,1972
ecu,3.16,1973
ecu,3.68,1974
ecu,3.36,1975
ecu,3.96,1977
ecu,4.15,1978
ecu,5.48,1979
ecu,5.2,1980
ecu,5.37,1981
ecu,5.98,1982
ecu,6.35,1983
ecu,6.23,1984
ecu,7.39,1985
ecu,6.38,1986
ecu,6.73,1987
ecu,6.52,1988
ecu,6.52,1989
ecu,7.31,1990
ecu,7.25,1991
ecu,7.47,1992
ecu,7.43,1993
ecu,6.28,1994
ecu,7.14,1995
ecu,6.57,1996
ecu,6.98,1997
ecu,7.05,1998
ecu,6.1,1999
ecu,6.53,2000
ecu,6.44,2001
ecu,7.18,2002
egy,8.4,2002
slv,0.42,1950
slv,1.82,1951
slv,0.76,1952
slv,1.25,1953
slv,1.36,1954
slv,0.87,1955
slv,2.22,1956
slv,1.74,1957
slv,1.65,1958
slv,1.82,1959
slv,1.44,1960
slv,2.57,1961
slv,0.39,1962
slv,1.31,1963
slv,1.58,1964
slv,1.17,1965
slv,0.83,1966
slv,1.55,1967
slv,1.3,1968
slv,1.34,1969
slv,1.48,1970
slv,1.01,1971
slv,1.65,1972
slv,2.63,1973
slv,2.63,1974
slv,2.06,1981
slv,2.01,1982
slv,2.19,1983
slv,2.0,1984
slv,3.75,1990
slv,2.6,1991
slv,3.0,1992
slv,3.78,1993
slv,2.43,1995
slv,4.68,1996
slv,4.09,1997
slv,3.95,1998
slv,3.4,1999
slv,4.74,2000
slv,5.54,2001
slv,5.95,2002
gnq,4.6,2002
eri,3.5,2002
est,60.89,1981
est,63.58,1982
est,59.34,1985
est,60.51,1986
est,61.73,1987
est,69.65,1988
est,67.82,1989
est,65.05,1990
est,78.82,1991
est,70.7,1992
est,67.6,1993
est,66.93,1994
est,70.93,1995
est,63.57,1996
est,65.87,1997
est,65.85,1998
est,59.57,1999
est,62.2,2000
est,59.68,2001
est,60.51,2002
eth,2.6,2002
fji,0.4,2002
fin,39.72,1952
fin,48.49,1953
fin,43.84,1954
fin,48.1,1955
fin,45.12,1956
fin,52.52,1957
fin,56.49,1958
fin,57.09,1959
fin,58.56,1960
fin,58.78,1961
fin,61.43,1962
fin,61.99,1963
fin,61.91,1964
fin,63.55,1965
fin,62.31,1966
fin,64.07,1967
fin,67.02,1968
fin,69.76,1969
fin,67.12,1970
fin,70.21,1971
fin,64.51,1972
fin,65.83,1973
fin,65.21,1974
fin,60.79,1975
fin,68.74,1976
fin,66.17,1977
fin,65.94,1978
fin,67.23,1979
fin,64.89,1980
fin,65.29,1981
fin,58.56,1982
fin,61.49,1983
fin,58.15,1984
fin,58.08,1985
fin,53.13,1986
fin,53.53,1987
fin,50.84,1988
fin,47.61,1989
fin,48.56,1990
fin,44.45,1991
fin,47.25,1992
fin,44.38,1993
fin,41.07,1994
fin,41.3,1995
fin,39.4,1996
fin,37.67,1997
fin,37.42,1998
fin,34.49,1999
fin,33.48,2000
fin,32.83,2001
fin,31.41,2002
fra,10.66,1950
fra,13.53,1952
fra,14.37,1953
fra,15.97,1954
fra,16.39,1955
fra,17.27,1956
fra,19.44,1957
fra,19.42,1958
fra,20.71,1959
fra,21.84,1960
fra,23.16,1961
fra,24.0,1962
fra,25.74,1963
fra,26.42,1964
fra,27.64,1965
fra,29.03,1966
fra,29.53,1967
fra,30.14,1968
fra,31.15,1969
fra,30.96,1970
fra,32.46,1971
fra,34.16,1972
fra,34.66,1973
fra,36.03,1974
fra,37.1,1975
fra,39.3,1976
fra,39.95,1977
fra,41.95,1978
fra,42.27,1979
fra,43.36,1980
fra,44.26,1981
fra,44.21,1982
fra,44.1,1983
fra,44.97,1984
fra,45.79,1985
fra,46.65,1986
fra,47.43,1987
fra,47.98,1988
fra,48.06,1989
fra,47.57,1990
fra,48.38,1991
fra,48.23,1992
fra,47.87,1993
fra,46.49,1994
fra,46.83,1995
fra,46.52,1996
fra,46.02,1997
fra,46.43,1998
fra,45.64,1999
fra,44.61,2000
fra,43.97,2001
fra,43.64,2002
pyf,16.0,2002
gab,9.5,2002
gmb,4.9,2002
geo,31.6,2002
deu,46.91,1973
deu,47.41,1974
deu,48.31,1975
deu,48.66,1976
deu,49.08,1977
deu,49.96,1978
deu,49.66,1980
deu,49.61,1981
deu,49.67,1982
deu,50.06,1983
deu,49.59,1984
deu,50.04,1985
deu,49.02,1986
deu,48.81,1987
deu,49.24,1988
deu,48.72,1989
deu,48.35,1990
deu,48.44,1991
deu,47.86,1992
deu,47.9,1993
deu,46.33,1994
deu,46.61,1995
deu,44.85,1996
deu,44.0,1997
deu,43.21,1998
deu,41.65,1999
deu,42.07,2000
deu,40.15,2001
deu,39.52,2002
gha,2.4,2002
grc,24.32,1961
grc,28.58,1962
grc,28.73,1963
grc,29.83,1964
grc,31.68,1965
grc,30.86,1966
grc,32.57,1967
grc,32.02,1968
grc,32.21,1969
grc,31.19,1970
grc,31.84,1971
grc,33.34,1972
grc,38.56,1973
grc,40.57,1974
grc,38.98,1975
grc,42.2,1976
grc,43.0,1977
grc,44.71,1978
grc,45.37,1979
grc,43.11,1980
grc,44.73,1981
grc,45.99,1982
grc,47.35,1983
grc,47.44,1984
grc,49.5,1985
grc,48.81,1986
grc,48.38,1987
grc,48.46,1988
grc,50.31,1989
grc,49.38,1990
grc,49.97,1991
grc,49.1,1992
grc,50.62,1993
grc,50.75,1994
grc,49.69,1995
grc,49.93,1996
grc,49.21,1997
grc,48.41,1998
grc,48.9,1999
grc,48.76,2000
grc,48.37,2001
grc,46.22,2002
gum,40.5,2002
gtm,1.53,1963
gtm,2.69,1964
gtm,2.34,1965
gtm,1.71,1966
gtm,1.68,1967
gtm,2.52,1968
gtm,2.76,1969
gtm,1.24,1970
gtm,1.53,1971
gtm,2.66,1974
gtm,2.28,1975
gtm,2.42,1976
gtm,2.11,1977
gtm,1.76,1978
gtm,0.49,1979
gtm,2.53,1980
gtm,2.3,1981
gtm,0.84,1984
gtm,2.68,1986
gtm,3.06,1987
gtm,2.87,1988
gtm,3.47,1989
gtm,3.81,1990
gtm,4.16,1991
gtm,3.43,1992
gtm,2.98,1993
gtm,4.84,1994
gtm,4.04,1995
gtm,3.28,1996
gtm,6.33,1997
gtm,5.06,1998
gtm,5.76,1999
gtm,6.18,2000
gtm,5.72,2001
gtm,5.7,2002
gin,7.5,2002
gnb,2.4,2002
guy,7.2,2002
hti,10.1,2002
hnd,14.7,2002
hkg,18.92,1960
hkg,22.25,1961
hkg,22.9,1962
hkg,25.48,1963
hkg,28.51,1964
hkg,30.85,1965
hkg,31.16,1966
hkg,32.82,1967
hkg,33.82,1968
hkg,40.35,1969
hkg,37.85,1970
hkg,40.12,1971
hkg,41.79,1972
hkg,43.87,1973
hkg,44.07,1974
hkg,46.51,1975
hkg,48.53,1976
hkg,53.35,1977
hkg,54.54,1978
hkg,54.87,1979
hkg,60.4,1980
hkg,53.45,1981
hkg,53.86,1982
hkg,55.48,1983
hkg,54.56,1984
hkg,54.46,1985
hkg,57.17,1986
hkg,57.4,1987
hkg,51.48,1988
hkg,56.83,1989
hkg,58.06,1990
hkg,54.62,1991
hkg,55.31,1992
hkg,55.48,1993
hkg,53.96,1994
hkg,51.54,1995
hkg,49.24,1996
hkg,48.8,1997
hkg,49.11,1998
hkg,49.37,1999
hkg,51.14,2000
hkg,46.98,2001
hkg,46.38,2002
hun,21.09,1955
hun,22.64,1956
hun,23.5,1957
hun,23.99,1958
hun,27.88,1959
hun,27.34,1960
hun,30.22,1961
hun,30.01,1962
hun,32.23,1963
hun,32.68,1964
hun,36.12,1965
hun,37.58,1966
hun,39.15,1967
hun,40.03,1968
hun,40.86,1969
hun,40.14,1970
hun,43.08,1971
hun,42.35,1972
hun,43.44,1973
hun,47.65,1974
hun,47.25,1975
hun,49.03,1976
hun,50.51,1977
hun,54.69,1978
hun,56.45,1979
hun,57.1,1980
hun,60.91,1981
hun,63.43,1982
hun,64.69,1983
hun,67.33,1984
hun,67.25,1985
hun,73.45,1986
hun,75.63,1987
hun,73.66,1988
hun,74.87,1989
hun,78.95,1990
hun,80.22,1991
hun,83.14,1992
hun,83.6,1993
hun,84.53,1994
hun,82.91,1995
hun,84.75,1996
hun,84.08,1997
hun,84.93,1998
hun,82.96,1999
hun,81.35,2000
hun,80.22,2001
hun,78.66,2002
isl,6.18,1951
isl,8.49,1953
isl,6.81,1954
isl,9.75,1955
isl,9.52,1956
isl,8.63,1957
isl,7.08,1958
isl,12.9,1959
isl,9.58,1960
isl,9.1,1961
isl,13.35,1962
isl,11.06,1963
isl,14.52,1964
isl,10.65,1965
isl,11.54,1966
isl,21.18,1967
isl,16.08,1968
isl,11.73,1969
isl,17.18,1970
isl,10.0,1971
isl,19.06,1972
isl,14.06,1973
isl,14.17,1974
isl,19.49,1975
isl,16.02,1976
isl,23.55,1977
isl,20.85,1978
isl,25.69,1979
isl,15.29,1980
isl,33.64,1981
isl,29.96,1982
isl,27.48,1983
isl,20.53,1984
isl,32.01,1985
isl,24.41,1986
isl,27.62,1987
isl,30.6,1988
isl,26.57,1989
isl,30.4,1990
isl,35.35,1991
isl,27.38,1992
isl,29.74,1993
isl,22.99,1994
isl,29.19,1995
isl,34.24,1996
isl,36.04,1997
isl,29.35,1998
isl,32.93,1999
isl,26.27,2000
isl,30.45,2001
isl,25.06,2002
ind,7.9,2002
idn,18.6,2002
irn,6.7,2002
irq,21.1,2002
irl,10.21,1950
irl,12.5,1951
irl,14.46,1952
irl,16.65,1953
irl,18.09,1954
irl,19.13,1955
irl,21.95,1956
irl,22.1,1957
irl,21.66,1958
irl,24.6,1959
irl,26.37,1960
irl,27.89,1961
irl,28.51,1962
irl,27.59,1963
irl,28.62,1964
irl,31.39,1965
irl,34.38,1966
irl,34.41,1967
irl,38.36,1968
irl,36.31,1969
irl,40.38,1970
irl,40.23,1971
irl,39.57,1972
irl,43.06,1973
irl,43.54,1974
irl,44.72,1975
irl,48.34,1976
irl,46.37,1977
irl,46.35,1978
irl,46.66,1979
irl,44.93,1980
irl,49.81,1981
irl,45.72,1982
irl,50.21,1983
irl,51.93,1984
irl,52.44,1985
irl,51.92,1986
irl,46.78,1987
irl,49.55,1988
irl,47.2,1989
irl,46.57,1990
irl,44.86,1991
irl,45.97,1992
irl,47.26,1993
irl,45.31,1994
irl,43.36,1995
irl,40.01,1996
irl,37.09,1997
irl,39.79,1998
irl,36.67,1999
irl,38.06,2000
irl,35.93,2001
irl,35.14,2002
isr,26.18,1975
isr,26.2,1976
isr,25.61,1977
isr,25.37,1978
isr,26.13,1979
isr,27.21,1980
isr,23.28,1981
isr,25.23,1982
isr,24.09,1983
isr,25.17,1984
isr,25.92,1985
isr,24.44,1986
isr,23.5,1987
isr,24.06,1988
isr,26.48,1989
isr,28.3,1990
isr,27.04,1991
isr,26.03,1992
isr,29.51,1993
isr,28.7,1994
isr,27.34,1995
isr,26.8,1996
isr,26.61,1997
isr,27.37,1998
isr,27.23,1999
isr,26.8,2000
isr,27.07,2001
isr,28.12,2002
ita,9.45,1951
ita,10.77,1952
ita,12.05,1953
ita,13.96,1954
ita,14.7,1955
ita,16.68,1956
ita,17.77,1957
ita,18.47,1958
ita,19.78,1959
ita,21.65,1960
ita,22.82,1961
ita,24.3,1962
ita,25.13,1963
ita,28.04,1964
ita,29.23,1965
ita,30.57,1966
ita,32.28,1967
ita,34.46,1968
ita,36.21,1969
ita,36.02,1970
ita,38.63,1971
ita,39.66,1972
ita,41.11,1973
ita,43.21,1974
ita,44.79,1975
ita,47.1,1976
ita,48.53,1977
ita,50.44,1978
ita,52.35,1979
ita,55.13,1980
ita,54.76,1981
ita,56.85,1982
ita,58.23,1983
ita,58.26,1984
ita,59.34,1985
ita,58.04,1986
ita,59.78,1987
ita,59.35,1988
ita,57.36,1989
ita,56.13,1990
ita,55.76,1991
ita,55.54,1992
ita,55.02,1993
ita,54.07,1994
ita,52.3,1995
ita,51.15,1996
ita,50.14,1997
ita,49.21,1998
ita,48.2,1999
ita,46.03,2000
ita,45.36,2001
ita,44.23,2002
jam,22.1,2002
jpn,2.69,1950
jpn,2.69,1951
jpn,3.48,1952
jpn,3.86,1953
