geo,lung_cancer_deaths_per_100000_men,time
afg,11.3,2002
alb,35.32,1987
alb,37.78,1988
alb,32.58,1989
alb,27.77,1992
alb,25.43,1993
alb,21.83,1994
alb,33.68,1995
alb,35.57,1996
alb,35.98,1997
alb,34.84,1998
alb,34.67,1999
alb,31.48,2000
alb,27.91,2001
alb,29.44,2002
dza,16.4,2002
ago,7.0,2002
arg,41.07,1966
arg,47.2,1967
arg,48.19,1968
arg,48.67,1969
arg,46.7,1970
arg,43.79,1977
arg,44.01,1978
arg,43.09,1979
arg,42.9,1980
arg,44.55,1981
arg,40.52,1982
arg,42.38,1983
arg,41.26,1984
arg,40.63,1985
arg,39.5,1986
arg,41.39,1987
arg,40.09,1988
arg,39.64,1989
arg,38.03,1990
arg,39.35,1991
arg,38.01,1992
arg,37.77,1993
arg,37.88,1994
arg,36.8,1995
arg,36.97,1996
arg,36.0,1997
arg,35.99,1998
arg,36.12,1999
arg,34.74,2000
arg,32.92,2001
arg,31.87,2002
arm,33.01,1981
arm,32.88,1982
arm,37.62,1985
arm,36.7,1986
arm,35.42,1987
arm,42.55,1988
arm,40.83,1989
arm,45.98,1990
arm,48.04,1991
arm,44.8,1992
arm,41.34,1993
arm,37.81,1994
arm,39.8,1995
arm,41.01,1996
arm,43.91,1997
arm,41.45,1998
arm,45.09,1999
arm,45.54,2000
arm,46.71,2001
arm,45.62,2002
aus,13.83,1950
aus,14.91,1951
aus,17.29,1952
aus,18.27,1953
aus,19.13,1954
aus,20.7,1955
aus,22.12,1956
aus,24.06,1957
aus,23.91,1958
aus,26.27,1959
aus,27.19,1960
aus,29.81,1961
aus,31.77,1962
aus,32.78,1963
aus,34.74,1964
aus,35.1,1965
aus,37.4,1966
aus,38.72,1967
aus,39.97,1968
aus,41.26,1969
aus,42.12,1970
aus,43.61,1971
aus,43.99,1972
aus,44.92,1973
aus,47.21,1974
aus,47.37,1975
aus,48.5,1976
aus,46.96,1977
aus,47.16,1978
aus,47.38,1979
aus,49.45,1980
aus,49.09,1981
aus,49.15,1982
aus,48.59,1983
aus,48.56,1984
aus,47.98,1985
aus,45.99,1986
aus,46.27,1987
aus,45.68,1988
aus,45.55,1989
aus,41.64,1990
aus,41.18,1991
aus,41.17,1992
aus,38.96,1993
aus,40.36,1994
aus,37.4,1995
aus,37.2,1996
aus,35.21,1997
aus,34.87,1998
aus,33.19,1999
aus,31.76,2000
aus,31.29,2001
aus,30.4,2002
aut,43.01,1955
aut,45.84,1956
aut,47.55,1957
aut,47.69,1958
aut,47.51,1959
aut,49.86,1960
aut,51.26,1961
aut,49.25,1962
aut,52.01,1963
aut,48.87,1964
aut,52.46,1965
aut,51.25,1966
aut,51.51,1967
aut,53.14,1968
aut,51.51,1969
aut,50.46,1970
aut,50.05,1971
aut,51.47,1972
aut,52.2,1973
aut,50.77,1974
aut,50.8,1975
aut,50.42,1976
aut,50.73,1977
aut,48.69,1978
aut,50.59,1979
aut,49.91,1980
aut,48.43,1981
aut,47.0,1982
aut,48.28,1983
aut,50.06,1984
aut,47.46,1985
aut,46.94,1986
aut,46.44,1987
aut,45.6,1988
aut,45.74,1989
aut,45.46,1990
aut,45.8,1991
aut,43.75,1992
aut,45.23,1993
aut,41.7,1994
aut,40.8,1995
aut,40.81,1996
aut,39.37,1997
aut,39.48,1998
aut,37.2,1999
aut,36.41,2000
aut,35.15,2001
aut,35.92,2002
aze,35.62,1981
aze,34.63,1982
aze,32.43,1985
aze,36.57,1986
aze,38.51,1987
aze,35.65,1988
aze,32.97,1989
aze,26.42,1990
aze,28.04,1991
aze,29.27,1992
aze,26.13,1993
aze,22.4,1994
aze,21.25,1995
aze,22.2,1996
aze,22.35,1997
aze,20.44,1998
aze,21.34,1999
aze,20.24,2000
aze,21.35,2001
aze,21.83,2002
bhs,19.7,2002
bhr,28.6,2002
bgd,20.8,2002
brb,14.4,2002
blr,37.21,1981
blr,40.02,1982
blr,47.85,1985
blr,48.38,1986
blr,51.12,1987
blr,52.3,1988
blr,56.72,1989
blr,56.16,1990
blr,56.72,1991
blr,60.33,1992
blr,61.28,1993
blr,60.51,1994
blr,61.17,1995
blr,60.24,1997
blr,58.64,1998
blr,57.4,1999
blr,56.05,2000
blr,55.51,2001
blr,55.31,2002
bel,26.63,1954
bel,27.37,1955
bel,30.3,1956
bel,31.1,1957
bel,32.37,1958
bel,34.04,1959
bel,37.91,1960
bel,40.16,1961
bel,42.12,1962
bel,44.66,1963
bel,46.06,1964
bel,50.44,1965
bel,50.56,1966
bel,52.84,1967
bel,54.48,1968
bel,55.24,1969
bel,58.76,1970
bel,64.25,1971
bel,66.43,1972
bel,67.26,1973
bel,66.83,1974
bel,68.67,1975
bel,70.74,1976
bel,75.93,1977
bel,76.88,1978
bel,76.0,1979
bel,77.9,1980
bel,79.58,1981
bel,78.13,1982
bel,81.77,1983
bel,80.69,1984
bel,82.03,1985
bel,79.52,1986
bel,77.7,1987
bel,77.94,1988
bel,73.13,1989
bel,72.59,1990
bel,71.15,1991
bel,71.97,1992
bel,71.8,1993
bel,69.24,1994
bel,70.44,1995
bel,65.93,1996
bel,66.95,1997
bel,69.9,2002
blz,10.14,1964
blz,5.77,1965
blz,8.89,1966
blz,8.28,1968
blz,11.63,1969
blz,8.82,1970
blz,13.86,1972
blz,5.5,1973
blz,2.59,1975
blz,5.5,1976
blz,7.82,1977
blz,18.11,1978
blz,1.85,1979
blz,7.87,1982
blz,3.84,1983
blz,15.89,1984
blz,7.49,1986
blz,12.74,1987
blz,8.86,1989
blz,9.08,1990
blz,3.53,1991
blz,14.25,1993
blz,10.24,1994
blz,16.63,1995
blz,13.97,1996
blz,17.17,1997
blz,18.97,1998
blz,19.7,1999
blz,11.32,2000
blz,17.12,2001
blz,19.6,2002
ben,2.4,2002
btn,11.0,2002
bol,11.6,2002
bih,52.3,2002
bwa,8.5,2002
bra,12.94,1979
bra,13.71,1980
bra,13.81,1981
bra,14.67,1982
bra,15.25,1983
bra,15.4,1984
bra,15.49,1985
bra,16.07,1986
bra,15.99,1987
bra,16.6,1988
bra,16.38,1989
bra,16.45,1990
bra,16.5,1991
bra,16.81,1992
bra,16.56,1993
bra,16.82,1994
bra,16.61,1995
bra,16.43,1996
bra,16.71,1997
bra,16.4,1998
bra,16.23,1999
bra,16.21,2000
bra,16.17,2001
bra,16.12,2002
brn,22.5,2002
bgr,35.56,1964
bgr,37.66,1965
bgr,38.33,1966
bgr,35.94,1967
bgr,36.17,1968
bgr,35.17,1969
bgr,33.63,1970
bgr,36.68,1971
bgr,35.64,1972
bgr,37.47,1973
bgr,35.55,1974
bgr,34.53,1975
bgr,35.14,1976
bgr,35.43,1977
bgr,34.59,1978
bgr,36.51,1979
bgr,33.59,1980
bgr,37.08,1981
bgr,38.01,1982
bgr,39.42,1983
bgr,39.42,1984
bgr,39.23,1985
bgr,40.29,1986
bgr,40.71,1987
bgr,40.2,1988
bgr,41.39,1989
bgr,40.65,1990
bgr,40.39,1991
bgr,42.52,1992
bgr,42.12,1993
bgr,43.72,1994
bgr,42.58,1995
bgr,42.12,1996
bgr,40.65,1997
bgr,38.91,1998
bgr,40.0,1999
bgr,37.59,2000
bgr,38.0,2001
bgr,39.73,2002
bfa,4.6,2002
bdi,3.5,2002
khm,20.9,2002
cmr,3.0,2002
can,14.53,1950
can,14.82,1951
can,16.56,1952
can,17.93,1953
can,19.12,1954
can,20.27,1955
can,21.8,1956
can,22.47,1957
can,23.42,1958
can,24.27,1959
can,25.34,1960
can,27.08,1961
can,28.72,1962
can,30.43,1963
can,31.25,1964
can,32.22,1965
can,33.61,1966
can,36.82,1967
can,36.92,1968
can,38.46,1969
can,40.2,1970
can,41.82,1971
can,42.76,1972
can,44.21,1973
can,46.37,1974
can,45.7,1975
can,47.29,1976
can,48.94,1977
can,49.98,1978
can,50.99,1979
can,52.59,1980
can,51.9,1981
can,54.82,1982
can,55.24,1983
can,56.68,1984
can,54.71,1985
can,55.09,1986
can,54.68,1987
can,56.34,1988
can,56.12,1989
can,55.21,1990
can,54.74,1991
can,53.67,1992
can,53.42,1993
can,51.75,1994
can,49.49,1995
can,49.01,1996
can,46.93,1997
can,46.99,1998
can,47.07,1999
can,42.98,2000
can,43.01,2001
can,42.85,2002
cpv,2.4,2002
caf,4.6,2002
tcd,4.6,2002
chl,11.26,1955
chl,12.3,1956
chl,11.0,1957
chl,10.8,1958
chl,12.53,1959
chl,12.77,1960
chl,12.04,1961
chl,12.39,1962
chl,13.87,1963
chl,13.2,1964
chl,13.37,1965
chl,14.09,1966
chl,15.43,1967
chl,16.18,1968
chl,17.19,1969
chl,16.78,1970
chl,17.26,1971
chl,17.45,1972
chl,19.43,1973
chl,17.14,1974
chl,18.26,1975
chl,19.18,1976
chl,20.28,1977
chl,19.38,1978
chl,19.97,1979
chl,21.26,1980
chl,20.6,1981
chl,22.33,1982
chl,22.52,1983
chl,21.52,1984
chl,22.88,1985
chl,21.22,1986
chl,20.61,1987
chl,20.95,1988
chl,20.87,1989
chl,21.16,1990
chl,23.43,1991
chl,22.34,1992
chl,21.6,1993
chl,20.4,1994
chl,21.5,1995
chl,21.86,1996
chl,19.75,1997
chl,20.03,1998
chl,19.32,1999
chl,19.03,2000
chl,19.55,2001
chl,18.89,2002
chn,33.24,1987
chn,32.77,1988
chn,35.81,1989
chn,38.3,1990
chn,36.3,1991
chn,37.36,1992
chn,36.97,1993
chn,37.58,1994
chn,38.83,1995
chn,38.5,1996
chn,39.5,1997
chn,41.2,1998
chn,40.81,1999
chn,41.7,2000
chn,36.7,2002
col,5.33,1953
col,3.65,1954
col,3.67,1955
col,4.56,1956
col,4.79,1957
col,3.83,1958
col,5.11,1959
col,5.26,1960
col,4.84,1961
col,5.58,1962
col,5.89,1963
col,6.53,1964
col,5.83,1965
col,6.35,1966
col,7.01,1967
col,6.68,1968
col,6.47,1969
col,7.02,1972
col,7.53,1974
col,7.59,1975
col,8.94,1976
col,8.61,1977
col,11.84,1984
col,12.86,1985
col,13.22,1986
col,13.79,1987
col,13.18,1988
col,13.5,1989
col,13.23,1990
col,13.91,1991
col,13.5,1992
col,13.77,1993
col,13.76,1994
col,13.81,1995
col,13.97,1996
col,13.93,1997
col,13.24,1998
col,14.08,1999
col,14.06,2001
col,14.41,2002
com,3.5,2002
cod,4.4,2002
cog,3.6,2002
cri,2.73,1961
cri,4.99,1962
cri,3.94,1963
cri,5.77,1964
cri,4.17,1965
cri,4.76,1966
cri,5.09,1967
cri,7.87,1968
cri,4.99,1969
cri,5.02,1970
cri,4.84,1971
cri,8.19,1972
cri,6.19,1973
cri,7.47,1974
cri,9.54,1975
cri,8.98,1976
cri,9.11,1977
cri,9.32,1978
cri,8.83,1979
cri,10.19,1980
cri,12.61,1981
cri,12.55,1982
cri,13.03,1983
cri,14.21,1984
cri,13.0,1985
cri,10.89,1986
cri,12.72,1987
cri,14.22,1988
cri,12.79,1989
cri,13.38,1990
cri,11.1,1991
cri,12.31,1992
cri,13.12,1993
cri,12.44,1994
cri,11.26,1995
cri,13.91,1996
cri,12.17,1997
cri,10.57,1998
cri,12.18,1999
cri,11.26,2000
cri,11.11,2001
cri,9.7,2002
civ,6.0,2002
hrv,61.36,1985
hrv,61.16,1986
hrv,66.38,1987
hrv,68.88,1988
hrv,67.04,1989
hrv,68.41,1990
hrv,66.02,1991
hrv,62.2,1992
hrv,61.18,1993
hrv,59.73,1994
hrv,57.07,1995
