geo,females_aged_65plus_labour_force_participation_rate_percent,time
afg,4.7,1980
afg,4.8,1981
afg,4.9,1982
afg,5.0,1983
afg,5.0,1984
afg,5.1,1985
afg,5.2,1986
afg,5.2,1987
afg,5.3,1988
afg,5.3,1989
afg,5.4,1990
afg,5.4,1991
afg,5.4,1992
afg,5.5,1993
afg,5.5,1994
afg,5.5,1995
afg,5.6,1996
afg,5.6,1997
afg,5.6,1998
afg,5.7,1999
afg,5.7,2000
afg,5.8,2001
afg,5.8,2002
afg,5.9,2003
afg,5.9,2004
afg,6.0,2005
afg,6.0,2006
afg,4.5,2007
alb,3.2,1980
alb,3.4,1981
alb,3.5,1982
alb,3.8,1983
alb,4.0,1984
alb,4.0,1985
alb,4.2,1986
alb,4.0,1987
alb,3.6,1988
alb,4.2,1989
alb,3.4,1990
alb,10.5,1991
alb,10.7,1992
alb,10.4,1993
alb,9.9,1994
alb,9.5,1995
alb,9.1,1996
alb,9.5,1997
alb,9.0,1998
alb,8.5,1999
alb,8.2,2000
alb,8.0,2001
alb,7.8,2002
alb,7.6,2003
alb,7.4,2004
alb,7.2,2005
alb,7.0,2006
alb,7.1,2007
dza,9.0,1980
dza,9.2,1981
dza,8.8,1982
dza,8.7,1983
dza,8.4,1984
dza,8.5,1985
dza,9.0,1986
dza,9.8,1987
dza,10.5,1988
dza,10.4,1989
dza,11.1,1990
dza,11.9,1991
dza,12.5,1992
dza,14.4,1993
dza,15.7,1994
dza,15.7,1995
dza,15.9,1996
dza,17.3,1997
dza,17.5,1998
dza,17.9,1999
dza,18.7,2000
dza,20.1,2001
dza,20.0,2002
dza,19.4,2003
dza,19.2,2004
dza,18.9,2005
dza,19.1,2006
dza,20.1,2007
ago,42.4,1980
ago,42.3,1981
ago,41.9,1982
ago,41.7,1983
ago,41.5,1984
ago,41.2,1985
ago,41.2,1986
ago,40.9,1987
ago,39.5,1988
ago,39.8,1989
ago,39.6,1990
ago,40.1,1991
ago,38.4,1992
ago,41.4,1993
ago,39.1,1994
ago,42.3,1995
ago,42.2,1996
ago,42.3,1997
ago,41.7,1998
ago,41.1,1999
ago,41.6,2000
ago,41.7,2001
ago,41.0,2002
ago,41.3,2003
ago,40.7,2004
ago,40.0,2005
ago,38.7,2006
ago,39.0,2007
arg,4.2,1980
arg,4.2,1981
arg,4.2,1982
arg,4.2,1983
arg,3.6,1984
arg,3.0,1985
arg,3.0,1986
arg,3.0,1987
arg,3.3,1988
arg,3.7,1989
arg,2.9,1990
arg,9.0,1991
arg,9.0,1992
arg,9.0,1993
arg,8.9,1994
arg,8.9,1995
arg,9.1,1996
arg,9.2,1997
arg,9.4,1998
arg,9.5,1999
arg,9.7,2000
arg,9.9,2001
arg,10.0,2002
arg,10.2,2003
arg,10.3,2004
arg,10.5,2005
arg,10.7,2006
arg,10.9,2007
arm,3.1,1980
arm,3.4,1981
arm,3.5,1982
arm,3.7,1983
arm,4.1,1984
arm,4.4,1985
arm,4.0,1986
arm,3.9,1987
arm,4.4,1988
arm,4.1,1989
arm,3.8,1990
arm,9.1,1991
arm,10.8,1992
arm,11.7,1993
arm,11.7,1994
arm,11.2,1995
arm,11.0,1996
arm,10.9,1997
arm,10.4,1998
arm,10.2,1999
arm,9.9,2000
arm,9.4,2001
arm,8.8,2002
arm,8.2,2003
arm,7.7,2004
arm,7.2,2005
arm,6.7,2006
arm,6.8,2007
aus,2.8,1980
aus,2.5,1981
aus,2.4,1982
aus,2.2,1983
aus,2.2,1984
aus,2.1,1985
aus,2.4,1986
aus,2.6,1987
aus,2.6,1988
aus,2.2,1989
aus,2.4,1990
aus,2.5,1991
aus,2.3,1992
aus,2.3,1993
aus,2.5,1994
aus,2.6,1995
aus,2.8,1996
aus,2.9,1997
aus,3.0,1998
aus,3.1,1999
aus,3.1,2000
aus,3.2,2001
aus,3.4,2002
aus,3.2,2003
aus,3.6,2004
aus,4.2,2005
aus,4.2,2006
aus,4.2,2007
aut,1.2,1980
aut,1.3,1981
aut,1.5,1982
aut,1.0,1983
aut,1.0,1984
aut,0.8,1985
aut,0.8,1986
aut,0.9,1987
aut,0.9,1988
aut,0.9,1989
aut,1.1,1990
aut,0.7,1991
aut,0.8,1992
aut,0.6,1993
aut,2.7,1994
aut,2.4,1995
aut,2.0,1996
aut,2.1,1997
aut,1.9,1998
aut,1.7,1999
aut,1.6,2000
aut,2.2,2001
aut,1.7,2002
aut,1.7,2003
aut,1.2,2004
aut,1.7,2005
aut,2.2,2006
aut,1.6,2007
aze,4.7,1980
aze,5.1,1981
aze,5.2,1982
aze,5.4,1983
aze,5.8,1984
aze,6.1,1985
aze,5.7,1986
aze,5.6,1987
aze,6.1,1988
aze,5.8,1989
aze,5.4,1990
aze,8.0,1991
aze,8.9,1992
aze,9.5,1993
aze,10.6,1994
aze,11.3,1995
aze,11.2,1996
aze,11.1,1997
aze,10.6,1998
aze,10.3,1999
aze,9.6,2000
aze,9.2,2001
aze,8.7,2002
aze,8.3,2003
aze,7.7,2004
aze,6.8,2005
aze,5.9,2006
aze,5.9,2007
bhs,15.7,1980
bhs,15.6,1981
bhs,15.6,1982
bhs,15.6,1983
bhs,15.6,1984
bhs,15.5,1985
bhs,15.5,1986
bhs,15.5,1987
bhs,15.4,1988
bhs,15.4,1989
bhs,15.4,1990
bhs,15.2,1991
bhs,14.9,1992
bhs,14.7,1993
bhs,14.5,1994
bhs,14.1,1995
bhs,13.7,1996
bhs,13.4,1997
bhs,13.0,1998
bhs,13.0,1999
bhs,13.1,2000
bhs,12.9,2001
bhs,12.8,2002
bhs,12.9,2003
bhs,12.9,2004
bhs,13.0,2005
bhs,13.0,2006
bhs,12.8,2007
bhr,4.0,1980
bhr,3.9,1981
bhr,3.9,1982
bhr,3.9,1983
bhr,3.9,1984
bhr,3.9,1985
bhr,3.9,1986
bhr,4.0,1987
bhr,4.0,1988
bhr,4.0,1989
bhr,4.0,1990
bhr,3.9,1991
bhr,4.0,1992
bhr,4.0,1993
bhr,4.0,1994
bhr,4.0,1995
bhr,4.0,1996
bhr,4.0,1997
bhr,4.0,1998
bhr,4.0,1999
bhr,4.0,2000
bhr,4.0,2001
bhr,4.0,2002
bhr,4.1,2003
bhr,4.1,2004
bhr,4.1,2005
bhr,4.1,2006
bhr,4.1,2007
bgd,52.8,1980
bgd,52.8,1981
bgd,52.7,1982
bgd,52.4,1983
bgd,52.1,1984
bgd,51.5,1985
bgd,50.7,1986
bgd,49.8,1987
bgd,48.9,1988
bgd,47.8,1989
bgd,46.7,1990
bgd,45.6,1991
bgd,41.6,1992
bgd,37.7,1993
bgd,34.0,1994
bgd,30.4,1995
bgd,27.1,1996
bgd,24.4,1997
bgd,21.9,1998
bgd,19.5,1999
bgd,17.4,2000
bgd,17.5,2001
bgd,17.6,2002
bgd,17.8,2003
bgd,18.0,2004
bgd,18.2,2005
bgd,18.5,2006
bgd,18.0,2007
brb,7.2,1980
brb,7.4,1981
brb,7.5,1982
brb,7.7,1983
brb,7.5,1984
brb,7.4,1985
brb,7.2,1986
brb,6.2,1987
brb,6.5,1988
brb,8.6,1989
brb,3.7,1990
brb,4.3,1991
brb,4.8,1992
brb,4.8,1993
brb,4.8,1994
brb,3.8,1995
brb,3.5,1996
brb,3.2,1997
brb,3.2,1998
brb,2.1,1999
brb,3.1,2000
brb,4.4,2001
brb,4.2,2002
brb,4.8,2003
brb,5.9,2004
brb,5.9,2005
brb,5.8,2006
brb,6.3,2007
blr,4.9,1980
blr,5.2,1981
blr,5.2,1982
blr,5.4,1983
blr,5.6,1984
blr,5.7,1985
blr,5.5,1986
blr,5.5,1987
blr,5.7,1988
blr,5.6,1989
blr,4.9,1990
blr,4.3,1991
blr,3.8,1992
blr,3.4,1993
blr,3.0,1994
blr,2.6,1995
blr,2.3,1996
blr,2.0,1997
blr,1.8,1998
blr,1.6,1999
blr,1.5,2000
blr,1.5,2001
blr,1.4,2002
blr,1.4,2003
blr,1.3,2004
blr,1.2,2005
blr,1.1,2006
blr,1.2,2007
bel,1.0,1980
bel,1.1,1981
bel,1.1,1982
bel,1.1,1983
bel,0.9,1984
bel,0.9,1985
bel,0.9,1986
bel,0.6,1987
bel,0.7,1988
bel,0.5,1989
bel,0.6,1990
bel,0.5,1991
bel,0.7,1992
bel,0.9,1993
bel,0.7,1994
bel,1.0,1995
bel,0.9,1996
bel,0.6,1997
bel,0.6,1998
bel,0.9,1999
bel,1.1,2000
bel,0.7,2001
bel,0.6,2002
bel,1.0,2003
bel,0.5,2004
bel,0.8,2005
bel,1.0,2006
bel,0.8,2007
blz,5.3,1980
blz,5.2,1981
blz,5.1,1982
blz,4.9,1983
blz,4.9,1984
blz,4.8,1985
blz,4.7,1986
blz,4.7,1987
blz,4.7,1988
blz,4.8,1989
blz,4.8,1990
blz,4.9,1991
blz,6.3,1992
blz,8.0,1993
blz,10.2,1994
blz,10.9,1995
blz,11.7,1996
blz,11.4,1997
blz,11.1,1998
blz,10.9,1999
blz,10.7,2000
blz,10.4,2001
blz,10.2,2002
blz,10.0,2003
blz,9.7,2004
blz,9.5,2005
blz,9.4,2006
blz,9.4,2007
ben,32.2,1980
ben,31.7,1981
ben,31.7,1982
ben,32.3,1983
ben,31.8,1984
ben,31.5,1985
ben,31.6,1986
ben,33.0,1987
ben,34.5,1988
ben,36.0,1989
ben,37.5,1990
ben,39.1,1991
ben,40.6,1992
ben,40.8,1993
ben,40.7,1994
ben,40.6,1995
ben,40.4,1996
ben,40.2,1997
ben,40.2,1998
ben,40.0,1999
ben,39.8,2000
ben,39.7,2001
ben,39.6,2002
ben,39.5,2003
ben,39.6,2004
ben,39.6,2005
ben,39.6,2006
ben,39.5,2007
btn,3.5,1980
btn,3.7,1981
btn,3.9,1982
btn,4.1,1983
btn,4.4,1984
btn,4.8,1985
btn,5.2,1986
btn,5.6,1987
btn,6.2,1988
btn,6.8,1989
btn,7.5,1990
btn,8.4,1991
btn,9.6,1992
btn,11.1,1993
btn,13.0,1994
btn,15.2,1995
btn,17.7,1996
btn,20.4,1997
btn,22.9,1998
btn,25.1,1999
btn,26.9,2000
btn,28.0,2001
btn,28.5,2002
btn,28.6,2003
btn,28.2,2004
btn,27.5,2005
btn,26.5,2006
btn,38.0,2007
bol,26.1,1980
bol,26.7,1981
bol,26.7,1982
bol,27.9,1983
bol,29.1,1984
bol,30.4,1985
bol,31.4,1986
bol,32.5,1987
bol,33.3,1988
bol,34.2,1989
bol,35.0,1990
bol,32.1,1991
bol,29.3,1992
bol,26.7,1993
bol,24.2,1994
bol,21.9,1995
bol,30.2,1996
bol,46.2,1997
bol,44.1,1998
bol,42.0,1999
bol,39.9,2000
bol,40.8,2001
bol,41.8,2002
bol,42.8,2003
bol,43.9,2004
bol,45.3,2005
bol,46.7,2006
bol,44.5,2007
bih,0.5,1980
bih,0.5,1981
bih,0.6,1982
bih,0.7,1983
bih,0.7,1984
bih,0.8,1985
bih,0.9,1986
bih,1.0,1987
bih,1.1,1988
bih,1.1,1989
bih,1.1,1990
bih,11.4,1991
bih,11.7,1992
bih,11.8,1993
bih,11.6,1994
bih,10.5,1995
bih,7.9,1996
bih,6.9,1997
bih,7.0,1998
bih,6.7,1999
bih,6.6,2000
bih,6.5,2001
bih,6.3,2002
bih,6.1,2003
bih,5.9,2004
bih,5.7,2005
bih,5.5,2006
bih,5.6,2007
bwa,19.7,1980
bwa,19.8,1981
bwa,23.0,1982
bwa,26.5,1983
bwa,30.4,1984
bwa,34.5,1985
bwa,31.1,1986
bwa,27.9,1987
bwa,25.0,1988
bwa,22.2,1989
bwa,19.7,1990
bwa,17.4,1991
bwa,20.5,1992
bwa,24.0,1993
bwa,27.9,1994
bwa,19.0,1995
bwa,12.5,1996
bwa,13.1,1997
bwa,13.8,1998
bwa,18.7,1999
bwa,24.9,2000
bwa,14.3,2001
bwa,13.7,2002
bwa,13.8,2003
bwa,13.7,2004
bwa,13.5,2005
bwa,13.5,2006
bwa,14.6,2007
bra,4.7,1980
bra,4.9,1981
bra,5.0,1982
bra,5.1,1983
bra,5.1,1984
bra,5.2,1985
bra,5.2,1986
bra,5.4,1987
bra,5.6,1988
bra,5.8,1989
bra,6.2,1990
bra,6.6,1991
bra,7.1,1992
bra,7.7,1993
bra,8.3,1994
bra,9.0,1995
bra,9.7,1996
bra,10.6,1997
bra,11.5,1998
bra,12.4,1999
bra,13.2,2000
bra,14.1,2001
bra,14.8,2002
bra,14.3,2003
bra,14.1,2004
bra,14.5,2005
bra,14.9,2006
bra,15.9,2007
brn,8.9,1980
brn,7.7,1981
brn,7.0,1982
brn,6.4,1983
brn,5.8,1984
brn,5.3,1985
brn,4.8,1986
brn,4.4,1987
brn,3.9,1988
brn,3.6,1989
brn,3.3,1990
brn,2.9,1991
brn,2.8,1992
brn,2.7,1993
brn,2.7,1994
brn,2.6,1995
brn,2.5,1996
brn,2.4,1997
brn,2.3,1998
brn,2.2,1999
