geo,literacy_rate_youth_male_percent_of_males_ages_15_24,time
afg,45.8,1979
alb,99.37,2001
alb,98.54,2008
alb,98.73,2011
dza,86.23,1987
dza,94.06,2002
dza,94.38,2006
ago,83.78,2001
ago,80.12,2011
aia,99.12,1984
arg,96.46,1980
arg,98.07,1991
arg,98.71,2001
arg,99.03,2011
arm,99.91,1989
arm,99.75,2001
arm,99.69,2011
abw,98.88,2000
abw,98.97,2010
aze,99.87,1999
aze,100.0,2007
aze,99.96,2009
bhr,89.69,1981
bhr,97.26,1991
bhr,96.83,2001
bhr,98.62,2010
bgd,44.36,1981
bgd,51.74,1991
bgd,67.16,2001
bgd,77.07,2011
blr,99.73,1989
blr,99.76,1999
blr,99.8,2009
blz,76.14,1991
ben,45.71,1979
ben,55.13,1992
ben,59.21,2002
ben,54.87,2006
btn,80.04,2005
bol,91.47,1976
bol,96.32,1992
bol,98.55,2001
bol,99.75,2007
bol,99.39,2008
bol,99.69,2009
bih,99.75,2000
bih,99.69,2011
bwa,85.9,1991
bwa,92.08,2003
bwa,93.48,2011
bra,82.56,1980
bra,92.65,2000
bra,95.78,2004
bra,96.8,2006
bra,97.06,2007
bra,97.18,2008
bra,97.45,2009
bra,96.72,2010
brn,94.06,1981
brn,98.11,1991
brn,98.87,2001
brn,99.78,2011
bgr,98.31,2001
bgr,98.07,2011
bfa,22.38,1975
bfa,26.79,1991
bfa,25.48,1996
bfa,38.38,2003
bfa,40.38,2005
bfa,46.73,2007
bdi,40.93,1979
bdi,59.5,1990
bdi,76.78,2000
bdi,89.59,2008
khm,81.85,1998
khm,87.92,2004
khm,89.38,2008
khm,88.36,2009
cmr,79.59,1976
cmr,88.42,2000
cmr,89.42,2007
cmr,85.4,2010
cpv,89.95,1990
cpv,96.23,2004
cpv,97.65,2011
cym,99.14,2007
caf,53.99,1975
caf,62.56,1988
caf,72.59,2000
caf,72.29,2011
tcd,26.25,1993
tcd,55.69,2000
tcd,53.71,2004
tcd,53.56,2011
chl,96.18,1982
chl,98.16,1992
chl,98.8,2002
chl,99.11,2008
chl,98.86,2009
chn,95.21,1982
chn,96.98,1990
chn,99.2,2000
chn,99.69,2010
col,89.38,1993
col,96.39,1996
col,97.55,2004
col,97.52,2005
col,97.53,2006
col,97.48,2007
col,97.55,2008
col,97.44,2009
col,97.68,2010
col,97.76,2011
com,69.36,1980
com,83.95,2000
com,86.14,2011
cod,77.98,2001
cod,78.94,2007
cri,96.75,1984
cri,97.2,2000
cri,97.88,2011
civ,59.93,1988
civ,54.4,1998
civ,70.84,2000
civ,72.29,2011
hrv,99.67,1991
hrv,99.64,2001
hrv,99.62,2011
cub,99.96,2002
cub,99.99,2011
cyp,99.58,1992
cyp,99.74,2001
cyp,99.8,2011
dom,81.26,1981
dom,93.0,2002
dom,94.63,2007
dom,95.78,2010
dom,96.09,2011
ecu,94.55,1982
ecu,96.58,1990
ecu,96.38,2001
ecu,95.22,2007
ecu,96.82,2009
ecu,98.47,2010
ecu,98.59,2011
egy,63.04,1976
egy,71.38,1986
egy,78.99,1996
egy,90.08,2005
egy,87.86,2006
egy,90.56,2010
egy,91.46,2011
slv,84.95,1992
slv,86.91,2004
slv,94.4,2006
slv,93.22,2007
slv,95.41,2008
slv,94.71,2009
slv,95.67,2010
gnq,97.61,2000
gnq,97.71,2011
eri,86.25,2002
eri,92.56,2011
est,99.83,1989
est,99.73,2000
est,99.75,2011
eth,39.29,1994
eth,62.2,2004
eth,55.88,2005
eth,62.97,2007
gab,94.41,1993
gab,97.79,2004
gab,98.78,2011
gmb,64.34,2000
gmb,72.64,2011
geo,99.79,2002
geo,99.76,2011
gha,75.95,2000
gha,88.31,2010
grc,99.05,1981
grc,98.99,1991
grc,98.89,2001
grc,99.42,2011
gtm,81.72,1994
gtm,86.38,2002
gtm,89.33,2011
gin,44.12,1996
gin,59.46,2003
gin,37.57,2010
gnb,59.69,1979
gnb,74.8,2000
gnb,79.27,2011
guy,92.42,2009
hti,51.26,1982
hti,82.66,2003
hti,74.37,2006
hnd,86.89,2001
hnd,92.7,2007
hnd,94.45,2010
hnd,94.93,2011
hun,99.42,1980
hun,99.11,1994
hun,98.91,2004
hun,98.77,2011
ind,66.31,1981
ind,73.51,1991
ind,84.19,2001
ind,88.41,2006
idn,89.59,1980
idn,97.4,1990
idn,98.87,2004
idn,97.03,2006
idn,99.54,2008
idn,99.55,2009
idn,98.8,2011
irn,70.9,1976
irn,84.53,1986
irn,92.44,1991
irn,95.52,1996
irn,98.11,2005
irn,97.15,2006
irn,98.79,2008
irq,88.91,2000
irq,84.09,2011
isr,99.05,1983
ita,99.7,1981
ita,99.8,2001
ita,99.91,2011
jam,87.31,1999
jam,92.89,2011
jor,95.79,1979
jor,99.33,2003
jor,98.93,2005
jor,98.95,2007
jor,98.76,2010
jor,99.05,2011
kaz,99.7,1989
kaz,99.82,1999
kaz,99.8,2009
ken,93.31,2000
ken,83.21,2007
prk,100.0,2008
kwt,77.69,1975
kwt,81.29,1980
kwt,90.69,1985
kwt,93.8,1995
kwt,99.69,2005
kwt,98.52,2006
kwt,98.4,2007
kwt,98.57,2008
kgz,99.65,1999
kgz,99.7,2009
lao,78.82,1995
lao,88.06,2000
lao,82.6,2001
lao,89.19,2005
lva,99.75,1989
lva,99.72,2000
lva,99.65,2011
lbn,98.4,2007
lso,84.83,2000
lso,74.19,2009
lbr,62.83,1984
lbr,65.75,1994
lbr,69.1,2004
lbr,63.45,2007
lby,97.85,1984
lby,99.43,1994
lby,99.85,2004
lby,99.94,2011
ltu,99.64,1989
ltu,99.66,2001
ltu,99.77,2011
mac,95.14,1981
mac,99.43,2001
mac,99.59,2006
mac,99.65,2011
mkd,99.14,1994
mkd,98.99,2002
mkd,98.83,2011
mdg,72.65,2000
mdg,65.91,2009
mwi,70.44,1987
mwi,82.09,1998
mwi,74.27,2010
mys,89.5,1980
mys,95.91,1991
mys,97.21,2000
mys,98.38,2010
mdv,84.13,1977
mdv,94.89,1985
mdv,98.08,1990
mdv,98.03,1995
mdv,98.03,2000
mdv,99.24,2006
mli,26.67,1976
mli,32.25,1998
mli,47.38,2006
mli,56.37,2010
mli,56.0,2011
mlt,97.43,1985
mlt,94.37,1995
mlt,97.46,2005
mrt,67.73,2000
mrt,71.64,2011
mus,90.7,1990
mus,93.72,2000
mus,95.79,2011
mex,93.09,1980
mex,95.96,1990
mex,96.75,2000
mex,97.94,2002
mex,97.52,2004
mex,97.64,2005
mex,98.11,2006
mex,98.2,2007
mex,98.41,2008
mex,98.67,2009
mex,98.38,2010
mex,98.42,2011
mda,99.72,1989
mda,99.4,2000
mda,100.0,2011
mng,97.0,2000
mng,94.12,2011
mne,99.33,2011
mar,58.12,1982
mar,71.38,1994
mar,80.8,2004
mar,85.81,2008
mar,86.73,2009
mar,88.83,2011
moz,63.95,1980
moz,59.45,1997
moz,74.36,2003
moz,79.84,2009
mmr,88.57,1983
mmr,95.79,2000
mmr,96.34,2011
nam,85.7,1991
nam,91.15,2001
nam,83.24,2007
npl,45.1,1981
npl,68.23,1991
npl,80.62,2001
npl,89.24,2011
ant,96.6,1992
ant,98.47,2011
nic,83.63,2001
nic,85.16,2005
ner,13.69,2001
ner,52.45,2005
nga,81.36,1991
nga,78.13,2003
nga,75.57,2008
omn,97.87,2003
omn,97.63,2008
omn,97.41,2010
pak,44.5,1981
pak,67.15,1998
pak,76.65,2005
pak,79.1,2006
pak,79.42,2008
pak,79.14,2009
plw,94.19,1980
pan,95.93,1980
pan,95.39,1990
pan,96.53,2000
pan,97.93,2010
png,69.13,2000
png,67.01,2011
pry,90.17,1982
pry,95.86,1992
pry,98.81,2007
pry,97.69,2008
pry,98.04,2009
pry,98.5,2010
per,96.51,1981
per,96.99,1993
per,97.8,2004
per,97.92,2005
per,98.51,2006
per,98.01,2007
phl,91.06,1980
phl,96.28,1990
phl,94.46,2000
phl,93.58,2003
phl,97.02,2008
pol,99.78,1978
pol,100.0,1994
pol,100.0,2004
pol,100.0,2011
prt,97.66,1981
prt,99.14,1991
prt,99.72,2011
pri,93.02,1980
pri,92.22,1990
pri,88.09,2004
pri,86.13,2011
qat,88.53,1986
qat,94.12,1997
qat,94.89,2004
qat,99.1,2007
qat,95.32,2008
qat,97.7,2009
qat,96.32,2010
rou,99.18,1992
rou,97.74,2002
rou,97.04,2011
rus,99.69,1989
rus,99.68,2002
rus,99.66,2010
rwa,59.66,1978
rwa,78.52,2000
rwa,76.66,2010
wsm,99.12,1991
wsm,99.33,2004
wsm,99.43,2011
stp,90.82,1981
stp,95.81,1991
stp,95.97,2001
stp,83.06,2008
sau,93.96,1992
sau,98.07,2000
sau,96.95,2004
sau,99.0,2011
sen,49.13,1988
sen,58.49,2002
sen,58.13,2006
sen,74.2,2009
srb,99.29,2011
syc,96.81,1987
syc,98.49,1994
syc,98.77,2002
syc,98.77,2011
sle,59.61,2004
sle,70.47,2011
sgp,96.41,1980
sgp,98.86,1990
sgp,99.41,2000
sgp,99.74,2010
svn,99.74,1991
svn,99.79,2004
svn,99.81,2011
zaf,85.35,1980
zaf,93.5,1996
zaf,97.05,2007
zaf,98.41,2011
esp,98.64,1981
esp,99.54,1991
esp,99.57,2005
esp,99.58,2007
esp,99.53,2008
esp,99.64,2009
esp,99.51,2010
lka,91.88,1981
lka,95.07,2001
lka,97.03,2006
lka,97.33,2008
lka,97.69,2010
sdn,85.69,2000
sdn,89.95,2011
sur,95.62,2004
sur,99.38,2008
sur,97.97,2010
swz,76.08,1976
swz,83.09,1986
swz,90.69,2000
swz,92.19,2011
syr,88.83,1981
syr,97.14,2002
syr,94.61,2004
syr,96.37,2011
tjk,99.74,1989
tjk,99.84,2000
tjk,99.86,2011
tza,86.2,1988
tza,80.92,2002
tza,76.49,2010
tha,97.57,1980
tha,98.1,2000
tha,98.22,2005
tls,80.49,2010
tgo,83.79,2000
tgo,84.86,2006
tgo,87.63,2009
tgo,86.92,2011
ton,99.84,1976
ton,99.27,1996
ton,99.3,2006
tto,99.2,1980
tto,99.3,1990
tto,99.49,2004
tto,99.56,2011
tun,85.74,1984
tun,90.38,1994
tun,96.4,2004
tun,97.84,2007
tun,98.13,2008
tun,98.21,2010
tur,90.75,1975
tur,93.62,1980
tur,95.68,1985
tur,96.57,1990
tur,98.02,2004
tur,98.36,2005
tur,98.37,2006
tur,98.58,2007
tur,99.02,2009
tur,99.21,2010
tur,99.45,2011
tkm,99.81,1995
tkm,99.77,2011
uga,77.22,1991
uga,85.96,2002
uga,87.27,2006
uga,89.64,2010
ukr,99.78,2001
ukr,99.74,2011
are,65.51,1975
are,81.01,1985
are,93.63,2005
ury,97.74,1975
ury,98.26,1985
ury,98.15,1996
ury,98.31,2006
ury,98.49,2007
ury,98.63,2008
ury,98.14,2009
ury,98.36,2010
uzb,99.85,2000
uzb,99.89,2011
vut,75.74,1979
vut,87.3,1994
vut,92.11,2004
vut,94.43,2011
ven,92.33,1981
ven,94.52,1990
ven,96.33,2001
ven,97.97,2007
ven,98.27,2009
pse,96.91,1997
pse,99.02,2004
pse,99.04,2006
pse,99.13,2007
pse,99.27,2008
pse,99.23,2009
pse,99.21,2010
pse,99.26,2011
vnm,96.11,1979
vnm,94.08,1989
vnm,94.18,1999
vnm,95.59,2000
vnm,97.48,2011
yem,82.8,1994
yem,92.82,2004
yem,96.37,2011
zmb,67.27,1990
zmb,72.62,1999
zmb,77.73,2002
zmb,70.31,2007
zwe,93.83,1982
zwe,96.54,1992
zwe,89.59,2011
