geo,income_share_of_middle_20percent,time
alb,17.42,1997
alb,17.56,2002
alb,16.58,2005
dza,14.82,1988
dza,16.31,1995
ago,10.79,2000
arg,14.37,1986
arg,14.25,1992
arg,13.51,1996
arg,13.29,1998
arg,12.35,2002
arg,13.31,2005
arm,13.97,1996
arm,15.59,1999
arm,15.49,2002
arm,15.72,2003
aus,17.2,1994
aut,17.44,2000
aze,16.52,1995
aze,15.55,2001
aze,18.66,2005
bgd,17.58,1992
bgd,16.39,1996
bgd,16.31,2000
bgd,16.13,2005
blr,18.56,1988
blr,18.49,1993
blr,17.97,1997
blr,17.23,1998
blr,17.1,2000
blr,17.39,2002
blr,17.82,2005
bel,16.31,2000
ben,15.1,2003
btn,12.99,2003
bol,14.76,1991
bol,11.04,1997
bol,11.59,1999
bol,10.89,2002
bol,11.42,2005
bih,17.52,2001
bih,16.2,2004
bwa,11.42,1986
bwa,9.76,1994
bwa,9.64,1995
bra,10.59,1981
bra,10.39,1982
bra,10.17,1983
bra,10.2,1984
bra,10.12,1985
bra,10.43,1986
bra,10.19,1987
bra,9.65,1988
bra,8.99,1989
bra,9.72,1990
bra,10.95,1992
bra,10.16,1993
bra,10.15,1995
bra,10.18,1996
bra,10.17,1997
bra,10.16,1998
bra,10.33,1999
bra,10.38,2001
bra,10.45,2002
bra,10.7,2003
bra,11.36,2005
bra,11.78,2007
bgr,18.31,1989
bgr,18.09,1994
bgr,17.45,1997
bgr,17.11,2001
bgr,17.38,2003
bfa,11.79,1994
bfa,12.78,1998
bfa,14.71,2003
bdi,16.29,1992
bdi,15.13,1998
bdi,15.43,2006
khm,14.44,1994
khm,13.87,2004
khm,13.97,2007
cmr,12.87,1996
cmr,13.72,2001
can,17.18,2000
cpv,12.27,2001
caf,9.56,1993
caf,14.29,2003
tcd,15.03,2003
chl,10.8,1987
chl,11.37,1990
chl,11.45,1994
chl,11.45,1996
chl,11.32,1998
chl,11.37,2000
chl,11.45,2003
chl,12.17,2006
chn,14.66,2005
col,11.03,1995
col,11.52,1996
col,11.0,1999
col,11.24,2000
col,10.63,2003
col,10.98,2006
com,8.94,2004
cod,13.79,2006
cog,13.01,2005
cri,14.14,1981
cri,18.03,1986
cri,14.61,1990
cri,14.33,1993
cri,14.12,1996
cri,13.69,1998
cri,14.06,2000
cri,13.15,2001
cri,13.5,2003
cri,13.85,2005
civ,14.91,1985
civ,14.68,1987
civ,15.78,1988
civ,15.56,1993
civ,15.58,1995
civ,14.01,1998
civ,12.86,2002
hrv,18.47,1988
hrv,17.9,1998
hrv,17.57,1999
hrv,16.98,2001
hrv,17.47,2005
cze,18.76,1988
cze,17.05,1993
cze,17.53,1996
dnk,18.2,1997
dji,16.24,1996
dji,15.21,2002
dom,13.77,1986
dom,12.61,1989
dom,12.27,1992
dom,13.33,1996
dom,12.47,2000
dom,12.39,2003
dom,12.92,2005
ecu,13.42,1987
ecu,12.91,1994
ecu,11.98,1998
ecu,9.72,2003
ecu,12.12,2005
ecu,11.78,2007
egy,16.27,1991
egy,16.4,1996
egy,15.83,2000
egy,16.05,2005
slv,14.52,1989
slv,13.25,1995
slv,12.63,1996
slv,12.38,1998
slv,13.07,2000
slv,13.03,2002
slv,13.81,2003
slv,13.59,2005
est,18.92,1988
est,15.15,1993
est,17.6,1995
est,15.54,1998
est,15.97,2000
est,16.01,2002
est,16.16,2004
eth,16.36,1982
eth,14.45,1995
eth,16.72,2000
eth,16.78,2005
fin,17.47,2000
fra,17.19,1995
gab,14.64,2005
gmb,12.43,1998
gmb,13.24,2003
geo,16.27,1996
geo,16.03,1999
geo,15.43,2002
geo,15.42,2005
deu,17.79,2000
gha,16.29,1988
gha,16.03,1989
gha,15.4,1992
gha,15.09,1998
gha,14.73,2006
grc,16.84,2000
gtm,10.75,1987
gtm,10.52,1989
gtm,11.51,1998
gtm,11.61,2000
gtm,11.78,2002
gtm,11.98,2006
gin,14.71,1991
gin,14.81,1994
gin,14.11,2003
gnb,12.02,1991
gnb,13.11,1993
gnb,16.03,2002
guy,12.39,1993
guy,14.69,1998
hti,10.48,2001
hnd,10.92,1990
hnd,11.78,1992
hnd,11.53,1994
hnd,12.34,1997
hnd,12.85,1999
hnd,11.7,2003
hnd,11.49,2005
hnd,12.05,2006
hkg,13.85,1996
hun,18.51,1987
hun,17.74,1989
hun,17.09,1993
hun,18.12,1998
hun,17.34,1999
hun,17.65,2002
hun,17.14,2004
ind,14.94,2005
idn,14.38,2005
irn,13.48,1986
irn,14.46,1990
irn,14.46,1994
irn,14.29,1998
irn,15.58,2005
irl,16.31,2000
isr,15.86,2001
ita,16.75,2000
jam,14.5,1988
jam,14.54,1990
jam,16.36,1993
jam,14.81,1996
jam,14.13,1999
jam,13.1,2002
jam,13.75,2004
jpn,17.58,1993
jor,15.77,1987
jor,14.03,1992
jor,15.54,1997
jor,15.23,2003
jor,15.2,2006
kaz,18.14,1988
kaz,16.91,1993
kaz,16.54,1996
kaz,17.04,2001
kaz,16.31,2002
kaz,16.58,2003
ken,10.73,1992
ken,14.75,1994
ken,14.27,1997
ken,13.32,2005
kor,17.95,1998
kgz,17.28,1988
kgz,12.51,1993
kgz,15.81,1998
kgz,16.24,1999
kgz,16.58,2002
kgz,16.24,2004
lao,16.43,1992
lao,15.66,1997
lao,16.13,2002
