geo,forest_land_total_area_ha,time
ago,60980000,1990
ago,59730000,2000
ago,59100000,2005
bwa,13720000,1990
bwa,12540000,2000
bwa,11940000,2005
com,12000,1990
com,8000,2000
com,5000,2005
ken,3708000,1990
ken,3582000,2000
ken,3522000,2005
lso,5000,1990
lso,7000,2000
lso,8000,2005
mdg,13690000,1990
mdg,13020000,2000
mdg,12840000,2005
mwi,3896000,1990
mwi,3567000,2000
mwi,3402000,2005
mus,39000,1990
mus,38000,2000
mus,37000,2005
myt,6000,1990
myt,6000,2000
myt,5000,2005
moz,20010000,1990
moz,19510000,2000
moz,19260000,2005
nam,8762000,1990
nam,8033000,2000
nam,7661000,2005
reu,87000,1990
reu,87000,2000
reu,84000,2005
syc,40000,1990
syc,40000,2000
syc,40000,2005
zaf,9203000,1990
zaf,9203000,2000
zaf,9203000,2005
swz,472000,1990
swz,518000,2000
swz,541000,2005
uga,4924000,1990
uga,4059000,2000
uga,3627000,2005
tza,41440000,1990
tza,37320000,2000
tza,35260000,2005
zmb,49120000,1990
zmb,44680000,2000
zmb,42450000,2005
zwe,22230000,1990
zwe,19100000,2000
zwe,17540000,2005
dza,1790000,1990
dza,2144000,2000
dza,2277000,2005
bfa,7154000,1990
bfa,6914000,2000
bfa,6794000,2005
tcd,13110000,1990
tcd,12320000,2000
tcd,11920000,2005
dji,6000,1990
dji,6000,2000
dji,6000,2005
egy,44000,1990
egy,59000,2000
egy,67000,2005
eri,1621000,1990
eri,1576000,2000
eri,1554000,2005
eth,15110000,1990
eth,13700000,2000
eth,13000000,2005
lby,217000,1990
lby,217000,2000
lby,217000,2005
mli,14070000,1990
mli,13070000,2000
mli,12570000,2005
mrt,415000,1990
mrt,317000,2000
mrt,267000,2005
mar,4289000,1990
mar,4328000,2000
mar,4364000,2005
ner,1945000,1990
ner,1328000,2000
ner,1266000,2005
som,8282000,1990
som,7515000,2000
som,7131000,2005
sdn,76380000,1990
sdn,70490000,2000
sdn,67550000,2005
tun,643000,1990
tun,959000,2000
tun,1056000,2005
esh,1011000,1990
esh,1011000,2000
esh,1011000,2005
ben,3322000,1990
ben,2675000,2000
ben,2351000,2005
bdi,289000,1990
bdi,198000,2000
bdi,152000,2005
cmr,24540000,1990
cmr,22340000,2000
cmr,21240000,2005
cpv,58000,1990
cpv,82000,2000
cpv,84000,2005
caf,23200000,1990
caf,22900000,2000
caf,22760000,2005
cog,22730000,1990
cog,22560000,2000
cog,22470000,2005
civ,10220000,1990
civ,10330000,2000
civ,10400000,2005
cod,140500000,1990
cod,135200000,2000
cod,133600000,2005
gnq,1860000,1990
gnq,1708000,2000
gnq,1632000,2005
gab,21930000,1990
gab,21830000,2000
gab,21780000,2005
gmb,442000,1990
gmb,461000,2000
gmb,471000,2005
gha,7448000,1990
gha,6094000,2000
gha,5517000,2005
gin,7408000,1990
gin,6904000,2000
gin,6724000,2005
gnb,2216000,1990
gnb,2120000,2000
gnb,2072000,2005
lbr,4058000,1990
lbr,3455000,2000
lbr,3154000,2005
nga,17230000,1990
nga,13140000,2000
nga,11090000,2005
rwa,318000,1990
rwa,344000,2000
rwa,480000,2005
shn,2000,1990
shn,2000,2000
