geo,population_aged_10_14_years_female_percent,time
afg,11.65,1950
afg,11.87,1955
afg,12.28,1960
afg,11.72,1965
afg,11.87,1970
afg,12.06,1975
afg,12.25,1980
afg,12.36,1985
afg,12.39,1990
afg,12.53,1995
afg,12.66,2000
afg,12.92,2005
afg,13.09,2010
afg,12.89,2015
afg,12.43,2020
afg,12.39,2025
afg,12.36,2030
afg,12.18,2035
afg,11.77,2040
afg,11.2,2045
afg,10.61,2050
alb,11.96,1950
alb,10.96,1955
alb,10.39,1960
alb,11.33,1965
alb,12.68,1970
alb,12.63,1975
alb,11.15,1980
alb,10.61,1985
alb,10.17,1990
alb,10.03,1995
alb,10.3,2000
alb,9.675,2005
alb,8.587,2010
alb,6.348,2015
alb,6.239,2020
alb,6.528,2025
alb,6.644,2030
alb,6.25,2035
alb,5.54,2040
alb,5.067,2045
alb,5.083,2050
dza,11.71,1950
dza,11.53,1955
dza,11.67,1960
dza,11.87,1965
dza,12.41,1970
dza,12.73,1975
dza,12.76,1980
dza,12.5,1985
dza,12.72,1990
dza,13.14,1995
dza,12.21,2000
dza,10.78,2005
dza,8.323,2010
dza,8.107,2015
dza,8.293,2020
dza,8.259,2025
dza,7.842,2030
dza,7.079,2035
dza,6.332,2040
dza,5.907,2045
dza,5.803,2050
ago,11.12,1950
ago,11.0,1955
ago,10.81,1960
ago,11.72,1965
ago,12.0,1970
ago,12.29,1975
ago,12.25,1980
ago,12.1,1985
ago,12.36,1990
ago,12.51,1995
ago,12.8,2000
ago,12.91,2005
ago,12.52,2010
ago,12.74,2015
ago,12.07,2020
ago,12.05,2025
ago,11.8,2030
ago,11.36,2035
ago,10.77,2040
ago,10.19,2045
ago,9.7,2050
arg,9.345,1950
arg,9.158,1955
arg,9.328,1960
arg,9.409,1965
arg,9.22,1970
arg,8.821,1975
arg,8.468,1980
arg,8.827,1985
arg,9.809,1990
arg,8.967,1995
arg,8.739,2000
arg,8.542,2005
arg,8.08,2010
arg,7.521,2015
arg,7.392,2020
arg,7.165,2025
arg,6.841,2030
arg,6.482,2035
arg,6.132,2040
arg,5.814,2045
arg,5.722,2050
arm,13.76,1950
arm,7.239,1955
arm,8.48,1960
arm,10.68,1965
arm,12.67,1970
arm,12.23,1975
arm,9.446,1980
arm,8.739,1985
arm,8.607,1990
arm,9.381,1995
arm,9.877,2000
arm,8.012,2005
arm,5.397,2010
arm,5.675,2015
arm,6.098,2020
arm,6.343,2025
arm,5.942,2030
arm,5.279,2035
arm,4.991,2040
arm,5.003,2045
arm,5.187,2050
abw,11.11,1950
abw,14.29,1955
abw,12.5,1960
abw,11.54,1965
abw,13.79,1970
abw,10.34,1975
abw,9.677,1980
abw,6.061,1985
abw,6.061,1990
abw,7.692,1995
abw,6.522,2000
abw,7.692,2005
abw,7.143,2010
abw,5.263,2015
abw,5.357,2020
abw,5.263,2025
abw,5.085,2030
abw,5.357,2035
abw,5.263,2040
abw,5.172,2045
abw,5.357,2050
aus,7.069,1950
aus,7.963,1955
aus,9.404,1960
aus,9.253,1965
aus,9.328,1970
aus,9.063,1975
aus,8.456,1980
aus,8.325,1985
aus,7.046,1990
aus,6.929,1995
aus,6.749,2000
aus,6.645,2005
aus,6.176,2010
aus,5.861,2015
aus,5.885,2020
aus,5.793,2025
aus,5.706,2030
aus,5.632,2035
aus,5.519,2040
aus,5.418,2045
aus,5.387,2050
aut,6.645,1950
aut,7.316,1955
aut,6.541,1960
aut,6.155,1965
aut,7.116,1970
aut,7.956,1975
aut,7.584,1980
aut,6.17,1985
aut,5.379,1990
aut,5.722,1995
aut,5.566,2000
aut,5.625,2005
aut,4.962,2010
aut,4.696,2015
aut,4.483,2020
aut,4.437,2025
aut,4.515,2030
aut,4.559,2035
aut,4.526,2040
aut,4.455,2045
aut,4.459,2050
aze,13.58,1950
aze,7.139,1955
aze,7.438,1960
aze,9.632,1965
aze,12.92,1970
aze,13.65,1975
aze,11.61,1980
aze,9.728,1985
aze,9.397,1990
aze,10.0,1995
aze,10.99,2000
aze,10.01,2005
aze,7.234,2010
aze,6.38,2015
aze,7.23,2020
aze,7.4,2025
aze,6.86,2030
aze,6.013,2035
aze,5.469,2040
aze,5.431,2045
aze,5.622,2050
bhs,9.524,1950
bhs,10.64,1955
bhs,10.71,1960
bhs,11.11,1965
bhs,11.76,1970
bhs,12.63,1975
bhs,12.26,1980
bhs,11.76,1985
bhs,10.08,1990
bhs,9.79,1995
bhs,9.032,2000
bhs,9.091,2005
bhs,8.475,2010
bhs,7.447,2015
bhs,7.035,2020
bhs,6.699,2025
bhs,6.512,2030
bhs,6.278,2035
bhs,5.652,2040
bhs,5.508,2045
bhs,5.439,2050
bhr,11.11,1950
bhr,11.29,1955
bhr,12.33,1960
bhr,11.34,1965
bhr,13.73,1970
bhr,13.82,1975
bhr,12.41,1980
bhr,10.71,1985
bhr,10.78,1990
bhr,10.74,1995
bhr,9.712,2000
bhr,10.65,2005
bhr,9.827,2010
bhr,9.235,2015
bhr,8.232,2020
bhr,7.623,2025
bhr,6.904,2030
bhr,6.496,2035
bhr,6.367,2040
bhr,6.071,2045
bhr,5.842,2050
bgd,11.28,1950
bgd,11.7,1955
bgd,11.34,1960
bgd,12.34,1965
bgd,12.35,1970
bgd,12.43,1975
bgd,12.52,1980
bgd,12.81,1985
bgd,13.14,1990
bgd,12.96,1995
bgd,12.01,2000
bgd,11.02,2005
bgd,10.41,2010
bgd,9.657,2015
bgd,8.525,2020
bgd,8.082,2025
bgd,7.721,2030
bgd,7.293,2035
bgd,6.797,2040
bgd,6.316,2045
bgd,6.006,2050
brb,9.649,1950
brb,9.167,1955
brb,10.77,1960
brb,11.11,1965
brb,11.81,1970
brb,11.72,1975
brb,10.0,1980
brb,9.924,1985
brb,7.463,1990
brb,7.519,1995
brb,7.752,2000
brb,6.818,2005
brb,6.015,2010
brb,5.303,2015
brb,5.224,2020
brb,5.224,2025
brb,5.263,2030
brb,4.58,2035
brb,4.651,2040
brb,4.724,2045
brb,4.918,2050
blr,9.715,1950
blr,6.296,1955
blr,6.679,1960
blr,8.056,1965
blr,9.597,1970
blr,8.694,1975
blr,6.976,1980
blr,6.689,1985
blr,6.733,1990
blr,7.342,1995
blr,7.333,2000
blr,5.649,2005
blr,4.463,2010
blr,4.408,2015
blr,4.724,2020
blr,4.713,2025
blr,4.474,2030
blr,4.187,2035
blr,3.91,2040
blr,3.888,2045
blr,4.102,2050
bel,6.47,1950
bel,5.949,1955
bel,7.397,1960
bel,7.253,1965
bel,7.611,1970
bel,7.838,1975
bel,7.083,1980
bel,6.43,1985
bel,5.844,1990
