geo,infectious_tb_new_cases_per_100000_estimated,time
afg,76,1990
afg,76,1991
afg,76,1992
afg,76,1993
afg,76,1994
afg,76,1995
afg,76,1996
afg,76,1997
afg,76,1998
afg,76,1999
afg,76,2000
afg,76,2001
afg,76,2002
afg,76,2003
afg,76,2004
afg,76,2005
afg,76,2006
afg,76,2007
alb,11,1990
alb,11,1991
alb,11,1992
alb,12,1993
alb,12,1994
alb,12,1995
alb,12,1996
alb,13,1997
alb,13,1998
alb,12,1999
alb,11,2000
alb,11,2001
alb,10,2002
alb,10,2003
alb,9,2004
alb,9,2005
alb,8,2006
alb,8,2007
dza,17,1990
dza,17,1991
dza,18,1992
dza,18,1993
dza,19,1994
dza,19,1995
dza,20,1996
dza,20,1997
dza,20,1998
dza,21,1999
dza,21,2000
dza,22,2001
dza,22,2002
dza,23,2003
dza,24,2004
dza,24,2005
dza,25,2006
dza,25,2007
asm,10,1990
asm,3,1991
asm,1,1992
asm,2,1993
asm,9,1994
asm,5,1995
asm,0,1996
asm,12,1997
asm,4,1998
asm,6,1999
asm,4,2000
asm,4,2001
asm,2,2002
asm,4,2003
asm,4,2004
asm,5,2005
asm,5,2006
asm,0,2007
and,16,1990
and,15,1991
and,14,1992
and,13,1993
and,13,1994
and,12,1995
and,12,1996
and,12,1997
and,11,1998
and,10,1999
and,10,2000
and,10,2001
and,9,2002
and,9,2003
and,9,2004
and,9,2005
and,9,2006
and,9,2007
ago,92,1990
ago,94,1991
ago,95,1992
ago,97,1993
ago,99,1994
ago,100,1995
ago,102,1996
ago,104,1997
ago,106,1998
ago,107,1999
ago,109,2000
ago,111,2001
ago,113,2002
ago,115,2003
ago,117,2004
ago,119,2005
ago,121,2006
ago,124,2007
aia,13,1990
aia,13,1991
aia,13,1992
aia,13,1993
aia,13,1994
aia,13,1995
aia,13,1996
aia,13,1997
aia,13,1998
aia,12,1999
aia,12,2000
aia,12,2001
aia,12,2002
aia,12,2003
aia,12,2004
aia,12,2005
aia,12,2006
aia,12,2007
atg,5,1990
atg,4,1991
atg,4,1992
atg,4,1993
atg,4,1994
atg,4,1995
atg,3,1996
atg,3,1997
atg,3,1998
atg,3,1999
atg,3,2000
atg,3,2001
atg,3,2002
atg,3,2003
atg,3,2004
atg,3,2005
atg,3,2006
atg,2,2007
arg,33,1990
arg,31,1991
arg,30,1992
arg,29,1993
arg,28,1994
arg,27,1995
arg,26,1996
arg,25,1997
arg,24,1998
arg,23,1999
arg,22,2000
arg,21,2001
arg,20,2002
arg,20,2003
arg,19,2004
arg,18,2005
arg,17,2006
arg,17,2007
arm,15,1990
arm,14,1991
arm,15,1992
arm,16,1993
arm,18,1994
arm,21,1995
arm,24,1996
arm,26,1997
arm,28,1998
arm,30,1999
arm,32,2000
arm,32,2001
arm,32,2002
arm,32,2003
arm,32,2004
arm,32,2005
arm,32,2006
arm,32,2007
aus,3,1990
aus,3,1991
aus,3,1992
aus,3,1993
aus,3,1994
aus,3,1995
aus,3,1996
aus,3,1997
aus,3,1998
aus,3,1999
aus,3,2000
aus,3,2001
aus,3,2002
aus,3,2003
aus,3,2004
aus,3,2005
aus,3,2006
aus,3,2007
aut,10,1990
aut,10,1991
aut,9,1992
aut,9,1993
aut,8,1994
aut,8,1995
aut,8,1996
aut,8,1997
aut,7,1998
aut,7,1999
aut,6,2000
aut,6,2001
aut,6,2002
aut,6,2003
aut,6,2004
aut,6,2005
aut,6,2006
aut,6,2007
aze,16,1990
aze,15,1991
aze,16,1992
aze,18,1993
aze,20,1994
aze,22,1995
aze,25,1996
aze,28,1997
aze,30,1998
aze,32,1999
aze,34,2000
aze,35,2001
aze,34,2002
aze,34,2003
aze,34,2004
aze,34,2005
aze,34,2006
aze,34,2007
bhs,18,1990
bhs,18,1991
bhs,18,1992
bhs,18,1993
bhs,18,1994
bhs,18,1995
bhs,18,1996
