geo,population_density_per_square_km,time
and,107.3,1988
and,109.5,1989
and,112.8,1990
and,117.5,1991
and,123.4,1992
and,129.6,1993
and,134.9,1994
and,138.2,1995
and,139.4,1996
and,138.7,1997
and,137.3,1998
and,136.7,1999
and,138.1,2000
and,141.9,2001
and,147.5,2002
and,154.3,2003
and,160.9,2004
and,166.4,2005
and,170.7,2006
and,173.9,2007
and,176.4,2008
and,178.8,2009
and,181.3,2010
ago,3.327,1950
ago,3.384,1951
ago,3.446,1952
ago,3.511,1953
ago,3.577,1954
ago,3.643,1955
ago,3.709,1956
ago,3.775,1957
ago,3.842,1958
ago,3.911,1959
ago,3.981,1960
ago,4.054,1961
ago,4.129,1962
ago,4.205,1963
ago,4.281,1964
ago,4.356,1965
ago,4.431,1966
ago,4.506,1967
ago,4.583,1968
ago,4.665,1969
ago,4.754,1970
ago,4.851,1971
ago,4.957,1972
ago,5.071,1973
ago,5.194,1974
ago,5.324,1975
ago,5.461,1976
ago,5.607,1977
ago,5.763,1978
ago,5.936,1979
ago,6.127,1980
ago,6.339,1981
ago,6.571,1982
ago,6.811,1983
ago,7.048,1984
ago,7.272,1985
ago,7.478,1986
ago,7.67,1987
ago,7.86,1988
ago,8.063,1989
ago,8.29,1990
ago,8.545,1991
ago,8.826,1992
ago,9.121,1993
ago,9.419,1994
ago,9.71,1995
ago,9.989,1996
ago,10.26,1997
ago,10.54,1998
ago,10.84,1999
ago,11.17,2000
ago,11.54,2001
ago,11.94,2002
ago,12.37,2003
ago,12.8,2004
ago,13.23,2005
ago,13.64,2006
ago,14.06,2007
ago,14.47,2008
ago,14.88,2009
ago,15.31,2010
aia,56.27,1950
aia,58.21,1951
aia,59.76,1952
aia,60.98,1953
aia,61.92,1954
aia,62.6,1955
aia,63.11,1956
aia,63.48,1957
aia,63.79,1958
aia,64.08,1959
aia,64.43,1960
aia,64.85,1961
aia,65.36,1962
aia,65.94,1963
aia,66.56,1964
aia,67.19,1965
aia,67.81,1966
aia,68.44,1967
aia,69.09,1968
aia,69.71,1969
aia,70.33,1970
aia,70.92,1971
aia,71.5,1972
aia,72.02,1973
aia,72.48,1974
aia,72.86,1975
aia,73.21,1976
aia,73.53,1977
aia,73.77,1978
aia,73.8,1979
aia,73.6,1980
aia,73.09,1981
aia,72.37,1982
aia,71.82,1983
aia,71.99,1984
aia,73.2,1985
aia,75.61,1986
aia,79.09,1987
aia,83.24,1988
aia,87.52,1989
aia,91.56,1990
aia,95.26,1991
aia,98.74,1992
aia,101.9,1993
aia,104.9,1994
aia,107.7,1995
aia,110.3,1996
aia,112.6,1997
aia,115.0,1998
aia,117.9,1999
aia,121.6,2000
aia,126.4,2001
aia,131.9,2002
aia,137.9,2003
aia,143.8,2004
aia,149.2,2005
aia,153.9,2006
aia,158.2,2007
aia,161.9,2008
aia,165.4,2009
aia,168.8,2010
atg,104.8,1950
atg,109.3,1951
atg,112.9,1952
atg,115.6,1953
atg,117.7,1954
atg,119.1,1955
atg,120.0,1956
atg,120.8,1957
atg,121.5,1958
atg,122.4,1959
atg,123.7,1960
