geo,population_density_per_square_km,time
cub,79.88,1971
cub,81.28,1972
cub,82.63,1973
cub,83.88,1974
cub,84.98,1975
cub,85.92,1976
cub,86.72,1977
cub,87.4,1978
cub,87.99,1979
cub,88.51,1980
cub,88.96,1981
cub,89.35,1982
cub,89.74,1983
cub,90.22,1984
cub,90.83,1985
cub,91.6,1986
cub,92.52,1987
cub,93.51,1988
cub,94.48,1989
cub,95.35,1990
cub,96.1,1991
cub,96.76,1992
cub,97.33,1993
cub,97.85,1994
cub,98.33,1995
cub,98.77,1996
cub,99.15,1997
cub,99.51,1998
cub,99.84,1999
cub,100.2,2000
cub,100.5,2001
cub,100.8,2002
cub,101.1,2003
cub,101.3,2004
cub,101.5,2005
cub,101.6,2006
cub,101.6,2007
cub,101.6,2008
cub,101.6,2009
cub,101.5,2010
cyp,53.4,1950
cyp,54.09,1951
cyp,54.77,1952
cyp,55.5,1953
cyp,56.34,1954
cyp,57.29,1955
cyp,58.33,1956
cyp,59.4,1957
cyp,60.42,1958
cyp,61.3,1959
cyp,61.94,1960
cyp,62.31,1961
cyp,62.45,1962
cyp,62.48,1963
cyp,62.56,1964
cyp,62.81,1965
cyp,63.28,1966
cyp,63.93,1967
cyp,64.71,1968
cyp,65.53,1969
cyp,66.34,1970
cyp,67.13,1971
cyp,67.9,1972
cyp,68.67,1973
cyp,69.45,1974
cyp,70.25,1975
cyp,71.09,1976
cyp,71.96,1977
cyp,72.79,1978
cyp,73.52,1979
cyp,74.1,1980
cyp,74.51,1981
cyp,74.78,1982
cyp,75.03,1983
cyp,75.43,1984
cyp,76.07,1985
cyp,77.01,1986
cyp,78.2,1987
cyp,79.62,1988
cyp,81.19,1989
cyp,82.87,1990
cyp,84.66,1991
cyp,86.55,1992
cyp,88.52,1993
cyp,90.5,1994
cyp,92.47,1995
cyp,94.4,1996
cyp,96.29,1997
cyp,98.16,1998
cyp,100.0,1999
cyp,102.0,2000
cyp,103.9,2001
cyp,105.9,2002
cyp,107.9,2003
cyp,109.8,2004
cyp,111.6,2005
cyp,113.3,2006
cyp,114.9,2007
cyp,116.4,2008
cyp,117.9,2009
cyp,119.3,2010
cze,112.5,1950
cze,113.6,1951
cze,114.6,1952
cze,115.5,1953
cze,116.5,1954
cze,117.3,1955
cze,118.1,1956
cze,118.9,1957
cze,119.6,1958
cze,120.2,1959
cze,120.7,1960
cze,121.2,1961
cze,121.7,1962
cze,122.1,1963
cze,122.5,1964
cze,122.8,1965
cze,123.1,1966
cze,123.3,1967
cze,123.5,1968
cze,123.8,1969
cze,124.1,1970
cze,124.5,1971
cze,125.0,1972
cze,125.5,1973
cze,126.1,1974
cze,126.7,1975
cze,127.4,1976
cze,128.2,1977
cze,128.9,1978
cze,129.6,1979
cze,130.1,1980
cze,130.4,1981
cze,130.6,1982
cze,130.6,1983
cze,130.6,1984
cze,130.6,1985
cze,130.6,1986
cze,130.6,1987
cze,130.6,1988
cze,130.6,1989
cze,130.6,1990
cze,130.7,1991
cze,130.8,1992
cze,130.9,1993
cze,130.9,1994
cze,130.8,1995
cze,130.7,1996
cze,130.6,1997
cze,130.3,1998
cze,130.1,1999
cze,129.9,2000
cze,129.7,2001
cze,129.5,2002
cze,129.3,2003
cze,129.4,2004
cze,129.6,2005
cze,130.1,2006
cze,130.8,2007
cze,131.6,2008
cze,132.4,2009
cze,133.0,2010
dnk,99.05,1950
dnk,99.97,1951
dnk,100.8,1952
dnk,101.6,1953
dnk,102.3,1954
dnk,103.0,1955
dnk,103.6,1956
dnk,104.3,1957
dnk,104.9,1958
dnk,105.6,1959
dnk,106.3,1960
dnk,107.0,1961
dnk,107.9,1962
dnk,108.7,1963
dnk,109.6,1964
dnk,110.4,1965
dnk,111.3,1966
dnk,112.1,1967
dnk,112.9,1968
dnk,113.6,1969
dnk,114.4,1970
dnk,115.1,1971
dnk,115.7,1972
dnk,116.4,1973
dnk,116.9,1974
dnk,117.4,1975
dnk,117.9,1976
dnk,118.2,1977
dnk,118.5,1978
dnk,118.8,1979
dnk,118.9,1980
dnk,118.9,1981
dnk,118.9,1982
dnk,118.8,1983
dnk,118.7,1984
dnk,118.7,1985
dnk,118.7,1986
dnk,118.7,1987
dnk,118.9,1988
dnk,119.0,1989
dnk,119.3,1990
dnk,119.6,1991
dnk,120.0,1992
dnk,120.5,1993
dnk,120.9,1994
dnk,121.4,1995
dnk,121.9,1996
dnk,122.5,1997
dnk,123.0,1998
dnk,123.5,1999
dnk,123.9,2000
dnk,124.3,2001
dnk,124.6,2002
dnk,124.9,2003
dnk,125.3,2004
dnk,125.8,2005
dnk,126.3,2006
dnk,126.9,2007
dnk,127.6,2008
dnk,128.2,2009
dnk,128.8,2010
dji,2.672,1950
dji,2.736,1951
dji,2.803,1952
dji,2.873,1953
dji,2.946,1954
dji,3.025,1955
dji,3.112,1956
dji,3.213,1957
dji,3.333,1958
dji,3.48,1959
dji,3.658,1960
dji,3.873,1961
dji,4.123,1962
dji,4.404,1963
dji,4.708,1964
dji,5.03,1965
dji,5.374,1966
dji,5.744,1967
dji,6.134,1968
dji,6.542,1969
dji,6.966,1970
dji,7.393,1971
dji,7.829,1972
dji,8.316,1973
dji,8.912,1974
dji,9.654,1975
dji,10.57,1976
dji,11.65,1977
dji,12.77,1978
dji,13.81,1979
dji,14.66,1980
dji,15.27,1981
dji,15.69,1982
dji,16.05,1983
dji,16.57,1984
dji,17.38,1985
dji,18.55,1986
dji,20.01,1987
dji,21.59,1988
dji,23.05,1989
dji,24.24,1990
dji,25.07,1991
dji,25.62,1992
dji,26.01,1993
dji,26.43,1994
dji,27.01,1995
dji,27.78,1996
dji,28.7,1997
dji,29.7,1998
dji,30.67,1999
dji,31.55,2000
dji,32.31,2001
dji,32.99,2002
dji,33.6,2003
dji,34.21,2004
dji,34.84,2005
dji,35.5,2006
dji,36.18,2007
dji,36.88,2008
dji,37.59,2009
dji,38.31,2010
dma,68.04,1950
dma,68.85,1951
dma,69.64,1952
dma,70.5,1953
dma,71.49,1954
dma,72.65,1955
dma,73.96,1956
dma,75.41,1957
dma,76.93,1958
dma,78.45,1959
dma,79.91,1960
dma,81.27,1961
dma,82.53,1962
dma,83.78,1963
dma,85.11,1964
dma,86.6,1965
dma,88.29,1966
dma,90.12,1967
dma,91.93,1968
dma,93.49,1969
dma,94.64,1970
dma,95.3,1971
dma,95.52,1972
dma,95.53,1973
dma,95.62,1974
dma,96.0,1975
dma,96.73,1976
dma,97.75,1977
dma,98.86,1978
dma,99.76,1979
dma,100.3,1980
dma,100.4,1981
dma,100.1,1982
dma,99.53,1983
dma,98.82,1984
dma,98.05,1985
dma,97.23,1986
dma,96.36,1987
dma,95.53,1988
dma,94.86,1989
dma,94.44,1990
dma,94.33,1991
dma,94.49,1992
dma,94.78,1993
dma,95.01,1994
dma,95.03,1995
dma,94.79,1996
dma,94.34,1997
dma,93.77,1998
dma,93.21,1999
dma,92.77,2000
dma,92.47,2001
dma,92.28,2002
dma,92.14,2003
dma,91.99,2004
dma,91.78,2005
dma,91.48,2006
dma,91.12,2007
dma,90.76,2008
dma,90.44,2009
dma,90.22,2010
dom,49.06,1950
dom,50.57,1951
dom,52.18,1952
dom,53.9,1953
dom,55.71,1954
dom,57.61,1955
dom,59.58,1956
dom,61.64,1957
dom,63.76,1958
dom,65.95,1959
dom,68.21,1960
dom,70.53,1961
dom,72.9,1962
dom,75.32,1963
dom,77.78,1964
dom,80.26,1965
dom,82.77,1966
dom,85.3,1967
dom,87.85,1968
dom,90.42,1969
dom,93.0,1970
dom,95.6,1971
dom,98.21,1972
dom,100.8,1973
dom,103.5,1974
dom,106.1,1975
dom,108.7,1976
dom,111.4,1977
dom,114.0,1978
dom,116.7,1979
dom,119.4,1980
dom,122.2,1981
dom,125.0,1982
dom,127.9,1983
dom,130.7,1984
dom,133.6,1985
dom,136.5,1986
dom,139.4,1987
dom,142.4,1988
dom,145.3,1989
dom,148.3,1990
dom,151.3,1991
dom,154.3,1992
dom,157.3,1993
dom,160.3,1994
dom,163.2,1995
dom,166.0,1996
dom,168.8,1997
dom,171.6,1998
dom,174.4,1999
dom,177.1,2000
dom,179.9,2001
dom,182.7,2002
dom,185.4,2003
dom,188.2,2004
dom,191.0,2005
dom,193.7,2006
dom,196.5,2007
dom,199.2,2008
dom,202.0,2009
dom,204.6,2010
ecu,11.95,1950
ecu,12.26,1951
ecu,12.58,1952
ecu,12.91,1953
ecu,13.26,1954
ecu,13.62,1955
ecu,13.99,1956
ecu,14.38,1957
ecu,14.79,1958
ecu,15.21,1959
ecu,15.65,1960
ecu,16.12,1961
ecu,16.6,1962
ecu,17.1,1963
ecu,17.61,1964
ecu,18.15,1965
ecu,18.7,1966
ecu,19.27,1967
ecu,19.85,1968
ecu,20.45,1969
ecu,21.06,1970
ecu,21.69,1971
ecu,22.33,1972
ecu,22.99,1973
ecu,23.67,1974
ecu,24.36,1975
ecu,25.07,1976
ecu,25.8,1977
ecu,26.54,1978
ecu,27.3,1979
ecu,28.06,1980
ecu,28.84,1981
ecu,29.63,1982
ecu,30.43,1983
ecu,31.24,1984
ecu,32.06,1985
ecu,32.88,1986
ecu,33.71,1987
ecu,34.53,1988
ecu,35.36,1989
ecu,36.19,1990
ecu,37.01,1991
ecu,37.82,1992
ecu,38.63,1993
ecu,39.41,1994
ecu,40.15,1995
ecu,40.85,1996
ecu,41.52,1997
ecu,42.18,1998
ecu,42.84,1999
ecu,43.54,2000
ecu,44.27,2001
ecu,45.02,2002
ecu,45.8,2003
ecu,46.58,2004
ecu,47.35,2005
ecu,48.1,2006
ecu,48.84,2007
ecu,49.57,2008
ecu,50.3,2009
ecu,51.01,2010
egy,21.48,1950
egy,22.02,1951
egy,22.57,1952
egy,23.16,1953
egy,23.77,1954
egy,24.4,1955
egy,25.05,1956
egy,25.73,1957
egy,26.42,1958
egy,27.13,1959
egy,27.86,1960
egy,28.61,1961
egy,29.37,1962
egy,30.14,1963
egy,30.93,1964
egy,31.73,1965
egy,32.54,1966
egy,33.37,1967
egy,34.2,1968
egy,35.04,1969
egy,35.87,1970
egy,36.7,1971
egy,37.52,1972
egy,38.35,1973
egy,39.2,1974
egy,40.07,1975
egy,40.97,1976
egy,41.9,1977
egy,42.86,1978
egy,43.85,1979
egy,44.89,1980
egy,45.96,1981
egy,47.06,1982
egy,48.21,1983
egy,49.38,1984
egy,50.59,1985
egy,51.83,1986
egy,53.09,1987
egy,54.35,1988
egy,55.59,1989
egy,56.76,1990
egy,57.87,1991
egy,58.92,1992
egy,59.93,1993
egy,60.94,1994
egy,61.97,1995
egy,63.03,1996
egy,64.11,1997
egy,65.22,1998
egy,66.36,1999
egy,67.55,2000
egy,68.79,2001
egy,70.07,2002
egy,71.39,2003
egy,72.74,2004
egy,74.1,2005
egy,75.46,2006
egy,76.83,2007
egy,78.21,2008
egy,79.6,2009
egy,81.0,2010
slv,104.6,1950
slv,106.3,1951
slv,108.3,1952
slv,110.5,1953
slv,112.9,1954
slv,115.5,1955
slv,118.3,1956
slv,121.3,1957
slv,124.5,1958
slv,128.0,1959
slv,131.8,1960
slv,135.9,1961
slv,140.3,1962
slv,144.8,1963
slv,149.5,1964
slv,154.2,1965
slv,158.9,1966
slv,163.5,1967
slv,168.2,1968
slv,172.8,1969
slv,177.6,1970
slv,182.4,1971
slv,187.1,1972
slv,191.9,1973
slv,196.6,1974
slv,201.1,1975
slv,205.5,1976
slv,209.7,1977
slv,213.8,1978
slv,217.6,1979
slv,221.3,1980
slv,224.8,1981
slv,228.1,1982
slv,231.2,1983
slv,234.3,1984
slv,237.4,1985
slv,240.5,1986
slv,243.5,1987
slv,246.6,1988
slv,249.9,1989
slv,253.4,1990
slv,257.3,1991
slv,261.3,1992
slv,265.4,1993
slv,269.2,1994
slv,272.5,1995
slv,275.2,1996
slv,277.5,1997
slv,279.4,1998
slv,280.9,1999
slv,282.3,2000
slv,283.5,2001
slv,284.6,2002
slv,285.6,2003
slv,286.5,2004
slv,287.6,2005
slv,288.7,2006
slv,290.0,2007
slv,291.3,2008
slv,292.8,2009
slv,294.3,2010
gnq,8.04,1950
gnq,8.201,1951
gnq,8.298,1952
gnq,8.36,1953
gnq,8.413,1954
gnq,8.473,1955
gnq,8.55,1956
gnq,8.645,1957
gnq,8.756,1958
gnq,8.873,1959
gnq,8.988,1960
gnq,9.094,1961
gnq,9.195,1962
gnq,9.304,1963
gnq,9.438,1964
gnq,9.605,1965
gnq,9.82,1966
gnq,10.07,1967
gnq,10.29,1968
gnq,10.41,1969
gnq,10.37,1970
gnq,10.16,1971
gnq,9.8,1972
gnq,9.354,1973
gnq,8.897,1974
gnq,8.493,1975
gnq,8.147,1976
gnq,7.859,1977
gnq,7.679,1978
gnq,7.669,1979
gnq,7.864,1980
gnq,8.295,1981
gnq,8.938,1982
gnq,9.704,1983
gnq,10.47,1984
gnq,11.14,1985
gnq,11.7,1986
gnq,12.15,1987
gnq,12.54,1988
gnq,12.92,1989
gnq,13.33,1990
gnq,13.78,1991
gnq,14.25,1992
gnq,14.75,1993
gnq,15.26,1994
gnq,15.78,1995
gnq,16.3,1996
gnq,16.84,1997
gnq,17.4,1998
gnq,17.97,1999
gnq,18.55,2000
gnq,19.15,2001
gnq,19.77,2002
gnq,20.39,2003
gnq,21.03,2004
gnq,21.67,2005
gnq,22.31,2006
gnq,22.96,2007
gnq,23.61,2008
gnq,24.28,2009
gnq,24.97,2010
eri,9.705,1950
eri,9.885,1951
eri,10.08,1952
eri,10.29,1953
eri,10.51,1954
eri,10.75,1955
eri,10.99,1956
eri,11.25,1957
eri,11.53,1958
eri,11.81,1959
eri,12.11,1960
eri,12.41,1961
eri,12.74,1962
eri,13.07,1963
eri,13.41,1964
eri,13.77,1965
eri,14.13,1966
eri,14.51,1967
eri,14.9,1968
eri,15.3,1969
eri,15.71,1970
eri,16.12,1971
eri,16.55,1972
eri,17.0,1973
eri,17.47,1974
eri,17.99,1975
eri,18.55,1976
eri,19.14,1977
eri,19.76,1978
eri,20.39,1979
eri,20.99,1980
eri,21.58,1981
eri,22.13,1982
eri,22.69,1983
eri,23.26,1984
eri,23.86,1985
eri,24.53,1986
eri,25.23,1987
eri,25.91,1988
eri,26.47,1989
eri,26.86,1990
eri,27.04,1991
eri,27.07,1992
eri,27.05,1993
eri,27.09,1994
eri,27.32,1995
eri,27.75,1996
eri,28.36,1997
eri,29.15,1998
eri,30.1,1999
eri,31.19,2000
eri,32.42,2001
eri,33.79,2002
eri,35.25,2003
eri,36.72,2004
eri,38.15,2005
eri,39.51,2006
eri,40.8,2007
eri,42.07,2008
eri,43.35,2009
eri,44.67,2010
est,24.41,1950
est,24.7,1951
est,24.97,1952
est,25.23,1953
est,25.48,1954
est,25.72,1955
est,25.95,1956
est,26.19,1957
est,26.43,1958
est,26.68,1959
est,26.96,1960
est,27.27,1961
est,27.59,1962
est,27.93,1963
est,28.28,1964
est,28.62,1965
est,28.96,1966
est,29.29,1967
est,29.62,1968
est,29.94,1969
est,30.27,1970
est,30.59,1971
est,30.91,1972
est,31.22,1973
est,31.5,1974
est,31.75,1975
est,31.96,1976
est,32.14,1977
est,32.3,1978
est,32.47,1979
est,32.66,1980
est,32.86,1981
est,33.08,1982
est,33.31,1983
est,33.56,1984
est,33.83,1985
est,34.14,1986
est,34.46,1987
est,34.73,1988
est,34.85,1989
est,34.76,1990
est,34.42,1991
est,33.87,1992
est,33.2,1993
est,32.53,1994
est,31.95,1995
est,31.48,1996
est,31.11,1997
est,30.83,1998
est,30.6,1999
est,30.39,2000
est,30.22,2001
est,30.08,2002
est,29.98,2003
est,29.9,2004
est,29.84,2005
est,29.8,2006
est,29.77,2007
est,29.76,2008
est,29.75,2009
est,29.74,2010
eth,16.69,1950
eth,17.01,1951
eth,17.34,1952
eth,17.68,1953
eth,18.02,1954
eth,18.38,1955
eth,18.75,1956
eth,19.14,1957
eth,19.54,1958
eth,19.97,1959
eth,20.42,1960
eth,20.9,1961
eth,21.41,1962
eth,21.95,1963
eth,22.5,1964
eth,23.07,1965
eth,23.66,1966
eth,24.26,1967
eth,24.88,1968
eth,25.53,1969
eth,26.22,1970
eth,26.96,1971
eth,27.75,1972
eth,28.53,1973
eth,29.24,1974
eth,29.85,1975
eth,30.32,1976
eth,30.7,1977
eth,31.05,1978
eth,31.49,1979
eth,32.08,1980
eth,32.86,1981
eth,33.8,1982
eth,34.86,1983
eth,36.01,1984
eth,37.2,1985
eth,38.41,1986
eth,39.66,1987
eth,40.97,1988
eth,42.33,1989
eth,43.77,1990
eth,45.28,1991
eth,46.84,1992
eth,48.45,1993
eth,50.06,1994
eth,51.66,1995
eth,53.22,1996
eth,54.77,1997
eth,56.3,1998
eth,57.84,1999
eth,59.38,2000
eth,60.95,2001
eth,62.52,2002
eth,64.1,2003
eth,65.68,2004
eth,67.25,2005
eth,68.82,2006
eth,70.38,2007
eth,71.94,2008
eth,73.52,2009
eth,75.11,2010
fro,22.52,1950
fro,22.38,1951
fro,22.34,1952
fro,22.4,1953
fro,22.55,1954
fro,22.79,1955
fro,23.09,1956
fro,23.43,1957
fro,23.81,1958
fro,24.18,1959
fro,24.54,1960
fro,24.87,1961
fro,25.17,1962
fro,25.45,1963
fro,25.72,1964
fro,26.01,1965
fro,26.32,1966
fro,26.64,1967
fro,26.95,1968
fro,27.26,1969
fro,27.55,1970
fro,27.83,1971
fro,28.08,1972
fro,28.34,1973
fro,28.6,1974
fro,28.88,1975
fro,29.18,1976
fro,29.51,1977
fro,29.85,1978
fro,30.21,1979
fro,30.58,1980
fro,30.95,1981
fro,31.33,1982
fro,31.71,1983
fro,32.11,1984
fro,32.52,1985
fro,32.98,1986
fro,33.45,1987
fro,33.86,1988
fro,34.07,1989
fro,33.99,1990
fro,33.59,1991
fro,32.92,1992
fro,32.13,1993
fro,31.47,1994
fro,31.08,1995
fro,31.03,1996
fro,31.27,1997
fro,31.71,1998
fro,32.22,1999
fro,32.7,2000
fro,33.14,2001
fro,33.55,2002
fro,33.93,2003
fro,34.25,2004
fro,34.49,2005
fro,34.65,2006
fro,34.72,2007
fro,34.74,2008
fro,34.76,2009
fro,34.82,2010
flk,0.186,1950
flk,0.185,1951
flk,0.184,1952
flk,0.183,1953
flk,0.182,1954
flk,0.181,1955
flk,0.18,1956
flk,0.179,1957
flk,0.178,1958
flk,0.177,1959
flk,0.176,1960
flk,0.175,1961
flk,0.174,1962
flk,0.173,1963
flk,0.172,1964
flk,0.17,1965
flk,0.169,1966
flk,0.168,1967
flk,0.166,1968
flk,0.165,1969
flk,0.164,1970
flk,0.162,1971
flk,0.161,1972
flk,0.16,1973
flk,0.159,1974
flk,0.157,1975
flk,0.156,1976
flk,0.155,1977
flk,0.154,1978
flk,0.153,1979
flk,0.152,1980
flk,0.152,1981
flk,0.152,1982
flk,0.152,1983
flk,0.152,1984
flk,0.152,1985
flk,0.153,1986
flk,0.155,1987
flk,0.156,1988
flk,0.159,1989
flk,0.164,1990
flk,0.169,1991
flk,0.176,1992
flk,0.184,1993
flk,0.192,1994
flk,0.2,1995
flk,0.209,1996
flk,0.217,1997
flk,0.225,1998
flk,0.231,1999
flk,0.237,2000
flk,0.24,2001
flk,0.242,2002
flk,0.242,2003
flk,0.243,2004
flk,0.243,2005
flk,0.244,2006
flk,0.245,2007
flk,0.246,2008
flk,0.247,2009
flk,0.248,2010
fji,15.81,1950
fji,16.21,1951
fji,16.68,1952
fji,17.2,1953
fji,17.76,1954
fji,18.33,1955
fji,18.92,1956
fji,19.52,1957
fji,20.15,1958
fji,20.82,1959
fji,21.53,1960
fji,22.28,1961
fji,23.07,1962
fji,23.87,1963
fji,24.65,1964
fji,25.39,1965
fji,26.07,1966
fji,26.7,1967
fji,27.3,1968
fji,27.89,1969
fji,28.49,1970
fji,29.09,1971
fji,29.71,1972
fji,30.32,1973
fji,30.94,1974
fji,31.55,1975
fji,32.15,1976
fji,32.74,1977
fji,33.35,1978
fji,34.01,1979
fji,34.77,1980
fji,35.62,1981
fji,36.57,1982
fji,37.51,1983
fji,38.33,1984
fji,38.95,1985
fji,39.32,1986
fji,39.49,1987
fji,39.55,1988
fji,39.64,1989
fji,39.86,1990
fji,40.23,1991
fji,40.73,1992
fji,41.31,1993
fji,41.9,1994
fji,42.45,1995
fji,42.94,1996
fji,43.4,1997
fji,43.82,1998
fji,44.16,1999
fji,44.42,2000
fji,44.59,2001
fji,44.67,2002
fji,44.73,2003
fji,44.82,2004
fji,45.01,2005
fji,45.31,2006
fji,45.71,2007
fji,46.17,2008
fji,46.64,2009
fji,47.09,2010
fin,11.86,1950
fin,11.98,1951
fin,12.11,1952
fin,12.25,1953
fin,12.39,1954
fin,12.52,1955
fin,12.65,1956
fin,12.78,1957
fin,12.89,1958
fin,13.0,1959
fin,13.1,1960
fin,13.2,1961
fin,13.29,1962
fin,13.37,1963
fin,13.44,1964
fin,13.5,1965
fin,13.53,1966
fin,13.55,1967
fin,13.57,1968
fin,13.59,1969
fin,13.62,1970
fin,13.67,1971
fin,13.73,1972
fin,13.81,1973
fin,13.88,1974
fin,13.93,1975
fin,13.98,1976
fin,14.02,1977
fin,14.05,1978
fin,14.09,1979
fin,14.13,1980
fin,14.2,1981
fin,14.27,1982
fin,14.35,1983
fin,14.43,1984
fin,14.5,1985
fin,14.55,1986
fin,14.6,1987
fin,14.64,1988
fin,14.69,1989
fin,14.75,1990
fin,14.81,1991
fin,14.89,1992
fin,14.97,1993
fin,15.04,1994
fin,15.11,1995
fin,15.16,1996
fin,15.2,1997
fin,15.23,1998
fin,15.27,1999
fin,15.3,2000
fin,15.33,2001
fin,15.37,2002
fin,15.41,2003
fin,15.46,2004
fin,15.51,2005
fin,15.57,2006
fin,15.64,2007
fin,15.72,2008
fin,15.8,2009
fin,15.87,2010
fra,75.85,1950
fra,76.22,1951
fra,76.75,1952
fra,77.38,1953
fra,78.05,1954
fra,78.76,1955
fra,79.48,1956
fra,80.22,1957
fra,81.01,1958
fra,81.88,1959
fra,82.84,1960
fra,83.92,1961
fra,85.08,1962
fra,86.26,1963
fra,87.39,1964
fra,88.4,1965
fra,89.28,1966
fra,90.04,1967
fra,90.71,1968
fra,91.36,1969
fra,92.05,1970
fra,92.77,1971
fra,93.51,1972
fra,94.25,1973
fra,94.94,1974
fra,95.54,1975
fra,96.05,1976
fra,96.49,1977
fra,96.88,1978
fra,97.28,1979
fra,97.7,1980
fra,98.16,1981
fra,98.66,1982
fra,99.18,1983
fra,99.71,1984
fra,100.2,1985
fra,100.8,1986
fra,101.3,1987
fra,101.8,1988
fra,102.3,1989
fra,102.8,1990
fra,103.3,1991
fra,103.7,1992
fra,104.1,1993
fra,104.5,1994
fra,104.9,1995
fra,105.3,1996
fra,105.7,1997
fra,106.1,1998
fra,106.5,1999
fra,107.1,2000
fra,107.7,2001
fra,108.4,2002
fra,109.1,2003
fra,109.9,2004
fra,110.6,2005
fra,111.3,2006
fra,112.0,2007
fra,112.6,2008
fra,113.2,2009
fra,113.8,2010
guf,0.283,1950
guf,0.291,1951
guf,0.299,1952
guf,0.305,1953
guf,0.311,1954
guf,0.317,1955
guf,0.324,1956
guf,0.331,1957
guf,0.339,1958
guf,0.349,1959
guf,0.36,1960
guf,0.372,1961
guf,0.386,1962
guf,0.402,1963
guf,0.419,1964
guf,0.437,1965
guf,0.457,1966
guf,0.477,1967
guf,0.499,1968
guf,0.519,1969
guf,0.54,1970
guf,0.559,1971
guf,0.577,1972
guf,0.595,1973
guf,0.614,1974
guf,0.633,1975
guf,0.653,1976
guf,0.674,1977
guf,0.697,1978
guf,0.723,1979
guf,0.753,1980
guf,0.788,1981
guf,0.826,1982
guf,0.869,1983
guf,0.917,1984
guf,0.972,1985
guf,1.034,1986
guf,1.101,1987
guf,1.171,1988
guf,1.239,1989
guf,1.3,1990
guf,1.355,1991
guf,1.405,1992
guf,1.45,1993
guf,1.496,1994
guf,1.544,1995
guf,1.594,1996
guf,1.646,1997
guf,1.703,1998
guf,1.764,1999
guf,1.833,2000
guf,1.91,2001
guf,1.994,2002
guf,2.081,2003
guf,2.165,2004
guf,2.244,2005
guf,2.316,2006
guf,2.382,2007
guf,2.444,2008
guf,2.505,2009
guf,2.568,2010
pyf,15.17,1950
pyf,15.65,1951
pyf,16.08,1952
pyf,16.5,1953
pyf,16.92,1954
pyf,17.35,1955
pyf,17.79,1956
pyf,18.26,1957
pyf,18.75,1958
pyf,19.28,1959
pyf,19.83,1960
pyf,20.42,1961
pyf,21.05,1962
pyf,21.72,1963
pyf,22.44,1964
pyf,23.21,1965
pyf,24.04,1966
pyf,24.93,1967
pyf,25.85,1968
pyf,26.78,1969
pyf,27.72,1970
pyf,28.65,1971
pyf,29.58,1972
pyf,30.51,1973
pyf,31.46,1974
pyf,32.45,1975
pyf,33.47,1976
pyf,34.51,1977
pyf,35.57,1978
pyf,36.66,1979
pyf,37.77,1980
pyf,38.91,1981
pyf,40.06,1982
pyf,41.22,1983
pyf,42.38,1984
pyf,43.51,1985
pyf,44.61,1986
pyf,45.7,1987
pyf,46.76,1988
pyf,47.81,1989
pyf,48.85,1990
pyf,49.87,1991
pyf,50.87,1992
pyf,51.87,1993
pyf,52.9,1994
pyf,53.95,1995
pyf,55.04,1996
pyf,56.17,1997
pyf,57.29,1998
pyf,58.38,1999
pyf,59.41,2000
pyf,60.36,2001
pyf,61.25,2002
pyf,62.09,2003
pyf,62.91,2004
pyf,63.72,2005
pyf,64.53,2006
pyf,65.34,2007
pyf,66.14,2008
pyf,66.92,2009
pyf,67.69,2010
gab,1.752,1950
gab,1.754,1951
gab,1.758,1952
gab,1.764,1953
gab,1.77,1954
gab,1.777,1955
gab,1.784,1956
gab,1.791,1957
gab,1.798,1958
gab,1.806,1959
gab,1.815,1960
gab,1.825,1961
gab,1.836,1962
gab,1.848,1963
gab,1.861,1964
gab,1.875,1965
gab,1.89,1966
gab,1.905,1967
gab,1.924,1968
gab,1.948,1969
gab,1.978,1970
gab,2.016,1971
gab,2.062,1972
gab,2.112,1973
gab,2.167,1974
gab,2.224,1975
gab,2.284,1976
gab,2.346,1977
gab,2.41,1978
gab,2.478,1979
gab,2.55,1980
gab,2.626,1981
gab,2.706,1982
gab,2.789,1983
gab,2.875,1984
gab,2.966,1985
gab,3.059,1986
gab,3.156,1987
gab,3.257,1988
gab,3.361,1989
gab,3.471,1990
gab,3.585,1991
gab,3.703,1992
gab,3.824,1993
gab,3.944,1994
gab,4.062,1995
gab,4.178,1996
gab,4.29,1997
gab,4.401,1998
gab,4.509,1999
gab,4.615,2000
gab,4.719,2001
gab,4.821,2002
gab,4.922,2003
gab,5.022,2004
gab,5.121,2005
gab,5.22,2006
gab,5.319,2007
gab,5.418,2008
gab,5.52,2009
gab,5.624,2010
gmb,24.03,1950
gmb,24.17,1951
gmb,24.56,1952
gmb,25.2,1953
gmb,26.06,1954
gmb,27.1,1955
gmb,28.28,1956
gmb,29.54,1957
gmb,30.79,1958
gmb,31.96,1959
gmb,32.99,1960
gmb,33.84,1961
gmb,34.51,1962
gmb,35.07,1963
gmb,35.63,1964
gmb,36.25,1965
gmb,36.95,1966
gmb,37.72,1967
gmb,38.57,1968
gmb,39.53,1969
gmb,40.61,1970
gmb,41.83,1971
gmb,43.19,1972
gmb,44.65,1973
gmb,46.14,1974
gmb,47.64,1975
gmb,49.13,1976
gmb,50.63,1977
gmb,52.2,1978
gmb,53.89,1979
gmb,55.76,1980
gmb,57.8,1981
gmb,60.0,1982
gmb,62.41,1983
gmb,65.08,1984
gmb,68.03,1985
gmb,71.31,1986
gmb,74.87,1987
gmb,78.55,1988
gmb,82.16,1989
gmb,85.54,1990
gmb,88.65,1991
gmb,91.52,1992
gmb,94.25,1993
gmb,96.94,1994
gmb,99.71,1995
gmb,102.6,1996
gmb,105.5,1997
