geo,total_health_spending_percent_of_gdp,time
cod,6.196,2006
cod,6.233,2007
cod,7.338,2008
cod,9.587,2009
cod,7.906,2010
cog,3.138,1995
cog,2.838,1996
cog,2.911,1997
cog,3.642,1998
cog,3.05,1999
cog,2.111,2000
cog,2.418,2001
cog,2.435,2002
cog,2.596,2003
cog,2.536,2004
cog,2.406,2005
cog,2.354,2006
cog,2.692,2007
cog,2.616,2008
cog,2.755,2009
cog,2.457,2010
cok,5.246,1995
cok,4.715,1996
cok,4.004,1997
cok,4.213,1998
cok,3.549,1999
cok,3.397,2000
cok,4.603,2001
cok,3.752,2002
cok,3.962,2003
cok,3.873,2004
cok,4.667,2005
cok,4.213,2006
cok,4.379,2007
cok,4.169,2008
cok,4.298,2009
cok,4.353,2010
cri,6.512,1995
cri,6.651,1996
cri,6.151,1997
cri,6.259,1998
cri,6.189,1999
cri,6.525,2000
cri,7.133,2001
cri,7.655,2002
cri,7.72,2003
cri,7.693,2004
cri,7.65,2005
cri,7.823,2006
cri,8.384,2007
cri,9.415,2008
cri,10.47,2009
cri,10.94,2010
civ,5.06,1995
civ,5.557,1996
civ,6.161,1997
civ,6.578,1998
civ,5.554,1999
civ,5.058,2000
civ,3.956,2001
civ,3.459,2002
civ,3.777,2003
civ,4.223,2004
civ,4.298,2005
civ,4.671,2006
civ,5.77,2007
civ,5.91,2008
civ,5.216,2009
civ,5.304,2010
hrv,6.849,1995
hrv,7.106,1996
hrv,5.872,1997
hrv,5.668,1998
hrv,7.34,1999
hrv,7.756,2000
hrv,7.236,2001
hrv,6.273,2002
hrv,6.442,2003
hrv,6.647,2004
hrv,6.986,2005
hrv,7.034,2006
hrv,7.537,2007
hrv,7.764,2008
hrv,7.764,2009
hrv,7.764,2010
cub,5.19,1995
cub,5.294,1996
cub,5.539,1997
cub,5.817,1998
cub,6.05,1999
cub,6.115,2000
cub,6.327,2001
cub,6.495,2002
cub,6.315,2003
cub,6.059,2004
cub,7.951,2005
cub,7.633,2006
cub,10.4,2007
cub,10.8,2008
cub,12.13,2009
cub,10.63,2010
cyp,4.736,1995
cyp,5.205,1996
cyp,5.53,1997
cyp,5.583,1998
cyp,5.597,1999
cyp,5.769,2000
cyp,5.783,2001
cyp,6.124,2002
cyp,6.83,2003
cyp,6.418,2004
cyp,6.369,2005
cyp,6.278,2006
cyp,6.053,2007
cyp,6.028,2008
cyp,6.133,2009
cyp,5.968,2010
cze,6.694,1995
cze,6.411,1996
cze,6.401,1997
cze,6.418,1998
cze,6.349,1999
cze,6.314,2000
cze,6.422,2001
cze,6.797,2002
cze,7.132,2003
cze,6.903,2004
cze,6.934,2005
cze,6.694,2006
cze,6.522,2007
cze,6.819,2008
cze,7.993,2009
cze,7.875,2010
dnk,8.125,1995
dnk,8.211,1996
dnk,8.151,1997
dnk,8.156,1998
dnk,8.954,1999
dnk,8.699,2000
dnk,9.1,2001
dnk,9.333,2002
dnk,9.509,2003
dnk,9.675,2004
dnk,9.77,2005
dnk,9.924,2006
dnk,9.932,2007
dnk,10.21,2008
dnk,11.45,2009
dnk,11.42,2010
dji,4.027,1995
dji,4.001,1996
dji,4.504,1997
dji,5.283,1998
dji,6.224,1999
dji,5.808,2000
dji,5.425,2001
dji,5.495,2002
dji,6.277,2003
dji,5.652,2004
dji,7.204,2005
dji,7.048,2006
dji,7.718,2007
dji,7.182,2008
dji,7.85,2009
dji,7.242,2010
dma,5.912,1995
dma,5.987,1996
dma,6.133,1997
dma,5.89,1998
dma,5.934,1999
dma,5.941,2000
dma,6.165,2001
dma,6.482,2002
dma,6.398,2003
dma,5.998,2004
dma,6.013,2005
dma,6.07,2006
dma,6.134,2007
dma,5.973,2008
dma,6.183,2009
dma,7.421,2010
dom,5.525,1995
dom,5.338,1996
dom,5.653,1997
dom,5.835,1998
dom,5.928,1999
dom,6.348,2000
dom,6.196,2001
dom,6.341,2002
dom,5.951,2003
dom,5.333,2004
dom,5.48,2005
dom,5.561,2006
dom,5.37,2007
dom,5.713,2008
dom,5.861,2009
dom,6.224,2010
ecu,4.11,1995
ecu,4.403,1996
ecu,4.406,1997
ecu,4.29,1998
ecu,4.729,1999
ecu,4.151,2000
ecu,4.622,2001
ecu,5.512,2002
ecu,6.574,2003
ecu,6.609,2004
ecu,6.555,2005
ecu,6.707,2006
ecu,6.954,2007
ecu,7.003,2008
ecu,8.798,2009
ecu,8.059,2010
egy,3.864,1995
egy,4.257,1996
egy,4.97,1997
egy,5.065,1998
egy,5.338,1999
egy,5.429,2000
egy,5.782,2001
egy,6.134,2002
egy,5.819,2003
egy,5.473,2004
egy,5.248,2005
egy,5.277,2006
egy,4.927,2007
egy,4.81,2008
egy,4.836,2009
egy,4.656,2010
slv,6.379,1995
slv,7.579,1996
slv,8.144,1997
slv,8.248,1998
slv,7.971,1999
slv,7.985,2000
slv,7.82,2001
slv,7.673,2002
slv,7.312,2003
slv,7.225,2004
slv,7.131,2005
slv,6.643,2006
slv,6.281,2007
slv,6.176,2008
slv,6.791,2009
slv,6.912,2010
gnq,5.892,1995
gnq,4.679,1996
gnq,4.169,1997
gnq,5.245,1998
gnq,2.304,1999
gnq,1.926,2000
gnq,1.994,2001
gnq,3.758,2002
gnq,2.421,2003
gnq,2.127,2004
gnq,1.698,2005
gnq,1.816,2006
gnq,1.903,2007
gnq,2.699,2008
gnq,4.483,2009
gnq,4.481,2010
eri,4.515,1995
eri,3.652,1996
eri,4.198,1997
eri,4.293,1998
eri,4.667,1999
eri,5.261,2000
eri,5.082,2001
eri,4.391,2002
eri,4.141,2003
eri,3.764,2004
eri,3.001,2005
eri,3.05,2006
eri,3.157,2007
eri,4.275,2008
eri,2.765,2009
eri,2.656,2010
est,6.321,1995
est,6.577,1996
est,6.187,1997
est,5.555,1998
est,6.556,1999
est,6.044,2000
est,5.527,2001
est,5.55,2002
est,5.634,2003
est,5.811,2004
est,5.006,2005
est,4.989,2006
est,5.101,2007
est,5.939,2008
est,6.744,2009
est,6.032,2010
eth,2.95,1995
eth,2.941,1996
eth,3.092,1997
eth,3.618,1998
eth,3.892,1999
eth,4.3,2000
eth,4.732,2001
eth,4.713,2002
eth,4.91,2003
eth,4.331,2004
eth,4.111,2005
eth,4.183,2006
eth,4.781,2007
eth,4.314,2008
eth,4.433,2009
eth,4.9,2010
fji,3.081,1995
fji,3.239,1996
fji,3.498,1997
fji,3.169,1998
fji,3.119,1999
fji,3.848,2000
fji,3.257,2001
fji,3.458,2002
fji,3.325,2003
fji,3.577,2004
fji,3.608,2005
fji,3.837,2006
fji,4.38,2007
fji,4.234,2008
fji,4.989,2009
fji,4.857,2010
fin,7.85,1995
fin,8.033,1996
fin,7.715,1997
fin,7.35,1998
fin,7.373,1999
fin,7.219,2000
fin,7.425,2001
fin,7.808,2002
fin,8.151,2003
fin,8.209,2004
fin,8.429,2005
fin,8.345,2006
fin,8.045,2007
fin,8.311,2008
fin,9.046,2009
fin,8.951,2010
fra,10.36,1995
fra,10.38,1996
fra,10.25,1997
fra,10.15,1998
fra,10.15,1999
fra,10.08,2000
fra,10.21,2001
fra,10.56,2002
fra,10.93,2003
fra,11.04,2004
fra,11.15,2005
fra,11.09,2006
fra,11.07,2007
fra,11.19,2008
fra,11.89,2009
fra,11.88,2010
gab,2.99,1995
gab,2.95,1996
gab,2.524,1997
gab,3.516,1998
gab,2.991,1999
gab,2.495,2000
gab,2.858,2001
gab,3.2,2002
gab,3.341,2003
gab,2.997,2004
gab,2.598,2005
gab,2.794,2006
gab,2.875,2007
gab,2.628,2008
gab,3.586,2009
gab,3.495,2010
gmb,6.258,1995
gmb,5.572,1996
gmb,5.179,1997
gmb,6.033,1998
gmb,5.764,1999
gmb,5.79,2000
gmb,5.811,2001
gmb,5.866,2002
gmb,5.847,2003
gmb,6.285,2004
gmb,6.163,2005
gmb,5.859,2006
gmb,5.255,2007
gmb,5.249,2008
gmb,6.143,2009
gmb,5.69,2010
geo,5.125,1995
geo,7.491,1996
geo,7.99,1997
geo,6.548,1998
geo,6.294,1999
geo,6.939,2000
geo,7.816,2001
geo,8.723,2002
geo,8.485,2003
geo,8.531,2004
geo,8.599,2005
geo,8.394,2006
geo,8.167,2007
geo,8.993,2008
geo,10.19,2009
geo,10.13,2010
deu,10.12,1995
deu,10.43,1996
deu,10.27,1997
deu,10.3,1998
deu,10.37,1999
deu,10.4,2000
deu,10.51,2001
deu,10.73,2002
deu,10.93,2003
deu,10.68,2004
deu,10.81,2005
deu,10.63,2006
deu,10.47,2007
deu,10.69,2008
deu,11.72,2009
deu,11.64,2010
gha,5.25,1995
gha,5.141,1996
gha,5.313,1997
gha,5.205,1998
gha,4.967,1999
gha,4.741,2000
gha,5.599,2001
gha,4.753,2002
gha,4.849,2003
gha,6.136,2004
gha,7.018,2005
gha,4.4,2006
gha,6.013,2007
gha,5.588,2008
gha,4.96,2009
gha,5.223,2010
grc,8.589,1995
grc,8.554,1996
grc,8.438,1997
grc,8.37,1998
grc,8.617,1999
grc,7.879,2000
grc,8.804,2001
grc,9.099,2002
grc,8.932,2003
grc,8.681,2004
grc,9.662,2005
grc,9.736,2006
grc,9.828,2007
grc,10.14,2008
grc,10.57,2009
grc,10.25,2010
grd,6.907,1995
grd,6.953,1996
grd,7.254,1997
grd,7.345,1998
grd,7.783,1999
grd,6.584,2000
grd,7.628,2001
grd,6.624,2002
grd,6.158,2003
grd,5.712,2004
grd,6.046,2005
grd,6.37,2006
grd,6.064,2007
grd,5.908,2008
grd,6.203,2009
grd,5.857,2010
gtm,3.671,1995
gtm,3.613,1996
gtm,3.767,1997
gtm,4.123,1998
gtm,4.786,1999
gtm,5.529,2000
gtm,6.38,2001
gtm,6.192,2002
gtm,6.341,2003
gtm,6.359,2004
gtm,6.363,2005
gtm,7.346,2006
gtm,7.201,2007
gtm,6.944,2008
gtm,7.059,2009
gtm,6.853,2010
gin,5.542,1995
gin,5.605,1996
gin,5.556,1997
gin,5.645,1998
gin,5.624,1999
gin,5.654,2000
gin,5.882,2001
gin,6.039,2002
gin,5.492,2003
gin,5.319,2004
gin,4.992,2005
gin,5.297,2006
gin,5.38,2007
gin,5.532,2008
gin,5.319,2009
gin,4.932,2010
gnb,6.432,1995
gnb,6.951,1996
gnb,6.72,1997
gnb,7.062,1998
gnb,5.755,1999
gnb,6.185,2000
gnb,5.867,2001
gnb,6.954,2002
gnb,5.752,2003
gnb,5.552,2004
gnb,5.607,2005
gnb,5.72,2006
gnb,5.67,2007
gnb,5.716,2008
gnb,8.556,2009
gnb,8.498,2010
guy,4.861,1995
guy,4.693,1996
guy,4.971,1997
guy,5.024,1998
guy,4.51,1999
guy,5.584,2000
guy,5.643,2001
guy,5.748,2002
guy,5.562,2003
guy,7.594,2004
guy,9.213,2005
guy,5.99,2006
guy,5.282,2007
guy,6.001,2008
guy,6.198,2009
guy,5.383,2010
hti,6.605,1995
hti,6.446,1996
hti,6.201,1997
hti,5.992,1998
hti,5.652,1999
hti,6.058,2000
hti,5.631,2001
hti,5.248,2002
hti,4.701,2003
hti,4.629,2004
hti,4.407,2005
hti,5.7,2006
hti,5.558,2007
hti,5.369,2008
hti,6.103,2009
hti,6.912,2010
hnd,5.338,1995
hnd,4.962,1996
hnd,4.884,1997
hnd,5.633,1998
hnd,5.695,1999
hnd,5.378,2000
hnd,5.45,2001
hnd,6.072,2002
hnd,6.397,2003
hnd,6.468,2004
hnd,5.831,2005
hnd,5.723,2006
hnd,5.905,2007
hnd,6.048,2008
hnd,6.996,2009
hun,7.326,1995
hun,7.079,1996
hun,6.829,1997
hun,7.176,1998
hun,7.323,1999
hun,7.177,2000
hun,7.241,2001
hun,7.592,2002
hun,8.363,2003
hun,8.057,2004
hun,8.314,2005
hun,8.125,2006
hun,7.56,2007
hun,7.281,2008
hun,7.575,2009
hun,7.326,2010
isl,8.432,1995
isl,8.315,1996
isl,9.636,1997
isl,9.131,1998
isl,10.16,1999
isl,9.733,2000
isl,9.552,2001
isl,10.4,2002
isl,10.57,2003
isl,10.03,2004
isl,9.598,2005
isl,9.28,2006
isl,9.31,2007
isl,9.207,2008
isl,9.76,2009
isl,9.399,2010
ind,4.11,1995
ind,4.004,1996
ind,4.346,1997
ind,4.409,1998
ind,4.166,1999
ind,4.409,2000
ind,4.642,2001
ind,4.54,2002
ind,4.424,2003
ind,4.153,2004
ind,4.153,2005
ind,4.048,2006
ind,3.964,2007
ind,4.008,2008
ind,4.159,2009
ind,4.054,2010
idn,1.954,1995
idn,1.998,1996
idn,1.932,1997
idn,2.079,1998
idn,2.28,1999
idn,1.957,2000
idn,2.233,2001
idn,2.236,2002
idn,2.534,2003
idn,2.368,2004
idn,2.397,2005
idn,2.501,2006
idn,2.72,2007
idn,2.457,2008
idn,2.48,2009
idn,2.61,2010
irn,3.834,1995
irn,3.697,1996
irn,4.085,1997
irn,4.512,1998
irn,4.592,1999
irn,4.595,2000
irn,5.089,2001
irn,5.102,2002
irn,4.858,2003
irn,4.928,2004
irn,5.669,2005
irn,5.522,2006
irn,5.492,2007
irn,5.798,2008
irn,5.654,2009
irn,5.604,2010
irq,1.686,1996
irq,1.686,1997
irq,1.736,1998
irq,1.734,1999
irq,2.796,2000
irq,2.81,2001
irq,1.121,2002
irq,3.639,2003
irq,5.706,2004
irq,4.787,2005
irq,3.648,2006
irq,4.853,2007
irq,4.9,2008
irq,8.356,2009
irq,8.415,2010
irl,6.574,1995
irl,6.438,1996
irl,6.265,1997
irl,6.093,1998
irl,6.009,1999
irl,6.091,2000
irl,6.693,2001
irl,7.017,2002
irl,7.305,2003
irl,7.504,2004
irl,7.558,2005
irl,7.478,2006
irl,7.645,2007
irl,8.832,2008
irl,9.44,2009
irl,9.189,2010
isr,7.392,1995
isr,7.476,1996
isr,7.722,1997
isr,7.592,1998
isr,7.318,1999
isr,7.348,2000
isr,7.868,2001
isr,7.777,2002
isr,7.706,2003
isr,7.591,2004
isr,7.666,2005
isr,7.443,2006
isr,7.426,2007
isr,7.49,2008
isr,7.632,2009
isr,7.632,2010
ita,7.22,1995
ita,7.339,1996
ita,7.614,1997
ita,7.68,1998
ita,7.742,1999
ita,8.015,2000
ita,8.166,2001
ita,8.295,2002
ita,8.305,2003
ita,8.615,2004
ita,8.897,2005
ita,8.971,2006
ita,8.638,2007
ita,9.003,2008
ita,9.431,2009
ita,9.529,2010
jam,4.091,1995
jam,4.683,1996
jam,5.971,1997
jam,5.072,1998
jam,4.685,1999
jam,5.466,2000
jam,5.101,2001
jam,4.877,2002
jam,4.573,2003
jam,4.823,2004
jam,4.1,2005
jam,4.2,2006
jam,4.852,2007
jam,5.243,2008
jam,4.912,2009
jam,4.809,2010
jpn,6.897,1995
jpn,7.049,1996
jpn,6.992,1997
jpn,7.284,1998
jpn,7.549,1999
jpn,7.707,2000
jpn,7.929,2001
jpn,7.983,2002
jpn,8.128,2003
jpn,8.081,2004
jpn,8.217,2005
jpn,8.188,2006
jpn,8.189,2007
jpn,8.512,2008
jpn,9.511,2009
jpn,9.487,2010
jor,8.276,1995
jor,8.609,1996
jor,9.261,1997
jor,9.308,1998
jor,9.359,1999
jor,9.654,2000
jor,9.902,2001
jor,9.716,2002
jor,9.293,2003
jor,9.264,2004
jor,8.723,2005
jor,8.188,2006
jor,8.397,2007
jor,8.496,2008
jor,9.597,2009
jor,8.041,2010
kaz,4.628,1995
kaz,4.352,1996
kaz,4.683,1997
kaz,4.842,1998
