geo,total_health_spending_percent_of_gdp,time
afg,5.717,2002
afg,6.82,2003
afg,6.356,2004
afg,6.63,2005
afg,6.77,2006
afg,7.301,2007
afg,6.979,2008
afg,7.579,2009
afg,7.584,2010
alb,2.56,1995
alb,4.042,1996
alb,4.806,1997
alb,5.339,1998
alb,5.834,1999
alb,6.35,2000
alb,6.045,2001
alb,6.277,2002
alb,6.164,2003
alb,6.883,2004
alb,6.841,2005
alb,6.732,2006
alb,6.877,2007
alb,6.749,2008
alb,6.883,2009
alb,6.547,2010
dza,4.174,1995
dza,3.788,1996
dza,4.06,1997
dza,4.063,1998
dza,3.869,1999
dza,3.489,2000
dza,3.838,2001
dza,3.873,2002
dza,3.744,2003
dza,3.378,2004
dza,3.064,2005
dza,3.129,2006
dza,3.534,2007
dza,3.733,2008
dza,4.576,2009
dza,4.172,2010
and,7.644,1995
and,8.029,1996
and,8.027,1997
and,9.847,1998
and,7.352,1999
and,7.585,2000
and,6.792,2001
and,7.045,2002
and,7.12,2003
and,7.112,2004
and,7.224,2005
and,7.444,2006
and,7.553,2007
and,7.545,2008
and,7.522,2009
and,7.523,2010
ago,3.794,1995
ago,2.165,1996
ago,2.261,1997
ago,1.855,1998
ago,1.938,1999
ago,2.409,2000
ago,3.45,2001
ago,2.364,2002
ago,2.64,2003
ago,2.087,2004
ago,1.96,2005
ago,2.415,2006
ago,2.522,2007
ago,3.19,2008
ago,4.947,2009
ago,2.851,2010
atg,4.876,1995
atg,4.606,1996
atg,4.642,1997
atg,4.642,1998
atg,4.676,1999
atg,4.768,2000
atg,4.611,2001
atg,4.621,2002
atg,4.709,2003
atg,4.665,2004
atg,4.662,2005
atg,4.522,2006
atg,4.445,2007
atg,4.297,2008
atg,4.806,2009
atg,6.028,2010
arg,8.311,1995
arg,8.025,1996
arg,8.362,1997
arg,8.536,1998
arg,9.353,1999
arg,9.209,2000
arg,9.409,2001
arg,8.316,2002
arg,8.308,2003
arg,8.323,2004
arg,8.454,2005
arg,8.454,2006
arg,8.437,2007
arg,8.444,2008
arg,9.525,2009
arg,8.096,2010
arm,6.448,1995
arm,5.812,1996
arm,5.794,1997
arm,5.778,1998
arm,5.699,1999
arm,6.272,2000
arm,5.954,2001
arm,5.409,2002
arm,5.565,2003
arm,5.491,2004
arm,4.86,2005
arm,4.177,2006
arm,3.882,2007
arm,3.768,2008
arm,4.594,2009
arm,4.404,2010
aus,7.22,1995
aus,7.409,1996
aus,7.464,1997
aus,7.631,1998
aus,7.756,1999
aus,8.032,2000
aus,8.119,2001
aus,8.355,2002
aus,8.283,2003
aus,8.536,2004
aus,8.425,2005
aus,8.455,2006
aus,8.478,2007
aus,8.727,2008
aus,8.727,2009
aus,8.727,2010
aut,9.515,1995
aut,9.459,1996
aut,9.775,1997
aut,9.929,1998
aut,10.05,1999
aut,9.901,2000
aut,10.01,2001
aut,10.04,2002
aut,10.21,2003
aut,10.32,2004
aut,10.33,2005
aut,10.18,2006
aut,10.19,2007
aut,10.37,2008
aut,11.03,2009
aut,10.97,2010
aze,5.859,1995
aze,6.202,1996
aze,5.488,1997
aze,5.488,1998
aze,5.398,1999
aze,4.676,2000
aze,4.478,2001
aze,4.467,2002
aze,6.554,2003
aze,7.902,2004
aze,7.798,2005
aze,6.087,2006
aze,5.002,2007
aze,4.281,2008
aze,5.787,2009
aze,5.88,2010
bhs,6.85,1995
bhs,6.916,1996
bhs,6.474,1997
bhs,6.281,1998
bhs,6.064,1999
bhs,5.911,2000
bhs,5.877,2001
bhs,6.106,2002
bhs,6.513,2003
bhs,7.002,2004
bhs,7.036,2005
bhs,8.031,2006
bhs,8.137,2007
bhs,8.382,2008
bhs,8.322,2009
bhs,7.892,2010
bhr,4.575,1995
bhr,4.55,1996
bhr,4.654,1997
bhr,4.705,1998
bhr,4.666,1999
bhr,3.949,2000
bhr,4.258,2001
bhr,4.387,2002
bhr,4.246,2003
bhr,3.949,2004
bhr,3.706,2005
bhr,3.545,2006
bhr,3.635,2007
bhr,4.221,2008
bhr,4.665,2009
bhr,4.972,2010
bgd,3.53,1995
bgd,3.465,1996
bgd,2.755,1997
bgd,2.734,1998
bgd,2.759,1999
bgd,2.815,2000
bgd,2.982,2001
bgd,3.093,2002
bgd,3.036,2003
bgd,3.124,2004
bgd,3.208,2005
bgd,3.398,2006
bgd,3.458,2007
bgd,3.332,2008
bgd,3.408,2009
bgd,3.522,2010
brb,6.342,1995
brb,6.161,1996
brb,5.938,1997
brb,5.929,1998
brb,6.115,1999
brb,6.285,2000
brb,6.668,2001
brb,7.284,2002
brb,6.955,2003
brb,6.992,2004
brb,6.963,2005
brb,7.115,2006
brb,6.967,2007
brb,7.106,2008
brb,5.902,2009
brb,7.967,2010
blr,6.74,1995
blr,6.236,1996
blr,6.593,1997
blr,5.957,1998
blr,6.163,1999
blr,6.129,2000
blr,6.625,2001
blr,6.47,2002
blr,6.589,2003
blr,6.587,2004
blr,6.886,2005
blr,6.337,2006
blr,6.438,2007
blr,5.949,2008
blr,6.085,2009
blr,5.606,2010
bel,7.611,1995
bel,7.91,1996
bel,7.765,1997
bel,7.886,1998
bel,8.077,1999
bel,8.121,2000
bel,8.292,2001
bel,8.462,2002
bel,10.02,2003
bel,10.14,2004
bel,10.04,2005
bel,9.586,2006
bel,9.643,2007
bel,10.04,2008
bel,10.84,2009
bel,10.71,2010
blz,4.231,1995
blz,3.616,1996
blz,3.904,1997
blz,3.78,1998
blz,3.651,1999
blz,3.959,2000
blz,4.486,2001
blz,4.363,2002
blz,4.524,2003
blz,4.381,2004
blz,4.432,2005
blz,4.393,2006
blz,4.79,2007
blz,4.822,2008
blz,5.464,2009
blz,5.199,2010
ben,4.693,1995
ben,4.587,1996
ben,4.312,1997
ben,4.386,1998
ben,4.587,1999
ben,4.339,2000
ben,4.687,2001
ben,4.274,2002
ben,4.631,2003
ben,4.562,2004
ben,4.734,2005
ben,4.75,2006
ben,4.6,2007
ben,4.2,2008
ben,4.3,2009
ben,4.1,2010
btn,3.407,1995
btn,4.738,1996
btn,5.437,1997
btn,5.657,1998
btn,7.066,1999
btn,6.896,2000
btn,6.466,2001
btn,8.346,2002
btn,5.15,2003
btn,4.408,2004
btn,4.656,2005
btn,5.203,2006
btn,5.012,2007
btn,5.246,2008
btn,5.12,2009
btn,5.195,2010
bol,4.47,1995
bol,4.628,1996
bol,4.422,1997
bol,5.1,1998
bol,6.197,1999
bol,6.076,2000
bol,6.312,2001
bol,6.529,2002
bol,5.57,2003
bol,5.336,2004
bol,5.58,2005
bol,4.797,2006
bol,4.695,2007
bol,4.923,2008
bol,5.096,2009
bol,4.844,2010
bih,10.63,1995
bih,11.33,1996
bih,7.903,1997
bih,7.793,1998
bih,8.73,1999
bih,7.026,2000
bih,7.164,2001
bih,7.005,2002
bih,7.94,2003
bih,9.072,2004
bih,9.108,2005
bih,9.344,2006
bih,9.764,2007
bih,10.31,2008
bih,10.93,2009
bih,11.11,2010
bwa,4.174,1995
bwa,4.156,1996
bwa,4.419,1997
bwa,3.967,1998
bwa,3.849,1999
bwa,4.738,2000
bwa,5.333,2001
bwa,6.06,2002
bwa,5.96,2003
bwa,8.325,2004
bwa,7.656,2005
bwa,6.735,2006
bwa,7.862,2007
bwa,7.777,2008
bwa,10.04,2009
bwa,8.303,2010
bra,6.652,1995
bra,6.849,1996
bra,6.809,1997
bra,6.739,1998
bra,7.087,1999
bra,7.164,2000
bra,7.269,2001
bra,7.195,2002
bra,7.025,2003
bra,7.131,2004
bra,8.17,2005
bra,8.482,2006
bra,8.47,2007
bra,8.283,2008
bra,8.754,2009
bra,9.008,2010
brn,2.674,1995
brn,3.607,1996
brn,3.76,1997
brn,4.601,1998
brn,4.468,1999
brn,4.178,2000
brn,4.264,2001
brn,4.263,2002
brn,3.1,2003
brn,3.015,2004
brn,2.632,2005
brn,2.296,2006
brn,2.413,2007
brn,2.344,2008
brn,3.044,2009
brn,2.844,2010
bgr,5.235,1995
bgr,4.669,1996
bgr,5.122,1997
bgr,5.363,1998
bgr,5.974,1999
bgr,6.184,2000
bgr,7.374,2001
bgr,7.583,2002
bgr,7.581,2003
bgr,7.313,2004
bgr,7.307,2005
bgr,6.894,2006
bgr,6.814,2007
bgr,6.975,2008
bgr,7.227,2009
bgr,6.867,2010
bfa,4.301,1995
bfa,4.518,1996
bfa,4.533,1997
bfa,4.682,1998
bfa,5.264,1999
bfa,5.131,2000
bfa,4.939,2001
bfa,5.01,2002
bfa,5.523,2003
bfa,6.111,2004
bfa,6.693,2005
bfa,6.252,2006
bfa,6.326,2007
bfa,5.936,2008
bfa,6.593,2009
bfa,6.739,2010
bdi,5.682,1995
bdi,5.832,1996
bdi,5.315,1997
bdi,5.749,1998
bdi,5.613,1999
bdi,6.331,2000
bdi,6.783,2001
bdi,6.986,2002
bdi,7.243,2003
bdi,9.927,2004
bdi,12.23,2005
bdi,14.25,2006
bdi,13.88,2007
bdi,12.45,2008
bdi,11.45,2009
bdi,11.59,2010
khm,6.787,1995
khm,9.482,1996
khm,7.993,1997
khm,6.94,1998
khm,6.18,1999
khm,6.323,2000
khm,7.103,2001
khm,7.495,2002
khm,8.369,2003
khm,7.978,2004
khm,7.461,2005
khm,5.924,2006
khm,5.038,2007
khm,5.188,2008
khm,5.492,2009
khm,5.683,2010
cmr,3.861,1995
cmr,5.159,1996
cmr,4.64,1997
cmr,4.419,1998
cmr,4.43,1999
cmr,4.475,2000
cmr,4.696,2001
cmr,4.859,2002
cmr,4.969,2003
cmr,4.726,2004
cmr,4.747,2005
cmr,4.681,2006
cmr,4.692,2007
cmr,5.118,2008
cmr,4.915,2009
cmr,5.135,2010
can,9.034,1995
can,8.823,1996
can,8.786,1997
can,9.038,1998
can,8.904,1999
can,8.844,2000
can,9.317,2001
can,9.599,2002
can,9.781,2003
can,9.775,2004
can,9.825,2005
can,9.968,2006
can,10.04,2007
can,10.25,2008
can,11.4,2009
can,11.29,2010
cpv,5.06,1995
cpv,4.609,1996
cpv,4.537,1997
cpv,5.057,1998
cpv,4.474,1999
cpv,4.639,2000
cpv,5.024,2001
cpv,5.001,2002
cpv,4.572,2003
cpv,5.097,2004
cpv,4.576,2005
cpv,4.934,2006
cpv,4.636,2007
cpv,4.381,2008
cpv,3.853,2009
cpv,4.091,2010
caf,3.633,1995
caf,3.612,1996
caf,3.772,1997
caf,3.47,1998
caf,3.507,1999
caf,3.847,2000
caf,3.834,2001
caf,3.922,2002
caf,4.049,2003
caf,4.02,2004
caf,3.73,2005
caf,3.779,2006
caf,4.101,2007
caf,3.952,2008
caf,3.984,2009
caf,3.978,2010
tcd,5.779,1995
tcd,5.491,1996
tcd,5.543,1997
tcd,5.412,1998
tcd,5.866,1999
tcd,6.277,2000
tcd,6.024,2001
tcd,8.009,2002
tcd,5.78,2003
tcd,5.1,2004
tcd,4.73,2005
tcd,4.028,2006
tcd,4.196,2007
tcd,3.572,2008
tcd,4.55,2009
tcd,4.534,2010
chl,6.711,1995
chl,7.47,1996
chl,7.469,1997
chl,8.038,1998
chl,8.224,1999
chl,8.28,2000
chl,8.416,2001
chl,8.386,2002
chl,7.459,2003
chl,7.064,2004
chl,6.911,2005
chl,6.624,2006
chl,6.9,2007
chl,7.509,2008
chl,8.439,2009
chl,7.959,2010
chn,3.545,1995
chn,3.807,1996
chn,4.048,1997
chn,4.359,1998
chn,4.513,1999
chn,4.623,2000
chn,4.583,2001
chn,4.812,2002
chn,4.848,2003
chn,4.748,2004
chn,4.683,2005
chn,4.55,2006
chn,4.354,2007
chn,4.628,2008
chn,5.146,2009
chn,5.068,2010
col,7.342,1995
col,8.788,1996
col,9.573,1997
col,9.319,1998
col,9.335,1999
col,7.309,2000
col,7.29,2001
col,7.3,2002
col,7.691,2003
col,7.444,2004
col,7.448,2005
col,7.328,2006
col,7.197,2007
col,6.941,2008
col,7.593,2009
col,7.587,2010
com,4.043,1995
com,3.899,1996
com,3.865,1997
com,3.432,1998
com,3.242,1999
com,2.887,2000
com,2.304,2001
com,2.864,2002
com,3.055,2003
com,3.379,2004
com,3.663,2005
com,3.963,2006
com,4.271,2007
com,4.53,2008
com,3.167,2009
com,4.511,2010
cod,3.748,1995
cod,3.462,1996
cod,4.14,1997
cod,4.818,1998
cod,4.321,1999
cod,4.852,2000
cod,4.408,2001
cod,4.302,2002
cod,5.207,2003
cod,5.553,2004
cod,5.921,2005
