life_expectancy_female,geo,time
26.76,afg,1950
27.03,afg,1951
27.57,afg,1952
28.11,afg,1953
28.65,afg,1954
29.19,afg,1955
29.73,afg,1956
30.27,afg,1957
30.81,afg,1958
31.35,afg,1959
31.89,afg,1960
32.43,afg,1961
32.97,afg,1962
33.51,afg,1963
34.05,afg,1964
34.59,afg,1965
35.12,afg,1966
35.65,afg,1967
36.17,afg,1968
36.7,afg,1969
37.21,afg,1970
37.71,afg,1971
38.2,afg,1972
38.69,afg,1973
39.16,afg,1974
39.63,afg,1975
40.09,afg,1976
40.55,afg,1977
41.02,afg,1978
41.5,afg,1979
42.0,afg,1980
42.55,afg,1981
43.15,afg,1982
43.8,afg,1983
44.51,afg,1984
45.27,afg,1985
46.08,afg,1986
46.93,afg,1987
47.81,afg,1988
48.7,afg,1989
49.57,afg,1990
50.43,afg,1991
51.26,afg,1992
52.05,afg,1993
52.78,afg,1994
53.46,afg,1995
54.07,afg,1996
54.62,afg,1997
55.12,afg,1998
55.57,afg,1999
56.0,afg,2000
56.42,afg,2001
56.85,afg,2002
57.3,afg,2003
57.78,afg,2004
58.28,afg,2005
58.8,afg,2006
59.34,afg,2007
59.86,afg,2008
60.38,afg,2009
60.88,afg,2010
61.35,afg,2011
61.81,afg,2012
62.24,afg,2013
62.65,afg,2014
63.03,afg,2015
63.4,afg,2016
63.75,afg,2017
64.08,afg,2018
64.41,afg,2019
64.72,afg,2020
65.02,afg,2021
65.32,afg,2022
65.6,afg,2023
65.87,afg,2024
66.14,afg,2025
66.39,afg,2026
66.64,afg,2027
66.89,afg,2028
67.12,afg,2029
67.35,afg,2030
67.58,afg,2031
67.8,afg,2032
68.01,afg,2033
68.22,afg,2034
68.42,afg,2035
68.62,afg,2036
68.82,afg,2037
69.01,afg,2038
69.19,afg,2039
69.37,afg,2040
69.55,afg,2041
69.73,afg,2042
69.9,afg,2043
70.07,afg,2044
70.23,afg,2045
70.4,afg,2046
70.56,afg,2047
70.73,afg,2048
70.89,afg,2049
71.05,afg,2050
71.21,afg,2051
71.36,afg,2052
71.52,afg,2053
71.67,afg,2054
71.81,afg,2055
71.96,afg,2056
72.1,afg,2057
72.24,afg,2058
72.39,afg,2059
72.53,afg,2060
72.66,afg,2061
72.8,afg,2062
72.94,afg,2063
73.08,afg,2064
73.21,afg,2065
73.34,afg,2066
73.47,afg,2067
73.6,afg,2068
73.73,afg,2069
73.85,afg,2070
73.98,afg,2071
74.1,afg,2072
74.22,afg,2073
74.35,afg,2074
74.47,afg,2075
74.59,afg,2076
74.72,afg,2077
74.84,afg,2078
74.96,afg,2079
75.08,afg,2080
75.2,afg,2081
75.32,afg,2082
75.44,afg,2083
75.56,afg,2084
75.67,afg,2085
75.79,afg,2086
75.9,afg,2087
76.02,afg,2088
76.14,afg,2089
76.25,afg,2090
76.37,afg,2091
76.48,afg,2092
76.6,afg,2093
76.71,afg,2094
76.82,afg,2095
76.92,afg,2096
77.03,afg,2097
77.13,afg,2098
77.23,afg,2099
55.18,alb,1950
55.34,alb,1951
55.73,alb,1952
56.26,alb,1953
56.93,alb,1954
57.75,alb,1955
58.7,alb,1956
59.76,alb,1957
60.9,alb,1958
62.09,alb,1959
63.25,alb,1960
64.33,alb,1961
65.26,alb,1962
66.02,alb,1963
66.58,alb,1964
66.99,alb,1965
67.27,alb,1966
67.52,alb,1967
67.78,alb,1968
68.08,alb,1969
68.44,alb,1970
68.84,alb,1971
69.25,alb,1972
69.64,alb,1973
70.01,alb,1974
