geo,tb_with_hivplus_number_of_existing_cases_estimated,time
afg,0,1990
afg,0,1991
afg,0,1992
afg,0,1993
afg,0,1994
afg,0,1995
afg,0,1996
afg,0,1997
afg,0,1998
afg,0,1999
afg,0,2000
afg,0,2001
afg,0,2002
afg,0,2003
afg,0,2004
afg,0,2005
afg,0,2006
afg,0,2007
alb,0,1995
alb,0,1996
alb,0,1997
alb,0,1998
alb,0,1999
alb,0,2000
alb,0,2001
alb,0,2002
alb,0,2003
alb,0,2004
alb,0,2005
alb,0,2006
dza,0,1990
dza,0,1991
dza,1,1992
dza,2,1993
dza,3,1994
dza,5,1995
dza,10,1996
dza,18,1997
dza,31,1998
dza,51,1999
dza,75,2000
dza,103,2001
dza,129,2002
dza,151,2003
dza,170,2004
dza,186,2005
dza,200,2006
dza,215,2007
asm,0,1995
asm,0,1996
asm,0,1997
asm,0,1998
asm,0,1999
asm,0,2000
asm,0,2001
asm,0,2002
asm,0,2003
asm,0,2004
asm,0,2005
asm,0,2006
and,0,1995
and,0,1996
and,0,1997
and,0,1998
and,0,1999
and,0,2000
and,0,2001
and,0,2002
and,0,2003
and,0,2004
and,0,2005
and,0,2006
ago,297,1990
ago,386,1991
ago,496,1992
ago,631,1993
ago,792,1994
ago,981,1995
ago,1200,1996
ago,1445,1997
ago,1717,1998
ago,2015,1999
ago,2334,2000
ago,2659,2001
ago,2992,2002
ago,3326,2003
ago,3652,2004
ago,3966,2005
ago,4261,2006
ago,4544,2007
aia,0,1995
aia,0,1996
aia,0,1997
aia,0,1998
aia,0,1999
aia,0,2000
aia,0,2001
aia,0,2002
aia,0,2003
aia,0,2004
aia,0,2005
aia,0,2006
atg,0,1995
atg,0,1996
atg,0,1997
atg,0,1998
atg,0,1999
atg,0,2000
atg,0,2001
atg,0,2002
atg,0,2003
atg,0,2004
atg,0,2005
atg,0,2006
arg,219,1990
arg,262,1991
arg,307,1992
arg,350,1993
arg,389,1994
arg,423,1995
arg,451,1996
arg,471,1997
arg,485,1998
arg,493,1999
arg,497,2000
arg,498,2001
arg,495,2002
arg,490,2003
arg,487,2004
arg,480,2005
arg,471,2006
arg,462,2007
arm,0,1990
arm,0,1991
arm,0,1992
arm,0,1993
arm,1,1994
arm,2,1995
arm,3,1996
arm,6,1997
arm,10,1998
arm,14,1999
arm,19,2000
arm,23,2001
arm,26,2002
arm,28,2003
arm,29,2004
arm,31,2005
arm,31,2006
arm,31,2007
aus,6,1990
aus,6,1991
aus,7,1992
aus,8,1993
aus,9,1994
aus,11,1995
aus,12,1996
aus,12,1997
aus,13,1998
aus,13,1999
aus,15,2000
aus,15,2001
aus,15,2002
aus,16,2003
aus,17,2004
aus,19,2005
aus,20,2006
aus,20,2007
aut,3,1990
aut,4,1991
aut,4,1992
aut,5,1993
aut,5,1994
aut,6,1995
aut,6,1996
aut,7,1997
aut,8,1998
aut,9,1999
aut,9,2000
aut,10,2001
aut,11,2002
aut,12,2003
aut,13,2004
aut,14,2005
aut,15,2006
aut,16,2007
aze,0,1990
aze,0,1991
aze,0,1992
aze,0,1993
aze,0,1994
aze,0,1995
aze,0,1996
aze,0,1997
aze,0,1998
aze,0,1999
aze,0,2000
aze,3,2001
aze,7,2002
aze,20,2003
aze,47,2004
aze,75,2005
aze,104,2006
aze,109,2007
bhs,19,1990
bhs,21,1991
bhs,22,1992
bhs,22,1993
bhs,21,1994
bhs,21,1995
bhs,20,1996
bhs,20,1997
bhs,20,1998
bhs,20,1999
bhs,20,2000
bhs,20,2001
bhs,20,2002
bhs,20,2003
bhs,21,2004
bhs,21,2005
bhs,21,2006
bhs,22,2007
bhr,0,1990
bhr,0,1991
bhr,0,1992
bhr,0,1993
bhr,0,1994
bhr,0,1995
bhr,0,1996
bhr,0,1997
bhr,0,1998
bhr,0,1999
bhr,0,2000
bhr,0,2001
bhr,0,2002
bhr,0,2003
bhr,0,2004
bhr,0,2005
bhr,0,2006
bgd,0,1990
bgd,0,1991
bgd,0,1992
bgd,0,1993
bgd,0,1994
bgd,0,1995
bgd,0,1996
bgd,0,1997
bgd,0,1998
bgd,0,1999
bgd,0,2000
bgd,325,2001
bgd,331,2002
bgd,341,2003
bgd,450,2004
bgd,480,2005
bgd,489,2006
bgd,498,2007
brb,1,1990
brb,1,1991
brb,1,1992
brb,1,1993
brb,1,1994
brb,1,1995
brb,1,1996
brb,1,1997
brb,1,1998
brb,1,1999
brb,1,2000
brb,1,2001
brb,1,2002
brb,1,2003
brb,1,2004
brb,1,2005
brb,1,2006
brb,1,2007
blr,1,1990
blr,2,1991
blr,4,1992
blr,8,1993
blr,17,1994
blr,30,1995
blr,49,1996
blr,70,1997
blr,93,1998
blr,109,1999
blr,114,2000
blr,106,2001
blr,99,2002
blr,101,2003
blr,103,2004
blr,105,2005
blr,105,2006
blr,104,2007
bel,14,1990
bel,15,1991
bel,17,1992
bel,20,1993
bel,22,1994
bel,23,1995
bel,23,1996
bel,23,1997
bel,23,1998
bel,24,1999
bel,25,2000
bel,27,2001
bel,25,2002
bel,25,2003
bel,24,2004
bel,25,2005
bel,24,2006
bel,23,2007
blz,0,1990
blz,0,1991
blz,2,1992
blz,4,1993
blz,6,1994
blz,7,1995
blz,8,1996
blz,8,1997
blz,9,1998
blz,9,1999
blz,9,2000
blz,10,2001
blz,10,2002
blz,10,2003
blz,11,2004
blz,11,2005
blz,12,2006
blz,12,2007
ben,34,1990
ben,54,1991
ben,84,1992
ben,126,1993
ben,179,1994
ben,238,1995
ben,297,1996
ben,350,1997
ben,397,1998
ben,437,1999
