geo,tb_with_hivplus_number_of_existing_cases_estimated,time
vnm,44,1990
vnm,72,1991
vnm,111,1992
vnm,179,1993
vnm,298,1994
vnm,469,1995
vnm,726,1996
vnm,1090,1997
vnm,1583,1998
vnm,2198,1999
vnm,2894,2000
vnm,3603,2001
vnm,4261,2002
vnm,4809,2003
vnm,5252,2004
vnm,5588,2005
vnm,5843,2006
vnm,6026,2007
wlf,0,1995
wlf,0,1996
wlf,0,1997
wlf,0,1998
wlf,0,1999
wlf,0,2000
wlf,0,2001
wlf,0,2002
wlf,0,2003
wlf,0,2004
wlf,0,2005
wlf,0,2006
pse,0,1995
pse,0,1996
pse,0,1997
pse,0,1998
pse,0,1999
pse,0,2000
pse,0,2001
pse,0,2002
pse,0,2003
pse,0,2004
pse,0,2005
pse,0,2006
yem,0,1990
yem,0,1991
yem,0,1992
yem,0,1993
yem,0,1994
yem,0,1995
yem,0,1996
yem,0,1997
yem,0,1998
yem,0,1999
yem,0,2000
yem,0,2001
yem,0,2002
yem,0,2003
yem,0,2004
yem,0,2005
yem,0,2006
zmb,6392,1990
zmb,8781,1991
zmb,11430,1992
zmb,13650,1993
zmb,15530,1994
zmb,17190,1995
zmb,18290,1996
zmb,19500,1997
zmb,20250,1998
zmb,21430,1999
zmb,21840,2000
zmb,23190,2001
zmb,23800,2002
zmb,25000,2003
zmb,24290,2004
zmb,23340,2005
zmb,22140,2006
zmb,20980,2007
zwe,10360,1990
zwe,12850,1991
zwe,15000,1992
zwe,17230,1993
zwe,19390,1994
zwe,21600,1995
zwe,23560,1996
zwe,25920,1997
zwe,28460,1998
zwe,31210,1999
zwe,34210,2000
zwe,37000,2001
zwe,39360,2002
zwe,40670,2003
zwe,40570,2004
zwe,39460,2005
zwe,37740,2006
zwe,35980,2007
