geo,smoking_men_percent_of_men_over_age_15,time
dza,29.9,2002
dza,29.9,2005
bfa,22.0,2002
bfa,22.0,2005
cmr,12.6,2002
cmr,12.6,2005
tcd,16.0,2002
tcd,16.0,2005
com,27.7,2002
com,27.7,2005
cog,12.1,2002
cog,12.1,2005
civ,15.4,2002
civ,15.4,2005
cod,13.5,2002
cod,13.5,2005
eri,16.9,2002
eri,16.9,2005
eth,7.6,2002
eth,7.6,2005
gmb,29.3,2002
gmb,29.3,2005
gha,10.2,2002
gha,10.2,2005
ken,27.1,2002
ken,27.1,2005
mwi,23.7,2002
mwi,23.7,2005
mli,19.5,2002
mli,19.5,2005
mrt,22.3,2002
mrt,22.3,2005
mus,35.7,2002
mus,35.7,2005
moz,22.0,2002
moz,22.0,2005
nam,38.6,2002
nam,38.6,2005
nga,13.0,2002
nga,13.0,2005
stp,23.2,2002
stp,23.2,2005
sen,19.8,2002
sen,19.8,2005
syc,35.2,2002
syc,35.2,2005
zaf,27.5,2002
zaf,27.5,2005
swz,14.6,2002
swz,14.6,2005
uga,20.9,2002
uga,20.9,2005
tza,24.8,2002
tza,24.8,2005
zmb,21.7,2002
zmb,21.7,2005
zwe,25.5,2002
zwe,25.5,2005
arg,34.6,2002
arg,34.6,2005
brb,18.4,2002
brb,18.4,2005
bol,34.1,2002
bol,34.1,2005
can,24.3,2002
can,24.3,2005
chl,42.1,2002
chl,42.1,2005
cri,26.1,2002
cri,26.1,2005
cub,43.4,2002
cub,43.4,2005
dom,17.5,2002
dom,17.5,2005
ecu,23.9,2002
ecu,23.9,2005
gtm,24.5,2002
gtm,24.5,2005
jam,20.8,2002
jam,20.8,2005
mex,36.9,2002
mex,36.9,2005
pry,33.0,2002
pry,33.0,2005
lca,28.9,2002
lca,28.9,2005
tto,36.4,2002
tto,36.4,2005
usa,26.3,2002
usa,26.3,2005
ury,37.1,2002
ury,37.1,2005
ven,32.5,2002
ven,32.5,2005
bhr,26.1,2002
bhr,26.1,2005
egy,28.7,2002
egy,28.7,2005
irn,29.6,2002
irn,29.6,2005
irq,25.8,2002
irq,25.8,2005
jor,62.7,2002
jor,62.7,2005
lbn,29.1,2002
lbn,29.1,2005
mar,29.5,2002
mar,29.5,2005
omn,24.7,2002
omn,24.7,2005
pak,35.4,2002
pak,35.4,2005
sau,25.6,2002
sau,25.6,2005
syr,44.0,2002
syr,44.0,2005
tun,51.0,2002
tun,51.0,2005
are,26.1,2002
are,26.1,2005
alb,40.5,2002
alb,40.5,2005
and,36.5,2002
and,36.5,2005
arm,55.1,2002
arm,55.1,2005
aut,46.4,2002
aut,46.4,2005
blr,63.7,2002
blr,63.7,2005
bel,30.1,2002
bel,30.1,2005
bih,49.3,2002
bih,49.3,2005
bgr,47.5,2002
bgr,47.5,2005
hrv,38.9,2002
hrv,38.9,2005
cze,36.6,2002
cze,36.6,2005
dnk,36.1,2002
dnk,36.1,2005
est,49.9,2002
est,49.9,2005
fin,31.8,2002
fin,31.8,2005
fra,36.6,2002
fra,36.6,2005
geo,57.1,2002
geo,57.1,2005
deu,37.4,2002
deu,37.4,2005
grc,63.6,2002
grc,63.6,2005
hun,45.7,2002
hun,45.7,2005
isl,26.1,2002
isl,26.1,2005
irl,26.5,2002
irl,26.5,2005
isr,31.1,2002
isr,31.1,2005
ita,32.8,2002
ita,32.8,2005
kaz,43.2,2002
kaz,43.2,2005
kgz,46.9,2002
kgz,46.9,2005
lva,54.4,2002
lva,54.4,2005
ltu,45.1,2002
ltu,45.1,2005
lux,39.1,2002
lux,39.1,2005
mlt,32.8,2002
mlt,32.8,2005
nld,38.3,2002
nld,38.3,2005
nor,33.6,2002
nor,33.6,2005
pol,43.9,2002
pol,43.9,2005
prt,40.6,2002
prt,40.6,2005
mda,45.8,2002
mda,45.8,2005
rou,40.6,2002
rou,40.6,2005
rus,70.1,2002
rus,70.1,2005
srb,42.3,2002
srb,42.3,2005
svk,41.6,2002
svk,41.6,2005
svn,31.8,2002
svn,31.8,2005
esp,36.4,2002
esp,36.4,2005
swe,19.6,2002
swe,19.6,2005
che,30.7,2002
che,30.7,2005
tur,51.6,2002
tur,51.6,2005
gbr,36.7,2002
gbr,36.7,2005
uzb,24.2,2002
uzb,24.2,2005
bgd,47.0,2002
bgd,47.0,2005
prk,58.6,2002
prk,58.6,2005
ind,33.1,2002
ind,33.1,2005
idn,65.9,2002
idn,65.9,2005
mdv,44.5,2002
mdv,44.5,2005
mmr,46.5,2002
mmr,46.5,2005
npl,34.8,2002
npl,34.8,2005
lka,30.2,2002
lka,30.2,2005
tha,39.8,2002
tha,39.8,2005
aus,27.7,2002
aus,27.7,2005
khm,40.5,2002
khm,40.5,2005
chn,59.5,2002
chn,59.5,2005
cok,36.1,2002
cok,36.1,2005
fji,23.6,2002
fji,23.6,2005
jpn,44.3,2002
jpn,44.3,2005
lao,65.0,2002
lao,65.0,2005
mys,54.4,2002
mys,54.4,2005
mng,45.8,2002
mng,45.8,2005
nru,46.1,2002
nru,46.1,2005
nzl,29.7,2002
nzl,29.7,2005
plw,38.1,2002
plw,38.1,2005
phl,42.0,2002
phl,42.0,2005
kor,53.3,2002
kor,53.3,2005
wsm,58.3,2002
wsm,58.3,2005
ton,61.8,2002
ton,61.8,2005
vut,49.1,2002
vut,49.1,2005
vnm,45.7,2002
vnm,45.7,2005
