imports_percent_of_gdp,geo,time
7.576,arg,1987
6.212,arg,1988
6.579,arg,1989
4.631,arg,1990
6.078,arg,1991
8.133,arg,1992
9.314,arg,1993
10.6,arg,1994
10.08,arg,1995
11.07,arg,1996
12.77,arg,1997
12.93,arg,1998
11.53,arg,1999
11.52,arg,2000
10.21,arg,2001
12.8,arg,2002
14.2,arg,2003
18.17,arg,2004
19.19,arg,2005
19.23,arg,2006
20.34,arg,2007
20.65,arg,2008
16.0,arg,2009
18.4,arg,2010
46.33,arm,1990
60.12,arm,1991
61.26,arm,1992
60.75,arm,1993
73.1,arm,1994
62.19,arm,1995
55.99,arm,1996
58.27,arm,1997
52.84,arm,1998
49.8,arm,1999
50.54,arm,2000
46.15,arm,2001
46.59,arm,2002
50.04,arm,2003
45.3,arm,2004
43.23,arm,2005
39.25,arm,2006
39.15,arm,2007
40.66,arm,2008
43.0,arm,2009
44.78,arm,2010
160.9,abw,1991
136.2,abw,1992
128.9,abw,1993
115.5,abw,1994
120.9,abw,1995
147.4,abw,1996
138.1,abw,1997
91.18,abw,1998
13.9,aus,1960
14.86,aus,1961
12.5,aus,1962
13.69,aus,1963
13.62,aus,1964
15.1,aus,1965
14.97,aus,1966
13.75,aus,1967
14.33,aus,1968
13.19,aus,1969
13.08,aus,1970
12.8,aus,1971
11.9,aus,1972
10.96,aus,1973
13.13,aus,1974
14.63,aus,1975
13.27,aus,1976
14.55,aus,1977
14.49,aus,1978
15.25,aus,1979
15.8,aus,1980
16.6,aus,1981
16.72,aus,1982
15.53,aus,1983
14.92,aus,1984
17.17,aus,1985
17.99,aus,1986
17.04,aus,1987
16.5,aus,1988
16.85,aus,1989
16.96,aus,1990
16.05,aus,1991
16.3,aus,1992
17.75,aus,1993
18.28,aus,1994
19.69,aus,1995
19.17,aus,1996
18.7,aus,1997
20.27,aus,1998
20.56,aus,1999
21.35,aus,2000
21.78,aus,2001
20.45,aus,2002
20.88,aus,2003
19.5,aus,2004
20.55,aus,2005
21.07,aus,2006
20.93,aus,2007
21.75,aus,2008
22.05,aus,2009
20.09,aus,2010
23.26,aut,1960
21.9,aut,1961
22.2,aut,1962
22.86,aut,1963
23.59,aut,1964
24.47,aut,1965
25.22,aut,1966
24.6,aut,1967
24.7,aut,1968
25.88,aut,1969
28.22,aut,1970
28.1,aut,1971
28.12,aut,1972
28.29,aut,1973
31.29,aut,1974
29.29,aut,1975
32.02,aut,1976
33.23,aut,1977
31.42,aut,1978
33.32,aut,1979
36.1,aut,1980
36.38,aut,1981
33.3,aut,1982
32.92,aut,1983
34.8,aut,1984
36.18,aut,1985
32.93,aut,1986
32.36,aut,1987
34.47,aut,1988
36.56,aut,1989
36.87,aut,1990
36.51,aut,1991
35.53,aut,1992
32.8,aut,1993
34.91,aut,1994
35.79,aut,1995
37.04,aut,1996
39.76,aut,1997
40.31,aut,1998
40.88,aut,1999
44.46,aut,2000
45.88,aut,2001
43.92,aut,2002
44.75,aut,2003
47.71,aut,2004
49.85,aut,2005
51.3,aut,2006
53.17,aut,2007
53.51,aut,2008
45.67,aut,2009
49.66,aut,2010
39.24,aze,1990
41.2,aze,1991
54.6,aze,1992
75.99,aze,1993
30.63,aze,1994
41.51,aze,1995
55.55,aze,1996
53.02,aze,1997
54.53,aze,1998
41.88,aze,1999
38.38,aze,2000
37.32,aze,2001
50.05,aze,2002
65.55,aze,2003
72.72,aze,2004
52.9,aze,2005
38.76,aze,2006
28.51,aze,2007
23.47,aze,2008
22.29,aze,2009
20.36,aze,2010
66.14,bhs,1977
67.52,bhs,1978
60.2,bhs,1979
62.88,bhs,1980
62.37,bhs,1981
59.55,bhs,1982
58.02,bhs,1983
58.31,bhs,1984
59.27,bhs,1985
57.9,bhs,1986
55.8,bhs,1987
57.17,bhs,1989
55.96,bhs,1990
55.17,bhs,1991
51.21,bhs,1992
51.39,bhs,1993
53.38,bhs,1994
54.92,bhs,1995
57.82,bhs,1996
48.26,bhs,1997
48.5,bhs,1998
44.2,bhs,1999
46.85,bhs,2000
43.28,bhs,2001
38.4,bhs,2002
39.7,bhs,2003
42.55,bhs,2004
48.02,bhs,2005
55.45,bhs,2006
53.97,bhs,2007
54.03,bhs,2008
47.75,bhs,2009
51.24,bhs,2010
115.2,bhr,1980
120.0,bhr,1981
106.8,bhr,1982
92.95,bhr,1983
93.84,bhr,1984
89.84,bhr,1985
84.81,bhr,1986
87.4,bhr,1987
77.49,bhr,1988
87.63,bhr,1989
94.61,bhr,1990
95.64,bhr,1991
96.74,bhr,1992
80.73,bhr,1993
73.98,bhr,1994
70.47,bhr,1995
76.2,bhr,1996
69.51,bhr,1997
63.89,bhr,1998
62.96,bhr,1999
64.39,bhr,2000
60.47,bhr,2001
66.24,bhr,2002
63.66,bhr,2003
72.72,bhr,2004
76.43,bhr,2005
72.91,bhr,2006
68.35,bhr,2007
74.31,bhr,2008
9.307,bgd,1960
11.7,bgd,1961
10.81,bgd,1962
11.66,bgd,1963
14.12,bgd,1964
13.37,bgd,1965
12.65,bgd,1966
12.6,bgd,1967
11.61,bgd,1968
11.67,bgd,1969
12.51,bgd,1970
10.73,bgd,1971
13.73,bgd,1972
11.86,bgd,1973
10.35,bgd,1974
8.101,bgd,1975
17.64,bgd,1976
12.38,bgd,1977
15.48,bgd,1978
15.8,bgd,1979
17.88,bgd,1980
14.5,bgd,1981
15.94,bgd,1982
15.08,bgd,1983
12.96,bgd,1984
13.23,bgd,1985
12.22,bgd,1986
12.11,bgd,1987
12.7,bgd,1988
13.26,bgd,1989
13.53,bgd,1990
12.23,bgd,1991
12.35,bgd,1992
14.1,bgd,1993
13.86,bgd,1994
17.34,bgd,1995
18.69,bgd,1996
18.02,bgd,1997
18.28,bgd,1998
18.66,bgd,1999
19.23,bgd,2000
21.5,bgd,2001
19.05,bgd,2002
20.04,bgd,2003
20.81,bgd,2004
23.05,bgd,2005
25.24,bgd,2006
26.7,bgd,2007
28.75,bgd,2008
26.55,bgd,2009
25.02,bgd,2010
65.69,brb,1960
58.82,brb,1961
62.94,brb,1962
60.86,brb,1963
60.39,brb,1964
68.51,brb,1965
74.23,brb,1966
69.91,brb,1967
74.95,brb,1968
77.95,brb,1969
78.62,brb,1970
73.89,brb,1971
78.12,brb,1972
71.91,brb,1973
69.32,brb,1974
60.41,brb,1975
63.99,brb,1976
61.1,brb,1977
68.35,brb,1978
76.16,brb,1979
72.04,brb,1980
69.03,brb,1981
66.47,brb,1982
69.37,brb,1983
67.18,brb,1984
60.07,brb,1985
54.22,brb,1986
45.46,brb,1987
48.24,brb,1988
50.34,brb,1989
51.73,brb,1990
50.14,brb,1991
46.24,brb,1992
51.56,brb,1993
49.73,brb,1994
56.25,brb,1995
56.67,brb,1996
58.84,brb,1997
55.09,brb,1998
56.86,brb,1999
57.04,brb,2000
55.23,brb,2001
56.77,brb,2002
57.39,brb,2003
63.24,brb,2004
69.34,brb,2005
64.38,brb,2006
63.89,brb,2007
64.19,brb,2008
64.58,brb,2009
52.4,brb,2010
43.65,blr,1990
33.41,blr,1991
57.84,blr,1992
83.37,blr,1993
84.1,blr,1994
54.05,blr,1995
50.42,blr,1996
65.66,blr,1997
63.91,blr,1998
61.63,blr,1999
72.4,blr,2000
70.3,blr,2001
67.37,blr,2002
68.99,blr,2003
74.25,blr,2004
59.09,blr,2005
64.23,blr,2006
67.21,blr,2007
68.66,blr,2008
61.78,blr,2009
68.33,blr,2010
38.5,bel,1960
39.81,bel,1961
40.58,bel,1962
42.67,bel,1963
42.83,bel,1964
42.01,bel,1965
44.37,bel,1966
42.27,bel,1967
44.41,bel,1968
47.69,bel,1969
46.76,bel,1970
45.65,bel,1971
44.85,bel,1972
50.34,bel,1973
57.18,bel,1974
49.79,bel,1975
52.69,bel,1976
52.59,bel,1977
50.82,bel,1978
56.39,bel,1979
57.79,bel,1980
61.31,bel,1981
65.31,bel,1982
65.5,bel,1983
69.67,bel,1984
67.06,bel,1985
60.09,bel,1986
59.01,bel,1987
62.25,bel,1988
67.0,bel,1989
65.34,bel,1990
63.71,bel,1991
61.42,bel,1992
57.76,bel,1993
59.84,bel,1994
61.43,bel,1995
62.48,bel,1996
66.02,bel,1997
65.9,bel,1998
65.8,bel,1999
75.21,bel,2000
74.21,bel,2001
70.95,bel,2002
68.53,bel,2003
71.02,bel,2004
74.76,bel,2005
76.98,bel,2006
78.75,bel,2007
83.73,bel,2008
69.64,bel,2009
77.31,bel,2010
68.58,blz,1980
75.35,blz,1981
70.57,blz,1982
65.0,blz,1983
70.15,blz,1984
61.3,blz,1985
58.13,blz,1986
62.59,blz,1987
67.85,blz,1988
69.13,blz,1989
60.07,blz,1990
64.85,blz,1991
52.93,blz,1992
50.19,blz,1993
52.45,blz,1994
49.12,blz,1995
50.27,blz,1996
55.72,blz,1997
56.94,blz,1998
67.37,blz,1999
73.67,blz,2000
69.1,blz,2001
66.12,blz,2002
66.08,blz,2003
58.6,blz,2004
62.66,blz,2005
61.87,blz,2006
61.69,blz,2007
70.04,blz,2008
12.11,ben,1960
9.535,ben,1961
9.959,ben,1962
11.63,ben,1963
12.24,ben,1964
14.91,ben,1965
16.2,ben,1966
19.77,ben,1967
19.08,ben,1968
21.43,ben,1969
24.46,ben,1970
27.83,ben,1971
26.8,ben,1972
25.95,ben,1973
29.49,ben,1974
33.41,ben,1975
31.03,ben,1976
34.78,ben,1977
34.55,ben,1978
37.02,ben,1979
37.32,ben,1980
43.96,ben,1981
40.09,ben,1982
31.58,ben,1983
30.93,ben,1984
36.65,ben,1985
32.62,ben,1986
30.95,ben,1987
32.08,ben,1988
24.8,ben,1989
26.33,ben,1990
28.1,ben,1991
28.55,ben,1992
28.07,ben,1993
29.94,ben,1994
33.05,ben,1995
29.52,ben,1996
28.88,ben,1997
27.5,ben,1998
28.83,ben,1999
28.12,ben,2000
27.9,ben,2001
27.49,ben,2002
26.52,ben,2003
26.06,ben,2004
26.11,ben,2005
22.7,ben,2006
31.55,ben,2007
28.85,ben,2008
28.25,ben,2009
27.73,ben,2010
37.56,bmu,2005
36.55,bmu,2006
38.99,bmu,2007
36.14,bmu,2008
51.24,btn,1981
49.21,btn,1982
48.66,btn,1983
47.36,btn,1984
52.75,btn,1985
55.93,btn,1986
42.19,btn,1987
53.25,btn,1988
40.08,btn,1989
32.67,btn,1990
41.19,btn,1991
58.83,btn,1992
45.64,btn,1993
42.16,btn,1994
45.1,btn,1995
48.01,btn,1996
49.22,btn,1997
52.37,btn,1998
53.56,btn,1999
51.33,btn,2000
49.24,btn,2001
45.17,btn,2002
42.95,btn,2003
49.87,btn,2004
62.75,btn,2005
67.02,btn,2006
57.28,btn,2007
57.71,btn,2008
71.97,btn,2009
24.35,bol,1970
24.4,bol,1971
24.02,bol,1972
28.32,bol,1973
26.8,bol,1974
32.22,bol,1975
29.89,bol,1976
29.65,bol,1977
30.11,bol,1978
27.4,bol,1979
22.29,bol,1980
22.95,bol,1981
29.4,bol,1982
24.04,bol,1983
25.82,bol,1984
22.84,bol,1985
25.74,bol,1986
24.69,bol,1987
23.14,bol,1988
23.16,bol,1989
23.93,bol,1990
26.97,bol,1991
29.07,bol,1992
28.39,bol,1993
27.2,bol,1994
27.19,bol,1995
27.27,bol,1996
29.36,bol,1997
32.58,bol,1998
27.29,bol,1999
27.32,bol,2000
25.26,bol,2001
27.72,bol,2002
26.37,bol,2003
26.33,bol,2004
32.09,bol,2005
32.77,bol,2006
34.27,bol,2007
37.96,bol,2008
32.9,bol,2009
34.32,bol,2010
86.4,bih,1994
71.47,bih,1995
83.88,bih,1996
72.8,bih,1997
98.36,bih,1998
94.18,bih,1999
75.5,bih,2000
75.93,bih,2001
70.93,bih,2002
83.17,bih,2003
77.5,bih,2004
72.91,bih,2005
66.75,bih,2006
80.09,bih,2007
77.89,bih,2008
54.5,bih,2009
56.75,bih,2010
39.64,bwa,1960
42.53,bwa,1961
44.84,bwa,1962
47.35,bwa,1963
48.58,bwa,1964
50.61,bwa,1965
50.95,bwa,1966
50.77,bwa,1967
62.95,bwa,1968
52.57,bwa,1969
60.91,bwa,1970
61.56,bwa,1971
60.54,bwa,1972
61.97,bwa,1973
64.78,bwa,1974
63.79,bwa,1975
66.32,bwa,1976
69.31,bwa,1977
68.52,bwa,1978
65.25,bwa,1979
66.44,bwa,1980
71.53,bwa,1981
69.27,bwa,1982
62.57,bwa,1983
57.96,bwa,1984
51.23,bwa,1985
49.13,bwa,1986
48.44,bwa,1987
43.93,bwa,1988
46.14,bwa,1989
49.79,bwa,1990
46.53,bwa,1991
41.57,bwa,1992
39.11,bwa,1993
38.76,bwa,1994
38.06,bwa,1995
37.83,bwa,1996
41.37,bwa,1997
42.94,bwa,1998
40.88,bwa,1999
41.2,bwa,2000
35.36,bwa,2001
35.43,bwa,2002
34.37,bwa,2003
36.89,bwa,2004
34.46,bwa,2005
30.66,bwa,2006
35.42,bwa,2007
41.78,bwa,2008
45.24,bwa,2009
39.74,bwa,2010
7.117,bra,1960
7.339,bra,1961
5.189,bra,1962
9.111,bra,1963
5.678,bra,1964
5.556,bra,1965
5.992,bra,1966
5.769,bra,1967
6.61,bra,1968
