geo,time,sg_gdp_p_cap_const_ppp2011_dollar
abw,1800,833.0
abw,1801,833.0
abw,1802,833.0
abw,1803,833.0
abw,1804,833.0
abw,1805,833.0
abw,1806,833.0
abw,1807,834.0
abw,1808,834.0
abw,1809,834.0
abw,1810,834.0
abw,1811,834.0
abw,1812,834.0
abw,1813,834.0
abw,1814,834.0
abw,1815,835.0
abw,1816,835.0
abw,1817,835.0
abw,1818,835.0
abw,1819,835.0
abw,1820,835.0
abw,1821,841.0
abw,1822,847.0
abw,1823,852.0
abw,1824,858.0
abw,1825,864.0
abw,1826,870.0
abw,1827,876.0
abw,1828,881.0
abw,1829,887.0
abw,1830,893.0
abw,1831,899.0
abw,1832,906.0
abw,1833,912.0
abw,1834,918.0
abw,1835,924.0
abw,1836,930.0
abw,1837,937.0
abw,1838,943.0
abw,1839,949.0
abw,1840,956.0
abw,1841,962.0
abw,1842,969.0
abw,1843,975.0
abw,1844,982.0
abw,1845,988.0
abw,1846,995.0
abw,1847,1002.0
abw,1848,1009.0
abw,1849,1015.0
abw,1850,1022.0
abw,1851,1029.0
abw,1852,1036.0
abw,1853,1043.0
abw,1854,1050.0
abw,1855,1057.0
abw,1856,1064.0
abw,1857,1072.0
abw,1858,1079.0
abw,1859,1086.0
abw,1860,1093.0
abw,1861,1101.0
abw,1862,1108.0
abw,1863,1116.0
abw,1864,1123.0
abw,1865,1131.0
abw,1866,1139.0
abw,1867,1146.0
abw,1868,1154.0
abw,1869,1162.0
abw,1870,1170.0
abw,1871,1178.0
abw,1872,1185.0
abw,1873,1193.0
abw,1874,1202.0
abw,1875,1210.0
abw,1876,1218.0
abw,1877,1226.0
abw,1878,1234.0
abw,1879,1243.0
abw,1880,1251.0
abw,1881,1260.0
abw,1882,1268.0
abw,1883,1277.0
abw,1884,1285.0
abw,1885,1294.0
abw,1886,1303.0
abw,1887,1311.0
abw,1888,1320.0
abw,1889,1329.0
abw,1890,1338.0
abw,1891,1347.0
abw,1892,1356.0
abw,1893,1366.0
abw,1894,1375.0
abw,1895,1384.0
abw,1896,1393.0
abw,1897,1403.0
abw,1898,1412.0
abw,1899,1422.0
abw,1900,1431.0
abw,1901,1441.0
abw,1902,1451.0
abw,1903,1461.0
abw,1904,1471.0
abw,1905,1480.0
abw,1906,1490.0
abw,1907,1501.0
abw,1908,1511.0
abw,1909,1521.0
abw,1910,1531.0
abw,1911,1541.0
abw,1912,1552.0
abw,1913,1562.0
abw,1914,1601.0
abw,1915,1640.0
abw,1916,1681.0
abw,1917,1722.0
abw,1918,1765.0
abw,1919,1808.0
abw,1920,1853.0
abw,1921,1899.0
abw,1922,1947.0
abw,1923,1996.0
abw,1924,2046.0
abw,1925,2098.0
abw,1926,2151.0
abw,1927,2205.0
abw,1928,2260.0
abw,1929,2317.0
abw,1930,2375.0
abw,1931,2435.0
abw,1932,2496.0
abw,1933,2558.0
abw,1934,2623.0
abw,1935,2688.0
abw,1936,2756.0
abw,1937,2825.0
abw,1938,2896.0
abw,1939,2968.0
abw,1940,3043.0
abw,1941,3119.0
abw,1942,3197.0
abw,1943,3277.0
abw,1944,3359.0
abw,1945,3443.0
abw,1946,3530.0
abw,1947,3618.0
abw,1948,3709.0
abw,1949,3801.0
abw,1950,3897.0
abw,1951,3994.0
abw,1952,4094.0
abw,1953,4196.0
abw,1954,4301.0
abw,1955,4409.0
abw,1956,4519.0
abw,1957,4632.0
abw,1958,4748.0
abw,1959,4866.0
abw,1960,4988.0
abw,1961,5112.0
abw,1962,5240.0
abw,1963,5371.0
abw,1964,5505.0
abw,1965,5642.0
abw,1966,5783.0
abw,1967,5927.0
abw,1968,6075.0
abw,1969,6227.0
abw,1970,6382.0
abw,1971,6904.0
abw,1972,7470.0
abw,1973,8084.0
abw,1974,8756.0
abw,1975,9493.0
