geo,year_categorization_1820_2010,time
abkh,1820,1820
abkh,1830,1830
abkh,1840,1840
abkh,1850,1850
abkh,1860,1860
abkh,1870,1870
abkh,1880,1880
abkh,1890,1890
abkh,1900,1900
abkh,1910,1910
abkh,1920,1920
abkh,1930,1930
abkh,1940,1940
abkh,1950,1950
abkh,1960,1960
abkh,1970,1970
abkh,1980,1980
abkh,1990,1990
abkh,2000,2000
abkh,2010,2010
afg,1820,1820
afg,1830,1830
afg,1840,1840
afg,1850,1850
afg,1860,1860
afg,1870,1870
afg,1880,1880
afg,1890,1890
afg,1900,1900
afg,1910,1910
afg,1920,1920
afg,1930,1930
afg,1940,1940
afg,1950,1950
afg,1960,1960
afg,1970,1970
afg,1980,1980
afg,1990,1990
afg,2000,2000
afg,2010,2010
akr_a_dhe,1820,1820
akr_a_dhe,1830,1830
akr_a_dhe,1840,1840
akr_a_dhe,1850,1850
akr_a_dhe,1860,1860
akr_a_dhe,1870,1870
akr_a_dhe,1880,1880
akr_a_dhe,1890,1890
akr_a_dhe,1900,1900
akr_a_dhe,1910,1910
akr_a_dhe,1920,1920
akr_a_dhe,1930,1930
akr_a_dhe,1940,1940
akr_a_dhe,1950,1950
akr_a_dhe,1960,1960
akr_a_dhe,1970,1970
akr_a_dhe,1980,1980
akr_a_dhe,1990,1990
akr_a_dhe,2000,2000
akr_a_dhe,2010,2010
alb,1820,1820
alb,1830,1830
alb,1840,1840
alb,1850,1850
alb,1860,1860
alb,1870,1870
alb,1880,1880
alb,1890,1890
alb,1900,1900
alb,1910,1910
alb,1920,1920
alb,1930,1930
alb,1940,1940
alb,1950,1950
alb,1960,1960
alb,1970,1970
alb,1980,1980
alb,1990,1990
alb,2000,2000
alb,2010,2010
dza,1820,1820
dza,1830,1830
dza,1840,1840
dza,1850,1850
dza,1860,1860
dza,1870,1870
dza,1880,1880
dza,1890,1890
dza,1900,1900
dza,1910,1910
dza,1920,1920
dza,1930,1930
dza,1940,1940
dza,1950,1950
dza,1960,1960
dza,1970,1970
dza,1980,1980
dza,1990,1990
dza,2000,2000
dza,2010,2010
asm,1820,1820
asm,1830,1830
asm,1840,1840
asm,1850,1850
asm,1860,1860
asm,1870,1870
asm,1880,1880
asm,1890,1890
asm,1900,1900
asm,1910,1910
asm,1920,1920
asm,1930,1930
asm,1940,1940
asm,1950,1950
asm,1960,1960
asm,1970,1970
asm,1980,1980
asm,1990,1990
asm,2000,2000
asm,2010,2010
and,1820,1820
and,1830,1830
and,1840,1840
and,1850,1850
and,1860,1860
and,1870,1870
and,1880,1880
and,1890,1890
and,1900,1900
and,1910,1910
and,1920,1920
and,1930,1930
and,1940,1940
and,1950,1950
and,1960,1960
and,1970,1970
and,1980,1980
and,1990,1990
and,2000,2000
and,2010,2010
ago,1820,1820
ago,1830,1830
ago,1840,1840
ago,1850,1850
ago,1860,1860
ago,1870,1870
ago,1880,1880
ago,1890,1890
ago,1900,1900
ago,1910,1910
ago,1920,1920
ago,1930,1930
ago,1940,1940
ago,1950,1950
ago,1960,1960
ago,1970,1970
ago,1980,1980
ago,1990,1990
ago,2000,2000
ago,2010,2010
aia,1820,1820
aia,1830,1830
aia,1840,1840
aia,1850,1850
aia,1860,1860
aia,1870,1870
aia,1880,1880
aia,1890,1890
aia,1900,1900
aia,1910,1910
aia,1920,1920
aia,1930,1930
aia,1940,1940
aia,1950,1950
aia,1960,1960
aia,1970,1970
aia,1980,1980
aia,1990,1990
aia,2000,2000
aia,2010,2010
atg,1820,1820
atg,1830,1830
atg,1840,1840
atg,1850,1850
atg,1860,1860
atg,1870,1870
atg,1880,1880
atg,1890,1890
atg,1900,1900
atg,1910,1910
atg,1920,1920
atg,1930,1930
atg,1940,1940
atg,1950,1950
atg,1960,1960
atg,1970,1970
atg,1980,1980
atg,1990,1990
atg,2000,2000
atg,2010,2010
arg,1820,1820
arg,1830,1830
arg,1840,1840
arg,1850,1850
arg,1860,1860
arg,1870,1870
arg,1880,1880
arg,1890,1890
arg,1900,1900
arg,1910,1910
arg,1920,1920
arg,1930,1930
arg,1940,1940
arg,1950,1950
arg,1960,1960
arg,1970,1970
arg,1980,1980
arg,1990,1990
arg,2000,2000
arg,2010,2010
arm,1820,1820
arm,1830,1830
arm,1840,1840
arm,1850,1850
arm,1860,1860
arm,1870,1870
arm,1880,1880
arm,1890,1890
arm,1900,1900
arm,1910,1910
arm,1920,1920
arm,1930,1930
arm,1940,1940
arm,1950,1950
arm,1960,1960
arm,1970,1970
arm,1980,1980
arm,1990,1990
arm,2000,2000
arm,2010,2010
abw,1820,1820
abw,1830,1830
abw,1840,1840
abw,1850,1850
abw,1860,1860
abw,1870,1870
abw,1880,1880
abw,1890,1890
abw,1900,1900
abw,1910,1910
abw,1920,1920
abw,1930,1930
abw,1940,1940
abw,1950,1950
abw,1960,1960
abw,1970,1970
abw,1980,1980
abw,1990,1990
abw,2000,2000
abw,2010,2010
aus,1820,1820
aus,1830,1830
aus,1840,1840
aus,1850,1850
aus,1860,1860
aus,1870,1870
aus,1880,1880
aus,1890,1890
aus,1900,1900
aus,1910,1910
aus,1920,1920
aus,1930,1930
aus,1940,1940
aus,1950,1950
aus,1960,1960
aus,1970,1970
aus,1980,1980
aus,1990,1990
aus,2000,2000
aus,2010,2010
aut,1820,1820
aut,1830,1830
aut,1840,1840
aut,1850,1850
aut,1860,1860
aut,1870,1870
aut,1880,1880
aut,1890,1890
aut,1900,1900
aut,1910,1910
aut,1920,1920
aut,1930,1930
aut,1940,1940
aut,1950,1950
aut,1960,1960
aut,1970,1970
aut,1980,1980
aut,1990,1990
aut,2000,2000
aut,2010,2010
aze,1820,1820
aze,1830,1830
aze,1840,1840
aze,1850,1850
aze,1860,1860
aze,1870,1870
aze,1880,1880
aze,1890,1890
aze,1900,1900
aze,1910,1910
aze,1920,1920
aze,1930,1930
aze,1940,1940
aze,1950,1950
aze,1960,1960
aze,1970,1970
aze,1980,1980
aze,1990,1990
aze,2000,2000
aze,2010,2010
bhs,1820,1820
bhs,1830,1830
bhs,1840,1840
bhs,1850,1850
bhs,1860,1860
bhs,1870,1870
bhs,1880,1880
bhs,1890,1890
bhs,1900,1900
bhs,1910,1910
bhs,1920,1920
bhs,1930,1930
bhs,1940,1940
bhs,1950,1950
bhs,1960,1960
bhs,1970,1970
bhs,1980,1980
bhs,1990,1990
bhs,2000,2000
bhs,2010,2010
bhr,1820,1820
bhr,1830,1830
bhr,1840,1840
bhr,1850,1850
bhr,1860,1860
bhr,1870,1870
bhr,1880,1880
bhr,1890,1890
bhr,1900,1900
bhr,1910,1910
bhr,1920,1920
bhr,1930,1930
bhr,1940,1940
bhr,1950,1950
bhr,1960,1960
bhr,1970,1970
bhr,1980,1980
bhr,1990,1990
bhr,2000,2000
bhr,2010,2010
bgd,1820,1820
bgd,1830,1830
bgd,1840,1840
bgd,1850,1850
bgd,1860,1860
bgd,1870,1870
bgd,1880,1880
bgd,1890,1890
bgd,1900,1900
bgd,1910,1910
bgd,1920,1920
bgd,1930,1930
bgd,1940,1940
bgd,1950,1950
bgd,1960,1960
bgd,1970,1970
bgd,1980,1980
bgd,1990,1990
bgd,2000,2000
bgd,2010,2010
brb,1820,1820
brb,1830,1830
brb,1840,1840
brb,1850,1850
brb,1860,1860
brb,1870,1870
brb,1880,1880
brb,1890,1890
brb,1900,1900
brb,1910,1910
brb,1920,1920
brb,1930,1930
brb,1940,1940
brb,1950,1950
brb,1960,1960
brb,1970,1970
brb,1980,1980
brb,1990,1990
brb,2000,2000
brb,2010,2010
blr,1820,1820
blr,1830,1830
blr,1840,1840
blr,1850,1850
blr,1860,1860
blr,1870,1870
blr,1880,1880
blr,1890,1890
blr,1900,1900
blr,1910,1910
blr,1920,1920
blr,1930,1930
blr,1940,1940
blr,1950,1950
blr,1960,1960
blr,1970,1970
blr,1980,1980
blr,1990,1990
blr,2000,2000
blr,2010,2010
bel,1820,1820
bel,1830,1830
bel,1840,1840
bel,1850,1850
bel,1860,1860
bel,1870,1870
bel,1880,1880
bel,1890,1890
bel,1900,1900
bel,1910,1910
bel,1920,1920
bel,1930,1930
bel,1940,1940
bel,1950,1950
bel,1960,1960
bel,1970,1970
bel,1980,1980
bel,1990,1990
bel,2000,2000
bel,2010,2010
blz,1820,1820
blz,1830,1830
blz,1840,1840
blz,1850,1850
blz,1860,1860
blz,1870,1870
blz,1880,1880
blz,1890,1890
blz,1900,1900
blz,1910,1910
blz,1920,1920
blz,1930,1930
blz,1940,1940
blz,1950,1950
blz,1960,1960
blz,1970,1970
blz,1980,1980
blz,1990,1990
blz,2000,2000
blz,2010,2010
ben,1820,1820
ben,1830,1830
ben,1840,1840
ben,1850,1850
ben,1860,1860
ben,1870,1870
ben,1880,1880
ben,1890,1890
ben,1900,1900
ben,1910,1910
ben,1920,1920
ben,1930,1930
ben,1940,1940
ben,1950,1950
ben,1960,1960
ben,1970,1970
ben,1980,1980
ben,1990,1990
ben,2000,2000
ben,2010,2010
bmu,1820,1820
bmu,1830,1830
bmu,1840,1840
bmu,1850,1850
bmu,1860,1860
bmu,1870,1870
bmu,1880,1880
bmu,1890,1890
bmu,1900,1900
bmu,1910,1910
bmu,1920,1920
bmu,1930,1930
bmu,1940,1940
bmu,1950,1950
bmu,1960,1960
bmu,1970,1970
bmu,1980,1980
bmu,1990,1990
bmu,2000,2000
bmu,2010,2010
btn,1820,1820
btn,1830,1830
btn,1840,1840
btn,1850,1850
btn,1860,1860
btn,1870,1870
btn,1880,1880
btn,1890,1890
btn,1900,1900
btn,1910,1910
btn,1920,1920
btn,1930,1930
btn,1940,1940
btn,1950,1950
btn,1960,1960
btn,1970,1970
btn,1980,1980
btn,1990,1990
btn,2000,2000
btn,2010,2010
bol,1820,1820
bol,1830,1830
bol,1840,1840
bol,1850,1850
bol,1860,1860
bol,1870,1870
bol,1880,1880
bol,1890,1890
bol,1900,1900
bol,1910,1910
bol,1920,1920
bol,1930,1930
bol,1940,1940
bol,1950,1950
bol,1960,1960
bol,1970,1970
bol,1980,1980
bol,1990,1990
bol,2000,2000
bol,2010,2010
bih,1820,1820
bih,1830,1830
bih,1840,1840
bih,1850,1850
bih,1860,1860
bih,1870,1870
bih,1880,1880
bih,1890,1890
bih,1900,1900
bih,1910,1910
bih,1920,1920
bih,1930,1930
bih,1940,1940
bih,1950,1950
bih,1960,1960
bih,1970,1970
bih,1980,1980
bih,1990,1990
bih,2000,2000
bih,2010,2010
bwa,1820,1820
bwa,1830,1830
bwa,1840,1840
bwa,1850,1850
bwa,1860,1860
bwa,1870,1870
bwa,1880,1880
bwa,1890,1890
bwa,1900,1900
bwa,1910,1910
bwa,1920,1920
bwa,1930,1930
bwa,1940,1940
bwa,1950,1950
bwa,1960,1960
bwa,1970,1970
bwa,1980,1980
bwa,1990,1990
bwa,2000,2000
bwa,2010,2010
bra,1820,1820
bra,1830,1830
bra,1840,1840
bra,1850,1850
bra,1860,1860
bra,1870,1870
bra,1880,1880
bra,1890,1890
bra,1900,1900
bra,1910,1910
bra,1920,1920
bra,1930,1930
bra,1940,1940
bra,1950,1950
bra,1960,1960
bra,1970,1970
bra,1980,1980
bra,1990,1990
bra,2000,2000
bra,2010,2010
vgb,1820,1820
vgb,1830,1830
vgb,1840,1840
vgb,1850,1850
vgb,1860,1860
vgb,1870,1870
vgb,1880,1880
vgb,1890,1890
vgb,1900,1900
vgb,1910,1910
vgb,1920,1920
vgb,1930,1930
vgb,1940,1940
vgb,1950,1950
vgb,1960,1960
vgb,1970,1970
vgb,1980,1980
vgb,1990,1990
vgb,2000,2000
vgb,2010,2010
brn,1820,1820
brn,1830,1830
brn,1840,1840
brn,1850,1850
brn,1860,1860
brn,1870,1870
brn,1880,1880
brn,1890,1890
brn,1900,1900
brn,1910,1910
brn,1920,1920
brn,1930,1930
brn,1940,1940
brn,1950,1950
brn,1960,1960
brn,1970,1970
brn,1980,1980
brn,1990,1990
brn,2000,2000
brn,2010,2010
bgr,1820,1820
bgr,1830,1830
bgr,1840,1840
bgr,1850,1850
bgr,1860,1860
bgr,1870,1870
bgr,1880,1880
bgr,1890,1890
bgr,1900,1900
bgr,1910,1910
bgr,1920,1920
bgr,1930,1930
bgr,1940,1940
bgr,1950,1950
bgr,1960,1960
bgr,1970,1970
bgr,1980,1980
bgr,1990,1990
bgr,2000,2000
bgr,2010,2010
bfa,1820,1820
bfa,1830,1830
bfa,1840,1840
bfa,1850,1850
bfa,1860,1860
bfa,1870,1870
bfa,1880,1880
bfa,1890,1890
bfa,1900,1900
bfa,1910,1910
bfa,1920,1920
bfa,1930,1930
bfa,1940,1940
bfa,1950,1950
bfa,1960,1960
bfa,1970,1970
bfa,1980,1980
bfa,1990,1990
bfa,2000,2000
bfa,2010,2010
bdi,1820,1820
bdi,1830,1830
bdi,1840,1840
bdi,1850,1850
bdi,1860,1860
bdi,1870,1870
bdi,1880,1880
bdi,1890,1890
bdi,1900,1900
bdi,1910,1910
bdi,1920,1920
bdi,1930,1930
bdi,1940,1940
bdi,1950,1950
bdi,1960,1960
bdi,1970,1970
bdi,1980,1980
bdi,1990,1990
bdi,2000,2000
bdi,2010,2010
khm,1820,1820
khm,1830,1830
khm,1840,1840
khm,1850,1850
khm,1860,1860
khm,1870,1870
khm,1880,1880
khm,1890,1890
khm,1900,1900
khm,1910,1910
khm,1920,1920
khm,1930,1930
khm,1940,1940
khm,1950,1950
khm,1960,1960
khm,1970,1970
khm,1980,1980
khm,1990,1990
khm,2000,2000
khm,2010,2010
cmr,1820,1820
cmr,1830,1830
cmr,1840,1840
cmr,1850,1850
cmr,1860,1860
cmr,1870,1870
cmr,1880,1880
cmr,1890,1890
cmr,1900,1900
cmr,1910,1910
cmr,1920,1920
cmr,1930,1930
cmr,1940,1940
cmr,1950,1950
cmr,1960,1960
cmr,1970,1970
cmr,1980,1980
cmr,1990,1990
cmr,2000,2000
cmr,2010,2010
can,1820,1820
can,1830,1830
can,1840,1840
can,1850,1850
can,1860,1860
can,1870,1870
can,1880,1880
can,1890,1890
can,1900,1900
can,1910,1910
can,1920,1920
can,1930,1930
can,1940,1940
can,1950,1950
can,1960,1960
can,1970,1970
can,1980,1980
can,1990,1990
can,2000,2000
can,2010,2010
cpv,1820,1820
cpv,1830,1830
cpv,1840,1840
cpv,1850,1850
cpv,1860,1860
cpv,1870,1870
cpv,1880,1880
cpv,1890,1890
cpv,1900,1900
cpv,1910,1910
cpv,1920,1920
cpv,1930,1930
cpv,1940,1940
cpv,1950,1950
cpv,1960,1960
cpv,1970,1970
cpv,1980,1980
cpv,1990,1990
cpv,2000,2000
cpv,2010,2010
cym,1820,1820
cym,1830,1830
cym,1840,1840
cym,1850,1850
cym,1860,1860
cym,1870,1870
cym,1880,1880
cym,1890,1890
cym,1900,1900
cym,1910,1910
cym,1920,1920
cym,1930,1930
cym,1940,1940
cym,1950,1950
cym,1960,1960
cym,1970,1970
cym,1980,1980
cym,1990,1990
cym,2000,2000
cym,2010,2010
caf,1820,1820
caf,1830,1830
caf,1840,1840
caf,1850,1850
caf,1860,1860
caf,1870,1870
caf,1880,1880
caf,1890,1890
caf,1900,1900
caf,1910,1910
caf,1920,1920
caf,1930,1930
caf,1940,1940
caf,1950,1950
caf,1960,1960
caf,1970,1970
caf,1980,1980
caf,1990,1990
caf,2000,2000
caf,2010,2010
tcd,1820,1820
tcd,1830,1830
tcd,1840,1840
tcd,1850,1850
tcd,1860,1860
tcd,1870,1870
tcd,1880,1880
tcd,1890,1890
tcd,1900,1900
tcd,1910,1910
tcd,1920,1920
tcd,1930,1930
tcd,1940,1940
tcd,1950,1950
tcd,1960,1960
tcd,1970,1970
tcd,1980,1980
tcd,1990,1990
tcd,2000,2000
tcd,2010,2010
chanisl,1820,1820
chanisl,1830,1830
chanisl,1840,1840
chanisl,1850,1850
chanisl,1860,1860
chanisl,1870,1870
chanisl,1880,1880
chanisl,1890,1890
chanisl,1900,1900
chanisl,1910,1910
chanisl,1920,1920
chanisl,1930,1930
chanisl,1940,1940
chanisl,1950,1950
chanisl,1960,1960
chanisl,1970,1970
chanisl,1980,1980
chanisl,1990,1990
chanisl,2000,2000
chanisl,2010,2010
chl,1820,1820
chl,1830,1830
chl,1840,1840
chl,1850,1850
chl,1860,1860
chl,1870,1870
chl,1880,1880
chl,1890,1890
chl,1900,1900
chl,1910,1910
chl,1920,1920
chl,1930,1930
chl,1940,1940
chl,1950,1950
chl,1960,1960
chl,1970,1970
chl,1980,1980
chl,1990,1990
chl,2000,2000
chl,2010,2010
chn,1820,1820
chn,1830,1830
chn,1840,1840
chn,1850,1850
chn,1860,1860
chn,1870,1870
chn,1880,1880
chn,1890,1890
chn,1900,1900
chn,1910,1910
chn,1920,1920
chn,1930,1930
chn,1940,1940
chn,1950,1950
chn,1960,1960
chn,1970,1970
chn,1980,1980
chn,1990,1990
chn,2000,2000
chn,2010,2010
cxr,1820,1820
cxr,1830,1830
cxr,1840,1840
cxr,1850,1850
cxr,1860,1860
cxr,1870,1870
