geo,males_aged_15_24_employment_rate_percent,time
afg,69.5,1991
afg,69.3,1992
afg,69.7,1993
afg,69.3,1994
afg,69.3,1995
afg,69.4,1996
afg,69.5,1997
afg,69.7,1998
afg,69.6,1999
afg,69.6,2000
afg,70.3,2001
afg,70.0,2002
afg,66.0,2003
afg,68.8,2004
afg,63.8,2005
afg,67.3,2006
afg,66.0,2007
alb,43.6,1991
alb,43.4,1992
alb,43.7,1993
alb,43.9,1994
alb,43.8,1995
alb,43.2,1996
alb,43.4,1997
alb,42.9,1998
alb,42.4,1999
alb,42.1,2000
alb,41.6,2001
alb,41.3,2002
alb,40.9,2003
alb,40.4,2004
alb,40.0,2005
alb,39.7,2006
alb,40.2,2007
dza,36.3,1991
dza,35.4,1992
dza,36.3,1993
dza,36.3,1994
dza,34.3,1995
dza,35.7,1996
dza,36.6,1997
dza,35.5,1998
dza,34.6,1999
dza,32.9,2000
dza,35.2,2001
dza,36.0,2002
dza,37.4,2003
dza,42.5,2004
dza,44.4,2005
dza,47.1,2006
dza,44.9,2007
ago,74.2,1991
ago,72.8,1992
ago,74.3,1993
ago,73.6,1994
ago,76.3,1995
ago,76.3,1996
ago,75.8,1997
ago,75.0,1998
ago,74.6,1999
ago,74.8,2000
ago,74.8,2001
ago,74.6,2002
ago,74.3,2003
ago,74.0,2004
ago,73.6,2005
ago,72.3,2006
ago,72.9,2007
arg,53.9,1991
arg,54.1,1992
arg,54.0,1993
arg,54.4,1994
arg,54.0,1995
arg,54.3,1996
arg,54.0,1997
arg,53.2,1998
arg,51.9,1999
arg,51.6,2000
arg,50.5,2001
arg,48.9,2002
arg,49.9,2003
arg,48.9,2004
arg,48.0,2005
arg,47.1,2006
arg,46.4,2007
arm,30.0,1991
arm,25.5,1992
arm,26.2,1993
arm,30.1,1994
arm,27.8,1995
arm,27.8,1996
arm,27.4,1997
arm,26.9,1998
arm,26.9,1999
arm,28.2,2000
arm,29.6,2001
arm,29.5,2002
arm,30.1,2003
arm,29.7,2004
arm,29.6,2005
arm,29.5,2006
arm,31.9,2007
aus,59.2,1991
aus,57.3,1992
aus,57.6,1993
aus,60.0,1994
aus,62.2,1995
aus,62.0,1996
aus,60.4,1997
aus,61.2,1998
aus,62.2,1999
aus,63.1,2000
aus,61.9,2001
aus,61.8,2002
aus,62.5,2003
aus,63.0,2004
aus,64.3,2005
aus,64.8,2006
aus,65.2,2007
aut,63.9,1991
aut,64.0,1992
aut,61.8,1993
aut,62.4,1994
aut,61.3,1995
aut,59.7,1996
aut,59.2,1997
aut,58.3,1998
aut,59.2,1999
aut,58.3,2000
aut,56.8,2001
aut,56.6,2002
aut,56.6,2003
aut,55.9,2004
aut,56.8,2005
aut,58.3,2006
aut,57.4,2007
aze,42.3,1991
aze,41.7,1992
aze,41.4,1993
aze,43.0,1994
aze,40.4,1995
aze,41.0,1996
aze,41.1,1997
aze,40.2,1998
aze,40.8,1999
aze,40.8,2000
aze,40.6,2001
aze,40.4,2002
aze,40.9,2003
aze,42.4,2004
aze,40.4,2005
aze,38.7,2006
aze,42.8,2007
bhs,50.5,1991
bhs,49.7,1992
bhs,52.1,1993
bhs,51.9,1994
bhs,53.5,1995
bhs,51.5,1996
bhs,50.4,1997
bhs,51.3,1998
bhs,50.5,1999
bhs,49.0,2000
bhs,48.5,2001
bhs,46.8,2002
bhs,45.2,2003
bhs,45.8,2004
bhs,47.3,2005
bhs,48.5,2006
bhs,46.1,2007
bhr,46.7,1991
bhr,46.6,1992
bhr,46.4,1993
