geo,ncd_deaths_in_children_1_59_months_total_deaths,time
afg,15250,2008
alb,194,2008
dza,848,2008
ago,5409,2008
arg,1932,2008
arm,127,2008
aus,325,2008
aut,83,2008
aze,286,2008
bhs,19,2008
bhr,50,2008
bgd,2777,2008
brb,3,2008
blr,314,2008
bel,148,2008
blz,19,2008
ben,640,2008
btn,60,2008
bol,738,2008
bih,91,2008
bwa,162,2008
bra,8476,2008
brn,13,2008
bgr,158,2008
bfa,3016,2008
bdi,1128,2008
khm,2097,2008
cmr,1645,2008
can,486,2008
cpv,20,2008
caf,392,2008
tcd,1345,2008
chl,588,2008
chn,37170,2008
col,1829,2008
com,62,2008
cog,269,2008
cri,172,2008
civ,941,2008
hrv,51,2008
cub,202,2008
cyp,13,2008
cze,84,2008
prk,671,2008
cod,10310,2008
dnk,75,2008
dji,92,2008
dom,451,2008
ecu,975,2008
egy,4848,2008
slv,359,2008
gnq,28,2008
eri,346,2008
est,20,2008
eth,10010,2008
fji,55,2008
fin,61,2008
fra,763,2008
gab,31,2008
gmb,95,2008
geo,103,2008
deu,705,2008
gha,564,2008
grc,115,2008
grd,2,2008
gtm,1268,2008
gin,709,2008
gnb,219,2008
guy,76,2008
hti,528,2008
hnd,497,2008
hun,163,2008
isl,5,2008
ind,74200,2008
idn,4584,2008
irn,3528,2008
irq,875,2008
irl,108,2008
isr,231,2008
ita,708,2008
jam,195,2008
jpn,1424,2008
jor,345,2008
kaz,1378,2008
ken,4448,2008
kwt,154,2008
kgz,152,2008
lao,541,2008
lva,50,2008
lbn,138,2008
lso,51,2008
lbr,402,2008
lby,443,2008
ltu,61,2008
lux,4,2008
mdg,2144,2008
mwi,1262,2008
mys,891,2008
mdv,14,2008
mli,2401,2008
mlt,8,2008
mrt,285,2008
mus,54,2008
mex,8848,2008
fsm,14,2008
mng,217,2008
mne,13,2008
mar,582,2008
moz,1941,2008
mmr,2099,2008
nam,31,2008
npl,552,2008
nld,202,2008
nzl,49,2008
nic,383,2008
ner,2359,2008
nga,14450,2008
nor,55,2008
omn,128,2008
pak,13040,2008
pan,260,2008
png,818,2008
pry,345,2008
per,1799,2008
phl,6443,2008
pol,601,2008
prt,114,2008
qat,35,2008
kor,711,2008
mda,173,2008
rou,385,2008
rus,3694,2008
rwa,1096,2008
lca,3,2008
vct,2,2008
wsm,16,2008
stp,49,2008
sau,2125,2008
sen,872,2008
srb,158,2008
sle,1098,2008
sgp,37,2008
svk,119,2008
svn,11,2008
slb,50,2008
som,1765,2008
zaf,2645,2008
esp,640,2008
lka,888,2008
sdn,2784,2008
sur,40,2008
swz,53,2008
swe,116,2008
che,73,2008
syr,1756,2008
tjk,454,2008
tha,1520,2008
mkd,40,2008
tgo,264,2008
ton,10,2008
tto,89,2008
tun,467,2008
tur,3565,2008
tkm,178,2008
uga,2562,2008
ukr,1785,2008
are,92,2008
gbr,1097,2008
tza,3248,2008
usa,7328,2008
ury,169,2008
uzb,588,2008
vut,28,2008
ven,1534,2008
vnm,2240,2008
yem,1371,2008
zmb,1452,2008
zwe,570,2008
