military_expenditure_percent_of_gdp,geo,time
2.008,afg,2003
1.995,afg,2004
1.631,afg,2005
1.614,afg,2006
2.195,afg,2007
1.913,afg,2008
1.76,afg,2009
3.342,afg,2010
4.436,afg,2011
5.615,alb,1988
5.166,alb,1989
5.888,alb,1990
4.649,alb,1992
3.199,alb,1993
2.5,alb,1994
2.1,alb,1995
1.517,alb,1996
1.379,alb,1997
1.229,alb,1998
1.242,alb,1999
1.228,alb,2000
1.3,alb,2001
1.316,alb,2002
1.359,alb,2003
1.354,alb,2004
1.315,alb,2005
1.544,alb,2006
1.82,alb,2007
1.972,alb,2008
2.053,alb,2009
1.602,alb,2010
1.519,alb,2011
1.745,dza,1988
1.536,dza,1989
1.457,dza,1990
1.231,dza,1991
2.194,dza,1992
2.556,dza,1993
3.138,dza,1994
2.954,dza,1995
3.093,dza,1996
3.633,dza,1997
3.957,dza,1998
3.768,dza,1999
3.444,dza,2000
3.802,dza,2001
3.673,dza,2002
3.248,dza,2003
3.297,dza,2004
2.854,dza,2005
2.643,dza,2006
2.901,dza,2007
3.025,dza,2008
3.827,dza,2009
3.502,dza,2010
4.585,dza,2011
7.056,ago,1991
7.566,ago,1992
17.52,ago,1993
5.708,ago,1994
4.707,ago,1995
2.454,ago,1996
5.994,ago,1997
2.642,ago,1998
17.34,ago,1999
6.393,ago,2000
4.524,ago,2001
3.837,ago,2002
4.801,ago,2003
4.134,ago,2004
4.835,ago,2005
4.715,ago,2006
3.362,ago,2007
3.752,ago,2008
4.392,ago,2009
4.248,ago,2010
3.613,ago,2011
1.981,arg,1988
1.776,arg,1989
1.368,arg,1990
1.42,arg,1991
1.34,arg,1992
1.34,arg,1993
1.457,arg,1994
1.473,arg,1995
1.241,arg,1996
1.14,arg,1997
1.136,arg,1998
1.22,arg,1999
1.149,arg,2000
1.184,arg,2001
1.092,arg,2002
1.061,arg,2003
0.9572,arg,2004
0.9277,arg,2005
0.8623,arg,2006
0.875,arg,2007
0.8491,arg,2008
0.9658,arg,2009
0.9386,arg,2010
0.7351,arg,2011
2.095,arm,1992
2.122,arm,1993
4.059,arm,1995
3.282,arm,1996
3.904,arm,1997
3.527,arm,1998
3.696,arm,1999
3.558,arm,2000
3.13,arm,2001
2.701,arm,2002
2.727,arm,2003
2.741,arm,2004
2.871,arm,2005
2.948,arm,2006
3.042,arm,2007
3.391,arm,2008
4.17,arm,2009
4.227,arm,2010
4.034,arm,2011
2.279,aus,1988
2.146,aus,1989
2.104,aus,1990
2.149,aus,1991
2.193,aus,1992
2.209,aus,1993
2.166,aus,1994
2.07,aus,1995
1.97,aus,1996
1.912,aus,1997
1.913,aus,1998
1.934,aus,1999
1.89,aus,2000
1.921,aus,2001
1.927,aus,2002
1.903,aus,2003
1.885,aus,2004
1.871,aus,2005
1.888,aus,2006
1.881,aus,2007
1.873,aus,2008
1.937,aus,2009
1.97,aus,2010
1.862,aus,2011
1.299,aut,1988
1.232,aut,1989
1.197,aut,1990
1.159,aut,1991
1.108,aut,1992
1.123,aut,1993
1.106,aut,1994
1.072,aut,1995
1.047,aut,1996
1.042,aut,1997
1.012,aut,1998
1.001,aut,1999
1.003,aut,2000
0.9332,aut,2001
0.9065,aut,2002
0.9382,aut,2003
0.9194,aut,2004
0.8808,aut,2005
0.8126,aut,2006
0.9331,aut,2007
0.9047,aut,2008
0.9079,aut,2009
0.9266,aut,2010
0.8553,aut,2011
2.075,aze,1992
5.093,aze,1993
3.683,aze,1994
2.737,aze,1995
2.254,aze,1996
2.324,aze,1997
2.412,aze,1998
2.625,aze,1999
2.268,aze,2000
2.314,aze,2001
2.243,aze,2002
2.421,aze,2003
2.626,aze,2004
2.3,aze,2005
3.419,aze,2006
2.863,aze,2007
3.291,aze,2008
3.326,aze,2009
2.791,aze,2010
4.897,aze,2011
5.028,bhr,1988
5.094,bhr,1989
5.106,bhr,1990
5.139,bhr,1991
5.296,bhr,1992
4.828,bhr,1993
4.6,bhr,1994
4.683,bhr,1995
4.751,bhr,1996
4.566,bhr,1997
4.774,bhr,1998
4.941,bhr,1999
4.038,bhr,2000
4.226,bhr,2001
4.698,bhr,2002
4.775,bhr,2003
4.261,bhr,2004
3.616,bhr,2005
3.405,bhr,2006
3.196,bhr,2007
3.011,bhr,2008
3.951,bhr,2009
3.385,bhr,2010
1.138,bgd,1988
1.186,bgd,1989
1.111,bgd,1990
1.092,bgd,1991
1.204,bgd,1992
1.285,bgd,1993
1.405,bgd,1994
1.415,bgd,1995
1.387,bgd,1996
1.431,bgd,1997
1.421,bgd,1998
1.424,bgd,1999
1.408,bgd,2000
1.342,bgd,2001
1.248,bgd,2002
1.203,bgd,2003
1.19,bgd,2004
1.16,bgd,2005
1.189,bgd,2006
1.201,bgd,2007
1.119,bgd,2008
1.221,bgd,2009
1.302,bgd,2010
1.35,bgd,2011
3.372,blr,1994
1.73,blr,1995
1.251,blr,1996
1.772,blr,1997
1.495,blr,1998
1.368,blr,1999
1.347,blr,2000
1.438,blr,2001
1.4,blr,2002
1.299,blr,2003
1.358,blr,2004
1.498,blr,2005
1.709,blr,2006
1.65,blr,2007
1.454,blr,2008
1.373,blr,2009
1.39,blr,2010
1.085,blr,2011
2.555,bel,1988
2.392,bel,1989
2.29,bel,1990
2.224,bel,1991
1.782,bel,1992
1.688,bel,1993
1.63,bel,1994
1.564,bel,1995
1.538,bel,1996
1.475,bel,1997
1.434,bel,1998
1.414,bel,1999
1.371,bel,2000
1.306,bel,2001
1.245,bel,2002
1.244,bel,2003
1.179,bel,2004
1.121,bel,2005
1.077,bel,2006
1.124,bel,2007
1.241,bel,2008
1.188,bel,2009
1.114,bel,2010
1.09,bel,2011
0.9844,blz,1988
1.198,blz,1989
1.15,blz,1990
1.068,blz,1991
1.023,blz,1992
1.099,blz,1993
1.36,blz,1994
1.298,blz,1995
1.24,blz,1996
1.437,blz,1997
0.8258,blz,1999
0.8533,blz,2000
0.8545,blz,2001
0.8417,blz,2002
0.8652,blz,2003
0.8994,blz,2004
0.9597,blz,2005
1.014,blz,2006
1.077,blz,2007
1.371,blz,2008
1.279,blz,2009
1.096,blz,2010
1.065,blz,2011
2.279,ben,1988
1.899,ben,1989
1.772,ben,1990
0.7484,ben,1999
0.6416,ben,2000
0.5522,ben,2001
0.925,ben,2002
0.972,ben,2003
1.034,ben,2004
1.092,ben,2005
1.034,ben,2006
1.012,ben,2008
2.166,bol,1989
2.823,bol,1990
2.697,bol,1991
2.512,bol,1992
1.922,bol,1993
2.258,bol,1994
2.103,bol,1995
1.993,bol,1996
2.281,bol,1997
2.697,bol,1998
2.139,bol,1999
2.068,bol,2000
2.27,bol,2001
2.034,bol,2002
2.15,bol,2003
1.929,bol,2004
1.776,bol,2005
1.571,bol,2006
1.689,bol,2007
1.964,bol,2008
1.997,bol,2009
1.668,bol,2010
1.439,bol,2011
3.625,bih,2002
2.42,bih,2003
1.995,bih,2004
1.586,bih,2005
1.438,bih,2006
1.278,bih,2007
1.256,bih,2008
1.418,bih,2009
1.322,bih,2010
1.36,bih,2011
3.536,bwa,1988
3.331,bwa,1989
4.126,bwa,1990
4.366,bwa,1991
4.298,bwa,1992
4.464,bwa,1993
3.931,bwa,1994
3.476,bwa,1995
2.927,bwa,1996
3.099,bwa,1997
3.488,bwa,1998
2.89,bwa,1999
3.278,bwa,2000
3.487,bwa,2001
3.671,bwa,2002
3.722,bwa,2003
3.126,bwa,2004
2.769,bwa,2005
2.425,bwa,2006
2.475,bwa,2007
2.472,bwa,2008
2.861,bwa,2009
2.36,bwa,2010
2.104,bwa,2011
2.128,bra,1988
2.514,bra,1989
6.33,bra,1990
1.991,bra,1991
1.529,bra,1992
1.929,bra,1993
2.016,bra,1994
1.862,bra,1995
1.676,bra,1996
1.599,bra,1997
1.701,bra,1998
1.681,bra,1999
1.76,bra,2000
1.972,bra,2001
1.919,bra,2002
1.525,bra,2003
1.478,bra,2004
1.543,bra,2005
1.524,bra,2006
1.537,bra,2007
1.534,bra,2008
