military_expenditure_percent_of_gdp,geo,time
1.615,bra,2009
1.604,bra,2010
1.43,bra,2011
6.63,brn,1988
6.234,brn,1989
6.566,brn,1990
6.63,brn,1991
6.016,brn,1992
5.698,brn,1993
6.407,brn,1994
6.036,brn,1995
6.419,brn,1996
7.101,brn,1997
7.257,brn,1998
5.618,brn,1999
4.069,brn,2000
3.886,brn,2001
3.871,brn,2002
3.711,brn,2003
2.533,brn,2004
2.61,brn,2005
2.557,brn,2006
2.638,brn,2007
2.515,brn,2008
3.26,brn,2009
3.16,brn,2010
4.295,bgr,1989
3.745,bgr,1990
3.021,bgr,1991
2.988,bgr,1992
2.61,bgr,1993
2.492,bgr,1994
2.381,bgr,1995
2.403,bgr,1996
2.431,bgr,1997
2.453,bgr,1998
2.699,bgr,1999
2.723,bgr,2000
2.927,bgr,2001
2.853,bgr,2002
2.753,bgr,2003
2.574,bgr,2004
2.421,bgr,2005
2.261,bgr,2006
2.451,bgr,2007
2.003,bgr,2008
1.983,bgr,2009
1.872,bgr,2010
1.477,bgr,2011
1.797,bfa,1988
2.109,bfa,1989
2.25,bfa,1990
1.832,bfa,1991
1.745,bfa,1992
1.556,bfa,1993
1.321,bfa,1994
1.28,bfa,1995
1.187,bfa,1996
1.085,bfa,1997
1.16,bfa,1998
1.142,bfa,1999
1.157,bfa,2000
1.082,bfa,2001
1.077,bfa,2002
1.031,bfa,2003
1.123,bfa,2004
1.166,bfa,2005
1.214,bfa,2006
1.408,bfa,2007
1.473,bfa,2008
1.317,bfa,2009
1.407,bfa,2010
1.367,bfa,2011
3.159,bdi,1988
3.395,bdi,1989
3.507,bdi,1990
3.681,bdi,1991
3.59,bdi,1992
3.861,bdi,1993
4.535,bdi,1994
4.202,bdi,1995
5.853,bdi,1996
6.359,bdi,1997
6.572,bdi,1998
6.258,bdi,1999
5.066,bdi,2000
6.474,bdi,2001
5.757,bdi,2002
5.719,bdi,2003
4.992,bdi,2004
4.436,bdi,2005
3.615,bdi,2006
3.51,bdi,2007
2.706,bdi,2008
1.761,khm,1993
3.842,khm,1994
3.581,khm,1995
3.238,khm,1996
3.006,khm,1997
2.662,khm,1998
2.512,khm,1999
2.194,khm,2000
1.793,khm,2001
1.579,khm,2002
1.457,khm,2003
1.269,khm,2004
1.122,khm,2005
1.099,khm,2006
1.064,khm,2007
1.044,khm,2008
1.944,khm,2009
1.558,khm,2010
1.495,khm,2011
1.248,cmr,1988
1.372,cmr,1989
1.494,cmr,1990
1.509,cmr,1991
1.468,cmr,1992
1.345,cmr,1993
1.413,cmr,1994
1.254,cmr,1995
1.288,cmr,1996
1.422,cmr,1997
1.487,cmr,1998
1.491,cmr,1999
1.258,cmr,2000
1.402,cmr,2001
0.6857,cmr,2002
1.389,cmr,2003
1.404,cmr,2004
1.349,cmr,2005
1.427,cmr,2006
1.432,cmr,2007
1.458,cmr,2008
1.547,cmr,2009
1.572,cmr,2010
1.365,cmr,2011
1.987,can,1988
1.935,can,1989
1.959,can,1990
1.895,can,1991
1.862,can,1992
1.822,can,1993
1.697,can,1994
1.554,can,1995
1.404,can,1996
1.246,can,1997
1.256,can,1998
1.242,can,1999
1.145,can,2000
1.171,can,2001
1.156,can,2002
1.15,can,2003
1.143,can,2004
1.146,can,2005
1.158,can,2006
1.223,can,2007
1.287,can,2008
1.416,can,2009
1.465,can,2010
1.425,can,2011
1.921,cpv,1988
0.9962,cpv,1992
0.5578,cpv,1993
0.844,cpv,1994
1.274,cpv,1995
0.849,cpv,1996
0.8362,cpv,1997
0.8647,cpv,1998
0.8448,cpv,1999
1.261,cpv,2000
0.8244,cpv,2001
0.7284,cpv,2002
0.7105,cpv,2003
0.698,cpv,2004
0.7124,cpv,2005
0.6305,cpv,2006
0.5967,cpv,2007
0.5495,cpv,2008
0.5249,cpv,2009
0.4995,cpv,2010
0.5093,cpv,2011
1.538,caf,1991
1.617,caf,1992
1.474,caf,1993
1.253,caf,1994
1.16,caf,1995
1.14,caf,1996
1.025,caf,2002
1.318,caf,2003
1.19,caf,2004
1.14,caf,2005
1.127,caf,2007
1.589,caf,2008
1.818,caf,2009
2.599,caf,2010
3.306,tcd,1993
2.336,tcd,1994
1.718,tcd,1995
1.909,tcd,1996
1.331,tcd,1997
1.146,tcd,1998
1.693,tcd,1999
1.906,tcd,2000
1.796,tcd,2001
1.725,tcd,2002
1.496,tcd,2003
1.145,tcd,2004
1.048,tcd,2005
5.569,tcd,2007
7.318,tcd,2008
6.16,tcd,2009
2.648,tcd,2010
2.547,tcd,2011
4.936,chl,1988
4.078,chl,1989
4.157,chl,1990
3.947,chl,1991
3.721,chl,1992
3.595,chl,1993
3.37,chl,1994
3.059,chl,1995
3.089,chl,1996
3.208,chl,1997
3.419,chl,1998
3.824,chl,1999
3.79,chl,2000
3.79,chl,2001
3.649,chl,2002
3.419,chl,2003
3.485,chl,2004
3.271,chl,2005
3.182,chl,2006
3.059,chl,2007
3.349,chl,2008
3.064,chl,2009
3.042,chl,2010
3.235,chl,2011
2.589,chn,1989
2.625,chn,1990
2.447,chn,1991
2.559,chn,1992
2.072,chn,1993
1.803,chn,1994
1.727,chn,1995
1.756,chn,1996
1.684,chn,1997
1.777,chn,1998
1.896,chn,1999
1.855,chn,2000
2.07,chn,2001
2.177,chn,2002
2.12,chn,2003
2.07,chn,2004
2.049,chn,2005
2.09,chn,2006
2.054,chn,2007
2.032,chn,2008
2.241,chn,2009
2.042,chn,2010
1.952,chn,2011
2.037,col,1988
2.228,col,1989
2.21,col,1990
2.21,col,1991
2.497,col,1992
3.007,col,1993
2.508,col,1994
2.832,col,1995
4.445,col,1996
2.802,col,1997
3.441,col,1998
3.763,col,1999
3.018,col,2000
3.306,col,2001
3.403,col,2002
3.454,col,2003
3.465,col,2004
3.353,col,2005
3.276,col,2006
3.267,col,2007
3.702,col,2008
3.834,col,2009
3.609,col,2010
3.297,col,2011
1.547,cod,1996
1.375,cod,1997
0.4284,cod,1998
1.158,cod,1999
0.9764,cod,2000
1.388,cod,2003
2.114,cod,2004
2.297,cod,2005
2.324,cod,2006
2.049,cod,2007
1.37,cod,2008
1.092,cod,2009
1.401,cod,2010
1.527,cod,2011
1.385,cog,2001
1.664,cog,2002
1.906,cog,2003
1.631,cog,2004
1.307,cog,2005
1.09,cog,2006
1.264,cog,2007
1.194,cog,2008
1.113,cog,2010
1.251,civ,1988
1.33,civ,1989
1.334,civ,1990
1.375,civ,1991
1.406,civ,1992
1.346,civ,1993
1.012,civ,1994
0.8454,civ,1996
0.798,civ,1997
1.553,civ,2003
1.626,civ,2004
1.529,civ,2005
1.542,civ,2006
1.634,civ,2007
1.574,civ,2008
1.82,civ,2009
1.691,civ,2010
1.488,civ,2011
7.611,hrv,1992
10.73,hrv,1993
11.15,hrv,1994
9.346,hrv,1995
8.306,hrv,1996
7.647,hrv,1997
5.685,hrv,1998
4.489,hrv,1999
3.066,hrv,2000
2.731,hrv,2001
2.766,hrv,2002
2.078,hrv,2003
1.718,hrv,2004
1.621,hrv,2005
1.704,hrv,2006
1.65,hrv,2007
1.854,hrv,2008
1.78,hrv,2009
1.67,hrv,2010
1.709,hrv,2011
6.121,cub,1988
6.53,cub,1989
6.406,cub,1990
6.511,cub,1991
1.812,cub,1993
3.507,cub,2003
3.411,cub,2004
3.846,cub,2005
3.214,cub,2006
3.201,cub,2007
3.296,cub,2008
3.345,cub,2009
5.689,cyp,1988
5.368,cyp,1989
7.374,cyp,1990
7.265,cyp,1991
9.129,cyp,1992
4.075,cyp,1993
4.024,cyp,1994
3.231,cyp,1995
4.792,cyp,1996
6.005,cyp,1997
5.068,cyp,1998
2.968,cyp,1999
3.025,cyp,2000
3.387,cyp,2001
2.304,cyp,2002
2.168,cyp,2003
2.142,cyp,2004
2.243,cyp,2005
2.106,cyp,2006
1.858,cyp,2007
1.793,cyp,2008
2.0,cyp,2009
2.067,cyp,2010
2.168,cyp,2011
2.099,cze,1993
2.056,cze,1994
1.844,cze,1995
1.732,cze,1996
1.662,cze,1997
1.826,cze,1998
1.94,cze,1999
1.968,cze,2000
1.837,cze,2001
1.905,cze,2002
1.979,cze,2003
1.792,cze,2004
1.876,cze,2005
1.651,cze,2006
1.5,cze,2007
1.295,cze,2008
1.386,cze,2009
1.264,cze,2010
1.152,cze,2011
2.049,dnk,1988
1.984,dnk,1989
1.951,dnk,1990
1.955,dnk,1991
1.889,dnk,1992
1.907,dnk,1993
1.77,dnk,1994
1.713,dnk,1995
1.673,dnk,1996
1.645,dnk,1997
1.639,dnk,1998
1.601,dnk,1999
1.495,dnk,2000
1.574,dnk,2001
1.549,dnk,2002
1.505,dnk,2003
1.462,dnk,2004
1.346,dnk,2005
1.42,dnk,2006
1.341,dnk,2007
1.392,dnk,2008
1.394,dnk,2009
1.443,dnk,2010
1.46,dnk,2011
7.847,dji,1988
7.597,dji,1989
6.879,dji,1990
6.871,dji,1991
7.034,dji,1992
6.666,dji,1993
6.246,dji,1994
5.949,dji,1995
4.965,dji,1996
5.282,dji,1997
5.193,dji,1998
4.995,dji,1999
4.721,dji,2000
4.55,dji,2001
5.625,dji,2002
6.714,dji,2003
5.608,dji,2004
6.327,dji,2005
6.44,dji,2006
4.071,dji,2007
3.692,dji,2008
0.8797,dom,1988
0.7997,dom,1989
0.6766,dom,1990
0.3484,dom,1991
0.5595,dom,1992
0.7503,dom,1993
0.7269,dom,1994
0.544,dom,1995
0.6304,dom,1996
0.7831,dom,1997
0.78,dom,1998
0.8163,dom,1999
1.043,dom,2000
1.248,dom,2001
1.091,dom,2002
0.7774,dom,2003
0.708,dom,2004
0.8142,dom,2005
0.7246,dom,2006
0.6709,dom,2007
0.7378,dom,2008
0.6902,dom,2009
0.6961,dom,2010
0.6137,dom,2011
2.177,ecu,1988
1.985,ecu,1989
1.952,ecu,1990
1.843,ecu,1991
1.76,ecu,1992
1.833,ecu,1993
1.567,ecu,1994
2.352,ecu,1995
1.97,ecu,1996
2.111,ecu,1997
2.361,ecu,1998
1.775,ecu,1999
1.669,ecu,2000
1.807,ecu,2001
2.043,ecu,2002
2.601,ecu,2003
2.175,ecu,2004
2.582,ecu,2005
2.278,ecu,2006
2.879,ecu,2007
3.036,ecu,2008
3.747,ecu,2009
3.612,ecu,2010
3.445,ecu,2011
6.464,egy,1988
5.079,egy,1989
4.664,egy,1990
4.858,egy,1991
4.454,egy,1992
4.383,egy,1993
4.173,egy,1994
3.894,egy,1995
3.494,egy,1996
3.198,egy,1997
3.284,egy,1998
3.212,egy,1999
3.189,egy,2000
3.306,egy,2001
3.363,egy,2002
3.341,egy,2003
3.026,egy,2004
2.854,egy,2005
2.74,egy,2006
2.502,egy,2007
2.293,egy,2008
2.137,egy,2009
1.999,egy,2010
1.862,egy,2011
5.088,slv,1988
5.479,slv,1989
4.198,slv,1990
3.522,slv,1991
3.0,slv,1992
2.389,slv,1993
1.972,slv,1994
1.697,slv,1995
1.557,slv,1996
1.451,slv,1997
1.337,slv,1998
1.313,slv,1999
1.22,slv,2000
1.385,slv,2001
1.426,slv,2002
1.103,slv,2003
1.025,slv,2004
0.9945,slv,2005
0.9973,slv,2006
0.9948,slv,2007
0.9752,slv,2008
1.041,slv,2009
1.045,slv,2010
0.963,slv,2011
1.892,gnq,1994
2.103,gnq,1995
22.03,eri,1993
13.4,eri,1994
20.84,eri,1995
21.96,eri,1996
12.83,eri,1997
35.27,eri,1998
39.62,eri,1999
36.4,eri,2000
24.23,eri,2001
22.32,eri,2002
20.87,eri,2003
0.9612,est,1995
0.8769,est,1996
1.051,est,1997
1.071,est,1998
1.291,est,1999
1.378,est,2000
1.506,est,2001
1.672,est,2002
1.743,est,2003
1.704,est,2004
1.914,est,2005
1.874,est,2006
2.022,est,2007
2.122,est,2008
2.269,est,2009
1.741,est,2010
1.665,est,2011
5.681,eth,1988
6.863,eth,1989
6.497,eth,1990
3.959,eth,1991
2.453,eth,1992
2.188,eth,1993
2.045,eth,1994
1.585,eth,1995
1.498,eth,1996
2.617,eth,1997
5.876,eth,1998
9.507,eth,1999
7.615,eth,2000
4.35,eth,2001
3.72,eth,2002
3.264,eth,2003
3.099,eth,2004
2.785,eth,2005
2.284,eth,2006
1.877,eth,2007
1.501,eth,2008
1.193,eth,2009
1.121,eth,2010
1.084,eth,2011
2.223,fji,1988
2.457,fji,1989
2.283,fji,1990
2.346,fji,1991
1.994,fji,1992
1.959,fji,1993
1.845,fji,1994
1.761,fji,1995
1.543,fji,1996
1.479,fji,1997
1.364,fji,1998
1.226,fji,1999
1.902,fji,2000
1.977,fji,2001
1.678,fji,2002
1.61,fji,2003
1.716,fji,2004
1.434,fji,2005
1.743,fji,2006
2.225,fji,2007
1.492,fji,2008
1.774,fji,2009
1.594,fji,2010
1.59,fin,1988
1.513,fin,1989
1.542,fin,1990
1.757,fin,1991
1.884,fin,1992
1.85,fin,1993
1.745,fin,1994
1.459,fin,1995
1.576,fin,1996
1.583,fin,1997
1.51,fin,1998
1.269,fin,1999
1.279,fin,2000
1.187,fin,2001
1.192,fin,2002
1.378,fin,2003
1.4,fin,2004
1.401,fin,2005
1.376,fin,2006
1.225,fin,2007
1.329,fin,2008
1.502,fin,2009
1.428,fin,2010
1.491,fin,2011
3.606,fra,1988
3.507,fra,1989
3.423,fra,1990
3.429,fra,1991
3.287,fra,1992
3.284,fra,1993
3.245,fra,1994
3.039,fra,1995
2.95,fra,1996
2.906,fra,1997
2.726,fra,1998
2.671,fra,1999
2.549,fra,2000
2.487,fra,2001
2.507,fra,2002
2.562,fra,2003
2.579,fra,2004
2.476,fra,2005
2.417,fra,2006
2.346,fra,2007
2.331,fra,2008
2.553,fra,2009
2.303,fra,2010
2.249,fra,2011
1.801,gab,2000
1.91,gab,2001
1.92,gab,2002
1.79,gab,2003
1.714,gab,2004
1.313,gab,2005
1.162,gab,2006
1.064,gab,2007
0.9484,gab,2010
0.8105,gmb,1988
0.9607,gmb,1989
1.093,gmb,1990
0.5789,gmb,1991
0.491,gmb,1992
0.3386,gmb,1993
0.3104,gmb,1994
0.3679,gmb,1995
0.4633,gmb,1996
0.5197,gmb,1997
0.4819,gmb,1998
0.4319,gmb,1999
0.4245,gmb,2000
0.357,gmb,2001
0.3907,gmb,2002
0.4102,gmb,2003
0.3337,gmb,2004
0.4693,gmb,2005
0.4176,gmb,2006
0.5453,gmb,2007
2.21,geo,1996
1.254,geo,1997
1.137,geo,1998
0.9244,geo,1999
0.6156,geo,2000
0.7402,geo,2001
1.001,geo,2002
1.068,geo,2003
1.374,geo,2004
3.339,geo,2005
5.221,geo,2006
9.156,geo,2007
8.519,geo,2008
5.604,geo,2009
3.905,geo,2010
2.963,geo,2011
2.588,deu,1988
2.482,deu,1989
2.468,deu,1990
2.185,deu,1991
2.033,deu,1992
1.854,deu,1993
1.691,deu,1994
1.632,deu,1995
1.6,deu,1996
1.54,deu,1997
1.522,deu,1998
1.53,deu,1999
1.492,deu,2000
1.458,deu,2001
1.462,deu,2002
1.446,deu,2003
1.394,deu,2004
1.376,deu,2005
1.312,deu,2006
1.28,deu,2007
1.327,deu,2008
1.439,deu,2009
1.374,deu,2010
1.306,deu,2011
0.4756,gha,1988
0.4234,gha,1989
0.4686,gha,1990
0.6179,gha,1991
0.6422,gha,1992
0.6973,gha,1993
0.6916,gha,1994
0.7611,gha,1995
0.6438,gha,1996
0.6589,gha,1997
0.769,gha,1998
0.7677,gha,1999
1.02,gha,2000
0.6094,gha,2001
0.5996,gha,2002
0.6983,gha,2003
0.6346,gha,2004
0.5984,gha,2005
0.371,gha,2006
0.5096,gha,2007
0.3976,gha,2008
0.4344,gha,2009
0.3888,gha,2010
0.2514,gha,2011
3.782,grc,1988
3.391,grc,1989
3.422,grc,1990
3.138,grc,1991
3.27,grc,1992
3.243,grc,1993
3.226,grc,1994
3.203,grc,1995
3.342,grc,1996
3.397,grc,1997
3.566,grc,1998
3.597,grc,1999
3.625,grc,2000
3.41,grc,2001
3.241,grc,2002
2.611,grc,2003
2.75,grc,2004
2.928,grc,2005
2.903,grc,2006
2.799,grc,2007
3.099,grc,2008
3.286,grc,2009
2.379,grc,2010
2.722,grc,2011
1.592,gtm,1988
1.537,gtm,1989
1.472,gtm,1990
1.08,gtm,1991
1.254,gtm,1992
1.079,gtm,1993
1.079,gtm,1994
0.9899,gtm,1995
0.8211,gtm,1996
0.7425,gtm,1997
0.7208,gtm,1998
0.6756,gtm,1999
0.8181,gtm,2000
1.052,gtm,2001
0.7624,gtm,2002
0.8159,gtm,2003
0.4794,gtm,2004
0.3842,gtm,2005
0.432,gtm,2006
0.3985,gtm,2007
0.4255,gtm,2008
0.3906,gtm,2009
0.4107,gtm,2010
0.4259,gtm,2011
2.38,gin,1991
1.694,gin,1992
1.341,gin,1993
1.356,gin,1994
1.173,gin,1997
1.255,gin,1998
1.595,gin,1999
1.477,gin,2000
3.035,gin,2001
3.215,gin,2002
2.441,gin,2003
2.231,gin,2004
2.072,gnb,1989
0.8559,gnb,1994
0.8709,gnb,1995
0.7018,gnb,1996
0.6769,gnb,1997
1.405,gnb,1998
4.424,gnb,2000
3.107,gnb,2001
3.125,gnb,2002
1.579,gnb,2003
2.115,gnb,2005
2.028,guy,1988
1.2,guy,1989
0.9065,guy,1990
0.603,guy,1991
0.9832,guy,1992
0.976,guy,1993
1.015,guy,1994
0.9154,guy,1995
0.7876,guy,1996
1.503,guy,2000
1.757,guy,2001
1.906,guy,2002
1.875,guy,2003
1.791,guy,2004
1.909,guy,2005
1.119,guy,2006
1.221,guy,2007
1.351,guy,2008
1.403,guy,2009
1.274,guy,2010
0.0874,hti,1991
0.08262,hti,1992
0.09153,hti,1993
0.07541,hti,1994
0.09207,hti,1995
0.7304,hnd,2000
0.8225,hnd,2001
0.809,hnd,2002
0.9985,hnd,2003
0.6829,hnd,2004
0.6416,hnd,2005
0.6922,hnd,2006
0.7762,hnd,2007
0.9538,hnd,2008
1.106,hnd,2009
1.105,hnd,2010
1.069,hnd,2011
3.803,hun,1988
3.09,hun,1989
2.793,hun,1990
2.397,hun,1991
2.341,hun,1992
2.124,hun,1993
2.038,hun,1994
1.561,hun,1995
1.471,hun,1996
1.689,hun,1997
1.471,hun,1998
1.673,hun,1999
1.727,hun,2000
1.804,hun,2001
1.633,hun,2002
1.678,hun,2003
1.504,hun,2004
1.447,hun,2005
1.253,hun,2006
1.305,hun,2007
1.211,hun,2008
1.165,hun,2009
1.05,hun,2010
0.9893,hun,2011
0.04642,isl,2008
0.08205,isl,2009
3.479,ind,1988
3.427,ind,1989
3.139,ind,1990
2.909,ind,1991
2.711,ind,1992
2.827,ind,1993
2.668,ind,1994
2.576,ind,1995
2.473,ind,1996
2.646,ind,1997
2.728,ind,1998
2.972,ind,1999
2.96,ind,2000
2.934,ind,2001
2.833,ind,2002
2.682,ind,2003
2.828,ind,2004
2.754,ind,2005
2.526,ind,2006
2.342,ind,2007
2.551,ind,2008
2.902,ind,2009
2.747,ind,2010
2.579,ind,2011
0.9421,idn,1988
0.8559,idn,1989
0.8693,idn,1990
0.8157,idn,1991
0.8361,idn,1992
0.7538,idn,1993
0.7799,idn,1994
0.7555,idn,1995
0.7567,idn,1996
0.7383,idn,1997
0.6428,idn,1998
0.581,idn,1999
0.4777,idn,2001
0.7854,idn,2002
0.9871,idn,2003
0.9457,idn,2004
0.7508,idn,2005
0.7164,idn,2006
0.7748,idn,2007
0.6335,idn,2008
0.6124,idn,2009
0.6586,idn,2010
0.673,idn,2011
1.952,irn,1988
2.41,irn,1989
2.05,irn,1990
1.656,irn,1991
1.389,irn,1992
1.516,irn,1993
2.361,irn,1994
1.788,irn,1995
1.917,irn,1996
2.128,irn,1997
2.353,irn,1998
2.974,irn,1999
3.683,irn,2000
3.875,irn,2001
2.315,irn,2002
2.741,irn,2003
3.052,irn,2004
