internet_users_per_100_people,geo,time
7.829,bel,1998
13.67,bel,1999
29.21,bel,2000
31.06,bel,2001
45.98,bel,2002
49.62,bel,2003
53.53,bel,2004
55.48,bel,2005
59.31,bel,2006
63.91,bel,2007
65.34,bel,2008
69.12,bel,2009
73.74,bel,2010
76.2,bel,2011
0.0,blz,1990
0.0462,blz,1995
0.9003,blz,1996
1.302,blz,1997
2.091,blz,1998
4.1,blz,1999
5.981,blz,2000
5.63,blz,2002
5.635,blz,2004
8.868,blz,2005
9.906,blz,2006
10.22,blz,2007
10.51,blz,2008
10.75,blz,2009
12.66,blz,2010
0.0,ben,1990
0.001693,ben,1996
0.02465,ben,1997
0.04788,ben,1998
0.1549,ben,1999
0.2252,ben,2000
0.3634,ben,2001
0.7029,ben,2002
0.9513,ben,2003
1.183,ben,2004
1.271,ben,2005
1.538,ben,2006
1.79,ben,2007
1.85,ben,2008
2.24,ben,2009
3.13,ben,2010
3.5,ben,2011
0.0,bmu,1990
6.805,bmu,1995
16.18,bmu,1996
24.22,bmu,1997
32.25,bmu,1998
40.31,bmu,1999
43.46,bmu,2000
47.97,bmu,2001
52.52,bmu,2002
57.11,bmu,2003
61.57,bmu,2004
65.99,bmu,2005
70.48,bmu,2006
74.93,bmu,2007
82.89,bmu,2008
83.77,bmu,2009
85.13,bmu,2010
88.85,bmu,2011
0.0,btn,1990
0.1376,btn,1999
0.4009,btn,2000
0.8646,btn,2001
1.676,btn,2002
2.437,btn,2003
3.157,btn,2004
3.847,btn,2005
4.518,btn,2006
5.92,btn,2007
6.55,btn,2008
7.17,btn,2009
13.6,btn,2010
21.0,btn,2011
0.0,bol,1990
0.06681,bol,1995
0.1961,bol,1996
0.4478,bol,1997
0.6265,bol,1998
0.9818,bol,1999
1.443,bol,2000
2.12,bol,2001
3.117,bol,2002
3.509,bol,2003
4.44,bol,2004
5.228,bol,2005
6.201,bol,2006
10.5,bol,2007
12.5,bol,2008
16.8,bol,2009
22.4,bol,2010
30.0,bol,2011
0.0,bih,1990
0.01513,bih,1996
0.05943,bih,1997
0.1437,bih,1998
0.1944,bih,1999
1.083,bih,2000
1.201,bih,2001
2.648,bih,2002
3.965,bih,2003
15.47,bih,2004
21.33,bih,2005
25.12,bih,2006
27.92,bih,2007
34.66,bih,2008
37.74,bih,2009
52.0,bih,2010
60.0,bih,2011
0.0,bwa,1990
0.0,bwa,1991
0.06452,bwa,1995
0.1575,bwa,1996
0.3077,bwa,1997
0.6024,bwa,1998
1.122,bwa,1999
2.903,bwa,2000
3.431,bwa,2001
3.386,bwa,2002
3.345,bwa,2003
3.305,bwa,2004
3.263,bwa,2005
4.29,bwa,2006
5.28,bwa,2007
6.25,bwa,2008
6.15,bwa,2009
6.0,bwa,2010
7.0,bwa,2011
0.0,bra,1990
