newly_hiv_infected_number_all_ages,geo,time
2000,kaz,2006
2200,kaz,2007
2300,kaz,2008
2400,kaz,2009
2500,kaz,2010
2700,kaz,2011
120000,ken,1990
170000,ken,1991
240000,ken,1992
280000,ken,1993
280000,ken,1994
250000,ken,1995
210000,ken,1996
170000,ken,1997
150000,ken,1998
140000,ken,1999
140000,ken,2000
140000,ken,2001
130000,ken,2002
130000,ken,2003
130000,ken,2004
120000,ken,2005
120000,ken,2006
130000,ken,2007
120000,ken,2008
120000,ken,2009
110000,ken,2010
100000,ken,2011
750,kor,2011
60,kgz,1990
60,kgz,1991
60,kgz,1992
60,kgz,1993
60,kgz,1994
60,kgz,1995
60,kgz,1996
60,kgz,1997
60,kgz,1998
160,kgz,1999
160,kgz,2000
350,kgz,2001
350,kgz,2002
350,kgz,2003
750,kgz,2004
750,kgz,2005
750,kgz,2006
1300,kgz,2007
1600,kgz,2008
2000,kgz,2009
2500,kgz,2010
3000,kgz,2011
1200,lao,2011
120,lva,1990
120,lva,1991
120,lva,1992
300,lva,1993
300,lva,1994
300,lva,1995
300,lva,1996
600,lva,1997
600,lva,1998
600,lva,1999
600,lva,2000
600,lva,2001
1000,lva,2002
1100,lva,2003
1000,lva,2004
600,lva,2005
600,lva,2006
600,lva,2007
600,lva,2008
600,lva,2009
750,lva,2011
350,lbn,2011
3200,lso,1990
6200,lso,1991
12000,lso,1992
21000,lso,1993
32000,lso,1994
42000,lso,1995
46000,lso,1996
43000,lso,1997
36000,lso,1998
30000,lso,1999
27000,lso,2000
26000,lso,2001
26000,lso,2002
27000,lso,2003
28000,lso,2004
29000,lso,2005
29000,lso,2006
29000,lso,2007
29000,lso,2008
28000,lso,2009
27000,lso,2010
26000,lso,2011
750,lbr,2011
60,ltu,1990
60,ltu,1991
60,ltu,1992
60,ltu,1993
60,ltu,1994
60,ltu,1995
60,ltu,1996
60,ltu,1997
60,ltu,1998
120,ltu,1999
120,ltu,2000
120,ltu,2001
120,ltu,2002
120,ltu,2003
120,ltu,2004
120,ltu,2005
120,ltu,2006
120,ltu,2007
120,ltu,2008
60,ltu,2009
160,ltu,2011
60,lux,2011
79000,mwi,1990
85000,mwi,1991
88000,mwi,1992
89000,mwi,1993
88000,mwi,1994
90000,mwi,1995
96000,mwi,1996
100000,mwi,1997
100000,mwi,1998
100000,mwi,1999
100000,mwi,2000
100000,mwi,2001
100000,mwi,2002
100000,mwi,2003
96000,mwi,2004
90000,mwi,2005
82000,mwi,2006
73000,mwi,2007
63000,mwi,2008
58000,mwi,2009
51000,mwi,2010
46000,mwi,2011
3100,mys,1990
4800,mys,1991
6500,mys,1992
7600,mys,1993
8100,mys,1994
8000,mys,1995
7400,mys,1996
7000,mys,1997
7100,mys,1998
7400,mys,1999
7700,mys,2000
8100,mys,2001
8400,mys,2002
9200,mys,2003
9600,mys,2004
9600,mys,2005
9800,mys,2006
10000,mys,2007
10000,mys,2008
10000,mys,2009
60,mdv,2011
11000,mli,1990
12000,mli,1991
13000,mli,1992
13000,mli,1993
14000,mli,1994
14000,mli,1995
14000,mli,1996
14000,mli,1997
14000,mli,1998
13000,mli,1999
13000,mli,2000
12000,mli,2001
12000,mli,2002
12000,mli,2003
12000,mli,2004
11000,mli,2005
11000,mli,2006
10000,mli,2007
9800,mli,2008
9500,mli,2009
9200,mli,2010
8600,mli,2011
60,mlt,2011
4100,mrt,2011
350,mus,2011
11000,mex,1990
12000,mex,1991
12000,mex,1992
12000,mex,1993
12000,mex,1994
12000,mex,1995
13000,mex,1996
13000,mex,1997
13000,mex,1998
13000,mex,1999
13000,mex,2000
12000,mex,2001
12000,mex,2002
12000,mex,2003
12000,mex,2004
12000,mex,2005
11000,mex,2006
11000,mex,2007
12000,mex,2008
11000,mex,2009
10000,mex,2010
9900,mex,2011
160,mda,1990
160,mda,1991
350,mda,1992
350,mda,1993
350,mda,1994
750,mda,1995
1700,mda,1996
3700,mda,1997
3000,mda,1998
1600,mda,1999
1100,mda,2000
1100,mda,2001
1200,mda,2002
1300,mda,2003
1400,mda,2004
1500,mda,2005
1600,mda,2006
1600,mda,2007
1700,mda,2008
1700,mda,2009
1800,mda,2010
1900,mda,2011
350,mng,2011
4100,mar,2011
25000,moz,1990
33000,moz,1991
43000,moz,1992
55000,moz,1993
67000,moz,1994
79000,moz,1995
91000,moz,1996
100000,moz,1997
120000,moz,1998
130000,moz,1999
140000,moz,2000
150000,moz,2001
160000,moz,2002
150000,moz,2003
150000,moz,2004
150000,moz,2005
140000,moz,2006
140000,moz,2007
130000,moz,2008
130000,moz,2009
14000,mmr,1990
13000,mmr,1991
13000,mmr,1992
16000,mmr,1993
17000,mmr,1994
19000,mmr,1995
23000,mmr,1996
25000,mmr,1997
30000,mmr,1998
32000,mmr,1999
31000,mmr,2000
28000,mmr,2001
26000,mmr,2002
24000,mmr,2003
21000,mmr,2004
18000,mmr,2005
16000,mmr,2006
14000,mmr,2007
12000,mmr,2008
11000,mmr,2009
9700,mmr,2010
8800,mmr,2011
3800,nam,1990
5200,nam,1991
7200,nam,1992
9800,nam,1993
13000,nam,1994
17000,nam,1995
21000,nam,1996
23000,nam,1997
24000,nam,1998
24000,nam,1999
24000,nam,2000
23000,nam,2001
20000,nam,2002
17000,nam,2003
15000,nam,2004
14000,nam,2005
12000,nam,2006
11000,nam,2007
11000,nam,2008
10000,nam,2009
10000,nam,2010
8800,nam,2011
350,npl,1990
350,npl,1991
750,npl,1992
1000,npl,1993
1500,npl,1994
2200,npl,1995
3100,npl,1996
4500,npl,1997
6200,npl,1998
8100,npl,1999
9600,npl,2000
10000,npl,2001
10000,npl,2002
9000,npl,2003
7600,npl,2004
6100,npl,2005
4700,npl,2006
3600,npl,2007
2700,npl,2008
2000,npl,2009
1700,npl,2010
1400,npl,2011
750,nld,2011
160,nzl,2011
1200,nic,2011
2700,ner,1990
3000,ner,1991
3500,ner,1992
4000,ner,1993
4500,ner,1994
4900,ner,1995
5200,ner,1996
5300,ner,1997
5500,ner,1998
5900,ner,1999
6100,ner,2000
6200,ner,2001
6200,ner,2002
6200,ner,2003
6400,ner,2004
6600,ner,2005
6700,ner,2006
6700,ner,2007
6800,ner,2008
6800,ner,2009
6400,ner,2010
6400,ner,2011
96000,nga,1990
140000,nga,1991
180000,nga,1992
230000,nga,1993
280000,nga,1994
320000,nga,1995
340000,nga,1996
340000,nga,1997
350000,nga,1998
350000,nga,1999
330000,nga,2000
310000,nga,2001
300000,nga,2002
290000,nga,2003
290000,nga,2004
300000,nga,2005
320000,nga,2006
330000,nga,2007
340000,nga,2008
360000,nga,2009
380000,nga,2010
340000,nga,2011
160,nor,2011
32000,pak,2011
300,pan,1990
600,pan,1991
600,pan,1992
2400,pan,1993
9800,pan,1994
8900,pan,1995
2500,pan,1996
1500,pan,1997
1400,pan,1998
1100,pan,1999
1200,pan,2000
1200,pan,2001
1200,pan,2002
1100,pan,2003
1100,pan,2004
1100,pan,2005
1100,pan,2006
1100,pan,2007
1000,pan,2008
1200,pan,2009
750,pan,2011
1300,png,1990
1700,png,1991
2000,png,1992
2300,png,1993
2600,png,1994
2800,png,1995
2900,png,1996
3000,png,1997
3000,png,1998
3000,png,1999
3000,png,2000
2900,png,2001
2700,png,2002
2700,png,2003
2600,png,2004
2600,png,2005
2500,png,2006
2300,png,2007
2100,png,2008
2000,png,2009
1800,png,2010
1700,png,2011
1800,pry,2011
5800,per,2011
60,phl,1990
60,phl,1991
160,phl,1992
160,phl,1993
160,phl,1994
160,phl,1995
350,phl,1996
350,phl,1997
350,phl,1998
350,phl,1999
350,phl,2000
750,phl,2001
750,phl,2002
750,phl,2003
750,phl,2004
1200,phl,2005
1400,phl,2006
1700,phl,2007
2000,phl,2008
2500,phl,2009
3500,phl,2010
5500,phl,2011
1400,pol,2011
1400,prt,2011
350,rou,2011
21000,rwa,1990
24000,rwa,1991
25000,rwa,1992
24000,rwa,1993
22000,rwa,1994
20000,rwa,1995
21000,rwa,1996
21000,rwa,1997
21000,rwa,1998
22000,rwa,1999
21000,rwa,2000
19000,rwa,2001
18000,rwa,2002
18000,rwa,2003
18000,rwa,2004
17000,rwa,2005
14000,rwa,2006
14000,rwa,2007
14000,rwa,2008
13000,rwa,2009
12000,rwa,2010
10000,rwa,2011
60,stp,2011
1400,sen,1990
1700,sen,1991
2100,sen,1992
2400,sen,1993
2800,sen,1994
3200,sen,1995
3600,sen,1996
4000,sen,1997
4400,sen,1998
4800,sen,1999
5100,sen,2000
5500,sen,2001
5800,sen,2002
6100,sen,2003
6000,sen,2004
6100,sen,2005
6200,sen,2006
6300,sen,2007
6500,sen,2008
6000,sen,2009
5800,sen,2011
350,srb,2011
350,sle,1990
350,sle,1991
750,sle,1992
750,sle,1993
1300,sle,1994
1600,sle,1995
2100,sle,1996
2500,sle,1997
3000,sle,1998
3500,sle,1999
4000,sle,2000
4500,sle,2001
5000,sle,2002
5500,sle,2003
5800,sle,2004
6000,sle,2005
5900,sle,2006
5400,sle,2007
4500,sle,2008
4300,sle,2009
4200,sle,2010
3900,sle,2011
160,sgp,2011
60,svk,2011
60,svn,2011
3600,som,2011
44000,zaf,1990
73000,zaf,1991
120000,zaf,1992
190000,zaf,1993
300000,zaf,1994
430000,zaf,1995
570000,zaf,1996
680000,zaf,1997
720000,zaf,1998
710000,zaf,1999
660000,zaf,2000
610000,zaf,2001
560000,zaf,2002
520000,zaf,2003
500000,zaf,2004
480000,zaf,2005
470000,zaf,2006
460000,zaf,2007
450000,zaf,2008
430000,zaf,2009
390000,zaf,2010
380000,zaf,2011
3400,esp,2011
60,lka,1990
160,lka,1991
160,lka,1992
160,lka,1993
160,lka,1994
160,lka,1995
160,lka,1996
350,lka,1997
350,lka,1998
350,lka,1999
350,lka,2000
350,lka,2001
350,lka,2002
350,lka,2003
350,lka,2004
350,lka,2005
350,lka,2006
350,lka,2007
350,lka,2008
350,lka,2009
750,lka,2010
750,lka,2011
8600,sdn,2011
1100,sur,1990
1200,sur,1991
1300,sur,1992
1300,sur,1993
1200,sur,1994
1100,sur,1995
750,sur,1996
750,sur,1997
750,sur,1998
750,sur,1999
350,sur,2000
350,sur,2001
350,sur,2002
350,sur,2003
350,sur,2004
160,sur,2005
160,sur,2006
160,sur,2007
60,sur,2008
60,sur,2009
60,sur,2010
60,sur,2011
4000,swz,1990
5300,swz,1991
6900,swz,1992
8700,swz,1993
11000,swz,1994
13000,swz,1995
15000,swz,1996
17000,swz,1997
18000,swz,1998
19000,swz,1999
19000,swz,2000
19000,swz,2001
19000,swz,2002
19000,swz,2003
18000,swz,2004
18000,swz,2005
17000,swz,2006
16000,swz,2007
16000,swz,2008
15000,swz,2009
14000,swz,2010
13000,swz,2011
350,swe,2011
750,che,2011
160,tjk,1990
160,tjk,1991
350,tjk,1992
350,tjk,1993
350,tjk,1994
350,tjk,1995
750,tjk,1996
750,tjk,1997
750,tjk,1998
750,tjk,1999
1000,tjk,2000
1000,tjk,2001
1000,tjk,2002
1000,tjk,2003
1000,tjk,2004
1100,tjk,2005
1100,tjk,2006
1100,tjk,2007
1200,tjk,2008
1300,tjk,2009
1400,tjk,2010
1500,tjk,2011
180000,tza,1990
200000,tza,1991
200000,tza,1992
200000,tza,1993
190000,tza,1994
170000,tza,1995
160000,tza,1996
150000,tza,1997
140000,tza,1998
140000,tza,1999
140000,tza,2000
140000,tza,2001
140000,tza,2002
140000,tza,2003
140000,tza,2004
140000,tza,2005
140000,tza,2006
140000,tza,2007
140000,tza,2008
140000,tza,2009
140000,tza,2010
150000,tza,2011
140000,tha,1990
150000,tha,1991
120000,tha,1992
90000,tha,1993
64000,tha,1994
49000,tha,1995
41000,tha,1996
34000,tha,1997
24000,tha,1998
16000,tha,1999
14000,tha,2000
20000,tha,2001
32000,tha,2002
38000,tha,2003
36000,tha,2004
30000,tha,2005
24000,tha,2006
19000,tha,2007
15000,tha,2008
13000,tha,2009
11000,tha,2010
9700,tha,2011
4100,tgo,1990
5900,tgo,1991
8100,tgo,1992
10000,tgo,1993
12000,tgo,1994
13000,tgo,1995
14000,tgo,1996
14000,tgo,1997
13000,tgo,1998
13000,tgo,1999
12000,tgo,2000
12000,tgo,2001
11000,tgo,2002
11000,tgo,2003
11000,tgo,2004
11000,tgo,2005
11000,tgo,2006
11000,tgo,2007
11000,tgo,2008
10000,tgo,2009
750,tto,1990
750,tto,1991
750,tto,1992
1100,tto,1993
1200,tto,1994
1300,tto,1995
1400,tto,1996
1500,tto,1997
1400,tto,1998
1400,tto,1999
1300,tto,2000
1200,tto,2001
1100,tto,2002
1100,tto,2003
1100,tto,2004
1000,tto,2005
750,tto,2006
750,tto,2007
750,tto,2008
750,tto,2009
750,tto,2010
750,tto,2011
350,tun,2011
350,tur,2011
130000,uga,1990
120000,uga,1991
110000,uga,1992
110000,uga,1993
98000,uga,1994
92000,uga,1995
88000,uga,1996
87000,uga,1997
87000,uga,1998
89000,uga,1999
94000,uga,2000
99000,uga,2001
100000,uga,2002
110000,uga,2003
120000,uga,2004
120000,uga,2005
130000,uga,2006
140000,uga,2007
150000,uga,2008
150000,uga,2009
150000,uga,2010
150000,uga,2011
3500,ukr,2011
2500,gbr,2011
88000,usa,1990
52000,usa,1991
50000,usa,1992
52000,usa,1993
49000,usa,1994
51000,usa,1995
66000,usa,1996
68000,usa,1997
67000,usa,1998
60000,usa,1999
52000,usa,2000
48000,usa,2001
48000,usa,2002
49000,usa,2003
49000,usa,2004
49000,usa,2005
49000,usa,2006
49000,usa,2007
49000,usa,2008
49000,usa,2009
49000,usa,2010
49000,usa,2011
1000,ury,2011
7300,ven,2011
21000,vnm,2011
2600,yem,2011
85000,zmb,1990
87000,zmb,1991
87000,zmb,1992
86000,zmb,1993
85000,zmb,1994
84000,zmb,1995
84000,zmb,1996
85000,zmb,1997
86000,zmb,1998
88000,zmb,1999
90000,zmb,2000
92000,zmb,2001
94000,zmb,2002
96000,zmb,2003
96000,zmb,2004
93000,zmb,2005
88000,zmb,2006
81000,zmb,2007
72000,zmb,2008
76000,zmb,2009
180000,zwe,1990
200000,zwe,1991
210000,zwe,1992
240000,zwe,1993
260000,zwe,1994
250000,zwe,1995
240000,zwe,1996
230000,zwe,1997
220000,zwe,1998
190000,zwe,1999
160000,zwe,2000
140000,zwe,2001
130000,zwe,2002
110000,zwe,2003
110000,zwe,2004
110000,zwe,2005
100000,zwe,2006
100000,zwe,2007
100000,zwe,2008
95000,zwe,2009
87000,zwe,2010
74000,zwe,2011
16000,ssd,2011
