newly_hiv_infected_number_all_ages,geo,time
1100,afg,2011
7500,ago,1990
8500,ago,1991
9500,ago,1992
11000,ago,1993
12000,ago,1994
13000,ago,1995
15000,ago,1996
16000,ago,1997
17000,ago,1998
18000,ago,1999
19000,ago,2000
20000,ago,2001
21000,ago,2002
22000,ago,2003
23000,ago,2004
23000,ago,2005
24000,ago,2006
24000,ago,2007
24000,ago,2008
24000,ago,2009
24000,ago,2010
23000,ago,2011
4900,arg,1990
5400,arg,1991
5800,arg,1992
6300,arg,1993
6700,arg,1994
6700,arg,1995
6700,arg,1996
6900,arg,1997
7000,arg,1998
7100,arg,1999
7000,arg,2000
7300,arg,2001
7400,arg,2002
7500,arg,2003
7600,arg,2004
7700,arg,2005
7700,arg,2006
7600,arg,2007
7500,arg,2008
7500,arg,2009
5600,arg,2011
60,arm,1990
60,arm,1991
60,arm,1992
60,arm,1993
120,arm,1994
120,arm,1995
300,arm,1996
300,arm,1997
300,arm,1998
300,arm,1999
120,arm,2000
120,arm,2001
120,arm,2002
120,arm,2003
120,arm,2004
120,arm,2005
120,arm,2006
120,arm,2007
300,arm,2008
300,arm,2009
350,arm,2011
1100,aus,2011
1200,aut,2011
750,aze,2011
750,bhs,1990
750,bhs,1991
750,bhs,1992
750,bhs,1993
750,bhs,1994
750,bhs,1995
750,bhs,1996
750,bhs,1997
750,bhs,1998
750,bhs,1999
750,bhs,2000
750,bhs,2001
750,bhs,2002
750,bhs,2003
750,bhs,2004
750,bhs,2005
750,bhs,2006
350,bhs,2007
350,bhs,2008
350,bhs,2009
350,bhs,2010
350,bhs,2011
60,bgd,1990
160,bgd,1991
160,bgd,1992
160,bgd,1993
160,bgd,1994
160,bgd,1995
160,bgd,1996
350,bgd,1997
350,bgd,1998
350,bgd,1999
350,bgd,2000
350,bgd,2001
350,bgd,2002
750,bgd,2003
750,bgd,2004
750,bgd,2005
750,bgd,2006
750,bgd,2007
750,bgd,2008
750,bgd,2009
1100,bgd,2010
1300,bgd,2011
160,brb,1990
160,brb,1991
160,brb,1992
160,brb,1993
160,brb,1994
160,brb,1995
160,brb,1996
160,brb,1997
160,brb,1998
160,brb,1999
160,brb,2000
160,brb,2001
160,brb,2002
60,brb,2003
60,brb,2004
60,brb,2005
60,brb,2006
60,brb,2007
60,brb,2008
60,brb,2009
60,brb,2010
60,brb,2011
60,blr,1990
60,blr,1991
60,blr,1992
60,blr,1993
60,blr,1994
60,blr,1995
160,blr,1996
350,blr,1997
350,blr,1998
750,blr,1999
1300,blr,2000
2100,blr,2001
2800,blr,2002
3000,blr,2003
2800,blr,2004
2400,blr,2005
2100,blr,2006
1900,blr,2007
1800,blr,2008
1800,blr,2009
1800,blr,2010
1900,blr,2011
1300,bel,2011
350,blz,1990
350,blz,1991
350,blz,1992
350,blz,1993
350,blz,1994
350,blz,1995
350,blz,1996
350,blz,1997
350,blz,1998
350,blz,1999
350,blz,2000
350,blz,2001
350,blz,2002
350,blz,2003
350,blz,2004
350,blz,2005
350,blz,2006
350,blz,2007
350,blz,2008
350,blz,2009
350,blz,2010
350,blz,2011
4000,ben,1990
4600,ben,1991
5200,ben,1992
6000,ben,1993
6900,ben,1994
7500,ben,1995
7700,ben,1996
7300,ben,1997
6600,ben,1998
6000,ben,1999
5500,ben,2000
5300,ben,2001
5100,ben,2002
5000,ben,2003
5000,ben,2004
5100,ben,2005
4800,ben,2006
4800,ben,2007
4900,ben,2008
4900,ben,2009
4900,ben,2010
4900,ben,2011
350,btn,2011
1300,bol,2011
8900,bwa,1990
13000,bwa,1991
19000,bwa,1992
25000,bwa,1993
31000,bwa,1994
36000,bwa,1995
37000,bwa,1996
37000,bwa,1997
34000,bwa,1998
31000,bwa,1999
28000,bwa,2000
26000,bwa,2001
24000,bwa,2002
22000,bwa,2003
19000,bwa,2004
17000,bwa,2005
16000,bwa,2006
16000,bwa,2007
15000,bwa,2008
14000,bwa,2009
18000,bra,2011
350,bgr,2011
26000,bfa,1990
21000,bfa,1991
18000,bfa,1992
18000,bfa,1993
17000,bfa,1994
14000,bfa,1995
16000,bfa,1996
16000,bfa,1997
12000,bfa,1998
14000,bfa,1999
13000,bfa,2000
13000,bfa,2001
12000,bfa,2002
8500,bfa,2003
7900,bfa,2004
7300,bfa,2005
6900,bfa,2006
6900,bfa,2007
7000,bfa,2008
8000,bfa,2009
16000,bdi,1990
20000,bdi,1991
26000,bdi,1992
30000,bdi,1993
32000,bdi,1994
27000,bdi,1995
19000,bdi,1996
14000,bdi,1997
9800,bdi,1998
8100,bdi,1999
7300,bdi,2000
6900,bdi,2001
6900,bdi,2002
7200,bdi,2003
7400,bdi,2004
6900,bdi,2005
6000,bdi,2006
5100,bdi,2007
4400,bdi,2008
3700,bdi,2009
3200,bdi,2010
3000,bdi,2011
9200,khm,1990
11000,khm,1991
13000,khm,1992
13000,khm,1993
12000,khm,1994
11000,khm,1995
10000,khm,1996
9000,khm,1997
8700,khm,1998
7900,khm,1999
7100,khm,2000
6200,khm,2001
5400,khm,2002
4600,khm,2003
3800,khm,2004
3200,khm,2005
2500,khm,2006
2100,khm,2007
1900,khm,2008
1400,khm,2009
1300,khm,2010
1100,khm,2011
21000,cmr,1990
27000,cmr,1991
33000,cmr,1992
40000,cmr,1993
46000,cmr,1994
51000,cmr,1995
56000,cmr,1996
59000,cmr,1997
61000,cmr,1998
61000,cmr,1999
59000,cmr,2000
57000,cmr,2001
58000,cmr,2002
58000,cmr,2003
56000,cmr,2004
54000,cmr,2005
52000,cmr,2006
50000,cmr,2007
47000,cmr,2008
46000,cmr,2009
43000,cmr,2010
43000,cmr,2011
2600,can,2011
17000,caf,1990
25000,caf,1991
31000,caf,1992
32000,caf,1993
29000,caf,1994
25000,caf,1995
22000,caf,1996
20000,caf,1997
18000,caf,1998
17000,caf,1999
15000,caf,2000
14000,caf,2001
13000,caf,2002
11000,caf,2003
10000,caf,2004
9200,caf,2005
8100,caf,2006
6800,caf,2007
6000,caf,2008
5200,caf,2009
2400,chl,2011
11000,col,2011
8400,cog,1990
6500,cog,1991
5700,cog,1992
5600,cog,1993
5800,cog,1994
6000,cog,1995
6300,cog,1996
6600,cog,1997
6900,cog,1998
7100,cog,1999
7300,cog,2000
7500,cog,2001
7500,cog,2002
7500,cog,2003
7500,cog,2004
7100,cog,2005
6600,cog,2006
6500,cog,2007
6600,cog,2008
6500,cog,2009
750,cri,2011
52000,civ,1990
72000,civ,1991
90000,civ,1992
99000,civ,1993
98000,civ,1994
89000,civ,1995
78000,civ,1996
68000,civ,1997
61000,civ,1998
55000,civ,1999
50000,civ,2000
46000,civ,2001
42000,civ,2002
38000,civ,2003
35000,civ,2004
30000,civ,2005
27000,civ,2006
24000,civ,2007
21000,civ,2008
17000,civ,2009
60,hrv,2011
1700,cub,2011
350,dnk,2011
600,dji,1990
600,dji,1991
1100,dji,1992
1300,dji,1993
1400,dji,1994
1500,dji,1995
1500,dji,1996
1500,dji,1997
1400,dji,1998
1400,dji,1999
1300,dji,2000
1300,dji,2001
1300,dji,2002
1300,dji,2003
1200,dji,2004
1200,dji,2005
1200,dji,2006
1300,dji,2007
1300,dji,2008
1300,dji,2009
5200,dom,1990
5700,dom,1991
6100,dom,1992
6400,dom,1993
6500,dom,1994
6300,dom,1995
6000,dom,1996
5600,dom,1997
5200,dom,1998
5200,dom,1999
5100,dom,2000
4900,dom,2001
4600,dom,2002
4400,dom,2003
3900,dom,2004
3600,dom,2005
3100,dom,2006
2600,dom,2007
2200,dom,2008
1800,dom,2009
1700,dom,2010
1500,dom,2011
2400,ecu,2011
1500,egy,2011
2400,slv,2011
2300,gnq,2011
1800,eri,1990
2400,eri,1991
3100,eri,1992
3500,eri,1993
3700,eri,1994
3600,eri,1995
3400,eri,1996
3100,eri,1997
2900,eri,1998
2700,eri,1999
2600,eri,2000
2400,eri,2001
2300,eri,2002
2200,eri,2003
2100,eri,2004
1900,eri,2005
1600,eri,2006
1500,eri,2007
1400,eri,2008
1300,eri,2009
1200,eri,2011
750,est,2011
91000,eth,1990
120000,eth,1991
140000,eth,1992
160000,eth,1993
160000,eth,1994
170000,eth,1995
170000,eth,1996
170000,eth,1997
160000,eth,1998
150000,eth,1999
140000,eth,2000
130000,eth,2001
110000,eth,2002
85000,eth,2003
70000,eth,2004
60000,eth,2005
50000,eth,2006
42000,eth,2007
36000,eth,2008
32000,eth,2009
28000,eth,2010
24000,eth,2011
60,fji,2011
160,fin,2011
5900,fra,1990
6500,fra,1991
7000,fra,1992
7200,fra,1993
7600,fra,1994
7900,fra,1995
8000,fra,1996
7600,fra,1997
7100,fra,1998
6700,fra,1999
5900,fra,2000
5300,fra,2001
5300,fra,2002
5300,fra,2003
5300,fra,2004
5300,fra,2005
5300,fra,2006
5300,fra,2007
5300,fra,2008
5900,fra,2009
6000,fra,2010
6100,fra,2011
1400,gab,1990
1700,gab,1991
2100,gab,1992
2500,gab,1993
3000,gab,1994
3500,gab,1995
4000,gab,1996
4400,gab,1997
4700,gab,1998
4900,gab,1999
5000,gab,2000
4900,gab,2001
4800,gab,2002
4500,gab,2003
4300,gab,2004
4000,gab,2005
3700,gab,2006
3500,gab,2007
3500,gab,2008
3400,gab,2009
3200,gab,2010
3000,gab,2011
160,gmb,1990
350,gmb,1991
350,gmb,1992
350,gmb,1993
350,gmb,1994
350,gmb,1995
750,gmb,1996
750,gmb,1997
750,gmb,1998
750,gmb,1999
1100,gmb,2000
1200,gmb,2001
1400,gmb,2002
1500,gmb,2003
1600,gmb,2004
1600,gmb,2005
1600,gmb,2006
1500,gmb,2007
1500,gmb,2008
1400,gmb,2009
1400,gmb,2010
1300,gmb,2011
160,geo,1990
60,geo,1991
60,geo,1992
60,geo,1993
60,geo,1994
60,geo,1995
160,geo,1996
160,geo,1997
160,geo,1998
160,geo,1999
350,geo,2000
350,geo,2001
350,geo,2002
350,geo,2003
350,geo,2004
350,geo,2005
350,geo,2006
750,geo,2007
750,geo,2008
750,geo,2009
750,geo,2010
750,geo,2011
2900,deu,2011
19000,gha,1990
21000,gha,1991
24000,gha,1992
26000,gha,1993
27000,gha,1994
28000,gha,1995
29000,gha,1996
29000,gha,1997
30000,gha,1998
28000,gha,1999
28000,gha,2000
28000,gha,2001
27000,gha,2002
26000,gha,2003
23000,gha,2004
21000,gha,2005
20000,gha,2006
18000,gha,2007
17000,gha,2008
15000,gha,2009
14000,gha,2010
13000,gha,2011
350,grc,2011
9400,gtm,2011
9400,gin,1990
10000,gin,1991
11000,gin,1992
10000,gin,1993
9800,gin,1994
9100,gin,1995
8600,gin,1996
8200,gin,1997
7900,gin,1998
7800,gin,1999
7700,gin,2000
7700,gin,2001
7700,gin,2002
7700,gin,2003
7700,gin,2004
7500,gin,2005
7000,gin,2006
6400,gin,2007
6400,gin,2008
6200,gin,2009
5800,gin,2011
350,gnb,1990
350,gnb,1991
750,gnb,1992
750,gnb,1993
750,gnb,1994
750,gnb,1995
1000,gnb,1996
1200,gnb,1997
1300,gnb,1998
1500,gnb,1999
1700,gnb,2000
1800,gnb,2001
1900,gnb,2002
2100,gnb,2003
2200,gnb,2004
2300,gnb,2005
2500,gnb,2006
2600,gnb,2007
2700,gnb,2008
2700,gnb,2009
2800,gnb,2010
2900,gnb,2011
160,guy,2011
19000,hti,1990
18000,hti,1991
16000,hti,1992
14000,hti,1993
13000,hti,1994
13000,hti,1995
12000,hti,1996
13000,hti,1997
13000,hti,1998
12000,hti,1999
12000,hti,2000
12000,hti,2001
12000,hti,2002
11000,hti,2003
11000,hti,2004
11000,hti,2005
9900,hti,2006
8600,hti,2007
7900,hti,2008
7200,hti,2009
6900,hti,2010
6400,hti,2011
1600,hnd,2011
350,hun,2011
60,isl,2011
92000,ind,1990
130000,ind,1991
180000,ind,1992
240000,ind,1993
280000,ind,1994
310000,ind,1995
320000,ind,1996
330000,ind,1997
330000,ind,1998
320000,ind,1999
290000,ind,2000
260000,ind,2001
230000,ind,2002
210000,ind,2003
200000,ind,2004
180000,ind,2005
170000,ind,2006
160000,ind,2007
150000,ind,2008
140000,ind,2009
60,idn,1990
60,idn,1991
60,idn,1992
60,idn,1993
160,idn,1994
160,idn,1995
350,idn,1996
750,idn,1997
750,idn,1998
1600,idn,1999
2800,idn,2000
5600,idn,2001
15000,idn,2002
32000,idn,2003
46000,idn,2004
46000,idn,2005
43000,idn,2006
44000,idn,2007
46000,idn,2008
49000,idn,2009
52000,idn,2010
55000,idn,2011
12000,irn,2011
350,irl,2011
350,isr,2011
2900,ita,2011
3800,jam,1990
4500,jam,1991
5100,jam,1992
5500,jam,1993
5500,jam,1994
5200,jam,1995
4800,jam,1996
4300,jam,1997
3800,jam,1998
3400,jam,1999
3300,jam,2000
2900,jam,2001
2800,jam,2002
3000,jam,2003
3000,jam,2004
2500,jam,2005
2400,jam,2006
2400,jam,2007
2200,jam,2008
2100,jam,2009
2100,jam,2010
2000,jam,2011
350,jpn,2011
60,kaz,1990
60,kaz,1991
60,kaz,1992
160,kaz,1993
350,kaz,1994
750,kaz,1995
1800,kaz,1996
1600,kaz,1997
1500,kaz,1998
1600,kaz,1999
1500,kaz,2000
1600,kaz,2001
1400,kaz,2002
1500,kaz,2003
1700,kaz,2004
1800,kaz,2005
