geo,how_far_to_the_north,time
kwt,29.33,1900
kwt,29.33,2030
kgz,41.49,1700
kgz,41.49,1900
kgz,41.49,2030
lao,16.55,1700
lao,16.55,1900
lao,16.55,2030
lva,56.86,1700
lva,56.86,1900
lva,56.86,2030
lbn,34.11,1700
lbn,34.11,1900
lbn,34.11,2030
lso,-29.59,1700
lso,-29.59,1900
lso,-29.59,2030
lbr,6.385,1700
lbr,6.385,1900
lbr,6.385,2030
lby,32.61,1700
lby,32.61,1900
lby,32.61,2030
lie,47.14,1700
lie,47.14,1900
lie,47.14,2030
ltu,55.32,1700
ltu,55.32,1900
ltu,55.32,2030
lux,49.78,1700
lux,49.78,1900
lux,49.78,2030
mac,22.51,1700
mac,22.51,1900
mac,22.51,2030
mkd,41.57,1700
mkd,41.57,1900
mkd,41.57,2030
mdg,-18.96,1700
mdg,-18.96,1900
mdg,-18.96,2030
mwi,-15.81,1700
mwi,-15.81,1900
mwi,-15.81,2030
mys,3.269,1700
mys,3.269,1900
mys,3.269,2030
mdv,3.25,1700
mdv,3.25,1900
mdv,3.25,2030
mli,12.51,1700
mli,12.51,1900
mli,12.51,2030
mlt,35.89,1700
mlt,35.89,1900
mlt,35.89,2030
mhl,9.0,1700
mhl,9.0,1900
mhl,9.0,2030
mtq,14.65,1700
mtq,14.65,1900
mtq,14.65,2030
mrt,17.93,1700
mrt,17.93,1900
mrt,17.93,2030
mus,-20.23,1700
mus,-20.23,1900
mus,-20.23,2030
myt,-12.83,1700
myt,-12.83,1900
myt,-12.83,2030
mex,16.76,1700
mex,16.76,1900
mex,16.76,2030
fsm,7.357,1700
fsm,7.357,1900
fsm,7.357,2030
mda,47.17,1700
mda,47.17,1900
mda,47.17,2030
mco,43.75,1700
mco,43.75,1900
mco,43.75,2030
mng,47.49,1700
mng,47.49,1900
mng,47.49,2030
mne,42.79,1700
mne,42.79,1900
mne,42.79,2030
msr,16.75,1700
msr,16.75,1900
msr,16.75,2030
mar,33.59,1700
mar,33.59,1900
mar,33.59,2030
moz,-18.5,1700
moz,-18.5,1900
moz,-18.5,2030
mmr,17.68,1700
mmr,17.68,1900
mmr,17.68,2030
nam,-17.98,1700
nam,-17.98,1900
nam,-17.98,2030
nru,-0.5333,1700
nru,-0.5333,1900
nru,-0.5333,2030
npl,27.71,1700
npl,27.71,1900
npl,27.71,2030
nld,51.87,1700
nld,51.87,1900
nld,51.87,2030
ant,12.19,1700
ant,12.19,1900
ant,12.19,2030
ncl,-21.33,1700
ncl,-21.33,1900
ncl,-21.33,2030
nzl,-36.89,1700
nzl,-36.89,1900
nzl,-36.89,2030
nic,12.21,1700
nic,12.21,1900
nic,12.21,2030
ner,13.88,1700
ner,13.88,1900
ner,13.88,2030
nga,6.543,1700
nga,6.543,1900
nga,6.543,2030
niu,-19.03,1700
niu,-19.03,1900
niu,-19.03,2030
nfk,-29.03,1700
nfk,-29.03,1900
nfk,-29.03,2030
mnp,15.18,1700
mnp,15.18,1900
mnp,15.18,2030
nor,59.98,1700
nor,59.98,1900
nor,59.98,2030
omn,20.45,1700
omn,20.45,1900
omn,20.45,2030
pak,31.17,1700
pak,31.17,1900
pak,31.17,2030
plw,7.5,1700
plw,7.5,1900
plw,7.5,2030
pan,9.206,1700
pan,9.206,1900
pan,9.206,2030
png,-6.6,1700
png,-6.6,1900
png,-6.6,2030
pry,-25.58,1700
pry,-25.58,1900
pry,-25.58,2030
per,-11.79,1700
per,-11.79,1900
per,-11.79,2030
phl,13.92,1700
phl,13.92,1900
phl,13.92,2030
pcn,-25.07,1700
pcn,-25.07,1900
pcn,-25.07,2030
pol,50.24,1700
pol,50.24,1900
pol,50.24,2030
prt,38.82,1700
prt,38.82,1900
prt,38.82,2030
pri,18.23,1700
pri,18.23,1900
pri,18.23,2030
qat,25.31,1700
qat,25.31,1900
qat,25.31,2030
reu,-20.95,1700
reu,-20.95,1900
reu,-20.95,2030
rou,44.53,1700
rou,44.53,1900
rou,44.53,2030
rus,55.67,1700
rus,55.67,1900
rus,55.67,2030
rwa,-2.032,1700
rwa,-2.032,1900
rwa,-2.032,2030
stbar,17.9,1700
stbar,17.9,1900
stbar,17.9,2030
shn,-15.95,1700
shn,-15.95,1900
shn,-15.95,2030
kna,17.33,1700
kna,17.33,1900
kna,17.33,2030
lca,13.9,1700
lca,13.9,1900
lca,13.9,2030
stmar,18.08,1700
stmar,18.08,1900
stmar,18.08,2030
vct,13.25,1700
vct,13.25,1900
vct,13.25,2030
spm,46.83,1700
spm,46.83,1900
spm,46.83,2030
wsm,-13.63,1700
wsm,-13.63,1900
wsm,-13.63,2030
smr,43.77,1700
smr,43.77,1900
smr,43.77,2030
stp,1.0,1700
stp,1.0,1900
stp,1.0,2030
sau,23.07,1700
sau,23.07,1900
sau,23.07,2030
sen,14.77,1700
sen,14.77,1900
sen,14.77,2030
srb,44.05,1700
srb,44.05,1900
srb,44.05,2030
syc,-4.664,1700
syc,-4.664,1900
syc,-4.664,2030
sle,8.701,1700
sle,8.701,1900
sle,8.701,2030
sgp,1.355,1700
sgp,1.355,1900
sgp,1.355,2030
svk,48.79,1700
svk,48.79,1900
svk,48.79,2030
svn,46.13,1700
svn,46.13,1900
svn,46.13,2030
slb,-9.625,1700
slb,-9.625,1900
slb,-9.625,2030
som,10.63,1700
som,10.63,1900
som,10.63,2030
zaf,-29.13,1700
zaf,-29.13,1900
zaf,-29.13,2030
esp,37.4,1700
esp,37.4,1900
esp,37.4,2030
lka,6.868,1700
lka,6.868,1900
lka,6.868,2030
sdn,14.04,1700
sdn,14.04,1900
sdn,14.04,2030
sur,5.605,1700
sur,5.605,1900
sur,5.605,2030
sjm,78.0,1700
sjm,78.0,1900
sjm,78.0,2030
swz,-26.55,1700
swz,-26.55,1900
swz,-26.55,2030
swe,59.28,1700
swe,59.28,1900
swe,59.28,2030
che,47.41,1700
che,47.41,1900
che,47.41,2030
syr,33.46,1700
syr,33.46,1900
syr,33.46,2030
twn,23.64,1700
twn,23.64,1900
twn,23.64,2030
tjk,37.81,1700
tjk,37.81,1900
tjk,37.81,2030
tza,-2.154,1700
tza,-2.154,1900
tza,-2.154,2030
tha,13.77,1700
tha,13.77,1900
tha,13.77,2030
tls,-8.833,1700
tls,-8.833,1900
tls,-8.833,2030
tgo,6.194,1700
tgo,6.194,1900
tgo,6.194,2030
tkl,-9.0,1700
tkl,-9.0,1900
tkl,-9.0,2030
ton,-21.17,1700
ton,-21.17,1900
ton,-21.17,2030
tto,10.42,1700
tto,10.42,1900
tto,10.42,2030
tun,36.82,1700
tun,36.82,1900
tun,36.82,2030
tur,41.2,1700
tur,41.2,1900
tur,41.2,2030
tkm,39.13,1700
tkm,39.13,1900
tkm,39.13,2030
tca,21.75,1700
tca,21.75,1900
tca,21.75,2030
tuv,-8.0,1700
tuv,-8.0,1900
tuv,-8.0,2030
uga,0.228,1700
uga,0.228,1900
uga,0.228,2030
ukr,50.28,1700
ukr,50.28,1900
ukr,50.28,2030
are,23.39,1700
are,23.39,1900
are,23.39,2030
gbr,51.51,1700
gbr,51.51,1900
gbr,51.51,2030
usa,34.36,1700
usa,34.36,1900
usa,34.36,2030
ury,-34.82,1700
ury,-34.82,1900
ury,-34.82,2030
uzb,41.27,1700
uzb,41.27,1900
uzb,41.27,2030
wlf,-13.3,1700
wlf,-13.3,1900
wlf,-13.3,2030
vut,-15.23,1700
vut,-15.23,1900
vut,-15.23,2030
ven,9.843,1700
ven,9.843,1900
ven,9.843,2030
pse,31.42,1700
pse,31.42,1900
pse,31.42,2030
esh,24.62,1700
esh,24.62,1900
esh,24.62,2030
vnm,10.8,1700
vnm,10.8,1900
vnm,10.8,2030
vir,17.74,1700
vir,17.74,1900
vir,17.74,2030
yem,15.23,1700
yem,15.23,1900
yem,15.23,2030
zmb,-12.94,1700
zmb,-12.94,1900
zmb,-12.94,2030
zwe,-17.88,1700
zwe,-17.88,1900
zwe,-17.88,2030
ala,60.0,1700
ala,60.0,1900
ala,60.0,2030
