geo,female_family_workers_percent_of_female_labour_force,time
dza,6.1,2001
dza,7.2,2003
dza,13.6,2004
asm,0.3,1990
aia,3.6,2001
atg,0.9,1991
arg,2.8,1996
arg,2.4,1997
arg,2.2,1998
arg,2.0,1999
arg,1.8,2000
arg,1.8,2001
arg,1.6,2002
arg,2.4,2003
arg,2.2,2004
arg,1.9,2005
arg,1.6,2006
abw,0.6,1991
abw,0.6,1994
aus,0.6,1980
aus,0.7,1981
aus,0.6,1982
aus,0.6,1983
aus,0.4,1984
aus,0.6,1985
aus,1.3,1986
aus,1.4,1987
aus,1.4,1988
aus,1.2,1989
aus,1.2,1990
aus,1.2,1991
aus,1.4,1992
aus,1.4,1993
aus,1.4,1994
aus,1.3,1995
aus,1.2,1996
aus,1.3,1997
aus,1.0,1998
aus,1.2,1999
aus,1.1,2000
aus,0.7,2001
aus,0.6,2002
aus,0.5,2003
aus,0.5,2004
aus,0.4,2005
aus,0.4,2006
aus,0.4,2007
aut,5.2,1994
aut,5.5,1995
aut,5.3,1996
aut,4.7,1997
aut,4.6,1998
aut,4.2,1999
aut,4.0,2000
aut,3.8,2001
aut,3.4,2002
aut,3.0,2003
aut,1.6,2004
aut,1.9,2005
aut,2.1,2006
aut,2.9,2007
aze,22.6,2003
aze,18.6,2004
aze,16.8,2005
aze,0.0,2006
aze,0.0,2007
bhs,0.6,1993
bhs,0.4,1994
bhs,1.0,1995
bhs,1.1,1996
bhs,0.2,1997
bhs,0.4,1998
bhs,0.4,1999
bhs,0.2,2001
bhs,0.7,2002
bhs,0.1,2003
bhs,0.5,2004
bgd,77.3,1996
bgd,73.2,2000
bgd,48.0,2003
bgd,60.1,2005
brb,0.6,1990
brb,0.4,1991
brb,0.2,1992
brb,0.2,1993
brb,0.0,1994
brb,0.0,1995
brb,0.4,1996
brb,0.0,1997
brb,0.0,1998
brb,0.0,1999
brb,0.2,2000
brb,0.2,2001
brb,0.0,2002
brb,0.0,2003
brb,0.2,2004
bel,8.0,1980
bel,8.1,1981
bel,8.2,1982
bel,8.3,1983
bel,8.4,1984
bel,8.3,1985
bel,8.3,1986
bel,8.2,1987
bel,8.0,1988
bel,8.1,1989
bel,8.0,1990
bel,8.1,1991
bel,8.1,1992
bel,8.3,1993
bel,7.9,1994
bel,7.8,1995
bel,7.6,1996
bel,7.2,1997
bel,6.7,1998
bel,6.4,1999
bel,3.4,2005
bel,2.9,2006
blz,2.6,1993
blz,4.8,1994
blz,4.3,1995
blz,4.1,1996
blz,4.2,1997
blz,4.7,1998
blz,3.5,1999
blz,4.3,2005
btn,51.7,2005
bol,8.3,1989
bol,6.7,1990
bol,8.8,1991
bol,8.0,1992
bol,11.8,1993
bol,12.6,1994
bol,15.1,1995
bol,14.9,1996
bol,14.2,1997
bol,12.6,1999
bol,11.1,2000
bol,35.1,2001
bol,34.8,2002
bih,11.0,2006
bwa,0.4,1984
bwa,6.8,1994
bwa,12.4,1998
bwa,17.3,2000
bwa,1.2,2001
bwa,2.2,2003
bra,9.4,1990
bra,11.9,1992
bra,11.8,1993
bra,11.4,1995
bra,10.3,1996
bra,9.8,2001
bra,9.8,2002
bra,9.3,2003
bra,9.1,2004
bra,9.0,2005
bra,8.1,2006
brn,0.6,1991
bgr,0.5,2001
bgr,2.6,2003
bgr,2.6,2004
bgr,2.2,2005
bgr,1.8,2006
bgr,1.6,2007
bfa,89.1,1985
bfa,87.3,1994
khm,59.0,2000
khm,53.3,2001
cmr,21.6,1996
cmr,27.2,2001
can,2.0,1980
can,2.1,1981
can,2.0,1982
can,1.8,1983
can,1.7,1984
can,1.8,1985
can,1.5,1986
can,1.4,1987
can,1.1,1988
can,1.0,1989
can,0.9,1990
can,0.9,1991
can,0.8,1992
can,0.9,1993
can,0.7,1994
can,0.7,1995
can,0.7,1996
can,0.7,1997
can,0.7,1998
can,0.5,1999
can,0.4,2000
can,0.3,2001
can,0.3,2002
can,0.3,2003
can,0.3,2004
can,0.2,2005
can,0.2,2006
can,0.2,2007
cpv,14.8,2000
tcd,44.4,1993
chl,3.9,1996
chl,4.2,1997
chl,3.9,1998
chl,3.7,1999
chl,3.8,2000
chl,3.5,2001
chl,3.5,2002
chl,3.3,2003
chl,3.4,2004
chl,3.2,2005
chl,3.0,2006
chl,2.8,2007
col,2.4,1992
col,2.1,1993
col,2.2,1994
col,1.7,1995
col,1.7,1996
col,1.8,1997
col,1.6,1998
col,2.5,1999
col,1.6,2000
col,7.1,2001
col,8.6,2002
col,8.5,2003
col,8.2,2004
col,7.7,2005
col,6.3,2006
col,6.1,2007
cri,3.8,1987
cri,4.9,1988
cri,3.7,1989
cri,6.3,1990
cri,4.9,1991
cri,3.8,1992
cri,4.2,1993
cri,3.7,1994
cri,5.0,1995
cri,3.9,1996
cri,4.1,1997
cri,4.0,1998
cri,4.2,1999
cri,3.3,2000
cri,3.6,2001
cri,3.6,2003
cri,3.5,2004
cri,3.5,2005
cri,3.2,2006
cri,2.8,2007
hrv,12.4,1996
hrv,11.5,1997
hrv,10.0,1998
hrv,9.0,1999
hrv,8.2,2000
hrv,7.8,2001
hrv,7.5,2002
hrv,6.3,2003
hrv,4.4,2004
hrv,4.0,2005
hrv,3.6,2006
hrv,3.7,2007
cyp,4.8,1999
cyp,6.8,2000
cyp,6.2,2001
cyp,6.1,2002
cyp,6.5,2003
cyp,5.8,2004
cyp,4.8,2005
cyp,3.6,2006
cyp,2.7,2007
cze,0.4,1993
cze,0.6,1994
cze,0.8,1995
cze,0.8,1996
cze,0.7,1997
cze,0.9,1998
cze,1.0,1999
cze,1.0,2000
cze,1.1,2001
cze,1.2,2002
cze,1.2,2003
cze,1.1,2004
cze,1.3,2005
cze,1.2,2006
cze,1.1,2007
dnk,6.6,1983
dnk,2.3,1995
dnk,1.9,1996
dnk,2.0,1997
dnk,2.0,1998
dnk,1.7,1999
dnk,1.7,2000
dnk,1.4,2001
dnk,1.3,2002
dnk,1.2,2003
dnk,1.5,2004
dnk,1.3,2005
dnk,1.1,2006
dnk,1.0,2007
dma,2.9,1991
dma,3.3,1997
dma,1.9,1999
dma,1.9,2001
dom,3.7,1991
dom,3.9,1992
dom,4.4,1993
dom,4.5,1994
dom,4.0,1995
dom,4.3,1996
dom,2.9,1997
dom,3.0,1998
dom,2.8,1999
dom,2.5,2000
dom,2.5,2001
dom,1.9,2002
dom,2.0,2003
dom,2.2,2004
dom,4.9,2005
ecu,7.0,1988
ecu,8.2,1989
ecu,11.3,1990
ecu,10.4,1991
ecu,11.6,1992
ecu,10.6,1993
ecu,11.0,1994
ecu,12.5,1995
ecu,10.9,1996
ecu,8.8,1997
ecu,10.7,1998
ecu,9.9,1999
ecu,10.3,2000
ecu,10.2,2001
ecu,8.6,2002
ecu,11.0,2004
ecu,9.4,2005
ecu,11.1,2006
egy,32.8,1993
egy,33.5,1994
egy,29.8,1995
egy,30.0,1997
egy,23.3,1998
egy,22.0,1999
egy,26.0,2000
egy,17.0,2001
egy,19.5,2002
egy,25.8,2003
egy,32.2,2004
egy,31.5,2005
egy,32.6,2006
slv,8.6,1993
slv,8.1,1994
slv,8.3,1995
slv,9.4,1996
slv,7.0,1997
slv,10.6,1998
slv,8.6,1999
slv,7.4,2000
slv,10.6,2001
slv,8.6,2002
slv,9.0,2003
slv,7.7,2004
slv,10.3,2005
slv,9.9,2006
gnq,76.5,1983
eri,0.5,1996
est,1.9,1989
est,2.3,1990
est,2.4,1991
est,2.8,1992
est,3.4,1993
est,3.2,1994
est,1.9,1995
est,2.0,1996
est,1.0,1997
est,1.0,1998
est,1.0,1999
est,0.9,2000
est,0.9,2001
est,0.6,2002
est,0.4,2003
est,0.5,2004
est,0.2,2005
est,0.0,2006
est,0.0,2007
eth,63.6,1999
eth,9.9,2004
eth,68.5,2005
eth,12.7,2006
fji,19.9,2005
fin,5.0,1980
fin,5.1,1981
fin,5.1,1982
fin,2.0,1983
fin,1.6,1984
fin,1.5,1985
fin,1.2,1986
fin,0.9,1987
fin,0.8,1988
fin,1.2,1989
fin,1.1,1990
fin,1.0,1991
fin,0.9,1992
fin,1.0,1993
fin,0.8,1994
fin,0.8,1995
fin,1.0,1996
fin,0.6,1997
fin,0.6,1998
fin,0.6,1999
fin,0.6,2000
fin,0.4,2001
fin,0.4,2002
fin,0.4,2003
fin,0.4,2004
fin,0.4,2005
fin,0.5,2006
fin,0.4,2007
fra,0.0,1980
fra,0.0,1981
fra,0.0,1982
fra,0.0,1983
fra,0.0,1984
fra,0.0,1985
fra,0.0,1986
fra,0.0,1987
fra,0.0,1988
fra,0.0,1989
fra,0.0,1990
fra,0.0,1991
fra,0.0,1992
fra,0.0,1993
fra,0.0,1994
fra,0.0,1995
fra,0.0,1996
fra,0.0,1997
fra,0.0,1998
fra,0.0,1999
fra,0.0,2000
fra,0.0,2001
fra,0.0,2002
fra,1.9,2003
fra,1.7,2004
fra,1.6,2005
fra,1.4,2006
fra,1.0,2007
gab,5.3,1993
geo,40.2,1998
geo,40.2,1999
geo,36.7,2000
geo,40.2,2001
geo,37.1,2002
geo,38.8,2003
geo,37.6,2004
geo,39.0,2005
deu,7.6,1980
deu,7.2,1981
deu,6.8,1982
deu,6.5,1983
deu,2.8,1991
deu,2.9,1992
deu,2.7,1993
deu,2.6,1994
deu,2.6,1995
deu,2.0,1996
deu,1.8,1997
deu,1.9,1998
deu,1.5,1999
