geo,sugar_per_person_g_per_day,time
aut,115.1,1962
aut,109.6,1963
aut,106.8,1964
aut,112.3,1965
aut,109.6,1966
aut,106.8,1967
aut,115.1,1968
aut,98.63,1969
aut,112.3,1970
aut,112.3,1971
aut,109.6,1972
aut,123.3,1973
aut,126.0,1974
aut,104.1,1975
aut,112.3,1976
aut,112.3,1977
aut,112.3,1978
aut,112.3,1979
aut,123.3,1980
aut,117.8,1981
aut,120.5,1982
aut,112.3,1983
aut,112.3,1984
aut,106.8,1985
aut,109.6,1986
aut,109.6,1987
aut,117.8,1988
aut,115.1,1989
aut,117.8,1990
aut,117.8,1991
aut,117.8,1992
aut,115.1,1993
aut,131.5,1994
aut,128.8,1995
aut,128.8,1996
aut,126.0,1997
aut,123.3,1998
aut,123.3,1999
aut,126.0,2000
aut,123.3,2001
aut,120.5,2002
aut,123.3,2003
aut,123.3,2004
aze,35.62,1992
aze,30.14,1993
aze,30.14,1994
aze,32.88,1995
aze,35.62,1996
aze,41.1,1997
aze,38.36,1998
aze,32.88,1999
aze,27.4,2000
aze,32.88,2001
aze,46.58,2002
aze,43.84,2003
aze,43.84,2004
bhs,93.15,1961
bhs,93.15,1962
bhs,87.67,1963
bhs,95.89,1964
bhs,98.63,1965
bhs,98.63,1966
bhs,98.63,1967
bhs,109.6,1968
bhs,131.5,1969
bhs,126.0,1970
bhs,117.8,1971
bhs,115.1,1972
bhs,104.1,1973
bhs,95.89,1974
bhs,101.4,1975
bhs,101.4,1976
bhs,112.3,1977
bhs,123.3,1978
bhs,117.8,1979
bhs,139.7,1980
bhs,128.8,1981
bhs,137.0,1982
bhs,126.0,1983
bhs,134.2,1984
bhs,147.9,1985
bhs,117.8,1986
bhs,115.1,1987
bhs,131.5,1988
bhs,139.7,1989
bhs,134.2,1990
bhs,123.3,1991
bhs,117.8,1992
bhs,109.6,1993
bhs,106.8,1994
bhs,126.0,1995
bhs,131.5,1996
bhs,117.8,1997
bhs,120.5,1998
bhs,117.8,1999
bhs,117.8,2000
bhs,112.3,2001
bhs,104.1,2002
bhs,126.0,2003
bhs,126.0,2004
bgd,24.66,1961
bgd,27.4,1962
bgd,27.4,1963
bgd,30.14,1964
bgd,32.88,1965
bgd,41.1,1966
bgd,41.1,1967
bgd,38.36,1968
bgd,41.1,1969
bgd,35.62,1970
bgd,32.88,1971
bgd,27.4,1972
bgd,27.4,1973
bgd,27.4,1974
bgd,24.66,1975
bgd,24.66,1976
bgd,24.66,1977
bgd,21.92,1978
bgd,21.92,1979
bgd,21.92,1980
bgd,21.92,1981
bgd,21.92,1982
bgd,21.92,1983
bgd,21.92,1984
bgd,19.18,1985
bgd,21.92,1986
bgd,21.92,1987
bgd,21.92,1988
bgd,21.92,1989
bgd,21.92,1990
bgd,19.18,1991
bgd,19.18,1992
bgd,19.18,1993
bgd,19.18,1994
bgd,16.44,1995
bgd,16.44,1996
bgd,19.18,1997
bgd,19.18,1998
bgd,16.44,1999
bgd,16.44,2000
bgd,19.18,2001
bgd,13.7,2002
bgd,16.44,2003
bgd,16.44,2004
brb,142.5,1961
brb,142.5,1962
brb,145.2,1963
brb,142.5,1964
brb,142.5,1965
brb,145.2,1966
brb,142.5,1967
brb,142.5,1968
brb,137.0,1969
brb,142.5,1970
brb,158.9,1971
brb,142.5,1972
brb,156.2,1973
brb,161.6,1974
brb,164.4,1975
brb,167.1,1976
brb,167.1,1977
brb,169.9,1978
brb,175.3,1979
brb,178.1,1980
brb,189.0,1981
brb,178.1,1982
brb,186.3,1983
brb,164.4,1984
brb,161.6,1985
brb,164.4,1986
brb,156.2,1987
brb,164.4,1988
brb,150.7,1989
brb,142.5,1990
brb,123.3,1991
brb,137.0,1992
brb,126.0,1993
brb,137.0,1994
brb,137.0,1995
brb,156.2,1996
brb,158.9,1997
brb,145.2,1998
brb,147.9,1999
brb,147.9,2000
brb,150.7,2001
brb,156.2,2002
brb,156.2,2003
brb,156.2,2004
blr,98.63,1992
blr,95.89,1993
blr,79.45,1994
blr,104.1,1995
blr,104.1,1996
blr,115.1,1997
blr,120.5,1998
blr,87.67,1999
blr,104.1,2000
blr,109.6,2001
blr,106.8,2002
blr,90.41,2003
blr,90.41,2004
bel,73.97,1961
bel,73.97,1962
bel,95.89,1963
bel,87.67,1964
bel,79.45,1965
bel,98.63,1966
bel,101.4,1967
bel,93.15,1968
bel,101.4,1969
bel,101.4,1970
bel,95.89,1971
bel,79.45,1972
bel,101.4,1973
bel,101.4,1974
bel,98.63,1975
bel,106.8,1976
bel,98.63,1977
bel,95.89,1978
bel,93.15,1979
bel,101.4,1980
bel,101.4,1981
bel,106.8,1982
bel,106.8,1983
bel,101.4,1984
bel,106.8,1985
bel,109.6,1986
bel,109.6,1987
bel,115.1,1988
bel,115.1,1989
bel,120.5,1990
bel,120.5,1991
bel,123.3,1992
bel,120.5,1993
bel,123.3,1994
bel,123.3,1995
bel,131.5,1996
bel,131.5,1997
bel,139.7,1998
bel,139.7,1999
bel,161.6,2000
bel,156.2,2001
bel,147.9,2002
bel,150.7,2003
bel,150.7,2004
blz,71.23,1961
blz,71.23,1962
blz,76.71,1963
blz,82.19,1964
blz,84.93,1965
blz,87.67,1966
blz,93.15,1967
blz,98.63,1968
blz,104.1,1969
blz,106.8,1970
blz,112.3,1971
blz,117.8,1972
blz,123.3,1973
blz,128.8,1974
blz,120.5,1975
blz,117.8,1976
blz,134.2,1977
blz,153.4,1978
blz,147.9,1979
blz,139.7,1980
blz,145.2,1981
blz,123.3,1982
blz,117.8,1983
blz,126.0,1984
blz,109.6,1985
blz,104.1,1986
blz,112.3,1987
blz,112.3,1988
blz,131.5,1989
blz,131.5,1990
blz,128.8,1991
blz,128.8,1992
blz,142.5,1993
blz,161.6,1994
blz,161.6,1995
blz,161.6,1996
blz,161.6,1997
blz,158.9,1998
blz,156.2,1999
blz,147.9,2000
blz,134.2,2001
blz,134.2,2002
blz,137.0,2003
blz,137.0,2004
ben,5.48,1961
ben,8.22,1962
ben,8.22,1963
ben,5.48,1964
ben,5.48,1965
ben,5.48,1966
ben,8.22,1967
ben,8.22,1968
ben,8.22,1969
ben,8.22,1970
ben,8.22,1971
ben,8.22,1972
ben,8.22,1973
ben,5.48,1974
ben,0.0,1975
ben,0.0,1976
ben,0.0,1977
ben,0.0,1978
ben,2.74,1979
ben,0.0,1980
ben,0.0,1981
ben,0.0,1982
ben,0.0,1983
ben,2.74,1984
ben,5.48,1985
ben,5.48,1986
ben,5.48,1987
ben,5.48,1988
ben,8.22,1989
ben,8.22,1990
ben,13.7,1991
ben,10.96,1992
ben,16.44,1993
ben,24.66,1994
ben,21.92,1995
ben,16.44,1996
ben,13.7,1997
ben,13.7,1998
ben,19.18,1999
ben,13.7,2000
ben,13.7,2001
ben,16.44,2002
ben,16.44,2003
ben,16.44,2004
bmu,115.1,1961
bmu,115.1,1962
bmu,95.89,1963
bmu,117.8,1964
bmu,112.3,1965
bmu,106.8,1966
bmu,109.6,1967
bmu,123.3,1968
bmu,104.1,1969
bmu,112.3,1970
bmu,112.3,1971
bmu,142.5,1972
bmu,106.8,1973
bmu,115.1,1974
bmu,79.45,1975
bmu,90.41,1976
bmu,79.45,1977
bmu,82.19,1978
bmu,79.45,1979
bmu,82.19,1980
bmu,93.15,1981
bmu,87.67,1982
bmu,84.93,1983
bmu,84.93,1984
bmu,90.41,1985
bmu,84.93,1986
bmu,84.93,1987
bmu,73.97,1988
bmu,76.71,1989
bmu,79.45,1990
bmu,79.45,1991
bmu,73.97,1992
bmu,76.71,1993
bmu,109.6,1994
bmu,117.8,1995
bmu,120.5,1996
bmu,126.0,1997
bmu,128.8,1998
bmu,139.7,1999
bmu,131.5,2000
bmu,106.8,2001
bmu,101.4,2002
bmu,104.1,2003
bmu,104.1,2004
bol,52.06,1961
bol,54.8,1962
bol,54.8,1963
bol,57.53,1964
bol,63.01,1965
bol,63.01,1966
bol,68.49,1967
bol,68.49,1968
bol,71.23,1969
bol,76.71,1970
bol,82.19,1971
bol,79.45,1972
bol,71.23,1973
bol,68.49,1974
bol,71.23,1975
bol,79.45,1976
bol,87.67,1977
bol,93.15,1978
bol,104.1,1979
bol,87.67,1980
bol,82.19,1981
bol,90.41,1982
bol,82.19,1983
bol,79.45,1984
bol,71.23,1985
bol,76.71,1986
bol,76.71,1987
bol,76.71,1988
bol,76.71,1989
bol,82.19,1990
bol,73.97,1991
bol,79.45,1992
bol,79.45,1993
bol,79.45,1994
bol,79.45,1995
bol,76.71,1996
bol,76.71,1997
bol,76.71,1998
bol,76.71,1999
bol,76.71,2000
bol,79.45,2001
bol,76.71,2002
bol,76.71,2003
bol,76.71,2004
bih,43.84,1992
bih,41.1,1993
bih,13.7,1994
bih,13.7,1995
bih,27.4,1996
bih,32.88,1997
bih,38.36,1998
bih,41.1,1999
bih,49.32,2000
bih,68.49,2001
bih,68.49,2002
bih,73.97,2003
bih,73.97,2004
bwa,46.58,1961
bwa,43.84,1962
bwa,43.84,1963
bwa,43.84,1964
bwa,43.84,1965
bwa,43.84,1966
bwa,41.1,1967
bwa,41.1,1968
bwa,43.84,1969
bwa,43.84,1970
bwa,43.84,1971
bwa,43.84,1972
bwa,41.1,1973
bwa,43.84,1974
bwa,43.84,1975
bwa,46.58,1976
bwa,35.62,1977
bwa,43.84,1978
bwa,46.58,1979
bwa,54.8,1980
bwa,60.27,1981
bwa,63.01,1982
bwa,63.01,1983
bwa,63.01,1984
bwa,60.27,1985
bwa,63.01,1986
bwa,65.75,1987
bwa,68.49,1988
bwa,65.75,1989
bwa,65.75,1990
bwa,76.71,1991
bwa,79.45,1992
bwa,68.49,1993
bwa,65.75,1994
bwa,63.01,1995
bwa,60.27,1996
bwa,65.75,1997
bwa,65.75,1998
bwa,65.75,1999
bwa,65.75,2000
bwa,65.75,2001
bwa,65.75,2002
bwa,68.49,2003
bwa,68.49,2004
bra,112.3,1961
bra,115.1,1962
bra,109.6,1963
bra,104.1,1964
bra,112.3,1965
bra,98.63,1966
bra,101.4,1967
bra,112.3,1968
bra,112.3,1969
bra,112.3,1970
bra,109.6,1971
bra,117.8,1972
bra,117.8,1973
bra,126.0,1974
bra,131.5,1975
bra,128.8,1976
bra,126.0,1977
bra,128.8,1978
bra,142.5,1979
bra,145.2,1980
bra,131.5,1981
bra,134.2,1982
bra,128.8,1983
bra,131.5,1984
bra,126.0,1985
bra,134.2,1986
bra,131.5,1987
bra,128.8,1988
bra,131.5,1989
bra,131.5,1990
bra,128.8,1991
bra,137.0,1992
bra,137.0,1993
bra,142.5,1994
bra,145.2,1995
bra,153.4,1996
bra,156.2,1997
bra,156.2,1998
bra,153.4,1999
bra,153.4,2000
bra,156.2,2001
bra,150.7,2002
bra,153.4,2003
bra,153.4,2004
brn,93.15,1961
brn,98.63,1962
brn,93.15,1963
brn,112.3,1964
brn,104.1,1965
brn,109.6,1966
brn,112.3,1967
brn,115.1,1968
brn,109.6,1969
brn,109.6,1970
brn,120.5,1971
brn,123.3,1972
brn,109.6,1973
brn,115.1,1974
brn,109.6,1975
brn,106.8,1976
brn,109.6,1977
brn,126.0,1978
brn,106.8,1979
brn,120.5,1980
brn,95.89,1981
brn,112.3,1982
brn,142.5,1983
brn,131.5,1984
brn,131.5,1985
brn,101.4,1986
brn,112.3,1987
brn,109.6,1988
brn,104.1,1989
brn,93.15,1990
brn,106.8,1991
brn,117.8,1992
brn,112.3,1993
brn,115.1,1994
brn,112.3,1995
brn,101.4,1996
brn,90.41,1997
brn,82.19,1998
brn,84.93,1999
brn,84.93,2000
brn,104.1,2001
brn,95.89,2002
brn,106.8,2003
brn,106.8,2004
bgr,54.8,1961
bgr,54.8,1962
bgr,57.53,1963
bgr,68.49,1964
bgr,65.75,1965
bgr,76.71,1966
bgr,73.97,1967
bgr,87.67,1968
bgr,95.89,1969
bgr,98.63,1970
bgr,98.63,1971
bgr,93.15,1972
bgr,98.63,1973
bgr,98.63,1974
bgr,95.89,1975
bgr,104.1,1976
bgr,101.4,1977
bgr,104.1,1978
bgr,101.4,1979
bgr,104.1,1980
bgr,104.1,1981
bgr,104.1,1982
bgr,106.8,1983
bgr,106.8,1984
bgr,104.1,1985
bgr,106.8,1986
bgr,106.8,1987
bgr,106.8,1988
bgr,101.4,1989
bgr,79.45,1990
bgr,71.23,1991
bgr,90.41,1992
bgr,87.67,1993
bgr,79.45,1994
bgr,82.19,1995
bgr,76.71,1996
bgr,76.71,1997
bgr,76.71,1998
bgr,82.19,1999
bgr,76.71,2000
bgr,79.45,2001
bgr,79.45,2002
bgr,79.45,2003
bgr,79.45,2004
bfa,2.74,1961
bfa,5.48,1962
bfa,5.48,1963
bfa,2.74,1964
bfa,2.74,1965
bfa,2.74,1966
bfa,2.74,1967
bfa,5.48,1968
bfa,5.48,1969
bfa,5.48,1970
bfa,5.48,1971
bfa,8.22,1972
bfa,2.74,1973
bfa,2.74,1974
bfa,2.74,1975
bfa,5.48,1976
bfa,8.22,1977
bfa,10.96,1978
bfa,10.96,1979
bfa,10.96,1980
bfa,10.96,1981
bfa,10.96,1982
bfa,8.22,1983
bfa,10.96,1984
bfa,10.96,1985
bfa,10.96,1986
bfa,8.22,1987
bfa,5.48,1988
bfa,8.22,1989
bfa,8.22,1990
bfa,8.22,1991
bfa,8.22,1992
bfa,8.22,1993
bfa,8.22,1994
bfa,8.22,1995
bfa,13.7,1996
bfa,13.7,1997
bfa,10.96,1998
bfa,13.7,1999
bfa,8.22,2000
bfa,10.96,2001
bfa,13.7,2002
bfa,16.44,2003
bfa,16.44,2004
bdi,0.0,1961
bdi,0.0,1962
bdi,0.0,1963
bdi,0.0,1964
bdi,0.0,1965
bdi,0.0,1966
bdi,0.0,1967
bdi,0.0,1968
bdi,0.0,1969
bdi,0.0,1970
bdi,0.0,1971
bdi,0.0,1972
bdi,0.0,1973
bdi,0.0,1974
bdi,0.0,1975
bdi,0.0,1976
bdi,0.0,1977
bdi,2.74,1978
bdi,2.74,1979
bdi,2.74,1980
bdi,2.74,1981
bdi,5.48,1982
bdi,2.74,1983
bdi,5.48,1984
bdi,5.48,1985
bdi,8.22,1986
bdi,8.22,1987
bdi,8.22,1988
bdi,8.22,1989
bdi,8.22,1990
bdi,8.22,1991
bdi,8.22,1992
bdi,8.22,1993
bdi,8.22,1994
bdi,8.22,1995
bdi,8.22,1996
bdi,8.22,1997
bdi,10.96,1998
bdi,10.96,1999
bdi,10.96,2000
bdi,5.48,2001
bdi,8.22,2002
bdi,5.48,2003
bdi,5.48,2004
khm,27.4,1961
khm,27.4,1962
khm,24.66,1963
khm,30.14,1964
khm,32.88,1965
khm,32.88,1966
khm,32.88,1967
khm,35.62,1968
khm,30.14,1969
khm,24.66,1970
khm,24.66,1971
khm,19.18,1972
khm,19.18,1973
khm,16.44,1974
khm,13.7,1975
khm,13.7,1976
khm,13.7,1977
khm,10.96,1978
khm,10.96,1979
khm,10.96,1980
khm,8.22,1981
khm,2.74,1982
khm,2.74,1983
khm,5.48,1984
khm,5.48,1985
khm,5.48,1986
khm,2.74,1987
khm,5.48,1988
khm,2.74,1989
khm,5.48,1990
khm,5.48,1991
khm,8.22,1992
khm,2.74,1993
khm,2.74,1994
khm,2.74,1995
khm,8.22,1996
khm,10.96,1997
khm,13.7,1998
khm,16.44,1999
khm,19.18,2000
khm,19.18,2001
khm,21.92,2002
khm,24.66,2003
khm,24.66,2004
cmr,2.74,1961
cmr,2.74,1962
cmr,2.74,1963
cmr,2.74,1964
cmr,5.48,1965
cmr,5.48,1966
cmr,5.48,1967
cmr,5.48,1968
cmr,8.22,1969
cmr,10.96,1970
cmr,10.96,1971
cmr,10.96,1972
cmr,10.96,1973
cmr,13.7,1974
cmr,13.7,1975
