geo,patents_granted_total,time
alb,52,1999
alb,203,2000
alb,502,2001
dza,592,1990
dza,617,1991
dza,83,1992
dza,118,1995
dza,863,1997
dza,111,2002
arg,1677,1984
arg,598,1986
arg,2575,1987
arg,1815,1988
arg,406,1991
arg,663,1992
arg,3479,1993
arg,2130,1994
arg,1004,1995
arg,1792,1996
arg,1228,1997
arg,1689,1998
arg,1241,1999
arg,1587,2000
arm,127,1996
arm,143,1997
arm,85,1998
arm,205,1999
arm,168,2000
arm,185,2001
arm,151,2002
abw,3,2002
aus,7252,1984
aus,7105,1985
aus,7738,1986
aus,10640,1987
aus,11040,1988
aus,11530,1989
aus,12680,1990
aus,12640,1991
aus,12900,1992
aus,12730,1993
aus,11660,1994
aus,9672,1995
aus,8987,1996
aus,9464,1997
aus,14780,1998
aus,13530,1999
aus,13920,2000
aus,13980,2001
aus,14500,2002
aut,8565,1984
aut,8742,1985
aut,10020,1986
aut,9577,1987
aut,10550,1988
aut,11780,1989
aut,12580,1990
aut,13350,1991
aut,14960,1992
aut,16790,1993
aut,18710,1994
aut,17560,1995
aut,16080,1996
aut,16020,1997
aut,14960,1998
aut,14350,1999
aut,11270,2000
aut,14330,2001
aut,20390,2002
aze,9,1995
aze,81,1996
aze,19,1998
bhs,34,1984
bhs,66,1985
bhs,35,1986
bhs,36,1988
bhs,31,1992
bhr,58,1984
bhr,31,1985
bhr,17,1986
bhr,26,1992
bgd,113,1984
bgd,118,1985
bgd,107,1986
bgd,89,1987
bgd,75,1988
bgd,91,1989
bgd,94,1990
bgd,78,1991
bgd,61,1992
bgd,76,1993
bgd,98,1994
bgd,80,1995
bgd,140,1998
brb,41,1984
brb,15,1985
brb,3,1999
blr,237,1993
blr,405,1994
blr,633,1995
blr,409,1996
blr,483,1997
blr,687,1998
blr,550,1999
blr,537,2000
blr,529,2001
blr,691,2002
bel,2764,1984
bel,10080,1985
bel,11900,1986
bel,9336,1987
bel,10440,1988
bel,12590,1989
bel,13170,1990
bel,14290,1991
bel,17030,1992
bel,19070,1993
bel,20680,1994
bel,19480,1995
bel,18140,1996
bel,17670,1997
bel,16090,1998
bel,15800,1999
bel,12120,2000
bel,15080,2001
bel,20780,2002
blz,1,1988
bol,56,1984
bol,62,1985
bol,1,1993
bol,59,1994
bol,47,1995
bih,5,1999
bih,1,2000
bwa,5,1987
bwa,18,1988
bwa,25,1989
bwa,29,1990
bwa,39,1991
bwa,29,1992
bwa,42,1993
bwa,59,1994
bwa,47,1995
bwa,107,1996
bwa,32,1997
bwa,21,1998
bwa,26,1999
bwa,43,2000
bwa,33,2001
bra,4887,1984
bra,3934,1985
bra,2935,1986
bra,2184,1987
bra,3040,1988
bra,3510,1989
bra,3355,1990
bra,2419,1991
bra,1822,1992
bra,2649,1993
bra,2469,1994
bra,2659,1995
bra,1487,1996
bra,3219,1999
bra,3589,2001
bra,4740,2002
brn,251,1993
bgr,141,1984
bgr,1939,1985
bgr,2406,1986
bgr,2785,1987
bgr,2102,1988
bgr,1946,1989
bgr,1468,1990
bgr,417,1991
bgr,394,1992
bgr,1,1993
bgr,280,1994
bgr,375,1995
bgr,530,1996
bgr,448,1997
bgr,534,1998
bgr,533,1999
bgr,481,2000
bgr,425,2001
bgr,376,2002
bdi,7,1984
bdi,2,1986
bdi,2,1989
bdi,2,1990
bdi,2,1992
bdi,4,1994
bdi,1,1995
bdi,5,1996
can,20540,1984
can,18700,1985
can,17550,1986
can,14650,1987
can,16810,1988
can,16300,1989
can,14190,1990
can,15470,1991
can,18330,1992
can,14580,1993
can,11640,1994
can,9139,1995
can,7145,1996
can,7283,1997
can,9572,1998
can,13780,1999
can,12120,2000
can,12020,2001
can,12950,2002
chl,672,1984
chl,455,1985
chl,421,1986
chl,295,1987
chl,445,1988
chl,610,1989
chl,607,1990
chl,506,1991
chl,460,1992
chl,127,1994
chl,133,1995
chl,181,1996
chl,418,1999
chl,601,2000
chn,44,1985
chn,56,1986
chn,422,1987
chn,1025,1988
chn,2303,1989
chn,4122,1991
chn,3966,1992
chn,6556,1993
chn,3883,1994
chn,3393,1995
chn,2976,1996
chn,3494,1997
chn,4735,1998
chn,7637,1999
chn,13360,2000
chn,16300,2001
chn,21470,2002
hkg,1010,1984
hkg,1030,1985
hkg,1010,1986
hkg,1020,1987
hkg,1070,1988
hkg,1030,1989
hkg,1095,1990
hkg,1079,1991
hkg,1069,1992
hkg,1438,1993
hkg,1500,1994
hkg,1960,1995
hkg,2205,1996
hkg,1487,1997
hkg,2453,1998
hkg,2502,1999
hkg,2737,2000
hkg,1146,2001
hkg,2176,2002
mac,2,1993
mac,4,1994
mac,2,1995
mac,4,1996
mac,19,1997
mac,4,1998
mac,9,1999
mac,1,2000
col,539,1984
col,169,1985
col,98,1986
col,424,1987
col,538,1988
col,662,1989
col,425,1991
col,248,1992
col,280,1993
col,690,1994
col,365,1995
col,370,1996
col,476,1998
col,590,1999
col,595,2000
col,363,2001
col,372,2002
cri,18,1986
cri,13,1987
cri,5,1988
cri,6,1989
cri,12,1990
cri,6,1993
hrv,25,1995
hrv,281,1996
hrv,119,1997
hrv,244,1998
hrv,275,1999
hrv,379,2000
hrv,289,2001
hrv,286,2002
cub,140,1984
cub,149,1985
cub,102,1986
cub,97,1987
cub,73,1988
cub,50,1989
cub,57,1990
cub,3,1991
cub,11,1992
cub,12,1993
cub,132,1994
cub,77,1995
cub,50,1996
cub,50,1997
cub,70,1999
cyp,56,1984
cyp,43,1985
cyp,29,1986
cyp,71,1987
cyp,48,1988
cyp,43,1990
cyp,54,1991
cyp,57,1992
cyp,3,1999
cyp,23,2000
cyp,660,2001
cyp,4332,2002
cze,860,1993
cze,725,1994
cze,1299,1995
cze,1290,1996
cze,1477,1997
cze,1451,1998
cze,1482,1999
cze,1611,2000
cze,1719,2001
cze,1805,2002
cheslo,900,1984
cheslo,7845,1985
cheslo,6983,1986
cheslo,6979,1987
cheslo,6805,1988
cheslo,5990,1989
cheslo,5089,1990
cheslo,1401,1991
cheslo,1751,1992
cod,93,1984
cod,85,1986
cod,74,1988
cod,55,1994
cod,18,1995
cod,14,1996
dnk,1089,1984
dnk,1054,1985
dnk,958,1986
dnk,1129,1987
dnk,2815,1988
dnk,2616,1989
dnk,2376,1990
dnk,2609,1991
dnk,3773,1992
dnk,6629,1993
dnk,9723,1994
dnk,11350,1995
dnk,11490,1996
dnk,12100,1997
dnk,11020,1998
dnk,10750,1999
dnk,8484,2000
dnk,10620,2001
dnk,16470,2002
dom,125,1986
ecu,92,1984
ecu,154,1986
ecu,46,1987
ecu,84,1988
ecu,70,1989
ecu,102,1991
ecu,60,1992
ecu,45,1993
ecu,32,1994
ecu,90,1995
ecu,159,1996
ecu,212,1997
ecu,142,1999
ecu,21,2002
egy,220,1984
egy,298,1985
egy,363,1986
egy,235,1987
egy,122,1988
egy,214,1989
egy,306,1990
egy,403,1991
egy,290,1992
egy,341,1993
egy,568,1994
egy,346,1995
egy,250,1996
egy,118,1998
egy,410,1999
egy,453,2000
egy,430,2001
egy,757,2002
slv,77,1984
slv,70,1985
slv,6,1989
slv,12,1990
slv,6,1991
slv,24,1992
slv,61,1993
slv,78,1994
slv,61,1995
est,22,1996
est,108,1997
est,82,1998
est,103,1999
est,84,2000
est,257,2001
est,358,2002
eth,1,1999
eth,1,2000
fji,15,1985
fji,12,1986
fin,2204,1984
fin,2161,1985
fin,2175,1986
fin,2672,1987
fin,2690,1988
fin,2512,1989
fin,2467,1990
fin,2683,1991
fin,2695,1992
fin,2721,1993
fin,2563,1994
fin,2347,1995
fin,2302,1996
fin,2315,1997
fin,2329,1998
fin,1618,1999
fin,2557,2000
fin,5362,2001
fin,11590,2002
fra,23670,1984
fra,37530,1985
fra,35550,1986
fra,30410,1987
fra,31960,1988
fra,32880,1989
fra,35150,1990
fra,35580,1991
fra,38220,1992
fra,44290,1993
fra,54960,1994
fra,55680,1995
fra,49240,1996
fra,50450,1997
fra,46210,1998
fra,44290,1999
fra,36400,2000
fra,42960,2001
fra,53420,2002
gmb,3,1987
gmb,14,1988
gmb,22,1989
gmb,25,1990
gmb,35,1991
gmb,26,1992
gmb,34,1993
gmb,56,1994
gmb,45,1995
gmb,98,1996
gmb,29,1997
gmb,18,1998
gmb,26,1999
gmb,51,2000
gmb,53,2001
geo,19,1993
geo,173,1994
geo,119,1995
geo,327,1996
geo,318,1997
geo,536,1998
geo,398,1999
geo,451,2000
geo,268,2001
geo,256,2002
deu_east,11540,1984
deu_east,12700,1985
deu_east,10490,1986
deu_east,10740,1987
deu_east,10470,1988
deu_east,11320,1989
deu_east,8372,1990
deu,43190,1991
deu,46520,1992
deu,52010,1993
deu,57800,1994
deu,56630,1995
deu,55440,1996
deu,55050,1997
deu,51680,1998
deu,49550,1999
deu,41580,2000
deu,48210,2001
deu,61150,2002
deu_west,21760,1984
deu_west,33380,1985
deu_west,39000,1986
deu_west,39900,1987
deu_west,38890,1988
deu_west,42230,1989
deu_west,42860,1990
gha,15,1984
gha,1,1985
gha,16,1986
gha,21,1987
gha,31,1988
gha,33,1989
gha,45,1990
gha,37,1991
gha,24,1992
gha,31,1993
gha,58,1994
gha,46,1995
gha,96,1996
gha,29,1997
gha,13,1998
gha,17,1999
gha,64,2000
gha,65,2001
grc,9153,1984
grc,3225,1985
grc,3254,1986
grc,2035,1987
grc,385,1988
grc,503,1989
grc,1975,1990
grc,3688,1991
grc,6361,1992
grc,7835,1993
grc,8830,1994
grc,8948,1995
grc,8603,1996
grc,8555,1997
grc,7857,1998
grc,7598,1999
grc,6059,2000
grc,7870,2001
grc,13240,2002
gtm,66,1984
gtm,331,1985
gtm,53,1986
gtm,126,1987
gtm,93,1988
gtm,11,1989
gtm,72,1990
gtm,123,1991
gtm,65,1992
gtm,19,1993
gtm,37,1994
gtm,3,1995
gtm,8,1996
gtm,15,1997
gtm,17,1998
gtm,36,1999
gtm,23,2000
gtm,6,2001
guy,7,1984
guy,22,1985
guy,12,1986
guy,3,1987
guy,11,1988
guy,7,1989
guy,3,1990
hti,9,1984
hti,9,1985
hti,6,1986
hti,16,1987
hti,12,1988
hti,8,1991
hti,3,1995
hti,15,1996
hti,7,1999
hnd,13,1984
hnd,19,1985
hnd,60,1987
hnd,32,1988
hnd,19,1990
hnd,24,1992
hnd,4,1995
hnd,55,1996
hnd,58,1998
hnd,77,1999
hnd,63,2000
hnd,238,2001
hnd,146,2002
hun,2866,1984
hun,2095,1985
hun,3733,1986
hun,3056,1987
hun,2767,1988
hun,2405,1989
hun,2619,1990
hun,2305,1991
hun,2112,1992
hun,1409,1993
hun,1144,1994
hun,1910,1995
hun,1030,1996
hun,1189,1997
hun,1257,1998
hun,1881,1999
hun,1605,2000
hun,1445,2001
hun,1386,2002
isl,37,1984
isl,21,1985
isl,46,1986
isl,44,1987
isl,24,1988
isl,80,1989
isl,37,1990
isl,30,1991
isl,48,1992
isl,6,1993
isl,37,1994
isl,11,1995
isl,58,1996
isl,41,1997
isl,35,1998
isl,27,1999
isl,16,2000
isl,42,2001
isl,42,2002
ind,1491,1984
ind,1814,1985
ind,1994,1986
ind,2027,1987
ind,3454,1988
ind,1986,1989
ind,1611,1990
ind,1572,1991
ind,1469,1992
ind,1551,1993
ind,1735,1994
ind,1613,1995
ind,1020,1996
ind,1711,1998
ind,2160,1999
idn,67,1994
idn,631,1996
irn,163,1984
irn,339,1985
irn,129,1986
irn,106,1987
irn,76,1988
irn,179,1989
irn,299,1990
irn,286,1991
irn,205,1992
irn,149,1993
irn,253,1994
irn,166,1995
irn,258,1997
irn,241,1998
irn,322,1999
irn,448,2000
irn,881,2001
irq,94,1984
irq,103,1985
irq,54,1986
irq,123,1987
irq,132,1988
irq,101,1989
irq,66,1992
irq,63,1993
irq,33,1994
irq,32,1995
irq,46,1996
irl,1152,1984
irl,1042,1985
irl,1433,1986
irl,1036,1987
irl,737,1988
irl,925,1989
irl,852,1990
irl,860,1991
irl,764,1992
irl,1574,1993
irl,3169,1994
irl,4329,1995
irl,4602,1996
irl,6889,1997
irl,7088,1998
irl,7288,1999
irl,5916,2000
irl,8472,2001
irl,14200,2002
isr,1746,1984
isr,1636,1985
isr,1825,1986
isr,1687,1987
isr,1667,1988
isr,1656,1989
isr,1641,1990
isr,2346,1991
isr,2681,1992
isr,2198,1993
isr,2300,1994
isr,2029,1995
isr,2133,1996
isr,2152,1997
isr,2021,1998
isr,2024,1999
isr,2033,2000
isr,1833,2001
isr,1474,2002
ita,1900,1984
ita,47920,1985
ita,52490,1986
ita,45590,1987
ita,25200,1988
ita,15830,1989
ita,17790,1990
ita,19500,1991
ita,27230,1992
ita,32510,1993
ita,37100,1994
ita,29900,1995
ita,37940,1996
ita,28100,1997
ita,38990,1998
ita,32480,1999
ita,24940,2000
ita,25130,2001
ita,34900,2002
jam,25,1984
jam,18,1987
jam,21,1990
jam,11,1991
jam,3,1992
jam,6,1994
jam,6,1995
jam,17,1999
jam,20,2000
jam,69,2001
jam,206,2002
jpn,61800,1984
jpn,50100,1985
jpn,59900,1986
jpn,62400,1987
jpn,55300,1988
jpn,63300,1989
jpn,59400,1990
jpn,36100,1991
jpn,92100,1992
jpn,88400,1993
jpn,82400,1994
jpn,109100,1995
jpn,215100,1996
jpn,147700,1997
jpn,141400,1998
jpn,150100,1999
jpn,125900,2000
jpn,121700,2001
jpn,120000,2002
jor,58,1997
kaz,1351,1994
kaz,1281,1995
kaz,1161,1996
kaz,1525,1997
kaz,1192,1998
kaz,1553,1999
kaz,1417,2000
kaz,1280,2001
ken,122,1984
ken,98,1985
ken,107,1986
ken,113,1987
ken,76,1988
ken,97,1989
ken,38,1990
ken,47,1991
ken,58,1992
ken,54,1993
ken,75,1994
ken,59,1995
ken,132,1996
ken,79,1997
ken,101,1998
ken,94,1999
ken,117,2000
ken,100,2001
kir,2,1999
prk,2475,1986
prk,2566,1987
prk,2682,1988
prk,2659,1989
prk,2677,1990
prk,37,1991
prk,27,1992
kor,2365,1984
kor,2268,1985
kor,1894,1986
kor,2330,1987
kor,2174,1988
kor,3972,1989
kor,7762,1990
kor,8691,1991
kor,10500,1992
kor,11450,1993
kor,11680,1994
kor,12510,1995
kor,16520,1996
kor,24580,1997
kor,62640,1999
kor,34960,2000
kor,34680,2001
kor,45300,2002
kwt,107,1993
kgz,83,1994
kgz,133,1995
kgz,125,1996
kgz,133,1997
kgz,105,1998
kgz,93,1999
kgz,104,2000
kgz,60,2001
kgz,65,2002
lva,355,1993
lva,374,1994
lva,628,1995
lva,775,1996
lva,403,1997
lva,297,1998
lva,353,1999
lva,644,2000
lva,1103,2001
lva,1650,2002
lso,21,1989
lso,23,1990
lso,29,1991
lso,25,1992
lso,34,1993
lso,54,1994
lso,51,1995
lso,90,1996
lso,26,1997
lso,36,1998
lso,43,1999
lso,80,2000
lso,70,2001
lbr,17,1991
lbr,30,1993
lie,20890,2002
ltu,13,1992
ltu,383,1993
ltu,405,1994
ltu,494,1995
ltu,466,1996
ltu,183,1997
ltu,165,1998
ltu,440,1999
ltu,798,2000
ltu,1209,2001
ltu,1918,2002
lux,554,1984
lux,3933,1985
lux,4917,1986
lux,4582,1987
lux,5187,1988
lux,6169,1989
lux,6749,1990
lux,7337,1991
lux,8680,1992
lux,10290,1993
lux,11620,1994
lux,10380,1995
lux,9244,1996
lux,8981,1997
lux,8023,1998
lux,7490,1999
lux,5901,2000
lux,7492,2001
lux,12180,2002
mdg,25,1995
mdg,30,1996
mdg,35,1999
mdg,51,2001
mdg,15,2002
mwi,41,1984
mwi,44,1985
mwi,28,1986
mwi,48,1987
mwi,99,1988
mwi,74,1989
mwi,62,1990
mwi,74,1991
mwi,57,1992
mwi,50,1993
mwi,79,1994
mwi,73,1995
mwi,117,1996
mwi,49,1997
mwi,76,1998
mwi,84,1999
mwi,110,2000
mwi,151,2001
mwi,2,2002
mys,1150,1985
mys,110,1989
mys,512,1990
mys,1134,1992
mys,1281,1993
mys,1629,1994
mys,1753,1995
mys,786,1997
mlt,30,1984
mlt,20,1985
mlt,13,1986
mlt,12,1987
mlt,11,1988
mlt,8,1989
mlt,10,1990
mlt,24,1991
mlt,12,1992
mlt,20,1993
mlt,20,1994
mlt,19,1995
mlt,12,1996
mlt,2,1997
mlt,28,1998
mlt,35,1999
mlt,89,2000
mlt,97,2001
mlt,125,2002
mus,13,1984
mus,4,1985
mus,9,1986
mus,5,1987
mus,2,1988
mus,6,1989
mus,13,1990
mus,11,1991
mus,9,1992
mus,4,1993
mus,3,1994
mus,3,1995
mus,4,1996
mus,1,1997
mus,3,1998
mex,1737,1984
mex,1374,1985
mex,1222,1986
mex,1406,1987
mex,3411,1988
mex,2268,1989
mex,1752,1990
mex,1360,1991
mex,3160,1992
mex,6183,1993
mex,4367,1994
mex,3538,1995
mex,3186,1996
mex,3944,1997
mex,3219,1998
mex,3899,1999
mex,5527,2000
mex,5476,2001
mex,6616,2002
mda,39,1994
mda,227,1995
mda,235,1996
mda,225,1997
mda,220,1998
mda,231,1999
mda,234,2000
mda,226,2001
mda,230,2002
mco,50,1984
mco,66,1985
mco,106,1986
