dead_kids_per_woman,geo,time
0.8927,dza,1984
0.8012,dza,1985
0.7145,dza,1986
0.6832,dza,1987
0.6051,dza,1988
0.5319,dza,1989
0.5061,dza,1990
0.4804,dza,1991
0.4173,dza,1992
0.3916,dza,1993
0.3659,dza,1994
0.3128,dza,1995
0.291,dza,1996
0.2729,dza,1997
0.2584,dza,1998
0.2252,dza,1999
0.2169,dza,2000
0.2119,dza,2001
0.1902,dza,2002
0.1879,dza,2003
0.1864,dza,2004
0.1672,dza,2005
0.1658,dza,2006
0.1631,dza,2007
0.161,dza,2008
0.1436,dza,2009
0.1405,dza,2010
0.07123,dza,2030
0.05909,dza,2050
0.04239,dza,2099
4.44,ago,1800
4.44,ago,1801
4.441,ago,1802
4.441,ago,1803
4.442,ago,1804
4.442,ago,1805
4.443,ago,1806
4.443,ago,1807
4.444,ago,1808
4.444,ago,1809
4.444,ago,1810
4.445,ago,1811
4.445,ago,1812
4.446,ago,1813
4.446,ago,1814
4.447,ago,1815
4.447,ago,1816
4.448,ago,1817
4.448,ago,1818
4.449,ago,1819
4.449,ago,1820
4.45,ago,1821
4.45,ago,1822
4.45,ago,1823
4.451,ago,1824
4.451,ago,1825
4.452,ago,1826
4.452,ago,1827
4.453,ago,1828
4.453,ago,1829
4.454,ago,1830
4.454,ago,1831
4.455,ago,1832
4.455,ago,1833
4.456,ago,1834
4.456,ago,1835
4.456,ago,1836
4.457,ago,1837
4.457,ago,1838
4.458,ago,1839
4.458,ago,1840
4.459,ago,1841
4.459,ago,1842
4.46,ago,1843
4.46,ago,1844
4.461,ago,1845
4.461,ago,1846
4.462,ago,1847
4.462,ago,1848
4.462,ago,1849
4.463,ago,1850
4.463,ago,1851
4.464,ago,1852
4.464,ago,1853
4.465,ago,1854
4.465,ago,1855
4.466,ago,1856
4.466,ago,1857
4.467,ago,1858
4.467,ago,1859
4.468,ago,1860
4.468,ago,1861
4.468,ago,1862
4.469,ago,1863
4.469,ago,1864
4.47,ago,1865
4.47,ago,1866
4.471,ago,1867
4.471,ago,1868
4.472,ago,1869
4.472,ago,1870
4.473,ago,1871
4.473,ago,1872
4.474,ago,1873
4.474,ago,1874
4.474,ago,1875
4.475,ago,1876
4.475,ago,1877
4.476,ago,1878
4.476,ago,1879
4.477,ago,1880
4.477,ago,1881
4.478,ago,1882
4.478,ago,1883
4.479,ago,1884
4.479,ago,1885
4.48,ago,1886
4.48,ago,1887
4.48,ago,1888
4.481,ago,1889
4.481,ago,1890
4.482,ago,1891
4.482,ago,1892
4.483,ago,1893
4.483,ago,1894
4.484,ago,1895
4.484,ago,1896
4.485,ago,1897
4.485,ago,1898
4.486,ago,1899
4.486,ago,1900
4.486,ago,1901
4.487,ago,1902
4.487,ago,1903
4.488,ago,1904
4.488,ago,1905
4.489,ago,1906
4.489,ago,1907
4.49,ago,1908
4.49,ago,1909
4.491,ago,1910
4.491,ago,1911
4.492,ago,1912
4.492,ago,1913
4.492,ago,1914
4.493,ago,1915
4.493,ago,1916
4.494,ago,1917
4.494,ago,1918
4.495,ago,1919
4.495,ago,1920
4.496,ago,1921
4.496,ago,1922
4.497,ago,1923
4.497,ago,1924
4.498,ago,1925
4.495,ago,1926
4.493,ago,1927
4.491,ago,1928
4.488,ago,1929
4.486,ago,1930
4.484,ago,1931
4.481,ago,1932
4.479,ago,1933
4.477,ago,1934
4.474,ago,1935
4.472,ago,1936
4.47,ago,1937
4.468,ago,1938
4.465,ago,1939
4.463,ago,1940
4.461,ago,1941
4.458,ago,1942
4.342,ago,1943
4.339,ago,1944
4.337,ago,1945
4.335,ago,1946
