geo,extreme_poverty_percent_people_below_125_a_day,time
kgz,32.58,2001
kgz,29.74,2002
kgz,24.71,2003
kgz,10.99,2004
kgz,19.91,2005
kgz,13.38,2006
kgz,1.9,2007
kgz,5.5,2008
kgz,5.63,2009
kgz,6.02,2010
kgz,5.11,2011
lao,55.68,1992
lao,47.53,1997
lao,41.22,2002
lao,35.1,2007
lao,30.26,2012
lva,0.02,1988
lva,0.0,1993
lva,0.0,1995
lva,0.42,1996
lva,0.56,1997
lva,0.0,1998
lva,0.41,2002
lva,0.11,2004
lva,1.19,2006
lva,0.0,2008
lva,1.38,2010
lva,1.07,2011
lso,57.21,1987
lso,67.03,1993
lso,55.9,1994
lso,55.16,2003
lso,56.22,2010
lbr,83.76,2007
ltu,0.06,1988
ltu,2.15,1993
ltu,0.0,1996
ltu,0.12,1998
ltu,0.06,2000
ltu,0.3,2001
ltu,0.16,2002
ltu,0.07,2003
ltu,0.06,2004
ltu,1.71,2005
ltu,1.4,2006
ltu,0.05,2008
ltu,1.48,2010
ltu,0.83,2011
mkd,0.0,1998
mkd,4.17,2000
mkd,0.53,2002
mkd,0.45,2003
mkd,0.52,2004
mkd,0.28,2005
mkd,0.92,2006
mkd,0.28,2008
mdg,94.64,1980
mdg,67.07,1993
mdg,72.04,1997
mdg,82.37,1999
mdg,76.34,2001
mdg,82.43,2005
mdg,87.67,2010
mwi,83.22,1998
mwi,74.95,2004
mwi,72.16,2010
mys,3.23,1984
mys,2.4,1987
mys,1.92,1989
mys,1.63,1992
mys,2.09,1995
mys,0.54,1997
mys,0.54,2004
mys,0.0,2007
mys,0.0,2009
mdv,25.59,1998
mdv,1.48,2004
mli,85.92,1994
mli,61.18,2001
mli,51.43,2006
mli,50.61,2010
mrt,41.32,1987
mrt,42.79,1993
mrt,23.4,1996
mrt,21.16,2000
mrt,25.41,2004
mrt,23.43,2008
mex,12.78,1984
mex,7.95,1989
mex,4.83,1992
mex,3.56,1994
mex,7.86,1996
mex,8.62,1998
mex,5.53,2000
mex,3.9,2002
mex,1.6,2004
mex,4.93,2005
mex,0.68,2006
mex,1.15,2008
mex,0.72,2010
mex,1.03,2012
fsm,31.15,2000
mda,15.86,1988
mda,12.25,1992
mda,15.66,1997
mda,25.54,1998
mda,35.67,1999
mda,25.01,2001
mda,14.96,2002
mda,6.25,2003
mda,6.67,2004
mda,12.49,2005
mda,2.17,2006
mda,1.01,2007
mda,1.07,2008
mda,0.78,2009
mda,0.42,2010
mda,0.23,2011
mne,0.25,2005
mne,0.14,2006
mne,0.37,2007
mne,0.09,2008
mne,0.0,2009
mne,0.0,2010
mne,0.21,2011
mar,10.29,1985
mar,2.45,1991
mar,6.76,1999
mar,6.27,2001
mar,2.57,2007
moz,80.59,1996
moz,74.69,2003
moz,60.71,2009
nam,49.14,1993
nam,31.91,2004
nam,23.54,2010
npl,78.15,1985
npl,67.97,1996
npl,53.13,2003
npl,23.74,2010
nld,0.47,1983
nld,1.34,1987
nld,1.34,1990
nld,1.02,1993
nld,0.34,1999
nld,0.68,2004
nld,0.37,2007
nld,0.35,2010
nic,32.73,1993
nic,12.51,1998
nic,14.37,2001
nic,2.84,2005
nic,8.54,2009
ner,72.79,1992
ner,78.17,1994
ner,51.25,2005
ner,42.06,2008
ner,40.81,2011
nga,54.05,1986
nga,61.9,1992
nga,68.65,1996
nga,61.84,2004
nga,62.03,2010
nor,0.34,1986
nor,0.36,1991
nor,0.36,1995
nor,0.34,2000
nor,0.34,2004
nor,0.33,2007
nor,0.67,2010
pak,66.46,1987
pak,64.71,1991
pak,48.14,1997
pak,29.05,1999
pak,35.87,2002
pak,22.59,2005
pak,22.58,2006
pak,17.15,2008
pak,12.74,2011
pan,7.98,1979
pan,22.87,1989
pan,20.89,1991
pan,15.69,1995
pan,14.57,1997
pan,14.77,1998
pan,12.66,1999
pan,13.82,2000
pan,11.07,2002
pan,10.67,2003
pan,9.92,2004
pan,9.49,2005
pan,10.18,2006
pan,7.2,2007
pan,4.73,2008
pan,2.99,2009
pan,3.82,2010
pan,3.55,2011
pan,3.99,2012
png,35.79,1996
pry,1.05,1990
pry,11.5,1995
pry,9.6,1998
pry,9.35,1999
pry,8.09,2001
pry,12.52,2002
pry,7.81,2003
pry,5.58,2004
pry,6.1,2005
pry,8.7,2006
pry,7.46,2007
pry,4.32,2008
pry,5.7,2009
pry,5.32,2010
pry,4.43,2011
pry,3.03,2012
per,11.34,1986
per,9.81,1994
per,0.97,1997
per,14.36,1998
per,15.8,1999
per,12.51,2000
per,13.39,2001
per,11.56,2002
per,8.95,2003
per,6.75,2004
per,7.83,2005
per,6.43,2006
per,6.31,2007
per,4.84,2008
per,3.5,2009
per,2.73,2010
per,2.97,2011
per,2.89,2012
phl,39.06,1985
phl,33.67,1988
phl,33.15,1991
phl,30.51,1994
phl,23.7,1997
phl,24.59,2000
phl,22.88,2003
phl,22.58,2006
phl,18.1,2009
phl,18.96,2012
pol,0.13,1985
pol,0.1,1987
pol,0.08,1989
pol,0.03,1992
pol,1.4,1996
pol,0.0,1998
pol,0.04,1999
pol,0.05,2000
pol,0.05,2001
pol,0.02,2002
pol,0.05,2004
pol,0.08,2005
pol,0.01,2006
pol,0.02,2007
pol,0.01,2008
pol,0.0,2009
pol,0.0,2010
pol,0.0,2011
rou,0.29,1989
rou,0.4,1992
rou,4.97,1994
rou,1.69,1998
rou,2.89,1999
rou,2.46,2001
rou,2.63,2002
rou,1.57,2003
rou,0.0,2004
rou,0.0,2005
rou,0.0,2006
rou,0.0,2007
rou,0.0,2008
rou,0.0,2009
rou,0.0,2010
rou,0.0,2011
rou,0.0,2012
rus,0.51,1988
rus,1.5,1993
rus,2.81,1996
rus,2.72,1999
rus,0.89,2001
rus,0.51,2002
rus,0.38,2003
rus,0.7,2004
rus,0.22,2005
rus,0.17,2006
rus,0.09,2007
rus,0.0,2008
rus,0.03,2009
rwa,63.26,1985
rwa,79.37,2000
rwa,71.97,2006
rwa,63.02,2011
lca,20.96,1995
stp,28.18,2001
stp,43.53,2010
sen,65.71,1991
sen,53.49,1994
sen,44.13,2001
sen,33.5,2005
sen,34.06,2011
srb,0.26,2002
srb,0.31,2003
srb,0.41,2004
srb,0.59,2005
srb,0.25,2006
srb,0.12,2007
srb,0.04,2008
srb,0.07,2009
srb,0.05,2010
syc,0.0,2000
syc,0.25,2007
sle,62.85,1990
sle,59.44,2003
sle,56.63,2011
svk,0.0,1988
svk,0.0,1992
svk,0.18,1996
svk,0.17,2004
svk,0.05,2005
svk,0.0,2006
svk,0.0,2008
svk,0.0,2009
svk,0.4,2010
svk,0.3,2011
svn,0.02,1987
svn,0.03,1993
svn,0.02,1998
svn,0.05,2002
svn,0.0,2003
svn,0.06,2004
svn,0.08,2005
svn,0.05,2006
svn,0.01,2008
svn,0.01,2010
svn,0.0,2011
zaf,24.3,1993
zaf,21.43,1995
zaf,26.2,2000
zaf,16.72,2006
zaf,13.67,2009
zaf,9.42,2011
esp,0.67,1980
esp,0.34,1990
esp,1.67,1995
esp,0.33,2000
esp,1.34,2004
esp,1.0,2007
esp,2.34,2010
lka,19.96,1985
lka,15.01,1991
lka,16.32,1996
lka,13.95,2002
lka,7.04,2007
lka,4.11,2010
sdn,19.8,2009
sur,15.54,1999
swz,78.59,1995
swz,43.02,2001
swz,39.3,2010
swe,0.41,1981
swe,0.35,1987
swe,0.33,1992
swe,0.34,1995
swe,0.34,2000
swe,0.35,2005
che,0.69,1982
che,3.34,1992
che,0.34,2000
che,0.34,2002
che,0.67,2004
syr,1.71,2004
tjk,50.08,1999
tjk,35.42,2003
tjk,20.7,2004
tjk,12.18,2007
tjk,6.47,2009
tza,71.98,1992
tza,84.23,2000
tza,67.87,2007
tza,43.48,2012
tha,21.96,1981
tha,17.25,1988
tha,11.55,1990
tha,8.6,1992
tha,4.11,1994
tha,2.86,1996
tha,2.08,1998
tha,3.61,1999
tha,3.03,2000
tha,1.64,2002
tha,1.01,2006
tha,0.32,2008
tha,0.31,2010
tls,34.87,2007
tgo,53.15,2006
tgo,52.46,2011
tto,1.42,1988
tto,4.16,1992
tun,8.64,1985
tun,5.86,1990
tun,6.47,1995
tun,2.55,2000
tun,1.38,2005
tun,0.74,2010
tur,1.16,1987
tur,1.84,1994
tur,1.15,2002
tur,2.87,2003
tur,1.41,2004
tur,1.45,2005
tur,1.35,2006
tur,0.95,2007
tur,0.1,2008
tur,0.36,2009
tur,0.59,2010
tur,0.08,2011
tkm,14.4,1988
tkm,63.53,1993
tkm,24.82,1998
uga,70.8,1989
uga,71.92,1992
uga,63.01,1996
uga,59.43,1999
uga,56.57,2002
uga,51.72,2006
uga,37.91,2009
uga,37.78,2013
ukr,1.77,1988
ukr,0.03,1992
ukr,1.96,1995
ukr,1.93,1996
ukr,2.03,1999
ukr,0.42,2002
ukr,0.11,2003
ukr,0.04,2004
ukr,0.05,2005
ukr,0.14,2006
ukr,0.06,2007
ukr,0.0,2008
ukr,0.06,2009
ukr,0.0,2010
gbr,0.68,1991
gbr,0.67,1994
gbr,1.35,1995
gbr,0.67,1999
gbr,0.67,2004
gbr,1.01,2007
gbr,1.01,2010
usa,0.68,1986
usa,0.67,1991
usa,0.67,1994
usa,1.0,1997
usa,0.67,2000
usa,1.0,2004
usa,1.33,2007
usa,1.67,2010
ury,0.0,1981
ury,0.49,1989
ury,0.9,1992
ury,0.55,1995
ury,0.68,1996
ury,0.61,1997
ury,0.81,1998
ury,0.48,2000
ury,0.61,2001
ury,0.79,2002
ury,0.95,2003
ury,1.19,2004
ury,1.31,2005
ury,0.73,2006
ury,0.48,2007
ury,0.26,2008
ury,0.27,2009
ury,0.2,2010
ury,0.25,2011
ury,0.31,2012
ven,3.27,1981
ven,3.13,1987
ven,6.31,1989
ven,4.4,1992
ven,9.56,1995
ven,9.88,1998
ven,11.41,1999
ven,9.57,2001
ven,15.85,2002
ven,19.06,2003
ven,15.88,2004
ven,13.17,2005
ven,6.63,2006
pse,0.23,2004
pse,0.92,2007
pse,0.08,2009
vnm,63.76,1993
vnm,49.36,1998
vnm,40.07,2002
vnm,31.4,2004
vnm,21.44,2006
vnm,16.82,2008
vnm,3.93,2010
vnm,2.44,2012
yem,10.47,1998
yem,9.78,2005
zmb,61.05,1991
zmb,65.27,1993
zmb,62.07,1996
zmb,55.67,1998
zmb,64.6,2003
zmb,64.29,2004
zmb,68.51,2006
zmb,74.32,2010
