geo,malaria_number_of_deaths_reported,time
dza,2,1998
dza,6,1999
dza,1,2000
dza,1,2001
dza,0,2002
ago,25570,1999
ago,13380,2000
ago,9473,2001
ago,14430,2002
ago,38600,2003
ago,12460,2004
ago,13770,2005
ago,10220,2006
ben,682,1998
ben,544,1999
ben,740,2000
ben,468,2001
ben,707,2002
ben,560,2003
ben,944,2004
ben,322,2005
ben,1392,2006
bwa,141,1997
bwa,23,1998
bwa,49,1999
bwa,30,2000
bwa,27,2001
bwa,23,2002
bwa,18,2003
bwa,19,2004
bwa,11,2005
bwa,42,2006
bfa,2624,1998
bfa,2808,1999
bfa,2740,2000
bfa,4233,2001
bfa,4032,2002
bfa,4860,2003
bfa,4205,2004
bfa,5224,2005
bfa,8083,2006
bdi,579,2000
bdi,417,2001
bdi,483,2002
bdi,425,2003
bdi,707,2004
bdi,1942,2005
bdi,434,2006
cmr,836,2005
cmr,930,2006
cpv,0,2001
cpv,1,2002
cpv,2,2003
cpv,2,2004
cpv,1,2005
cpv,7,2006
caf,374,1998
caf,484,1999
caf,535,2001
caf,417,2003
caf,859,2004
caf,668,2005
caf,865,2006
tcd,936,2001
tcd,944,2002
tcd,970,2003
tcd,815,2006
com,50,1999
com,82,2000
com,16,2001
com,28,2004
com,92,2005
com,56,2006
cog,253,2006
civ,1337,1998
civ,974,1999
civ,730,2000
cod,2540,2000
cod,1928,2002
cod,16500,2003
cod,24350,2006
eri,404,1998
eri,169,1999
eri,94,2000
eri,129,2001
eri,85,2002
eri,70,2003
eri,16,2004
eri,32,2005
eri,17,2006
eth,1105,2000
eth,1681,2001
eth,1607,2002
eth,2138,2003
eth,3327,2004
eth,1086,2005
eth,1357,2006
gab,91,2001
gab,474,2005
gab,79,2006
gha,2798,1998
gha,2826,1999
gha,3230,2000
gha,1717,2001
gha,1917,2002
gha,1680,2003
gha,1260,2004
gha,1759,2005
gha,2832,2006
gin,13,1998
gin,13,1999
gin,441,2000
gin,517,2001
gin,440,2002
gin,586,2003
gin,528,2004
gin,490,2005
gnb,1065,2000
gnb,635,2001
gnb,780,2002
gnb,1137,2003
gnb,565,2004
gnb,565,2005
gnb,507,2006
ken,665,1998
ken,1545,1999
ken,683,2000
ken,135,2002
lbr,41,2005
lbr,877,2006
mdg,640,1999
mdg,591,2000
mdg,1300,2001
mdg,1268,2002
mdg,1091,2003
mdg,1194,2004
mdg,1407,2005
mdg,590,2006
mwi,57650,1990
mwi,35980,1997
mwi,4747,1999
mwi,7139,2000
mwi,3355,2001
mwi,5775,2002
mwi,4767,2003
mwi,3457,2004
mwi,5070,2005
mwi,7132,2006
mli,583,1999
mli,748,2000
mli,562,2001
mli,826,2002
mli,1309,2003
mli,1012,2004
mli,1285,2005
mli,1914,2006
mrt,279,1998
mrt,525,1999
mrt,491,2000
mrt,337,2001
mrt,100,2002
mrt,67,2006
moz,896,1998
moz,1189,1999
moz,1371,2000
moz,3400,2001
moz,4214,2002
moz,3488,2003
moz,4150,2004
moz,4209,2005
moz,5042,2006
nam,250,1995
nam,469,1996
nam,547,1997
nam,404,1998
nam,531,1999
nam,918,2000
nam,1728,2001
nam,1504,2002
nam,1106,2003
nam,1185,2004
nam,1325,2005
nam,571,2006
ner,1018,1997
ner,1823,1998
ner,2165,1999
ner,1009,2000
ner,4018,2001
ner,2433,2002
ner,3135,2003
ner,1382,2004
ner,9958,2005
ner,2570,2006
nga,2284,1990
nga,1947,1991
nga,1068,1992
nga,710,1993
nga,1686,1994
nga,3268,1995
nga,4773,1996
nga,4603,1997
nga,6197,1998
nga,4123,1999
nga,5667,2000
nga,4317,2001
nga,4092,2002
nga,5343,2003
nga,6032,2004
nga,6494,2005
nga,6586,2006
rwa,2736,1998
rwa,1881,1999
rwa,2678,2000
rwa,4301,2001
rwa,3200,2002
rwa,2707,2003
rwa,2365,2004
rwa,2587,2005
rwa,2347,2006
stp,154,1998
stp,248,2001
stp,321,2002
stp,193,2003
stp,168,2004
stp,85,2005
stp,26,2006
sen,1205,1997
sen,1029,1998
sen,1235,1999
sen,1337,2000
sen,1515,2001
sen,1226,2002
sen,1602,2003
sen,1524,2004
sen,1587,2005
sen,1678,2006
sle,280,2001
sle,428,2002
sle,112,2003
sle,98,2004
sle,36,2005
sle,70,2006
zaf,35,1990
zaf,19,1991
zaf,14,1992
zaf,45,1993
zaf,12,1994
zaf,44,1995
zaf,163,1996
zaf,104,1997
zaf,198,1998
zaf,406,1999
zaf,458,2000
zaf,119,2001
zaf,96,2002
zaf,142,2003
zaf,89,2004
zaf,64,2005
zaf,87,2006
swz,109,1998
swz,149,1999
swz,55,2001
swz,53,2002
swz,30,2003
swz,28,2004
swz,17,2005
swz,15,2006
tgo,475,1998
tgo,766,1999
tgo,883,2000
tgo,1394,2001
tgo,1661,2002
tgo,1130,2003
tgo,1183,2004
tgo,1024,2005
tgo,819,2006
uga,8450,2003
uga,77000,2005
uga,47000,2006
tza,838,2001
tza,441,2002
tza,14940,2003
tza,19550,2004
tza,18080,2005
tza,20780,2006
zmb,4863,1990
zmb,4998,1991
zmb,3315,1992
zmb,4689,1993
zmb,5775,1994
zmb,8580,1999
zmb,3268,2000
zmb,9369,2001
zmb,9021,2002
zmb,9178,2003
zmb,8289,2004
zmb,7737,2005
zmb,6484,2006
zwe,1192,1997
zwe,1248,1998
zwe,1139,1999
zwe,1788,2000
zwe,412,2001
zwe,1844,2002
zwe,1044,2003
zwe,1809,2004
zwe,1916,2005
arg,0,2001
arg,0,2002
arg,0,2003
arg,0,2004
blz,0,2001
blz,0,2002
blz,0,2004
blz,1,2006
bol,23,1998
bol,4,2002
bol,2,2003
bol,0,2004
bol,0,2005
bol,0,2006
bra,142,2001
bra,93,2002
bra,103,2003
bra,100,2004
bra,122,2005
bra,97,2006
col,58,2001
col,40,2002
col,24,2003
col,25,2004
col,28,2005
col,53,2006
cri,0,2001
cri,0,2002
cri,0,2003
dom,14,1998
dom,16,2001
dom,11,2002
dom,12,2003
dom,16,2004
dom,16,2005
dom,10,2006
ecu,16,1998
ecu,0,2002
ecu,0,2003
slv,0,2001
slv,0,2002
slv,0,2003
slv,0,2004
slv,0,2005
slv,0,2006
guf,0,2001
guf,4,2003
guf,0,2004
guf,5,2006
gtm,9,1998
gtm,0,2002
gtm,0,2003
gtm,1,2004
gtm,0,2005
gtm,1,2006
guy,34,1998
guy,8,2004
guy,22,2005
guy,20,2006
hti,25,1998
hti,16,2001
hti,16,2003
hti,29,2005
hti,32,2006
hnd,0,2001
hnd,0,2002
hnd,0,2003
hnd,1,2005
hnd,0,2006
mex,0,2001
mex,0,2002
mex,0,2003
mex,0,2004
mex,0,2005
nic,2,2001
nic,8,2002
nic,7,2003
nic,1,2004
nic,6,2005
nic,1,2006
pan,0,2001
pan,2,2002
pan,3,2003
pan,3,2004
pry,0,2001
pry,0,2002
pry,0,2003
pry,0,2004
per,25,2001
per,12,2002
per,25,2003
per,12,2004
sur,23,2001
sur,16,2002
sur,18,2003
sur,7,2004
sur,2,2005
sur,1,2006
