geo,malaria_number_of_deaths_reported,time
afg,22,1994
afg,25,2006
egy,0,1994
egy,0,2003
egy,0,2004
egy,0,2006
irn,22,1997
irn,3,1999
irn,4,2000
irn,2,2001
irn,2,2002
irn,5,2003
irn,1,2004
irn,1,2005
irn,1,2006
irq,0,1994
irq,0,2001
irq,0,2002
irq,0,2003
irq,0,2004
irq,0,2005
irq,0,2006
mar,0,1997
mar,2,2004
mar,1,2005
mar,2,2006
pak,29,2003
pak,52,2005
pak,9,2006
sau,6,1997
sau,28,1998
sau,0,2001
sau,0,2002
sau,0,2003
sau,0,2004
sau,0,2005
sau,0,2006
som,8,2002
som,54,2003
som,79,2004
som,15,2005
som,58,2006
sdn,932,1994
sdn,1944,1996
sdn,1825,1997
sdn,1958,1998
sdn,2622,1999
sdn,2162,2000
sdn,2252,2001
sdn,2125,2002
sdn,2479,2003
sdn,1814,2004
sdn,1703,2005
sdn,99,2006
syr,0,2002
syr,0,2004
syr,2,2005
syr,2,2006
yem,29,2003
yem,73,2006
arm,0,1998
arm,0,1999
arm,0,2001
arm,0,2002
arm,0,2003
arm,0,2004
arm,0,2005
arm,0,2006
aze,0,1998
aze,0,1999
aze,0,2001
aze,0,2002
aze,0,2003
aze,0,2004
aze,0,2005
aze,0,2006
geo,0,1990
geo,0,1991
geo,0,1992
geo,0,1993
geo,0,1994
geo,0,1995
geo,0,1996
geo,0,1997
geo,0,1999
geo,0,2001
geo,0,2002
geo,0,2003
geo,0,2004
geo,0,2005
geo,0,2006
kgz,0,1990
kgz,0,1991
kgz,0,1992
kgz,0,1993
kgz,0,1994
kgz,0,1995
kgz,0,1996
kgz,0,1997
kgz,0,1998
kgz,0,1999
kgz,0,2001
kgz,0,2002
kgz,0,2003
kgz,0,2004
kgz,0,2005
kgz,0,2006
rus,1,1990
rus,1,1991
rus,1,1993
rus,3,1994
rus,2,1995
rus,3,1996
rus,4,1997
rus,3,1999
rus,2,2000
rus,2,2002
tjk,7,1997
tjk,0,1998
tjk,0,2001
tjk,0,2002
tjk,0,2003
tur,0,1990
tur,0,1991
tur,0,1992
tur,0,1993
tur,0,1994
tur,0,1995
tur,0,1996
tur,0,1997
tur,0,1998
tur,0,1999
tur,0,2001
tur,0,2002
tur,0,2003
tkm,0,1990
tkm,0,1991
tkm,0,1992
tkm,0,1993
tkm,0,1994
tkm,0,1995
tkm,0,1996
tkm,0,1997
tkm,0,1998
tkm,0,2001
tkm,0,2002
tkm,0,2003
tkm,0,2004
uzb,0,1990
uzb,1,1991
uzb,0,1992
uzb,1,1993
uzb,0,1994
uzb,0,1995
uzb,0,1996
uzb,0,1997
uzb,0,1999
uzb,0,2001
uzb,0,2002
uzb,0,2003
uzb,0,2004
uzb,0,2005
uzb,0,2006
bgd,1393,1995
bgd,794,1996
bgd,469,1997
bgd,528,1998
bgd,552,1999
bgd,484,2000
bgd,470,2001
bgd,598,2002
bgd,1250,2003
bgd,411,2004
btn,25,1996
btn,14,1997
btn,17,1998
btn,14,2001
btn,11,2002
btn,15,2003
btn,5,2004
btn,5,2005
btn,6,2006
prk,0,2001
prk,0,2002
prk,0,2003
ind,2803,1996
ind,879,1997
ind,666,1998
ind,938,2000
ind,1015,2001
ind,973,2002
ind,1006,2003
ind,949,2004
ind,963,2005
ind,1708,2006
idn,148,1996
idn,199,1997
idn,45,1998
idn,68,2001
idn,197,2002
idn,494,2006
mmr,3424,1996
mmr,2943,1997
mmr,3182,1998
mmr,3648,1999
mmr,2756,2000
mmr,2814,2001
mmr,2634,2002
mmr,2476,2003
mmr,1982,2004
mmr,1707,2005
mmr,1647,2006
npl,0,1994
npl,0,1995
npl,15,1996
npl,2,1997
npl,7,1998
npl,0,2000
npl,1,2001
npl,3,2002
npl,5,2003
npl,7,2004
npl,10,2005
npl,42,2006
lka,26,1996
lka,61,1997
lka,115,1998
lka,53,2001
lka,30,2002
lka,2,2003
lka,2,2004
lka,0,2005
lka,0,2006
tha,1287,1990
tha,826,1996
tha,764,1997
tha,688,1998
tha,740,1999
tha,625,2000
tha,424,2001
tha,361,2002
tha,325,2003
tha,230,2004
tha,71,2005
tha,113,2006
khm,1020,1990
khm,1163,1991
khm,1408,1992
khm,1100,1993
khm,1009,1994
khm,614,1995
khm,745,1996
khm,811,1997
khm,621,1998
khm,891,1999
khm,608,2000
khm,476,2001
khm,457,2002
khm,492,2003
khm,382,2004
khm,296,2005
khm,396,2006
chn,35,1990
chn,52,1992
chn,19,1993
chn,43,1994
chn,34,1995
chn,30,1996
chn,46,1997
chn,24,1998
chn,67,1999
chn,39,2000
chn,28,2001
chn,42,2002
chn,52,2003
chn,31,2004
chn,48,2005
chn,38,2006
lao,372,1990
lao,457,1991
lao,438,1992
lao,418,1993
lao,609,1994
lao,620,1995
lao,608,1996
lao,606,1997
lao,427,1998
lao,338,1999
lao,350,2000
lao,244,2001
lao,195,2002
lao,187,2003
lao,105,2004
lao,77,2005
lao,21,2006
mys,43,1990
mys,25,1992
mys,23,1993
mys,28,1994
mys,35,1995
mys,40,1996
mys,25,1997
mys,27,1998
mys,21,1999
mys,35,2000
mys,46,2001
mys,39,2002
mys,21,2003
mys,35,2004
mys,33,2005
mys,21,2006
png,457,1990
png,500,1992
png,448,1993
png,281,1994
png,415,1995
png,514,1996
png,390,1997
png,651,1998
png,567,1999
png,617,2000
png,619,2001
png,678,2002
png,559,2003
png,644,2004
png,731,2005
png,668,2006
phl,913,1990
phl,924,1991
phl,864,1992
phl,811,1993
phl,784,1994
phl,643,1995
phl,536,1996
phl,514,1997
phl,561,1998
phl,755,1999
phl,536,2000
phl,439,2001
phl,98,2002
phl,162,2003
phl,167,2004
phl,145,2005
phl,109,2006
kor,0,1990
kor,0,1991
kor,0,1992
kor,0,1993
kor,0,1994
kor,0,1995
kor,0,1996
kor,0,1997
kor,0,1998
kor,0,1999
kor,0,2000
kor,0,2002
kor,0,2003
slb,33,1990
slb,46,1991
slb,33,1992
slb,40,1993
slb,49,1994
slb,51,1995
slb,30,1996
slb,27,1997
slb,33,1998
slb,23,1999
slb,38,2000
slb,55,2001
slb,59,2002
slb,71,2003
slb,34,2004
slb,38,2005
slb,12,2006
vut,32,1990
vut,32,1991
vut,26,1992
vut,13,1993
vut,8,1994
vut,4,1995
vut,0,1996
vut,0,1997
vut,0,1998
vut,0,1999
vut,2,2001
vut,8,2002
vut,8,2003
vut,1,2004
vut,10,2005
vut,6,2006
vnm,3340,1990
vnm,4646,1991
vnm,2632,1992
vnm,1026,1993
vnm,604,1994
vnm,348,1995
vnm,203,1996
vnm,152,1997
vnm,183,1998
vnm,190,1999
vnm,148,2000
vnm,91,2001
vnm,50,2002
vnm,50,2003
vnm,24,2004
vnm,18,2005
vnm,41,2006
