geo,tb_with_hivplus_number_of_deaths_estimated,time
afg,0,1990
afg,0,1991
afg,0,1992
afg,0,1993
afg,0,1994
afg,0,1995
afg,0,1996
afg,0,1997
afg,0,1998
afg,0,1999
afg,0,2000
afg,0,2001
afg,0,2002
afg,0,2003
afg,0,2004
afg,0,2005
afg,0,2006
afg,0,2007
dza,0,1990
dza,0,1991
dza,0,1992
dza,0,1993
dza,1,1994
dza,1,1995
dza,2,1996
dza,2,1997
dza,5,1998
dza,8,1999
dza,8,2000
dza,10,2001
dza,13,2002
dza,15,2003
dza,17,2004
dza,19,2005
dza,20,2006
dza,21,2007
ago,350,1990
ago,446,1991
ago,563,1992
ago,703,1993
ago,866,1994
ago,1053,1995
ago,1287,1996
ago,1099,1997
ago,1456,1998
ago,1565,1999
ago,2504,2000
ago,1782,2001
ago,1612,2002
ago,1402,2003
ago,1927,2004
ago,2117,2005
ago,1217,2006
ago,1926,2007
arg,100,1990
arg,118,1991
arg,135,1992
arg,152,1993
arg,166,1994
arg,177,1995
arg,187,1996
arg,197,1997
arg,202,1998
arg,191,1999
arg,177,2000
arg,220,2001
arg,183,2002
arg,188,2003
arg,172,2004
arg,204,2005
arg,210,2006
arg,196,2007
arm,0,1990
arm,0,1991
arm,0,1992
arm,0,1993
arm,1,1994
arm,1,1995
arm,2,1996
arm,3,1997
arm,4,1998
arm,8,1999
arm,12,2000
arm,15,2001
arm,16,2002
arm,16,2003
arm,14,2004
arm,11,2005
arm,12,2006
arm,12,2007
aus,1,1990
aus,1,1991
aus,1,1992
aus,2,1993
aus,2,1994
aus,2,1995
aus,2,1996
aus,2,1997
aus,3,1998
aus,3,1999
aus,3,2000
aus,3,2001
aus,3,2002
aus,3,2003
aus,3,2004
aus,4,2005
aus,4,2006
aus,4,2007
aut,1,1990
aut,1,1991
aut,1,1992
aut,1,1993
aut,1,1994
aut,1,1995
aut,1,1996
aut,1,1997
aut,2,1998
aut,2,1999
aut,2,2000
aut,2,2001
aut,2,2002
aut,2,2003
aut,3,2004
aut,3,2005
aut,3,2006
aut,3,2007
aze,0,1990
aze,0,1991
aze,0,1992
aze,0,1993
aze,0,1994
aze,0,1995
aze,0,1996
aze,0,1997
aze,0,1998
aze,0,1999
aze,0,2000
aze,2,2001
aze,3,2002
aze,11,2003
aze,18,2004
aze,27,2005
aze,37,2006
aze,39,2007
bhs,14,1990
bhs,16,1991
bhs,16,1992
bhs,16,1993
bhs,16,1994
bhs,16,1995
bhs,15,1996
bhs,14,1997
bhs,15,1998
bhs,11,1999
bhs,10,2000
bhs,10,2001
bhs,13,2002
bhs,14,2003
bhs,13,2004
bhs,13,2005
bhs,13,2006
bhs,14,2007
bhr,0,1990
bhr,0,1991
bhr,0,1992
bhr,0,1993
bhr,0,1994
bhr,0,1995
bhr,0,1996
bhr,0,1997
bhr,0,1998
bhr,0,1999
bhr,0,2000
bhr,0,2001
bhr,0,2002
bhr,0,2003
bhr,0,2004
bhr,0,2005
bgd,0,1990
bgd,0,1991
bgd,0,1992
bgd,0,1993
bgd,0,1994
bgd,0,1995
bgd,0,1996
bgd,0,1997
bgd,0,1998
bgd,0,1999
bgd,0,2000
bgd,315,2001
bgd,317,2002
bgd,316,2003
bgd,411,2004
bgd,422,2005
bgd,414,2006
bgd,421,2007
brb,1,1990
brb,1,1991
brb,1,1992
brb,1,1993
brb,1,1994
brb,1,1995
brb,1,1996
brb,1,1997
brb,1,1998
brb,1,1999
brb,1,2000
brb,1,2001
brb,1,2002
brb,1,2003
brb,1,2004
brb,1,2005
brb,1,2006
brb,0,2007
blr,1,1990
blr,1,1991
blr,2,1992
blr,4,1993
blr,9,1994
blr,15,1995
blr,25,1996
blr,35,1997
blr,51,1998
blr,55,1999
blr,57,2000
blr,64,2001
blr,50,2002
blr,36,2003
blr,37,2004
blr,38,2005
blr,38,2006
blr,38,2007
bel,3,1990
bel,4,1991
bel,4,1992
bel,5,1993
bel,5,1994
bel,5,1995
bel,5,1996
bel,5,1997
bel,5,1998
bel,6,1999
bel,5,2000
bel,6,2001
bel,6,2002
bel,6,2003
bel,6,2004
bel,6,2005
bel,6,2006
bel,5,2007
blz,0,1990
blz,0,1991
blz,1,1992
blz,3,1993
blz,4,1994
blz,5,1995
blz,2,1996
blz,3,1997
blz,5,1998
blz,6,1999
blz,3,2000
blz,2,2001
blz,2,2002
blz,4,2003
blz,4,2004
blz,4,2005
blz,5,2006
blz,7,2007
ben,31,1990
ben,48,1991
ben,73,1992
ben,106,1993
ben,147,1994
ben,191,1995
ben,246,1996
ben,298,1997
ben,339,1998
ben,361,1999
ben,385,2000
ben,410,2001
ben,465,2002
ben,495,2003
ben,481,2004
ben,497,2005
ben,499,2006
ben,519,2007
btn,0,1990
btn,0,1991
btn,0,1992
btn,0,1993
btn,0,1994
btn,0,1995
btn,0,1996
btn,0,1997
btn,0,1998
btn,0,1999
btn,0,2000
btn,0,2001
btn,0,2002
btn,1,2003
btn,3,2004
btn,5,2005
btn,7,2006
btn,8,2007
bol,21,1990
bol,27,1991
bol,36,1992
bol,45,1993
bol,56,1994
bol,67,1995
bol,73,1996
bol,83,1997
bol,91,1998
bol,99,1999
bol,102,2000
bol,104,2001
bol,110,2002
bol,113,2003
bol,113,2004
bol,115,2005
bol,118,2006
bol,122,2007
bwa,205,1990
bwa,295,1991
bwa,386,1992
bwa,480,1993
bwa,564,1994
bwa,634,1995
bwa,669,1996
bwa,710,1997
bwa,815,1998
bwa,933,1999
bwa,1069,2000
bwa,1397,2001
bwa,1675,2002
