geo,tb_with_hivplus_number_of_new_cases_estimated,time
afg,0,1990
afg,0,1991
afg,0,1992
afg,0,1993
afg,0,1994
afg,0,1995
afg,0,1996
afg,0,1997
afg,0,1998
afg,0,1999
afg,0,2000
afg,0,2001
afg,0,2002
afg,0,2003
afg,0,2004
afg,0,2005
afg,0,2006
afg,0,2007
alb,0,1995
alb,0,1996
alb,0,1997
alb,0,1998
alb,0,1999
alb,0,2000
alb,0,2001
alb,0,2002
alb,0,2003
alb,0,2004
alb,0,2005
alb,0,2006
dza,0,1990
dza,1,1991
dza,2,1992
dza,3,1993
dza,6,1994
dza,11,1995
dza,20,1996
dza,36,1997
dza,63,1998
dza,101,1999
dza,151,2000
dza,205,2001
dza,257,2002
dza,303,2003
dza,341,2004
dza,373,2005
dza,401,2006
dza,429,2007
asm,0,1995
asm,0,1996
asm,0,1997
asm,0,1998
asm,0,1999
asm,0,2000
asm,0,2001
asm,0,2002
asm,0,2003
asm,0,2004
asm,0,2005
asm,0,2006
and,0,1995
and,0,1996
and,0,1997
and,0,1998
and,0,1999
and,0,2000
and,0,2001
and,0,2002
and,0,2003
and,0,2004
and,0,2005
and,0,2006
ago,595,1990
ago,772,1991
ago,992,1992
ago,1262,1993
ago,1585,1994
ago,1963,1995
ago,2399,1996
ago,2890,1997
ago,3434,1998
ago,4030,1999
ago,4668,2000
ago,5318,2001
ago,5985,2002
ago,6653,2003
ago,7304,2004
ago,7931,2005
ago,8523,2006
ago,9089,2007
aia,0,1995
aia,0,1996
aia,0,1997
aia,0,1998
aia,0,1999
aia,0,2000
aia,0,2001
aia,0,2002
aia,0,2003
aia,0,2004
aia,0,2005
aia,0,2006
atg,0,1995
atg,0,1996
atg,0,1997
atg,0,1998
atg,0,1999
atg,0,2000
atg,0,2001
atg,0,2002
atg,0,2003
atg,0,2004
atg,0,2005
atg,0,2006
arg,438,1990
arg,525,1991
arg,614,1992
arg,700,1993
arg,779,1994
arg,847,1995
arg,901,1996
arg,942,1997
arg,970,1998
arg,987,1999
arg,995,2000
arg,995,2001
arg,990,2002
arg,981,2003
arg,973,2004
arg,959,2005
arg,942,2006
arg,923,2007
arm,0,1990
arm,0,1991
arm,0,1992
arm,1,1993
arm,2,1994
arm,4,1995
arm,7,1996
arm,12,1997
arm,19,1998
arm,29,1999
arm,39,2000
arm,47,2001
arm,53,2002
arm,56,2003
arm,59,2004
arm,61,2005
arm,62,2006
arm,63,2007
aus,11,1990
aus,13,1991
aus,14,1992
aus,17,1993
aus,19,1994
aus,22,1995
aus,24,1996
aus,25,1997
aus,26,1998
aus,27,1999
aus,29,2000
aus,30,2001
aus,30,2002
aus,32,2003
aus,34,2004
aus,37,2005
aus,39,2006
aus,41,2007
aut,7,1990
aut,7,1991
aut,8,1992
aut,9,1993
aut,10,1994
aut,11,1995
aut,13,1996
aut,14,1997
aut,16,1998
aut,17,1999
aut,19,2000
aut,20,2001
aut,23,2002
aut,24,2003
aut,26,2004
aut,28,2005
aut,30,2006
aut,32,2007
aze,0,1990
aze,0,1991
aze,0,1992
aze,0,1993
aze,0,1994
aze,0,1995
aze,0,1996
aze,0,1997
aze,0,1998
aze,0,1999
aze,0,2000
aze,7,2001
aze,13,2002
aze,40,2003
aze,94,2004
aze,150,2005
aze,207,2006
aze,219,2007
bhs,37,1990
bhs,41,1991
bhs,43,1992
bhs,43,1993
bhs,43,1994
bhs,42,1995
bhs,41,1996
bhs,40,1997
bhs,40,1998
bhs,40,1999
bhs,40,2000
bhs,40,2001
bhs,40,2002
bhs,41,2003
bhs,41,2004
bhs,42,2005
bhs,42,2006
bhs,43,2007
bhr,0,1995
bhr,0,1996
bhr,0,1997
bhr,0,1998
bhr,0,1999
bhr,0,2000
bhr,0,2001
bhr,0,2002
bhr,0,2003
bhr,0,2004
bhr,0,2005
bhr,0,2006
bgd,0,1990
bgd,0,1991
bgd,0,1992
bgd,0,1993
bgd,0,1994
bgd,0,1995
bgd,0,1996
bgd,0,1997
bgd,0,1998
bgd,0,1999
bgd,0,2000
bgd,650,2001
bgd,662,2002
bgd,682,2003
bgd,900,2004
bgd,959,2005
bgd,977,2006
bgd,995,2007
brb,1,1990
brb,2,1991
brb,2,1992
brb,2,1993
brb,2,1994
brb,2,1995
brb,2,1996
brb,2,1997
brb,2,1998
brb,2,1999
brb,2,2000
brb,2,2001
brb,2,2002
brb,2,2003
brb,2,2004
brb,2,2005
brb,2,2006
brb,2,2007
blr,3,1990
blr,4,1991
blr,9,1992
blr,16,1993
blr,34,1994
blr,61,1995
blr,99,1996
blr,140,1997
blr,186,1998
blr,218,1999
blr,228,2000
blr,212,2001
blr,198,2002
blr,202,2003
blr,207,2004
blr,209,2005
blr,209,2006
blr,209,2007
bel,28,1990
bel,31,1991
bel,35,1992
bel,39,1993
bel,44,1994
bel,46,1995
bel,46,1996
bel,46,1997
bel,45,1998
bel,47,1999
bel,50,2000
bel,53,2001
bel,51,2002
bel,49,2003
bel,48,2004
bel,50,2005
bel,48,2006
bel,46,2007
blz,0,1990
blz,1,1991
blz,3,1992
blz,8,1993
blz,12,1994
blz,14,1995
blz,16,1996
blz,17,1997
blz,17,1998
blz,18,1999
blz,19,2000
blz,20,2001
blz,20,2002
blz,21,2003
blz,22,2004
blz,22,2005
blz,23,2006
blz,24,2007
ben,69,1990
ben,108,1991
ben,168,1992
ben,252,1993
ben,358,1994
ben,477,1995
ben,594,1996
ben,701,1997
ben,794,1998
ben,873,1999
ben,943,2000
ben,1004,2001
ben,1060,2002
ben,1110,2003
ben,1156,2004
