geo,tb_with_hivplus_number_of_new_cases_estimated,time
ben,1200,2005
ben,1245,2006
ben,1296,2007
bmu,0,1995
bmu,0,1996
bmu,0,1997
bmu,0,1998
bmu,0,1999
bmu,0,2000
bmu,0,2001
bmu,0,2002
bmu,0,2003
bmu,0,2004
bmu,0,2005
bmu,0,2006
btn,0,1990
btn,0,1991
btn,0,1992
btn,0,1993
btn,0,1994
btn,0,1995
btn,0,1996
btn,0,1997
btn,0,1998
btn,0,1999
btn,0,2000
btn,1,2001
btn,2,2002
btn,4,2003
btn,9,2004
btn,16,2005
btn,23,2006
btn,28,2007
bol,65,1990
bol,88,1991
bol,117,1992
bol,150,1993
bol,187,1994
bol,226,1995
bol,266,1996
bol,303,1997
bol,335,1998
bol,362,1999
bol,383,2000
bol,399,2001
bol,411,2002
bol,420,2003
bol,426,2004
bol,430,2005
bol,433,2006
bol,434,2007
bih,0,1995
bih,0,1996
bih,0,1997
bih,0,1998
bih,0,1999
bih,0,2000
bih,0,2001
bih,0,2002
bih,0,2003
bih,0,2004
bih,0,2005
bih,0,2006
bwa,950,1990
bwa,1442,1991
bwa,2002,1992
bwa,2646,1993
bwa,3322,1994
bwa,4009,1995
bwa,4632,1996
bwa,5318,1997
bwa,6026,1998
bwa,6779,1999
bwa,7592,2000
bwa,8377,2001
bwa,9083,2002
bwa,9578,2003
bwa,9763,2004
bwa,9727,2005
bwa,9566,2006
bwa,9414,2007
bra,10120,1990
bra,11610,1991
bra,12740,1992
bra,13560,1993
bra,14090,1994
bra,14400,1995
bra,14580,1996
bra,14680,1997
bra,14680,1998
bra,14610,1999
bra,14500,2000
bra,14350,2001
bra,14160,2002
bra,13950,2003
bra,13720,2004
bra,13490,2005
bra,13220,2006
bra,13020,2007
vgb,0,1995
vgb,0,1996
vgb,0,1997
vgb,0,1998
vgb,0,1999
vgb,0,2000
vgb,0,2001
vgb,0,2002
vgb,0,2003
vgb,0,2004
vgb,0,2005
vgb,0,2006
brn,0,1990
brn,0,1991
brn,0,1992
brn,0,1993
brn,0,1994
brn,0,1995
brn,0,1996
brn,0,1997
brn,0,1998
brn,0,1999
brn,0,2000
brn,0,2001
brn,0,2002
brn,0,2003
brn,0,2004
brn,0,2005
brn,0,2006
brn,0,2007
bgr,0,1990
bgr,0,1991
bgr,0,1992
bgr,0,1993
bgr,0,1994
bgr,0,1995
bgr,0,1996
bgr,0,1997
bgr,1,1998
bgr,2,1999
bgr,3,2000
bgr,5,2001
bgr,8,2002
bgr,13,2003
bgr,20,2004
bgr,31,2005
bgr,42,2006
bgr,54,2007
bfa,2160,1990
bfa,2486,1991
bfa,2724,1992
bfa,2982,1993
bfa,3263,1994
bfa,3621,1995
bfa,4039,1996
bfa,4644,1997
bfa,5355,1998
bfa,6126,1999
bfa,6926,2000
bfa,7661,2001
bfa,8292,2002
bfa,8682,2003
bfa,8767,2004
bfa,8637,2005
bfa,8380,2006
bfa,8193,2007
bdi,1338,1990
bdi,2028,1991
bdi,3225,1992
bdi,4188,1993
bdi,4700,1994
bdi,5074,1995
bdi,5332,1996
bdi,5648,1997
bdi,5969,1998
bdi,6319,1999
bdi,6715,2000
bdi,7074,2001
bdi,7352,2002
bdi,7446,2003
bdi,7293,2004
bdi,6985,2005
bdi,6573,2006
bdi,6187,2007
khm,2763,1990
khm,3764,1991
khm,4936,1992
khm,6178,1993
khm,7299,1994
khm,8138,1995
khm,8828,1996
khm,9283,1997
khm,9578,1998
khm,9667,1999
khm,9545,2000
khm,9229,2001
khm,8734,2002
khm,8087,2003
khm,7346,2004
khm,6623,2005
khm,6045,2006
khm,5560,2007
cmr,905,1990
cmr,1525,1991
cmr,2366,1992
cmr,3470,1993
cmr,4738,1994
cmr,6070,1995
cmr,7265,1996
cmr,8488,1997
cmr,9683,1998
cmr,10910,1999
cmr,12230,2000
cmr,13510,2001
cmr,14690,2002
cmr,15540,2003
cmr,15910,2004
cmr,15880,2005
cmr,15620,2006
cmr,15350,2007
can,84,1990
can,84,1991
can,83,1992
can,78,1993
can,76,1994
can,73,1995
can,72,1996
can,72,1997
can,72,1998
can,71,1999
can,71,2000
can,73,2001
can,77,2002
can,78,2003
can,82,2004
can,86,2005
can,90,2006
can,95,2007
cpv,0,1995
cpv,0,1996
cpv,0,1997
cpv,0,1998
cpv,0,1999
cpv,0,2000
cpv,0,2001
cpv,0,2002
cpv,0,2003
cpv,0,2004
cpv,0,2005
cpv,0,2006
cym,0,1995
cym,0,1996
cym,0,1997
cym,0,1998
cym,0,1999
cym,0,2000
cym,0,2001
cym,0,2002
cym,0,2003
cym,0,2004
cym,0,2005
cym,0,2006
caf,664,1990
caf,952,1991
caf,1265,1992
caf,1627,1993
caf,2011,1994
caf,2420,1995
caf,2809,1996
caf,3253,1997
caf,3725,1998
caf,4232,1999
caf,4786,2000
caf,5330,2001
caf,5830,2002
caf,6201,2003
caf,6377,2004
caf,6412,2005
caf,6363,2006
caf,6318,2007
tcd,452,1990
tcd,663,1991
tcd,916,1992
tcd,1240,1993
tcd,1630,1994
tcd,2096,1995
tcd,2601,1996
tcd,3211,1997
tcd,3899,1998
tcd,4677,1999
tcd,5552,2000
tcd,6459,2001
tcd,7347,2002
tcd,8079,2003
tcd,8534,2004
tcd,8755,2005
tcd,8807,2006
tcd,8837,2007
chl,26,1990
chl,35,1991
chl,46,1992
chl,59,1993
chl,72,1994
chl,85,1995
chl,97,1996
chl,106,1997
chl,113,1998
chl,116,1999
chl,117,2000
chl,116,2001
chl,114,2002
chl,111,2003
chl,108,2004
chl,104,2005
chl,100,2006
chl,96,2007
chn,1109,1990
chn,1542,1991
chn,2152,1992
chn,2936,1993
chn,3982,1994
chn,5290,1995
chn,6965,1996
chn,8905,1997
chn,11070,1998
chn,13380,1999
chn,15660,2000
chn,17850,2001
chn,19800,2002
chn,21450,2003
chn,22800,2004
chn,23860,2005
chn,24670,2006
chn,24700,2007
col,136,1990
col,189,1991
col,258,1992
col,339,1993
col,431,1994
col,526,1995
col,619,1996
col,702,1997
col,771,1998
col,827,1999
col,868,2000
col,898,2001
col,919,2002
col,932,2003
col,940,2004
col,943,2005
col,944,2006
col,945,2007
com,0,1990
com,1,1991
com,1,1992
com,1,1993
com,1,1994
com,1,1995
com,1,1996
com,1,1997
com,1,1998
com,2,1999
com,2,2000
com,2,2001
com,2,2002
com,2,2003
com,2,2004
com,3,2005
com,3,2006
com,3,2007
cog,1438,1990
cog,1773,1991
cog,2031,1992
cog,2280,1993
cog,2507,1994
cog,2734,1995
cog,2926,1996
cog,3169,1997
cog,3433,1998
cog,3726,1999
cog,4054,2000
cog,4373,2001
cog,4656,2002
cog,4837,2003
cog,4871,2004
cog,4805,2005
cog,4705,2006
cog,4596,2007
cok,0,1995
cok,0,1996
cok,0,1997
cok,0,1998
cok,0,1999
cok,0,2000
cok,0,2001
cok,0,2002
cok,0,2003
cok,0,2004
cok,0,2005
cok,0,2006
cri,1,1990
cri,1,1991
cri,1,1992
cri,2,1993
cri,2,1994
cri,3,1995
cri,5,1996
cri,7,1997
cri,9,1998
cri,12,1999
cri,15,2000
cri,18,2001
cri,20,2002
cri,22,2003
cri,24,2004
cri,25,2005
cri,26,2006
cri,27,2007
hrv,0,1995
hrv,0,1996
hrv,0,1997
hrv,0,1998
hrv,0,1999
hrv,0,2000
hrv,0,2001
hrv,0,2002
hrv,0,2003
hrv,0,2004
hrv,0,2005
hrv,0,2006
cub,0,1990
cub,0,1991
cub,0,1992
cub,0,1993
cub,0,1994
cub,0,1995
cub,0,1996
cub,4,1997
cub,5,1998
cub,6,1999
cub,8,2000
cub,9,2001
cub,10,2002
cub,11,2003
cub,12,2004
cub,13,2005
cub,14,2006
cub,14,2007
cyp,0,1995
cyp,0,1996
cyp,0,1997
cyp,0,1998
cyp,0,1999
cyp,0,2000
cyp,0,2001
cyp,0,2002
cyp,0,2003
cyp,0,2004
cyp,0,2005
cyp,0,2006
cze,2,1990
cze,3,1991
cze,4,1992
cze,5,1993
cze,6,1994
cze,7,1995
cze,7,1996
cze,8,1997
cze,8,1998
cze,8,1999
cze,7,2000
cze,7,2001
cze,6,2002
cze,6,2003
cze,6,2004
cze,5,2005
cze,5,2006
cze,5,2007
civ,4888,1990
civ,6991,1991
civ,9222,1992
civ,11710,1993
civ,14270,1994
civ,16910,1995
civ,19320,1996
civ,21990,1997
civ,24730,1998
civ,27550,1999
civ,30480,2000
civ,33100,2001
civ,35210,2002
civ,36280,2003
civ,36010,2004
civ,34840,2005
civ,33120,2006
civ,31420,2007
prk,0,1990
prk,0,1991
prk,0,1992
prk,0,1993
prk,0,1994
prk,0,1995
prk,0,1996
prk,0,1997
prk,0,1998
prk,0,1999
prk,0,2000
prk,0,2001
prk,157,2002
prk,160,2003
prk,166,2004
prk,172,2005
prk,173,2006
prk,174,2007
cod,3801,1990
cod,4338,1991
cod,4768,1992
cod,5249,1993
cod,5728,1994
cod,6242,1995
cod,6730,1996
cod,7370,1997
cod,8107,1998
cod,8993,1999
cod,10050,2000
cod,11180,2001
cod,12310,2002
cod,13250,2003
cod,13840,2004
cod,14140,2005
cod,14270,2006
cod,14430,2007
dnk,12,1990
dnk,11,1991
dnk,11,1992
dnk,11,1993
dnk,11,1994
dnk,10,1995
dnk,10,1996
dnk,10,1997
dnk,10,1998
dnk,10,1999
dnk,10,2000
dnk,11,2001
dnk,11,2002
dnk,12,2003
dnk,12,2004
dnk,13,2005
dnk,13,2006
dnk,14,2007
dji,75,1990
dji,121,1991
dji,189,1992
dji,282,1993
dji,403,1994
dji,548,1995
dji,710,1996
dji,878,1997
dji,1038,1998
dji,1184,1999
dji,1310,2000
dji,1417,2001
dji,1511,2002
dji,1593,2003
dji,1668,2004
dji,1741,2005
dji,1817,2006
dji,1895,2007
dma,0,1995
dma,0,1996
dma,0,1997
dma,0,1998
dma,0,1999
dma,0,2000
dma,0,2001
dma,0,2002
dma,0,2003
dma,0,2004
dma,0,2005
dma,0,2006
dom,640,1990
dom,790,1991
dom,937,1992
dom,1070,1993
dom,1178,1994
dom,1258,1995
dom,1311,1996
dom,1337,1997
dom,1341,1998
dom,1329,1999
dom,1305,2000
dom,1271,2001
dom,1229,2002
dom,1185,2003
dom,1141,2004
dom,1098,2005
dom,1057,2006
dom,1027,2007
ecu,361,1990
ecu,429,1991
ecu,504,1992
ecu,583,1993
ecu,664,1994
ecu,746,1995
ecu,826,1996
ecu,902,1997
ecu,971,1998
ecu,1033,1999
ecu,1085,2000
ecu,1128,2001
ecu,1162,2002
ecu,1186,2003
ecu,1203,2004
ecu,1213,2005
ecu,1218,2006
ecu,1222,2007
egy,55,1990
egy,67,1991
egy,81,1992
egy,95,1993
egy,111,1994
egy,129,1995
egy,147,1996
egy,160,1997
egy,177,1998
egy,195,1999
egy,213,2000
egy,232,2001
egy,246,2002
egy,259,2003
egy,269,2004
egy,278,2005
egy,288,2006
egy,295,2007
slv,55,1990
slv,79,1991
slv,111,1992
slv,150,1993
slv,195,1994
slv,241,1995
slv,284,1996
slv,320,1997
slv,347,1998
slv,366,1999
slv,377,2000
slv,382,2001
slv,382,2002
slv,379,2003
slv,374,2004
slv,369,2005
slv,363,2006
slv,357,2007
gnq,33,1990
gnq,47,1991
gnq,62,1992
gnq,80,1993
gnq,101,1994
gnq,125,1995
gnq,150,1996
gnq,178,1997
gnq,209,1998
gnq,242,1999
gnq,278,2000
gnq,314,2001
gnq,346,2002
gnq,371,2003
gnq,382,2004
gnq,384,2005
gnq,379,2006
gnq,373,2007
eri,37,1990
eri,63,1991
eri,105,1992
eri,162,1993
eri,225,1994
eri,282,1995
eri,327,1996
eri,363,1997
eri,393,1998
eri,421,1999
eri,450,2000
eri,481,2001
eri,516,2002
eri,555,2003
eri,597,2004
eri,642,2005
eri,689,2006
eri,739,2007
est,0,1990
est,0,1991
est,0,1992
est,0,1993
est,0,1994
est,0,1995
est,0,1996
est,1,1997
est,4,1998
est,11,1999
est,27,2000
est,54,2001
est,80,2002
est,94,2003
est,96,2004
est,92,2005
est,88,2006
est,84,2007
eth,5646,1990
eth,9328,1991
eth,13630,1992
eth,18470,1993
eth,23210,1994
eth,27730,1995
eth,31550,1996
eth,35610,1997
eth,39720,1998
eth,44070,1999
eth,48840,2000
eth,53530,2001
eth,57830,2002
eth,60920,2003
eth,62190,2004
eth,62160,2005
eth,61420,2006
eth,61090,2007
fji,0,1990
fji,0,1991
fji,0,1992
fji,0,1993
fji,0,1994
fji,0,1995
fji,1,1996
fji,1,1997
fji,1,1998
fji,2,1999
fji,2,2000
fji,3,2001
fji,3,2002
fji,3,2003
fji,4,2004
fji,4,2005
fji,4,2006
fji,4,2007
fin,0,1990
fin,0,1991
fin,0,1992
fin,0,1993
fin,0,1994
fin,0,1995
fin,0,1996
fin,1,1997
fin,2,1998
fin,5,1999
fin,6,2000
fin,7,2001
fin,7,2002
fin,6,2003
fin,6,2004
fin,5,2005
fin,5,2006
fin,5,2007
fra,236,1990
fra,274,1991
fra,314,1992
fra,346,1993
fra,382,1994
fra,407,1995
fra,433,1996
fra,454,1997
fra,464,1998
fra,461,1999
fra,461,2000
fra,462,2001
fra,474,2002
fra,469,2003
fra,472,2004
fra,477,2005
fra,480,2006
fra,484,2007
pyf,0,1995
pyf,0,1996
pyf,0,1997
pyf,0,1998
pyf,0,1999
pyf,0,2000
pyf,0,2001
pyf,0,2002
pyf,0,2003
pyf,0,2004
pyf,0,2005
pyf,0,2006
gab,111,1990
gab,145,1991
gab,189,1992
gab,246,1993
gab,317,1994
gab,372,1995
gab,481,1996
gab,578,1997
gab,742,1998
gab,850,1999
gab,1106,2000
gab,1250,2001
gab,1380,2002
gab,1422,2003
gab,1533,2004
gab,1726,2005
gab,1990,2006
gab,2257,2007
gmb,5,1990
gmb,9,1991
gmb,17,1992
gmb,30,1993
gmb,51,1994
gmb,83,1995
gmb,126,1996
gmb,178,1997
gmb,232,1998
gmb,281,1999
gmb,322,2000
gmb,355,2001
gmb,383,2002
gmb,408,2003
gmb,432,2004
gmb,454,2005
gmb,480,2006
gmb,506,2007
geo,0,1990
geo,0,1991
geo,0,1992
geo,0,1993
geo,0,1994
geo,0,1995
geo,0,1996
geo,0,1997
geo,0,1998
geo,0,1999
geo,6,2000
geo,11,2001
geo,19,2002
geo,31,2003
geo,49,2004
geo,73,2005
geo,101,2006
geo,128,2007
deu,136,1990
deu,147,1991
deu,162,1992
deu,175,1993
deu,182,1994
deu,184,1995
deu,188,1996
deu,190,1997
deu,190,1998
deu,187,1999
deu,173,2000
deu,159,2001
deu,147,2002
deu,145,2003
deu,139,2004
deu,131,2005
deu,123,2006
deu,114,2007
gha,145,1990
gha,381,1991
gha,936,1992
gha,2007,1993
gha,3493,1994
gha,4936,1995
gha,6010,1996
gha,6659,1997
gha,7010,1998
gha,7189,1999
gha,7284,2000
gha,7338,2001
gha,7368,2002
gha,7384,2003
gha,7387,2004
gha,7384,2005
gha,7387,2006
gha,7409,2007
grc,31,1990
grc,34,1991
grc,37,1992
grc,40,1993
grc,44,1994
grc,47,1995
grc,51,1996
grc,54,1997
grc,57,1998
grc,58,1999
grc,59,2000
grc,60,2001
grc,63,2002
grc,63,2003
grc,65,2004
grc,66,2005
grc,67,2006
grc,69,2007
grd,0,1995
grd,0,1996
grd,0,1997
grd,0,1998
grd,0,1999
grd,0,2000
grd,0,2001
grd,0,2002
grd,0,2003
grd,0,2004
grd,0,2005
grd,0,2006
gum,0,1995
gum,0,1996
gum,0,1997
gum,0,1998
gum,0,1999
gum,0,2000
gum,0,2001
gum,0,2002
gum,0,2003
gum,0,2004
gum,0,2005
gum,0,2006
gtm,27,1990
gtm,44,1991
gtm,73,1992
gtm,116,1993
gtm,179,1994
gtm,263,1995
gtm,365,1996
gtm,476,1997
gtm,579,1998
gtm,665,1999
gtm,727,2000
gtm,770,2001
gtm,796,2002
gtm,810,2003
gtm,817,2004
gtm,817,2005
gtm,817,2006
gtm,816,2007
gin,190,1990
gin,260,1991
gin,353,1992
gin,472,1993
gin,620,1994
gin,800,1995
gin,1013,1996
gin,1260,1997
gin,1542,1998
gin,1856,1999
gin,2204,2000
gin,2580,2001
gin,2978,2002
gin,3395,2003
gin,3827,2004
gin,4273,2005
gin,4744,2006
gin,5200,2007
gnb,32,1990
gnb,47,1991
gnb,69,1992
gnb,99,1993
gnb,138,1994
gnb,186,1995
gnb,242,1996
gnb,302,1997
gnb,364,1998
gnb,425,1999
gnb,481,2000
gnb,533,2001
gnb,579,2002
gnb,620,2003
gnb,657,2004
gnb,690,2005
gnb,722,2006
gnb,755,2007
guy,27,1990
guy,43,1991
guy,47,1992
guy,73,1993
guy,95,1994
guy,128,1995
guy,144,1996
guy,141,1997
guy,145,1998
guy,142,1999
guy,152,2000
guy,172,2001
guy,196,2002
guy,217,2003
guy,222,2004
guy,232,2005
guy,232,2006
guy,233,2007
hti,2670,1990
hti,3355,1991
hti,3894,1992
hti,4328,1993
hti,4659,1994
hti,4888,1995
hti,5063,1996
hti,5201,1997
hti,5364,1998
hti,5538,1999
hti,5687,2000
hti,5838,2001
hti,5982,2002
hti,6113,2003
hti,6235,2004
hti,6384,2005
hti,6539,2006
hti,6713,2007
hnd,741,1990
hnd,835,1991
hnd,853,1992
hnd,837,1993
hnd,809,1994
hnd,775,1995
hnd,742,1996
hnd,708,1997
hnd,675,1998
hnd,642,1999
hnd,610,2000
hnd,581,2001
hnd,552,2002
hnd,525,2003
hnd,500,2004
hnd,477,2005
hnd,456,2006
hnd,440,2007
hun,6,1990
hun,8,1991
hun,12,1992
hun,16,1993
hun,21,1994
hun,26,1995
hun,32,1996
hun,35,1997
hun,37,1998
hun,36,1999
hun,35,2000
hun,34,2001
hun,33,2002
hun,31,2003
hun,28,2004
hun,25,2005
hun,22,2006
hun,20,2007
isl,0,1990
isl,0,1991
isl,0,1992
isl,0,1993
isl,0,1994
isl,0,1995
isl,0,1996
isl,0,1997
isl,0,1998
isl,0,1999
isl,0,2000
isl,0,2001
isl,0,2002
isl,0,2003
isl,0,2004
isl,0,2005
isl,0,2006
isl,0,2007
ind,2282,1990
ind,4674,1991
ind,9353,1992
ind,17890,1993
ind,32420,1994
ind,52910,1995
ind,75730,1996
ind,94620,1997
ind,107100,1998
ind,113000,1999
ind,115400,2000
ind,115400,2001
ind,114800,2002
ind,114000,2003
ind,111800,2004
ind,109000,2005
ind,105900,2006
ind,103100,2007
idn,0,1990
idn,0,1991
idn,0,1992
idn,0,1993
idn,0,1994
idn,0,1995
idn,0,1996
idn,26,1997
idn,207,1998
idn,1338,1999
idn,4196,2000
idn,6465,2001
idn,7910,2002
idn,9417,2003
idn,11000,2004
idn,12610,2005
idn,14290,2006
idn,16000,2007
irn,8,1990
irn,13,1991
irn,22,1992
irn,32,1993
irn,50,1994
irn,74,1995
irn,108,1996
irn,139,1997
irn,181,1998
irn,236,1999
irn,302,2000
irn,365,2001
irn,418,2002
irn,452,2003
irn,462,2004
irn,471,2005
irn,482,2006
irn,485,2007
irq,0,1995
irq,0,1996
irq,0,1997
irq,0,1998
irq,0,1999
irq,0,2000
irq,0,2001
irq,0,2002
irq,0,2003
irq,0,2004
irq,0,2005
irq,0,2006
irl,1,1990
irl,1,1991
irl,3,1992
irl,4,1993
irl,7,1994
irl,9,1995
irl,11,1996
irl,13,1997
irl,15,1998
irl,16,1999
irl,16,2000
irl,15,2001
irl,15,2002
irl,15,2003
irl,16,2004
irl,17,2005
irl,17,2006
irl,18,2007
isr,9,1990
isr,10,1991
isr,11,1992
isr,12,1993
isr,13,1994
isr,14,1995
isr,16,1996
isr,17,1997
isr,18,1998
isr,18,1999
isr,19,2000
isr,19,2001
isr,21,2002
isr,21,2003
isr,22,2004
isr,22,2005
isr,23,2006
isr,24,2007
ita,458,1990
ita,436,1991
ita,418,1992
ita,394,1993
ita,379,1994
ita,361,1995
ita,348,1996
ita,338,1997
ita,327,1998
ita,310,1999
ita,299,2000
ita,292,2001
ita,292,2002
ita,285,2003
ita,283,2004
ita,283,2005
ita,282,2006
ita,282,2007
jam,7,1990
jam,9,1991
jam,11,1992
jam,14,1993
jam,18,1994
jam,21,1995
jam,24,1996
jam,27,1997
jam,29,1998
jam,31,1999
jam,33,2000
jam,35,2001
jam,36,2002
jam,37,2003
jam,38,2004
jam,39,2005
jam,39,2006
jam,40,2007
jpn,103,1990
jpn,112,1991
jpn,122,1992
jpn,128,1993
jpn,132,1994
jpn,134,1995
jpn,141,1996
jpn,153,1997
jpn,162,1998
jpn,168,1999
jpn,165,2000
jpn,160,2001
jpn,154,2002
jpn,149,2003
jpn,144,2004
jpn,137,2005
jpn,132,2006
jpn,126,2007
jor,0,1995
jor,0,1996
jor,0,1997
jor,0,1998
jor,0,1999
jor,0,2000
jor,0,2001
jor,0,2002
jor,0,2003
jor,0,2004
jor,0,2005
jor,0,2006
kaz,1,1990
kaz,2,1991
kaz,2,1992
kaz,3,1993
kaz,5,1994
kaz,8,1995
kaz,15,1996
kaz,27,1997
kaz,48,1998
kaz,81,1999
kaz,124,2000
kaz,180,2001
kaz,248,2002
kaz,325,2003
kaz,399,2004
kaz,460,2005
kaz,519,2006
kaz,563,2007
ken,10320,1990
ken,12740,1991
ken,17430,1992
ken,23090,1993
ken,29980,1994
ken,37090,1995
ken,44680,1996
ken,53900,1997
ken,62630,1998
ken,70290,1999
ken,74930,2000
ken,75500,2001
ken,77190,2002
ken,79700,2003
ken,79800,2004
ken,72860,2005
ken,66360,2006
ken,63340,2007
kir,0,1995
kir,0,1996
kir,0,1997
kir,0,1998
kir,0,1999
kir,0,2000
kir,0,2001
kir,0,2002
kir,0,2003
kir,0,2004
kir,0,2005
kir,0,2006
kwt,0,1995
kwt,0,1996
kwt,0,1997
kwt,0,1998
kwt,0,1999
kwt,0,2000
kwt,0,2001
kwt,0,2002
kwt,0,2003
kwt,0,2004
kwt,0,2005
kwt,0,2006
kgz,0,1990
kgz,0,1991
kgz,0,1992
kgz,0,1993
kgz,0,1994
kgz,0,1995
kgz,0,1996
kgz,6,1997
kgz,11,1998
kgz,19,1999
kgz,33,2000
kgz,52,2001
kgz,76,2002
kgz,102,2003
kgz,127,2004
kgz,152,2005
kgz,171,2006
kgz,186,2007
lao,0,1990
lao,3,1991
lao,4,1992
