agriculture_percent_of_gdp,geo,time
3.157,bhs,1994
3.345,bhs,1995
3.128,bhs,1996
3.375,bhs,1997
2.993,bhs,1998
2.667,bhs,1999
2.85,bhs,2000
2.62,bhs,2001
3.124,bhs,2002
2.765,bhs,2003
2.343,bhs,2004
2.194,bhs,2005
2.452,bhs,2006
2.327,bhs,2007
2.293,bhs,2008
2.077,bhs,2009
2.212,bhs,2010
2.179,bhs,2011
0.9844,bhr,1980
1.012,bhr,1981
1.058,bhr,1982
1.154,bhr,1983
1.117,bhr,1984
1.194,bhr,1985
1.369,bhr,1986
1.343,bhr,1987
1.18,bhr,1988
1.135,bhr,1989
0.9493,bhr,1990
0.8821,bhr,1991
0.9099,bhr,1992
0.8514,bhr,1993
0.8603,bhr,1994
0.8629,bhr,1995
31.55,bgd,1980
31.7,bgd,1981
31.17,bgd,1982
30.69,bgd,1983
32.29,bgd,1984
32.77,bgd,1985
31.94,bgd,1986
32.43,bgd,1987
31.05,bgd,1988
30.36,bgd,1989
30.25,bgd,1990
30.37,bgd,1991
29.38,bgd,1992
26.25,bgd,1993
25.63,bgd,1994
26.38,bgd,1995
25.68,bgd,1996
25.78,bgd,1997
25.45,bgd,1998
26.18,bgd,1999
25.51,bgd,2000
24.1,bgd,2001
22.73,bgd,2002
21.75,bgd,2003
21.04,bgd,2004
20.14,bgd,2005
19.61,bgd,2006
19.24,bgd,2007
19.01,bgd,2008
18.73,bgd,2009
18.59,bgd,2010
18.43,bgd,2011
20.25,brb,1961
19.36,brb,1962
23.07,brb,1963
19.88,brb,1964
20.01,brb,1965
19.62,brb,1966
19.19,brb,1967
14.63,brb,1968
11.96,brb,1969
10.97,brb,1970
9.403,brb,1971
9.871,brb,1972
10.36,brb,1973
10.7,brb,1974
13.33,brb,1975
9.492,brb,1976
10.31,brb,1977
9.315,brb,1978
9.181,brb,1979
9.909,brb,1980
6.975,brb,1981
6.843,brb,1982
7.14,brb,1983
6.71,brb,1984
6.237,brb,1985
6.377,brb,1986
6.867,brb,1987
6.481,brb,1988
5.162,brb,1989
7.4,brb,1990
7.438,brb,1991
7.091,brb,1992
6.772,brb,1993
6.452,brb,1994
6.303,brb,1995
7.24,brb,1996
6.993,brb,1997
5.806,brb,1998
6.245,brb,1999
4.293,brb,2000
4.604,brb,2001
3.763,brb,2002
4.464,brb,2003
3.542,brb,2004
3.765,brb,2005
3.107,brb,2006
2.804,brb,2007
3.157,brb,2008
3.027,brb,2009
23.55,blr,1990
20.99,blr,1991
23.57,blr,1992
18.29,blr,1993
15.0,blr,1994
17.46,blr,1995
17.03,blr,1996
15.38,blr,1997
13.87,blr,1998
14.64,blr,1999
14.15,blr,2000
11.87,blr,2001
11.78,blr,2002
10.2,blr,2003
10.33,blr,2004
9.774,blr,2005
9.752,blr,2006
9.343,blr,2007
9.776,blr,2008
9.435,blr,2009
9.225,blr,2010
8.133,blr,2011
4.021,bel,1970
3.973,bel,1971
4.551,bel,1972
4.375,bel,1973
3.345,bel,1974
3.286,bel,1975
3.373,bel,1976
2.818,bel,1977
2.9,bel,1978
2.582,bel,1979
2.324,bel,1980
2.473,bel,1981
2.575,bel,1982
2.672,bel,1983
2.536,bel,1984
2.354,bel,1985
2.278,bel,1986
2.082,bel,1987
2.037,bel,1988
2.32,bel,1989
2.071,bel,1990
1.975,bel,1991
1.861,bel,1992
1.776,bel,1993
1.721,bel,1994
1.514,bel,1995
1.545,bel,1996
1.561,bel,1997
1.456,bel,1998
1.29,bel,1999
1.378,bel,2000
1.316,bel,2001
1.175,bel,2002
1.117,bel,2003
1.109,bel,2004
0.8279,bel,2005
0.9013,bel,2006
0.8814,bel,2007
0.6698,bel,2008
0.6718,bel,2009
0.6974,bel,2010
31.36,blz,1978
30.77,blz,1979
27.44,blz,1980
26.13,blz,1981
22.51,blz,1982
21.48,blz,1983
20.83,blz,1984
20.37,blz,1985
20.95,blz,1986
22.75,blz,1987
22.28,blz,1988
20.39,blz,1989
19.98,blz,1990
18.29,blz,1991
17.64,blz,1992
16.71,blz,1993
16.86,blz,1994
17.77,blz,1995
17.75,blz,1996
17.4,blz,1997
16.74,blz,1998
17.28,blz,1999
16.75,blz,2000
15.16,blz,2001
14.77,blz,2002
16.63,blz,2003
16.47,blz,2004
15.3,blz,2005
14.61,blz,2006
12.27,blz,2007
12.13,blz,2008
46.19,ben,1961
44.71,ben,1962
43.72,ben,1963
45.53,ben,1964
44.62,ben,1965
45.15,ben,1966
42.08,ben,1967
38.87,ben,1968
38.5,ben,1969
36.33,ben,1970
34.36,ben,1971
34.23,ben,1972
33.62,ben,1973
31.53,ben,1974
30.54,ben,1975
33.2,ben,1976
31.86,ben,1977
34.54,ben,1978
34.99,ben,1979
35.43,ben,1980
32.66,ben,1981
32.5,ben,1982
33.16,ben,1983
33.31,ben,1984
31.55,ben,1985
33.67,ben,1986
33.28,ben,1987
34.38,ben,1988
37.86,ben,1989
36.08,ben,1990
36.33,ben,1991
36.0,ben,1992
33.76,ben,1993
33.45,ben,1994
34.03,ben,1995
37.66,ben,1996
37.48,ben,1997
38.21,ben,1998
37.85,ben,1999
36.53,ben,2000
35.53,ben,2001
33.76,ben,2002
32.09,ben,2003
32.08,ben,2004
32.2,ben,2005
0.8445,bmu,1996
0.8425,bmu,1997
0.7366,bmu,1998
0.7386,bmu,1999
0.7062,bmu,2000
0.7289,bmu,2001
0.8354,bmu,2002
0.8624,bmu,2003
0.8869,bmu,2004
0.8416,bmu,2005
0.8956,bmu,2006
0.7993,bmu,2007
0.8211,bmu,2008
0.77,bmu,2009
0.7729,bmu,2010
43.48,btn,1981
42.98,btn,1982
43.47,btn,1983
43.63,btn,1984
44.19,btn,1985
43.84,btn,1986
40.13,btn,1987
38.04,btn,1988
37.36,btn,1989
36.32,btn,1990
35.39,btn,1991
35.03,btn,1992
34.16,btn,1993
34.6,btn,1994
34.29,btn,1995
32.51,btn,1996
32.33,btn,1997
31.56,btn,1998
29.55,btn,1999
28.43,btn,2000
27.66,btn,2001
26.98,btn,2002
26.32,btn,2003
25.58,btn,2004
23.18,btn,2005
22.14,btn,2006
19.23,btn,2007
18.98,btn,2008
18.75,btn,2009
20.78,bol,1970
20.94,bol,1971
20.19,bol,1972
21.03,bol,1973
22.0,bol,1974
21.79,bol,1975
21.29,bol,1976
20.85,bol,1977
19.13,bol,1978
18.59,bol,1979
19.02,bol,1980
19.27,bol,1981
17.63,bol,1982
20.69,bol,1983
22.75,bol,1984
20.56,bol,1985
18.33,bol,1986
17.82,bol,1987
17.16,bol,1988
16.67,bol,1989
16.74,bol,1990
17.09,bol,1991
16.03,bol,1992
16.33,bol,1993
17.11,bol,1994
16.88,bol,1995
16.38,bol,1996
17.24,bol,1997
14.67,bol,1998
15.11,bol,1999
15.01,bol,2000
15.22,bol,2001
14.9,bol,2002
15.42,bol,2003
15.37,bol,2004
14.38,bol,2005
13.88,bol,2006
12.88,bol,2007
13.47,bol,2008
13.83,bol,2009
12.85,bol,2010
11.75,bol,2011
35.85,bih,1994
20.7,bih,1995
25.21,bih,1996
21.34,bih,1997
19.44,bih,1998
16.15,bih,1999
10.58,bih,2000
10.76,bih,2001
10.09,bih,2002
8.964,bih,2003
10.74,bih,2004
10.55,bih,2005
10.42,bih,2006
8.801,bih,2007
7.919,bih,2008
7.838,bih,2009
7.599,bih,2010
8.699,bih,2011
41.87,bwa,1961
40.46,bwa,1962
39.38,bwa,1963
38.43,bwa,1964
33.84,bwa,1965
39.3,bwa,1966
29.88,bwa,1975
