geo,water_withdrawal_cu_meters_per_person,time
pak,1129.0,2002
pan,267.7,2002
png,12.55,2002
pry,109.8,1987
pry,87.96,2002
per,838.5,1992
per,764.8,2002
phl,386.5,1997
phl,358.8,2002
pol,463.3,1982
pol,422.6,2002
prt,1088.0,2002
qat,788.2,1977
qat,515.5,1997
qat,422.1,2002
qat,540.6,2007
kor,393.2,2002
mda,671.8,1992
mda,572.8,2002
rou,1132.0,1982
rou,851.4,1992
rou,1057.0,2002
rus,553.2,1992
rus,518.6,1997
rus,524.6,2002
rwa,17.12,2002
lca,101.8,2007
vct,87.14,1997
stp,52.73,1997
sau,992.9,1992
sau,978.9,2007
sen,188.3,1987
sen,203.9,2002
syc,161.8,1992
syc,142.8,2007
sle,97.34,1987
sle,77.17,2002
sgp,81.97,1977
som,123.3,1987
som,439.0,2002
som,390.5,2007
zaf,345.8,1992
zaf,268.3,2002
esp,1187.0,1987
esp,860.9,2002
lka,557.3,1992
lka,667.6,2002
sdn,582.1,1987
sdn,568.3,1992
sdn,573.4,1997
sdn,1074.0,2002
sur,1172.0,1987
sur,1511.0,2002
swz,1008.0,1982
swz,956.6,2002
swe,345.7,1992
swe,331.8,2002
che,481.2,1987
che,350.9,2002
syr,414.0,1977
syr,940.3,1997
syr,939.6,2002
syr,860.0,2007
tjk,2177.0,1992
tjk,2000.0,1997
tjk,1893.0,2002
tha,1412.0,2002
tgo,25.26,1987
tgo,29.42,2002
tto,231.3,1997
tto,236.6,2002
tun,179.6,1977
tun,279.4,1982
tun,299.0,1987
tun,360.0,1992
tun,269.9,2002
tur,531.4,1992
tur,598.8,2002
tur,542.5,2007
tkm,6366.0,1992
tkm,5486.0,1997
tkm,5324.0,2002
uga,19.98,1972
uga,11.41,2002
ukr,781.4,2002
are,762.4,1982
are,771.0,1997
are,941.0,2007
gbr,252.1,1992
gbr,160.6,2002
tza,145.6,2002
usa,2113.0,1987
usa,780.2,1992
usa,1648.0,2002
ury,236.5,1967
ury,947.0,2002
uzb,2905.0,1992
uzb,2451.0,1997
uzb,2292.0,2002
ven,357.3,1972
ven,330.4,2002
vnm,684.6,1982
vnm,731.8,1987
vnm,786.0,1992
vnm,876.6,2002
yem,216.3,1992
yem,176.2,2002
zmb,203.8,1992
zmb,175.1,1997
zmb,160.1,2002
zwe,128.1,1987
zwe,327.0,2002
