geo,education_aid_given_percent_of_aid,time
deu,23.48,1992
deu,21.08,1993
deu,24.74,1994
deu,25.21,1995
deu,20.66,1996
deu,20.24,1997
deu,24.82,1998
deu,22.23,1999
deu,23.82,2000
deu,21.2,2001
deu,25.07,2002
deu,26.42,2003
deu,23.57,2004
deu,8.857,2005
deu,24.08,2006
deu,24.49,2007
grc,57.33,1995
grc,57.34,1996
grc,39.71,1997
grc,20.35,1998
grc,8.185,1999
grc,7.832,2000
grc,10.68,2001
grc,8.564,2002
grc,39.94,2003
grc,17.27,2004
grc,25.93,2005
grc,16.64,2006
grc,29.43,2007
irl,29.34,1985
irl,34.3,1986
irl,31.44,1987
irl,26.42,1988
irl,28.24,1989
irl,41.44,1991
irl,33.5,1992
irl,23.32,1994
irl,28.47,1995
irl,28.47,1996
irl,28.44,1998
irl,29.85,1999
irl,28.98,2000
irl,27.47,2001
irl,24.78,2002
irl,19.09,2003
irl,17.54,2004
irl,18.82,2005
irl,15.1,2006
irl,18.73,2007
ita,20.1,1971
ita,95.8,1972
ita,39.55,1975
ita,45.93,1977
ita,46.15,1978
ita,23.17,1979
ita,21.87,1980
ita,11.94,1981
ita,11.43,1982
ita,6.651,1983
ita,7.195,1984
ita,7.174,1985
ita,4.942,1986
ita,5.066,1987
ita,6.925,1988
ita,6.278,1989
ita,9.992,1990
ita,9.04,1991
ita,6.076,1992
ita,15.66,1993
ita,12.26,1994
ita,16.75,1995
ita,11.75,1996
ita,10.75,1997
ita,17.98,1998
ita,13.49,1999
ita,6.667,2000
ita,19.2,2001
ita,24.34,2002
ita,7.744,2003
ita,15.29,2004
ita,7.355,2005
ita,5.727,2006
ita,7.654,2007
jpn,12.62,1971
jpn,12.33,1972
jpn,2.924,1973
jpn,1.084,1974
jpn,2.152,1975
jpn,2.568,1976
jpn,2.873,1977
jpn,3.195,1978
jpn,2.921,1979
jpn,3.093,1980
jpn,3.578,1981
jpn,3.728,1982
jpn,7.149,1983
jpn,5.996,1984
jpn,8.757,1985
jpn,10.97,1986
jpn,7.737,1987
jpn,6.13,1988
jpn,8.59,1989
jpn,9.807,1990
jpn,8.791,1991
jpn,8.535,1992
jpn,7.988,1993
jpn,10.24,1994
jpn,10.49,1995
jpn,6.517,1996
jpn,6.93,1997
jpn,7.89,1998
jpn,12.54,1999
jpn,7.586,2000
jpn,9.526,2001
jpn,12.87,2002
jpn,13.4,2003
jpn,15.19,2004
jpn,8.759,2005
jpn,10.99,2006
jpn,8.117,2007
lux,10.32,1992
lux,3.937,1993
lux,21.54,1995
lux,21.55,1996
lux,30.86,1997
lux,29.93,1998
lux,28.89,1999
lux,29.4,2000
lux,21.39,2004
lux,21.04,2005
lux,23.76,2006
lux,15.63,2007
nld,42.02,1972
nld,32.57,1973
nld,12.38,1974
nld,15.03,1975
nld,10.95,1976
nld,11.64,1977
nld,12.49,1978
nld,12.66,1979
nld,10.75,1980
nld,15.53,1981
nld,16.64,1982
nld,16.24,1983
nld,16.97,1984
nld,18.51,1985
nld,13.43,1986
nld,7.351,1987
nld,10.09,1988
nld,10.78,1989
nld,20.12,1990
nld,29.08,1991
nld,8.702,1992
nld,5.085,1993
nld,15.12,1994
nld,9.117,1995
nld,12.48,1996
nld,13.75,1997
nld,18.17,1998
nld,20.07,1999
nld,17.62,2000
