geo,aged_65plus_labour_force_participation_rate_percent,time
afg,28.5,1980
afg,28.7,1981
afg,29.0,1982
afg,29.2,1983
afg,29.4,1984
afg,29.7,1985
afg,29.9,1986
afg,30.1,1987
afg,30.3,1988
afg,30.6,1989
afg,30.8,1990
afg,31.0,1991
afg,31.2,1992
afg,31.4,1993
afg,31.5,1994
afg,31.7,1995
afg,31.8,1996
afg,32.0,1997
afg,32.2,1998
afg,32.4,1999
afg,32.6,2000
afg,32.7,2001
afg,32.8,2002
afg,33.0,2003
afg,33.1,2004
afg,33.2,2005
afg,33.2,2006
afg,41.7,2007
alb,10.2,1980
alb,10.8,1981
alb,11.1,1982
alb,11.7,1983
alb,12.2,1984
alb,12.2,1985
alb,12.6,1986
alb,11.9,1987
alb,11.2,1988
alb,12.2,1989
alb,10.5,1990
alb,19.8,1991
alb,20.2,1992
alb,19.7,1993
alb,19.2,1994
alb,18.7,1995
alb,18.1,1996
alb,18.8,1997
alb,18.1,1998
alb,17.5,1999
alb,17.1,2000
alb,16.8,2001
alb,16.7,2002
alb,16.5,2003
alb,16.2,2004
alb,15.9,2005
alb,15.6,2006
alb,15.0,2007
dza,17.5,1980
dza,17.6,1981
dza,17.3,1982
dza,17.1,1983
dza,16.8,1984
dza,16.7,1985
dza,17.1,1986
dza,17.7,1987
dza,18.1,1988
dza,18.0,1989
dza,18.4,1990
dza,19.0,1991
dza,19.3,1992
dza,20.6,1993
dza,21.4,1994
dza,21.3,1995
dza,21.3,1996
dza,22.1,1997
dza,22.1,1998
dza,22.3,1999
dza,22.6,2000
dza,23.4,2001
dza,23.3,2002
dza,22.7,2003
dza,22.4,2004
dza,22.1,2005
dza,22.1,2006
dza,22.6,2007
ago,54.7,1980
ago,54.7,1981
ago,54.6,1982
ago,54.5,1983
ago,54.5,1984
ago,54.4,1985
ago,54.5,1986
ago,54.4,1987
ago,53.9,1988
ago,54.0,1989
ago,54.0,1990
ago,54.3,1991
ago,53.6,1992
ago,54.9,1993
ago,53.9,1994
ago,55.3,1995
ago,55.2,1996
ago,55.2,1997
ago,54.8,1998
ago,54.5,1999
ago,54.7,2000
ago,54.6,2001
ago,54.3,2002
ago,54.3,2003
ago,54.0,2004
ago,53.6,2005
ago,53.0,2006
ago,53.0,2007
arg,11.2,1980
arg,11.9,1981
arg,12.6,1982
arg,13.3,1983
arg,12.7,1984
arg,12.2,1985
arg,12.1,1986
arg,12.0,1987
arg,12.0,1988
arg,12.0,1989
arg,11.5,1990
arg,16.6,1991
arg,16.6,1992
arg,16.6,1993
arg,16.7,1994
arg,16.7,1995
arg,16.7,1996
arg,16.8,1997
arg,16.9,1998
arg,17.0,1999
arg,17.1,2000
arg,17.2,2001
arg,17.3,2002
arg,17.4,2003
arg,17.5,2004
arg,17.6,2005
arg,17.8,2006
arg,17.9,2007
arm,5.7,1980
arm,6.2,1981
arm,6.3,1982
arm,6.6,1983
arm,7.0,1984
arm,7.4,1985
arm,6.9,1986
arm,6.7,1987
arm,7.3,1988
arm,6.9,1989
arm,6.5,1990
arm,12.0,1991
arm,13.9,1992
arm,14.8,1993
arm,14.9,1994
arm,14.5,1995
arm,14.3,1996
arm,14.2,1997
arm,13.6,1998
arm,13.4,1999
