tax_revenue_percent_of_gdp,geo,time
6.291,afg,2006
5.288,afg,2007
5.226,afg,2008
7.266,afg,2009
8.314,afg,2010
13.42,alb,1995
9.41,alb,1996
10.19,alb,1997
13.6,alb,1998
16.11,alb,2002
17.07,alb,2003
17.29,alb,2004
40.7,dza,2006
37.2,dza,2007
45.26,dza,2008
34.91,dza,2009
9.819,arg,2002
12.52,arg,2003
14.2,arg,2004
14.0,arm,2003
14.0,arm,2004
14.34,arm,2005
14.4,arm,2006
15.96,arm,2007
17.32,arm,2008
16.51,arm,2009
16.87,arm,2010
22.38,aus,1999
22.98,aus,2000
24.69,aus,2001
23.38,aus,2002
24.22,aus,2003
24.22,aus,2004
24.73,aus,2005
24.49,aus,2006
24.0,aus,2007
24.09,aus,2008
22.15,aus,2009
17.81,aut,1995
18.89,aut,1996
20.0,aut,1997
20.19,aut,1998
20.09,aut,1999
19.79,aut,2000
21.52,aut,2001
20.96,aut,2002
21.07,aut,2003
20.79,aut,2004
20.09,aut,2005
19.68,aut,2006
19.98,aut,2007
20.11,aut,2008
18.69,aut,2009
15.85,aze,2008
13.86,bhs,1990
13.64,bhs,1991
15.43,bhs,1992
15.39,bhs,1993
16.72,bhs,1994
17.35,bhs,1995
17.05,bhs,1996
13.27,bhs,1997
12.73,bhs,1998
13.18,bhs,1999
13.63,bhs,2000
12.58,bhs,2001
11.49,bhs,2002
11.86,bhs,2003
12.03,bhs,2004
12.77,bhs,2005
14.36,bhs,2006
14.5,bhs,2007
15.48,bhs,2008
14.47,bhs,2009
14.4,bhs,2010
5.187,bhr,1990
5.041,bhr,1991
5.391,bhr,1992
5.35,bhr,1993
5.173,bhr,1994
4.797,bhr,1995
5.043,bhr,1996
5.098,bhr,1997
5.664,bhr,1998
5.013,bhr,1999
4.244,bhr,2000
4.646,bhr,2001
4.044,bhr,2002
3.757,bhr,2003
4.935,bhr,2004
1.378,bhr,2005
1.361,bhr,2006
1.347,bhr,2007
7.597,bgd,2001
7.698,bgd,2002
8.071,bgd,2003
8.111,bgd,2004
8.221,bgd,2005
8.172,bgd,2006
8.049,bgd,2007
8.818,bgd,2008
8.599,bgd,2009
35.59,brb,2007
33.15,brb,2008
20.44,blr,1992
26.63,blr,1993
24.75,blr,1994
19.89,blr,1995
18.8,blr,1996
20.73,blr,1997
17.11,blr,1998
16.67,blr,1999
16.62,blr,2000
15.75,blr,2001
14.2,blr,2002
17.69,blr,2003
18.37,blr,2004
20.15,blr,2005
