contraceptive_use_percent_of_women_ages_15_49,geo,time
79.6,kor,2006
80.0,kor,2009
39.0,kwt,1985
34.6,kwt,1987
49.8,kwt,1994
50.2,kwt,1996
52.0,kwt,1999
59.5,kgz,1997
47.8,kgz,2006
18.6,lao,1993
20.0,lao,1995
32.2,lao,2000
38.4,lao,2005
48.0,lva,1995
53.0,lbn,1971
61.1,lbn,1996
62.7,lbn,2000
58.0,lbn,2002
58.0,lbn,2004
7.2,lso,1977
23.2,lso,1992
29.1,lso,1995
30.4,lso,2000
40.6,lso,2001
38.0,lso,2002
37.3,lso,2005
47.0,lso,2009
6.4,lbr,1986
10.0,lbr,2000
11.4,lbr,2007
45.2,lby,1995
50.7,ltu,1995
43.2,mkd,1970
13.5,mkd,2005
16.7,mdg,1992
19.4,mdg,1997
25.0,mdg,1999
18.8,mdg,2000
27.1,mdg,2004
39.9,mdg,2009
6.9,mwi,1984
13.0,mwi,1992
21.9,mwi,1996
30.6,mwi,2000
32.5,mwi,2004
41.0,mwi,2006
33.0,mys,1974
51.4,mys,1984
48.3,mys,1988
50.1,mys,1989
54.5,mys,1994
29.0,mdv,1991
42.0,mdv,1999
39.0,mdv,2004
34.7,mdv,2009
4.7,mli,1987
6.7,mli,1996
8.1,mli,2001
8.2,mli,2006
87.0,mlt,1971
85.8,mlt,1993
22.7,mhl,1970
27.2,mhl,1985
37.0,mhl,1994
34.0,mhl,2001
44.6,mhl,2007
0.8,mrt,1981
4.1,mrt,1992
8.0,mrt,2001
9.3,mrt,2007
45.7,mus,1975
74.6,mus,1985
74.6,mus,1991
75.9,mus,2002
30.3,mex,1977
37.8,mex,1979
47.7,mex,1982
52.7,mex,1987
63.1,mex,1992
66.5,mex,1995
68.4,mex,1997
70.0,mex,2000
74.5,mex,2003
73.0,mex,2004
73.7,mex,2005
70.9,mex,2006
72.5,mex,2009
45.0,fsm,1998
23.0,fsm,2004
73.7,mda,1997
62.4,mda,2000
67.8,mda,2005
57.3,mng,1994
59.9,mng,1998
67.4,mng,2000
69.0,mng,2003
66.0,mng,2005
55.2,mng,2008
49.5,mne,1970
52.7,mne,2000
39.4,mne,2006
19.4,mar,1980
25.5,mar,1984
35.9,mar,1987
41.5,mar,1992
50.3,mar,1995
58.4,mar,1997
63.0,mar,2004
5.6,moz,1997
16.5,moz,2004
16.2,moz,2008
5.0,mmr,1980
16.8,mmr,1991
32.7,mmr,1997
37.0,mmr,2001
34.3,mmr,2003
41.0,mmr,2007
40.9,nam,1989
28.9,nam,1992
43.7,nam,2000
55.1,nam,2007
2.4,npl,1976
6.8,npl,1981
15.1,npl,1986
24.1,npl,1991
28.5,npl,1996
37.3,npl,2000
39.3,npl,2001
38.3,npl,2004
48.0,npl,2006
75.0,nld,1975
73.0,nld,1977
76.9,nld,1982
72.0,nld,1985
76.2,nld,1988
78.5,nld,1993
71.0,nld,1998
67.0,nld,2003
69.0,nld,2008
70.1,nzl,1976
75.0,nzl,1995
27.0,nic,1981
48.7,nic,1993
60.3,nic,1998
68.6,nic,2001
72.4,nic,2007
4.4,ner,1992
8.2,ner,1998
14.0,ner,2000
11.2,ner,2006
18.0,ner,2010
6.8,nga,1982
6.0,nga,1990
13.4,nga,1994
15.3,nga,1999
12.6,nga,2003
14.7,nga,2007
14.6,nga,2008
20.5,mnp,1970
71.0,nor,1978
73.8,nor,1989
86.5,nor,1998
88.4,nor,2005
8.6,omn,1989
23.7,omn,1995
31.7,omn,2000
24.4,omn,2008
5.4,pak,1975
3.3,pak,1980
9.1,pak,1985
14.5,pak,1990
11.8,pak,1991
21.9,pak,1993
17.8,pak,1995
13.0,pak,1996
23.9,pak,1997
17.0,pak,1999
27.6,pak,2001
32.1,pak,2003
26.0,pak,2006
29.6,pak,2007
27.0,pak,2008
17.2,plw,2000
32.8,plw,2003
21.0,plw,2007
53.9,pan,1976
60.6,pan,1979
58.2,pan,1985
52.2,pan,2009
25.9,png,1996
32.4,png,2006
28.6,pry,1977
37.7,pry,1979
44.8,pry,1987
48.4,pry,1990
55.9,pry,1996
61.8,pry,1998
72.8,pry,2004
79.4,pry,2008
26.0,per,1970
31.4,per,1978
41.0,per,1981
45.8,per,1986
59.0,per,1992
64.2,per,1996
68.9,per,2000
70.5,per,2004
71.3,per,2006
72.4,per,2008
73.2,per,2009
74.4,per,2010
15.4,phl,1968
36.2,phl,1978
43.6,phl,1986
36.2,phl,1988
40.0,phl,1993
50.7,phl,1995
48.1,phl,1996
47.0,phl,1997
46.5,phl,1998
49.3,phl,1999
47.0,phl,2000
49.5,phl,2001
48.8,phl,2002
48.9,phl,2003
49.3,phl,2004
49.3,phl,2005
50.6,phl,2006
50.7,phl,2008
60.0,pol,1972
75.0,pol,1977
72.7,pol,1991
76.3,prt,1980
78.8,prt,1997
67.1,prt,2006
61.0,pri,1974
64.6,pri,1976
70.4,pri,1982
77.7,pri,1996
84.1,pri,2002
32.3,qat,1987
43.2,qat,1998
58.0,rou,1978
57.3,rou,1993
63.8,rou,1999
70.3,rou,2004
62.5,rus,1993
66.8,rus,1994
63.4,rus,1995
65.3,rus,1996
83.8,rus,2004
79.5,rus,2007
11.0,rwa,1983
21.2,rwa,1992
13.7,rwa,1996
13.2,rwa,2000
17.4,rwa,2005
36.4,rwa,2008
51.6,rwa,2010
40.6,kna,1984
54.0,kna,2006
54.0,kna,2008
42.7,lca,1981
52.2,lca,1982
47.3,lca,1988
47.0,lca,1998
41.5,vct,1981
55.5,vct,1982
58.3,vct,1988
58.0,vct,1998
48.0,vct,2005
48.0,vct,2006
30.0,wsm,1995
42.6,wsm,1996
24.5,wsm,1998
28.7,wsm,2009
29.3,stp,2000
30.7,stp,2006
38.4,stp,2009
31.8,sau,1996
20.8,sau,1999
23.8,sau,2007
3.9,sen,1978
11.3,sen,1986
7.4,sen,1993
12.9,sen,1997
10.5,sen,1999
11.8,sen,2005
51.7,srb,1970
58.7,srb,2000
41.2,srb,2006
2.6,sle,1992
4.3,sle,2000
5.3,sle,2005
8.2,sle,2008
60.1,sgp,1973
71.3,sgp,1977
74.2,sgp,1982
67.0,sgp,1987
65.0,sgp,1992
62.0,sgp,1997
74.0,svk,1991
79.8,svk,1997
70.6,svn,1970
78.9,svn,1995
11.0,slb,1996
6.8,slb,2001
34.6,slb,2007
7.9,som,1999
14.6,som,2006
48.0,zaf,1980
49.7,zaf,1988
57.0,zaf,1990
56.3,zaf,1998
59.9,zaf,2003
59.9,zaf,2004
47.1,esp,1977
59.4,esp,1985
81.1,esp,1995
71.7,esp,1999
65.7,esp,2006
43.2,lka,1974
48.6,lka,1977
54.9,lka,1982
61.7,lka,1987
66.1,lka,1993
70.0,lka,2000
68.4,lka,2007
4.6,sdn,1979
8.7,sdn,1990
9.9,sdn,1993
7.0,sdn,1999
7.6,sdn,2006
48.0,sur,1992
42.1,sur,2000
45.6,sur,2006
19.8,swz,1988
27.7,swz,2000
40.1,swz,2002
50.6,swz,2007
49.3,swz,2010
78.0,swe,1981
75.2,swe,1996
71.2,che,1980
82.0,che,1995
29.5,syr,1978
39.6,syr,1993
45.3,syr,2000
46.6,syr,2001
58.3,syr,2006
53.9,syr,2009
33.9,tjk,2000
25.3,tjk,2003
24.6,tjk,2004
37.9,tjk,2005
28.5,tjk,2006
37.1,tjk,2007
10.4,tza,1992
20.4,tza,1994
18.4,tza,1996
25.4,tza,1999
28.2,tza,2004
26.4,tza,2005
34.4,tza,2010
14.8,tha,1970
26.3,tha,1973
36.7,tha,1975
53.4,tha,1979
59.0,tha,1981
64.6,tha,1984
67.5,tha,1987
66.2,tha,1989
73.9,tha,1993
75.2,tha,1996
72.2,tha,1997
79.2,tha,2000
77.8,tha,2001
73.8,tha,2005
71.5,tha,2006
79.6,tha,2009
25.1,tls,1991
22.6,tls,1994
26.7,tls,1997
8.0,tls,2001
10.0,tls,2003
19.8,tls,2007
22.3,tls,2010
33.9,tgo,1988
23.5,tgo,1998
25.7,tgo,2000
16.8,tgo,2006
15.2,tgo,2010
46.0,ton,1976
41.0,ton,1997
32.8,ton,1999
33.0,ton,2000
23.0,ton,2002
23.9,ton,2006
43.6,tto,1971
60.2,tto,1977
52.7,tto,1987
38.2,tto,2000
42.5,tto,2006
31.4,tun,1978
41.1,tun,1983
49.8,tun,1988
60.0,tun,1995
65.5,tun,2000
62.6,tun,2001
60.2,tun,2006
36.8,tur,1973
50.4,tur,1978
50.6,tur,1983
63.4,tur,1988
62.6,tur,1993
63.9,tur,1998
71.0,tur,2003
73.0,tur,2008
73.0,tur,2009
61.8,tkm,2000
48.0,tkm,2006
39.0,tuv,1990
31.6,tuv,2002
30.5,tuv,2007
4.9,uga,1989
14.8,uga,1995
22.8,uga,2001
19.7,uga,2005
23.7,uga,2006
67.5,ukr,1999
71.6,ukr,2000
65.6,ukr,2005
66.7,ukr,2007
27.5,are,1995
77.0,gbr,1976
83.0,gbr,1983
81.0,gbr,1986
69.0,gbr,1989
70.0,gbr,1991
82.0,gbr,1993
82.0,gbr,1995
74.0,gbr,1998
82.0,gbr,1999
76.0,gbr,2000
80.0,gbr,2001
83.0,gbr,2002
84.0,gbr,2003
84.0,gbr,2004
82.0,gbr,2005
82.0,gbr,2006
84.0,gbr,2007
82.0,gbr,2008
84.0,gbr,2009
67.6,usa,1970
69.6,usa,1973
79.0,usa,1975
67.7,usa,1976
69.5,usa,1982
74.3,usa,1988
70.7,usa,1990
76.4,usa,1995
72.8,usa,2002
78.6,usa,2008
83.0,ury,1986
84.0,ury,1997
77.0,ury,2004
78.0,ury,2005
55.6,uzb,1996
67.2,uzb,2000
67.7,uzb,2002
64.9,uzb,2006
24.4,vut,1984
15.0,vut,1991
39.0,vut,1995
28.0,vut,1999
38.4,vut,2007
60.3,ven,1977
58.0,ven,1993
70.3,ven,1998
20.0,vnm,1981
58.0,vnm,1986
53.2,vnm,1988
65.0,vnm,1994
75.3,vnm,1997
71.9,vnm,1998
74.2,vnm,2000
73.9,vnm,2001
78.5,vnm,2002
75.3,vnm,2003
75.7,vnm,2004
76.8,vnm,2005
75.7,vnm,2006
79.0,vnm,2007
79.5,vnm,2008
78.4,vir,2002
45.2,pse,1996
51.4,pse,2000
50.6,pse,2004
50.2,pse,2006
1.7,yem,1979
9.7,yem,1992
20.8,yem,1997
23.1,yem,2003
27.7,yem,2006
15.2,zmb,1992
25.9,zmb,1996
22.0,zmb,1999
34.2,zmb,2002
40.8,zmb,2007
38.4,zwe,1984
43.1,zwe,1989
48.1,zwe,1994
53.5,zwe,1999
60.2,zwe,2006
64.9,zwe,2009
58.5,zwe,2011
