ratio_of_young_literate_females_to_males_percent_ages_15_24,geo,time
24.33,afg,1979
100.1,alb,2001
100.6,alb,2008
72.15,dza,1987
91.58,dza,2002
94.44,dza,2006
75.44,ago,2001
81.07,ago,2009
101.0,atg,2008
100.9,arg,1980
100.5,arg,1991
100.4,arg,2001
100.4,arg,2009
100.0,arm,1989
100.1,arm,2001
100.1,arm,2009
100.3,abw,2000
100.2,abw,2009
100.0,aze,1999
100.0,aze,2007
91.51,bhr,1981
99.3,bhr,1991
100.4,bhr,2001
99.97,bhr,2009
61.2,bgd,1981
73.43,bgd,1991
89.72,bgd,2001
103.7,bgd,2009
100.1,blr,1989
100.1,blr,1999
100.1,blr,2009
100.7,blz,1991
39.94,ben,1979
48.41,ben,1992
56.14,ben,2002
66.87,ben,2009
84.91,btn,2005
82.91,bol,1976
95.07,bol,1992
97.53,bol,2001
99.39,bol,2007
99.49,bol,2008
100.1,bih,2000
100.0,bih,2009
107.4,bwa,1991
103.8,bwa,2003
103.2,bwa,2009
103.2,bra,1980
103.3,bra,2000
102.2,bra,2004
101.6,bra,2006
101.5,bra,2007
101.4,bra,2008
99.12,brn,1981
99.98,brn,1991
100.0,brn,2001
99.92,brn,2009
99.8,bgr,2001
99.89,bgr,2009
29.78,bfa,1975
52.91,bfa,1991
54.89,bfa,1996
64.64,bfa,2003
65.58,bfa,2005
70.88,bfa,2007
52.49,bdi,1979
80.69,bdi,1990
91.65,bdi,2000
99.17,bdi,2009
86.84,khm,1998
89.74,khm,2004
95.69,khm,2008
74.21,cmr,1976
88.17,cmr,2000
86.65,cmr,2007
96.07,cpv,1990
101.8,cpv,2004
101.7,cpv,2009
99.48,cym,2007
33.29,caf,1975
55.71,caf,1988
66.64,caf,2000
79.36,caf,2009
34.08,tcd,1993
41.73,tcd,2000
57.3,tcd,2004
72.82,tcd,2009
101.0,chl,1982
100.6,chl,1992
100.4,chl,2002
100.1,chl,2008
86.23,chn,1982
94.31,chn,1990
99.3,chn,2000
99.8,chn,2009
102.8,col,1993
101.2,col,1996
100.9,col,2004
100.9,col,2005
100.7,col,2006
101.0,col,2007
100.9,col,2008
101.0,col,2009
79.15,com,1980
92.38,com,2000
98.73,com,2009
80.9,cod,2001
84.75,cod,2009
89.9,cog,2005
100.8,cri,1984
100.9,cri,2000
100.9,cri,2009
63.15,civ,1988
73.25,civ,1998
73.59,civ,2000
84.55,civ,2009
