geo,external_debt_total_us_not_inflation_adjusted,time
ben,708000000,1982
ben,745700000,1983
ben,711500000,1984
ben,853700000,1985
ben,988800000,1986
ben,1194000000,1987
ben,1113000000,1988
ben,1242000000,1989
ben,1292000000,1990
ben,1333000000,1991
ben,1373000000,1992
ben,1447000000,1993
ben,1589000000,1994
ben,1614000000,1995
ben,1593000000,1996
ben,1627000000,1997
ben,1651000000,1998
ben,1687000000,1999
ben,1591000000,2000
ben,1661000000,2001
ben,1836000000,2002
ben,1833000000,2003
ben,1925000000,2004
ben,1842000000,2005
ben,813300000,2006
ben,859000000,2007
ben,986300000,2008
btn,326000,1981
btn,1144000,1982
btn,1764000,1983
btn,2733000,1984
btn,8832000,1985
btn,20950000,1986
btn,40240000,1987
btn,67080000,1988
btn,73860000,1989
btn,83540000,1990
btn,86340000,1991
btn,89200000,1992
btn,96620000,1993
btn,104500000,1994
btn,105800000,1995
btn,113000000,1996
btn,119600000,1997
btn,171000000,1998
btn,183800000,1999
btn,203800000,2000
btn,265200000,2001
btn,377900000,2002
btn,485900000,2003
btn,593300000,2004
btn,649200000,2005
btn,713300000,2006
btn,775000000,2007
btn,692400000,2008
bol,588300000,1970
bol,647500000,1971
bol,763200000,1972
bol,797400000,1973
bol,885100000,1974
bol,1013000000,1975
bol,1289000000,1976
bol,1734000000,1977
bol,2162000000,1978
bol,2556000000,1979
bol,2702000000,1980
bol,3219000000,1981
bol,3328000000,1982
bol,4069000000,1983
bol,4317000000,1984
bol,4805000000,1985
bol,5575000000,1986
bol,5836000000,1987
bol,4905000000,1988
bol,4132000000,1989
bol,4275000000,1990
bol,4061000000,1991
bol,4235000000,1992
bol,4307000000,1993
bol,4877000000,1994
bol,5272000000,1995
bol,5193000000,1996
bol,5235000000,1997
bol,5614000000,1998
bol,5548000000,1999
bol,5785000000,2000
bol,4692000000,2001
bol,5006000000,2002
bol,5801000000,2003
bol,6222000000,2004
bol,6908000000,2005
bol,5799000000,2006
bol,4993000000,2007
bol,5537000000,2008
bih,2377000000,1999
bih,2773000000,2000
bih,2659000000,2001
bih,3140000000,2002
bih,4459000000,2003
bih,5589000000,2004
bih,6222000000,2005
bih,7242000000,2006
bih,8823000000,2007
bih,8316000000,2008
bwa,17360000,1970
bwa,33200000,1971
bwa,74760000,1972
bwa,114900000,1973
bwa,134100000,1974
bwa,148000000,1975
bwa,166400000,1976
bwa,185600000,1977
bwa,125500000,1978
bwa,130000000,1979
bwa,135600000,1980
bwa,159500000,1981
bwa,204800000,1982
bwa,228100000,1983
bwa,266900000,1984
bwa,345700000,1985
bwa,407000000,1986
bwa,543400000,1987
bwa,532600000,1988
bwa,549800000,1989
bwa,552900000,1990
bwa,612600000,1991
bwa,606400000,1992
bwa,664000000,1993
bwa,700400000,1994
bwa,717200000,1995
bwa,626500000,1996
bwa,574700000,1997
bwa,532200000,1998
bwa,504200000,1999
bwa,452800000,2000
bwa,399900000,2001
bwa,488400000,2002
bwa,513600000,2003
bwa,510000000,2004
bwa,447300000,2005
bwa,382200000,2006
bwa,413100000,2007
bwa,437600000,2008
bra,5734000000,1970
bra,7442000000,1971
bra,11520000000,1972
bra,14670000000,1973
