geo,out_of_pocket_share_of_total_health_spending_percent,time
afg,88.68,2002
afg,87.57,2003
afg,86.63,2004
afg,83.12,2005
afg,82.88,2006
afg,82.56,2007
afg,82.92,2008
afg,83.1,2009
afg,83.04,2010
alb,49.96,1995
alb,60.27,1996
alb,60.7,1997
alb,60.37,1998
alb,56.64,1999
alb,63.82,2000
alb,61.69,2001
alb,63.83,2002
alb,60.44,2003
alb,56.15,2004
alb,56.5,2005
alb,56.86,2006
alb,57.81,2007
alb,58.26,2008
alb,58.69,2009
alb,60.83,2010
dza,23.9,1995
dza,21.57,1996
dza,24.8,1997
dza,25.48,1998
dza,26.34,1999
dza,25.79,2000
dza,21.67,2001
dza,21.69,2002
dza,20.34,2003
dza,27.37,2004
dza,26.43,2005
dza,24.26,2006
dza,21.48,2007
dza,19.38,2008
dza,19.61,2009
dza,20.94,2010
and,26.67,1995
and,26.06,1996
and,25.18,1997
and,18.66,1998
and,25.13,1999
and,26.57,2000
and,21.88,2001
and,22.02,2002
and,22.31,2003
and,21.8,2004
and,22.06,2005
and,21.68,2006
and,22.57,2007
and,22.51,2008
and,22.36,2009
and,22.35,2010
ago,13.18,1995
ago,23.1,1996
ago,22.12,1997
ago,26.95,1998
ago,25.8,1999
ago,20.76,2000
ago,14.49,2001
ago,21.15,2002
ago,18.94,2003
ago,23.96,2004
ago,25.51,2005
ago,20.7,2006
ago,19.82,2007
ago,15.67,2008
ago,10.11,2009
ago,17.54,2010
atg,29.23,1995
atg,31.2,1996
atg,29.57,1997
atg,27.93,1998
atg,26.73,1999
atg,26.9,2000
atg,29.99,2001
atg,30.33,2002
atg,31.33,2003
atg,32.16,2004
atg,32.01,2005
atg,30.2,2006
atg,29.63,2007
atg,28.55,2008
atg,29.25,2009
atg,25.81,2010
arg,27.98,1995
arg,29.76,1996
arg,28.79,1997
arg,29.06,1998
arg,28.6,1999
arg,29.05,2000
arg,29.32,2001
arg,29.81,2002
arg,30.74,2003
arg,30.57,2004
arg,29.44,2005
arg,28.38,2006
arg,25.0,2007
arg,22.18,2008
arg,19.88,2009
arg,29.88,2010
arm,65.93,1995
arm,69.11,1996
arm,71.47,1997
arm,67.52,1998
arm,67.07,1999
arm,77.12,2000
arm,69.62,2001
arm,68.64,2002
arm,69.12,2003
arm,71.48,2004
arm,66.62,2005
arm,57.71,2006
arm,54.89,2007
arm,51.82,2008
arm,52.52,2009
arm,55.15,2010
aus,16.09,1995
aus,16.95,1996
aus,16.87,1997
aus,19.9,1998
aus,18.61,1999
aus,19.8,2000
aus,19.25,2001
aus,18.82,2002
aus,18.26,2003
aus,18.26,2004
aus,18.62,2005
aus,18.66,2006
aus,18.04,2007
aus,18.19,2008
aus,19.54,2009
aus,20.52,2010
aut,15.21,1995
aut,15.65,1996
aut,15.46,1997
aut,15.45,1998
aut,15.15,1999
aut,15.31,2000
aut,16.05,2001
aut,16.2,2002
aut,16.45,2003
aut,15.98,2004
aut,15.73,2005
aut,15.85,2006
aut,15.43,2007
aut,14.67,2008
aut,14.46,2009
aut,14.56,2010
aze,65.6,1995
aze,64.32,1996
aze,61.76,1997
aze,66.58,1998
aze,64.29,1999
aze,63.2,2000
aze,63.28,2001
aze,65.27,2002
aze,77.46,2003
aze,79.22,2004
aze,83.05,2005
aze,79.48,2006
aze,73.91,2007
aze,73.3,2008
aze,69.25,2009
aze,69.55,2010
bhs,24.14,1995
bhs,24.08,1996
bhs,23.4,1997
bhs,22.15,1998
bhs,21.42,1999
bhs,21.08,2000
bhs,21.14,2001
bhs,23.16,2002
bhs,24.91,2003
bhs,26.27,2004
bhs,29.53,2005
bhs,27.3,2006
bhs,29.71,2007
bhs,29.57,2008
bhs,28.7,2009
bhs,29.37,2010
bhr,21.63,1995
bhr,22.01,1996
bhr,21.36,1997
bhr,22.66,1998
bhr,22.17,1999
bhr,22.28,2000
bhr,22.75,2001
bhr,22.65,2002
bhr,22.29,2003
bhr,22.72,2004
bhr,21.92,2005
bhr,21.11,2006
bhr,19.16,2007
bhr,16.72,2008
bhr,17.12,2009
bhr,14.48,2010
bgd,61.27,1995
bgd,61.24,1996
bgd,55.4,1997
bgd,56.75,1998
bgd,57.85,1999
bgd,58.01,2000
bgd,57.48,2001
bgd,57.91,2002
bgd,59.69,2003
bgd,58.72,2004
bgd,62.64,2005
bgd,61.17,2006
bgd,63.33,2007
bgd,65.96,2008
bgd,64.71,2009
bgd,63.42,2010
blr,18.63,1995
blr,14.77,1996
blr,8.799,1997
blr,13.39,1998
blr,13.2,1999
blr,14.01,2000
blr,18.28,2001
blr,20.49,2002
blr,18.22,2003
blr,17.26,2004
blr,19.86,2005
blr,22.18,2006
blr,23.58,2007
blr,27.45,2008
blr,26.9,2009
blr,19.85,2010
bel,19.59,1995
bel,18.87,1996
bel,21.13,1997
bel,21.19,1998
bel,20.86,1999
bel,20.54,2000
bel,19.71,2001
bel,21.34,2002
bel,19.8,2003
bel,18.51,2004
bel,18.46,2005
bel,20.31,2006
bel,20.61,2007
bel,20.09,2008
bel,19.95,2009
bel,20.24,2010
ben,54.94,1995
ben,55.65,1996
ben,57.86,1997
ben,55.71,1998
ben,53.94,1999
ben,55.74,2000
ben,50.69,2001
ben,55.75,2002
ben,52.19,2003
ben,52.07,2004
ben,47.72,2005
ben,47.21,2006
ben,46.0,2007
ben,44.7,2008
ben,42.8,2009
ben,46.8,2010
btn,31.63,1995
btn,29.89,1996
btn,30.79,1997
btn,32.78,1998
btn,24.35,1999
btn,20.74,2000
btn,21.59,2001
btn,16.2,2002
btn,25.89,2003
btn,27.54,2004
btn,23.42,2005
btn,18.37,2006
btn,14.7,2007
btn,13.47,2008
btn,13.03,2009
btn,11.96,2010
bih,52.93,1995
bih,55.86,1996
bih,55.52,1997
bih,57.0,1998
bih,45.55,1999
bih,42.36,2000
bih,39.32,2001
bih,36.72,2002
bih,30.81,2003
bih,42.8,2004
bih,45.03,2005
bih,44.52,2006
bih,43.45,2007
bih,41.81,2008
bih,38.65,2009
bih,38.6,2010
bwa,17.78,1995
bwa,16.37,1996
bwa,15.07,1997
bwa,15.96,1998
bwa,15.3,1999
bwa,13.88,2000
bwa,10.22,2001
bwa,8.519,2002
bwa,9.298,2003
bwa,6.896,2004
bwa,7.593,2005
bwa,7.99,2006
bwa,6.947,2007
bwa,7.092,2008
bwa,7.078,2009
bwa,8.11,2010
brn,21.9,1995
brn,18.38,1996
brn,18.62,1997
brn,15.99,1998
brn,22.07,1999
brn,13.35,2000
brn,18.77,2001
brn,17.48,2002
brn,16.17,2003
brn,16.16,2004
brn,15.65,2005
brn,15.82,2006
brn,15.33,2007
brn,13.85,2008
brn,14.68,2009
brn,14.95,2010
bfa,57.71,1995
bfa,58.09,1996
bfa,55.53,1997
bfa,56.64,1998
bfa,55.5,1999
bfa,56.96,2000
bfa,59.1,2001
bfa,52.88,2002
bfa,49.41,2003
bfa,44.08,2004
bfa,38.13,2005
bfa,39.38,2006
bfa,37.24,2007
bfa,38.06,2008
bfa,37.12,2009
bfa,36.21,2010
bdi,49.18,1995
bdi,43.11,1996
bdi,47.47,1997
bdi,47.66,1998
bdi,47.22,1999
bdi,50.39,2000
bdi,48.04,2001
bdi,51.34,2002
bdi,53.3,2003
bdi,41.85,2004
bdi,40.2,2005
bdi,39.02,2006
bdi,37.68,2007
bdi,38.43,2008
bdi,39.31,2009
bdi,37.94,2010
khm,70.5,1995
khm,49.81,1996
khm,54.72,1997
khm,66.49,1998
khm,70.96,1999
khm,71.19,2000
khm,61.7,2001
khm,58.87,2002
khm,51.58,2003
khm,50.56,2004
khm,56.34,2005
khm,54.24,2006
khm,47.35,2007
khm,46.73,2008
khm,42.33,2009
khm,40.39,2010
cmr,71.9,1995
cmr,78.82,1996
cmr,74.59,1997
cmr,77.72,1998
cmr,76.68,1999
cmr,74.72,2000
cmr,71.72,2001
cmr,69.35,2002
cmr,69.18,2003
cmr,71.88,2004
cmr,72.2,2005
cmr,72.75,2006
cmr,73.3,2007
cmr,75.64,2008
cmr,70.04,2009
cmr,66.49,2010
can,15.99,1995
can,16.26,1996
can,16.89,1997
can,16.28,1998
can,16.38,1999
can,15.91,2000
can,15.23,2001
can,15.2,2002
can,14.53,2003
can,14.67,2004
can,14.62,2005
can,14.96,2006
can,14.75,2007
can,14.61,2008
can,14.57,2009
can,14.65,2010
cpv,19.23,1995
cpv,17.81,1996
cpv,17.83,1997
cpv,24.7,1998
cpv,26.04,1999
cpv,26.4,2000
cpv,24.12,2001
cpv,24.32,2002
cpv,25.99,2003
cpv,22.02,2004
cpv,22.66,2005
cpv,21.93,2006
cpv,24.86,2007
cpv,26.74,2008
cpv,25.87,2009
cpv,24.88,2010
caf,57.27,1995
caf,65.82,1996
caf,59.45,1997
caf,63.39,1998
caf,58.51,1999
caf,55.63,2000
caf,58.15,2001
caf,55.88,2002
caf,57.16,2003
caf,58.91,2004
caf,61.44,2005
caf,61.32,2006
caf,62.49,2007
caf,63.37,2008
caf,62.5,2009
caf,61.38,2010
tcd,63.01,1995
tcd,60.42,1996
tcd,62.35,1997
tcd,66.71,1998
tcd,63.58,1999
tcd,55.32,2000
tcd,57.93,2001
tcd,66.48,2002
tcd,51.14,2003
tcd,62.25,2004
tcd,56.88,2005
tcd,65.57,2006
tcd,74.2,2007
tcd,75.85,2008
tcd,77.63,2009
tcd,72.55,2010
chn,46.4,1995
chn,50.64,1996
chn,52.84,1997
chn,54.85,1998
chn,55.85,1999
chn,58.98,2000
chn,59.97,2001
chn,57.72,2002
chn,55.87,2003
chn,53.64,2004
chn,52.21,2005
chn,49.31,2006
chn,44.05,2007
chn,40.42,2008
chn,37.46,2009
chn,36.59,2010
com,28.77,1995
com,30.39,1996
com,33.11,1997
com,36.34,1998
com,39.4,1999
com,47.25,2000
com,52.49,2001
com,42.72,2002
com,41.83,2003
com,39.56,2004
com,38.98,2005
com,36.27,2006
com,34.72,2007
com,32.6,2008
com,46.79,2009
com,32.78,2010
cod,67.3,1995
cod,69.81,1996
cod,67.93,1997
cod,71.6,1998
cod,68.51,1999
cod,72.36,2000
cod,68.28,2001
cod,67.04,2002
cod,56.75,2003
cod,57.62,2004
cod,51.15,2005
cod,50.41,2006
cod,47.7,2007
cod,39.17,2008
cod,35.82,2009
cod,35.91,2010
cog,40.37,1995
cog,39.49,1996
cog,40.18,1997
cog,41.22,1998
cog,42.52,1999
cog,42.28,2000
cog,45.0,2001
cog,47.33,2002
cog,50.08,2003
