mean_years_in_school_women_25_years_and_older,geo,time
8.4,aus,1970
8.5,aus,1971
8.6,aus,1972
8.7,aus,1973
8.8,aus,1974
8.9,aus,1975
9.0,aus,1976
9.1,aus,1977
9.2,aus,1978
9.3,aus,1979
9.4,aus,1980
9.5,aus,1981
9.6,aus,1982
9.6,aus,1983
9.7,aus,1984
9.8,aus,1985
9.9,aus,1986
10.0,aus,1987
10.1,aus,1988
10.1,aus,1989
10.2,aus,1990
10.3,aus,1991
10.4,aus,1992
10.4,aus,1993
10.5,aus,1994
10.6,aus,1995
10.7,aus,1996
10.7,aus,1997
10.8,aus,1998
10.9,aus,1999
10.9,aus,2000
11.0,aus,2001
11.1,aus,2002
11.1,aus,2003
11.2,aus,2004
11.3,aus,2005
11.3,aus,2006
11.4,aus,2007
11.4,aus,2008
11.5,aus,2009
7.2,aut,1970
7.3,aut,1971
7.4,aut,1972
7.5,aut,1973
7.6,aut,1974
7.7,aut,1975
7.9,aut,1976
8.0,aut,1977
8.1,aut,1978
8.2,aut,1979
8.3,aut,1980
8.4,aut,1981
8.5,aut,1982
8.6,aut,1983
8.7,aut,1984
8.8,aut,1985
8.9,aut,1986
9.0,aut,1987
9.1,aut,1988
9.1,aut,1989
9.2,aut,1990
9.3,aut,1991
9.4,aut,1992
9.5,aut,1993
9.6,aut,1994
9.7,aut,1995
9.8,aut,1996
9.9,aut,1997
10.0,aut,1998
10.1,aut,1999
10.2,aut,2000
10.3,aut,2001
10.4,aut,2002
10.4,aut,2003
10.5,aut,2004
10.6,aut,2005
10.7,aut,2006
10.8,aut,2007
10.9,aut,2008
11.0,aut,2009
4.5,aze,1970
4.6,aze,1971
4.8,aze,1972
5.0,aze,1973
5.1,aze,1974
5.3,aze,1975
5.5,aze,1976
5.7,aze,1977
5.8,aze,1978
6.0,aze,1979
6.2,aze,1980
6.4,aze,1981
6.6,aze,1982
6.8,aze,1983
7.0,aze,1984
7.2,aze,1985
7.4,aze,1986
7.6,aze,1987
7.8,aze,1988
7.9,aze,1989
8.1,aze,1990
8.3,aze,1991
8.5,aze,1992
8.7,aze,1993
8.9,aze,1994
9.1,aze,1995
9.2,aze,1996
9.4,aze,1997
9.6,aze,1998
9.8,aze,1999
9.9,aze,2000
10.1,aze,2001
10.2,aze,2002
10.4,aze,2003
10.6,aze,2004
10.7,aze,2005
10.9,aze,2006
11.0,aze,2007
11.2,aze,2008
11.3,aze,2009
6.1,bhs,1970
6.3,bhs,1971
6.4,bhs,1972
6.6,bhs,1973
6.7,bhs,1974
6.8,bhs,1975
7.0,bhs,1976
7.1,bhs,1977
7.2,bhs,1978
7.3,bhs,1979
7.5,bhs,1980
7.6,bhs,1981
7.7,bhs,1982
7.8,bhs,1983
7.9,bhs,1984
8.1,bhs,1985
8.2,bhs,1986
8.3,bhs,1987
8.4,bhs,1988
8.5,bhs,1989
8.6,bhs,1990
8.7,bhs,1991
8.9,bhs,1992
9.0,bhs,1993
9.1,bhs,1994
9.2,bhs,1995
9.3,bhs,1996
9.5,bhs,1997
9.6,bhs,1998
9.7,bhs,1999
9.8,bhs,2000
9.9,bhs,2001
10.0,bhs,2002
10.2,bhs,2003
10.3,bhs,2004
10.4,bhs,2005
10.5,bhs,2006
10.6,bhs,2007
10.7,bhs,2008
10.8,bhs,2009
1.2,bhr,1970
1.2,bhr,1971
1.3,bhr,1972
1.4,bhr,1973
1.5,bhr,1974
1.6,bhr,1975
1.8,bhr,1976
1.9,bhr,1977
2.0,bhr,1978
2.1,bhr,1979
2.3,bhr,1980
2.4,bhr,1981
2.6,bhr,1982
2.7,bhr,1983
2.9,bhr,1984
3.1,bhr,1985
3.2,bhr,1986
3.4,bhr,1987
3.6,bhr,1988
3.8,bhr,1989
4.0,bhr,1990
4.1,bhr,1991
4.3,bhr,1992
4.5,bhr,1993
4.7,bhr,1994
4.9,bhr,1995
5.1,bhr,1996
5.3,bhr,1997
5.5,bhr,1998
5.7,bhr,1999
5.9,bhr,2000
6.1,bhr,2001
6.4,bhr,2002
6.6,bhr,2003
6.8,bhr,2004
7.0,bhr,2005
7.2,bhr,2006
7.4,bhr,2007
7.6,bhr,2008
7.8,bhr,2009
0.6,bgd,1970
0.6,bgd,1971
0.6,bgd,1972
0.6,bgd,1973
0.7,bgd,1974
0.7,bgd,1975
0.7,bgd,1976
0.8,bgd,1977
0.8,bgd,1978
0.8,bgd,1979
0.9,bgd,1980
0.9,bgd,1981
1.0,bgd,1982
1.0,bgd,1983
1.0,bgd,1984
1.1,bgd,1985
1.1,bgd,1986
1.2,bgd,1987
1.2,bgd,1988
1.3,bgd,1989
1.3,bgd,1990
1.4,bgd,1991
1.4,bgd,1992
1.5,bgd,1993
1.5,bgd,1994
1.6,bgd,1995
1.7,bgd,1996
1.7,bgd,1997
1.8,bgd,1998
1.9,bgd,1999
1.9,bgd,2000
2.0,bgd,2001
2.1,bgd,2002
2.1,bgd,2003
2.2,bgd,2004
2.3,bgd,2005
2.4,bgd,2006
2.4,bgd,2007
2.5,bgd,2008
2.6,bgd,2009
6.3,blr,1970
6.5,blr,1971
6.6,blr,1972
6.8,blr,1973
6.9,blr,1974
7.1,blr,1975
7.2,blr,1976
7.4,blr,1977
7.5,blr,1978
7.7,blr,1979
7.8,blr,1980
8.0,blr,1981
8.1,blr,1982
8.3,blr,1983
8.4,blr,1984
8.6,blr,1985
8.8,blr,1986
8.9,blr,1987
9.1,blr,1988
9.2,blr,1989
9.4,blr,1990
9.5,blr,1991
9.7,blr,1992
9.8,blr,1993
9.9,blr,1994
10.1,blr,1995
10.2,blr,1996
10.3,blr,1997
10.5,blr,1998
10.6,blr,1999
10.7,blr,2000
10.8,blr,2001
11.0,blr,2002
11.1,blr,2003
11.2,blr,2004
11.3,blr,2005
11.4,blr,2006
11.5,blr,2007
11.6,blr,2008
11.7,blr,2009
6.6,bel,1970
6.8,bel,1971
6.9,bel,1972
7.1,bel,1973
7.2,bel,1974
7.4,bel,1975
7.6,bel,1976
7.7,bel,1977
7.9,bel,1978
8.0,bel,1979
8.2,bel,1980
8.3,bel,1981
8.5,bel,1982
8.6,bel,1983
8.8,bel,1984
8.9,bel,1985
9.1,bel,1986
9.2,bel,1987
9.4,bel,1988
9.5,bel,1989
9.6,bel,1990
9.8,bel,1991
9.9,bel,1992
10.0,bel,1993
10.2,bel,1994
10.3,bel,1995
10.4,bel,1996
10.5,bel,1997
10.7,bel,1998
10.8,bel,1999
10.9,bel,2000
11.0,bel,2001
11.2,bel,2002
11.3,bel,2003
11.4,bel,2004
11.5,bel,2005
11.6,bel,2006
11.7,bel,2007
11.8,bel,2008
11.9,bel,2009
3.8,blz,1970
3.9,blz,1971
4.0,blz,1972
4.1,blz,1973
4.3,blz,1974
4.4,blz,1975
4.5,blz,1976
4.6,blz,1977
4.8,blz,1978
4.9,blz,1979
5.0,blz,1980
5.1,blz,1981
5.3,blz,1982
5.4,blz,1983
5.5,blz,1984
5.7,blz,1985
5.8,blz,1986
5.9,blz,1987
6.0,blz,1988
6.1,blz,1989
6.2,blz,1990
6.4,blz,1991
6.5,blz,1992
6.6,blz,1993
6.7,blz,1994
6.8,blz,1995
6.9,blz,1996
7.0,blz,1997
7.1,blz,1998
7.3,blz,1999
7.4,blz,2000
7.5,blz,2001
7.6,blz,2002
7.7,blz,2003
7.8,blz,2004
7.9,blz,2005
8.0,blz,2006
8.1,blz,2007
8.2,blz,2008
8.3,blz,2009
0.2,ben,1970
0.2,ben,1971
0.2,ben,1972
0.3,ben,1973
0.3,ben,1974
0.3,ben,1975
0.3,ben,1976
0.3,ben,1977
0.3,ben,1978
0.4,ben,1979
0.4,ben,1980
0.4,ben,1981
0.4,ben,1982
0.4,ben,1983
0.5,ben,1984
0.5,ben,1985
0.5,ben,1986
0.6,ben,1987
0.6,ben,1988
0.6,ben,1989
0.7,ben,1990
0.7,ben,1991
0.7,ben,1992
0.8,ben,1993
0.8,ben,1994
0.8,ben,1995
0.9,ben,1996
0.9,ben,1997
1.0,ben,1998
1.0,ben,1999
1.1,ben,2000
1.1,ben,2001
1.2,ben,2002
1.2,ben,2003
1.3,ben,2004
1.3,ben,2005
1.4,ben,2006
1.5,ben,2007
1.5,ben,2008
1.6,ben,2009
1.7,bol,1970
1.8,bol,1971
1.9,bol,1972
2.0,bol,1973
2.1,bol,1974
2.2,bol,1975
2.3,bol,1976
2.4,bol,1977
2.5,bol,1978
2.6,bol,1979
2.7,bol,1980
2.8,bol,1981
2.9,bol,1982
3.0,bol,1983
3.2,bol,1984
3.3,bol,1985
3.4,bol,1986
3.5,bol,1987
3.7,bol,1988
3.8,bol,1989
3.9,bol,1990
4.1,bol,1991
4.2,bol,1992
4.3,bol,1993
4.5,bol,1994
4.6,bol,1995
4.8,bol,1996
4.9,bol,1997
5.1,bol,1998
5.2,bol,1999
5.3,bol,2000
5.5,bol,2001
5.7,bol,2002
5.8,bol,2003
6.0,bol,2004
6.1,bol,2005
6.3,bol,2006
6.4,bol,2007
6.6,bol,2008
6.7,bol,2009
2.2,bih,1970
2.2,bih,1971
2.3,bih,1972
2.4,bih,1973
2.5,bih,1974
2.6,bih,1975
2.7,bih,1976
2.7,bih,1977
2.8,bih,1978
2.9,bih,1979
3.0,bih,1980
3.1,bih,1981
3.2,bih,1982
3.4,bih,1983
3.5,bih,1984
3.6,bih,1985
3.7,bih,1986
3.9,bih,1987
4.0,bih,1988
4.2,bih,1989
4.3,bih,1990
4.5,bih,1991
4.6,bih,1992
4.8,bih,1993
4.9,bih,1994
5.1,bih,1995
5.3,bih,1996
5.4,bih,1997
5.6,bih,1998
5.8,bih,1999
5.9,bih,2000
6.1,bih,2001
6.3,bih,2002
6.4,bih,2003
6.6,bih,2004
6.8,bih,2005
7.0,bih,2006
7.2,bih,2007
7.3,bih,2008
7.5,bih,2009
1.1,bwa,1970
1.1,bwa,1971
1.2,bwa,1972
1.3,bwa,1973
1.3,bwa,1974
1.4,bwa,1975
1.5,bwa,1976
1.6,bwa,1977
1.7,bwa,1978
1.7,bwa,1979
1.8,bwa,1980
1.9,bwa,1981
2.0,bwa,1982
2.1,bwa,1983
2.2,bwa,1984
2.3,bwa,1985
2.4,bwa,1986
2.6,bwa,1987
2.7,bwa,1988
2.8,bwa,1989
2.9,bwa,1990
3.1,bwa,1991
3.2,bwa,1992
3.3,bwa,1993
3.5,bwa,1994
3.6,bwa,1995
3.8,bwa,1996
3.9,bwa,1997
4.1,bwa,1998
4.2,bwa,1999
4.4,bwa,2000
4.5,bwa,2001
4.7,bwa,2002
4.9,bwa,2003
5.1,bwa,2004
5.3,bwa,2005
5.4,bwa,2006
5.6,bwa,2007
5.8,bwa,2008
6.0,bwa,2009
2.1,bra,1970
2.2,bra,1971
2.3,bra,1972
2.4,bra,1973
2.5,bra,1974
2.6,bra,1975
